http://movie.douban.com/subject/2170937/	天地英豪
(3星)	 据说是蒋介石生前最喜欢的电视剧 小时候我也超迷的 据说有第二部            
(3星)	 档期不够没关系，能拍多少算多少，时间到了你走人，换个演员继续演，编剧不是吃素的，就说大侠整容了。- “司马朋友~~你说是伐？”- “欧阳朋友~~知己啊T_T”            
(4星)	 如果元彪不是中途辞演了，我想司马不平和燕玲早就搞上了吧。。。。。换人以后我觉得欧阳无敌比较好了。。。            
(4星)	 只记得杨丽菁 小时候跟姐姐们一起看的            
(4星)	 杨丽菁。            
(4星)	 小时候看的第一部以女生做第一主角的电视剧，记住了杨丽菁的笑容            
(4星)	 似乎所有厉害人物的出场都是为了帮助赵燕玲，只有电视剧里才会有的好运气，小时候大爱！            
(5星)	 小时候在爷爷家，特别喜欢看这电视剧，好像有三部。爷爷奶奶也很爱看，那时候是泉州电视剧频道播放的。。。那时候开始喜欢上杨丽菁这个武侠女的形象！赵燕翎和司法不平，欧阳无敌之间的故事也蛮好玩的。            
(4星)	 为啥最近总看小时候看过的片子？？？燕翎好可爱。。就是演员重复太多            
(5星)	 最近又在重温了。实在太喜欢赵燕翎了，从小到大始终相当欣赏她~而且羡慕啊~有个帅气的温柔的才气的司马不平让她笑就能笑，让她哭她都哭不出来；还有个劣根性一样强的欧阳无情，实在是无奈怎么就那么好的男人呢。赵燕翎，我的好羡慕好羡慕你哦~~55~            
(5星)	 哎呀呀呀 我终于找到了这个小时候印象深刻的电视剧~            
(NA)	 印象很深刻，司马不平和欧阳无敌。            
(4星)	 乃乃个熊，终于被我找到这部了。今天上班看小说的时候突然想起来，然后我终于找到你了。内流满面，原来你叫这个名字。我只记得天地英豪了。话说，你是我童年印象最深的电视剧之一啊，最后一集我看到十二点，我还记得那个糊涂的声音。我要重新找出来看看，第二部居然是换人了，我还以为一直没出。。。            
(4星)	 永远的记忆永远的经典。            
(NA)	 无情三绝斩            
(4星)	 我的童年啊            
(5星)	 小时候最要看个男人            
(4星)	 司马无情和欧阳无敌印象很深，我以前还会唱主题曲。。。。            
(5星)	 啊啊啊啊啊好想看啊            
(5星)	 小学时看的，好怀念啊。            
(NA)	 还记得当年吹萧的欧阳无敌咩　= =。。。抽搐！！ 主题曲 我到现在还会唱！！！！！            
(4星)	 小学时，爸妈让我睡觉，我躲在被子里瞪着眼睛偷偷看的。找了好久。我喜欢司马不平。            
(3星)	 小时候痴迷的~            
(4星)	 挺好的。就是那个片尾的闽南语歌当年听着挺雷的。。。现在我多喜欢唱闽南语啊。。。            
(5星)	 妈呀  这都被我找到了。。。            
(5星)	 非常喜欢，以当时的那个年代来说，拍的非常好了。给五星。            
(5星)	 终于找到了.很喜欢的.通过杨丽菁终于知道他叫这个了.以为会叫镖局XX的.            
(NA)	 司马无情，一手无情三绝斩震惊江湖无人能敌，不平已去，无情再生，人无情，剑更无情；欧阳无敌，以一套无敌逆剑行遍江湖少遇敌手，自称自己为天下第三，第一已死，第二未生。            
(5星)	 赵燕翎!!            
(NA)	 小时候看得武侠剧里特别憨厚老实硬桥硬马的一部啦啦啦            
(4星)	 我對它的全部記憶只停留在換演員之前 嗯            
(4星)	 。。            
(5星)	 老蒋 我也很爱看里面女主角啊 你早说你喜欢看武侠片啊！！！            
(4星)	 换人换的太坑爹！居然还换了个名= =            
(5星)	 爱死这部剧！！            
(4星)	 临时换角啊，这整的够乱的            
(4星)	 记得小时候很爱看，可是不知道为什么男主角本来是元彪，后来整容了？靠。。。。。。            
(5星)	 那时候多么喜欢这部！！！            
(NA)	 年少啊 其實我是想扒裏面那段忘年戀。。。            
(5星)	 重温！。            
(5星)	 好不容易想起来了。只记得那首《我是无心的人》。但当时看得很投入的。            
(NA)	 曾经超级着迷的。            
(NA)	 这么老的片子居然被我找到，儿时的记忆            
(5星)	 小时候最喜欢的电视剧了~~~念念不忘了很多很多年了~~~我爱三小姐~~~            
(4星)	 一直都记得小时候非常的喜欢。            
(5星)	 大爱，就是没找到续集！            
(5星)	 记忆，绝对5颗星            
(3星)	 啊！我竟然也记得这个！有些情节印象颇深啊~            
(4星)	 当年超爱看的~~            
(3星)	 赵天豪就是个寂寞。。。儿时喜欢的东西，现在看着超级弱智            
(NA)	 剧情只记得个大概，只知道当时父亲居然也很爱看这部OTL            
(5星)	 怀念啊~            
(5星)	 儿时回忆            
(4星)	 其實傳說中有第三部的吧最後的結局究竟是什麽?            
(4星)	 东营和外公一起看的~            
(4星)	 小时候最爱看的一部电视剧 之一吧  还追了 两季 ╮(╯▽╰)╭            
(5星)	 片头曲现在还能想起来调            
(5星)	 司马不平与欧阳无情            
(5星)	 这是我儿时的精神食粮啊！！！            
(4星)	 小时候被赵燕翎迷到！纸剑孤鹤，用布剑才能破，印象深刻            
(5星)	 当时觉得暴好看的有木有！！            
(4星)	 中视还是华视的八点档啊！            
(5星)	 小时候好喜欢= =纸剑，布剑，各种爱情，还有大姐二姐，还有离婚什么的= =            
(5星)	 找了好长时间。。。只记得一点点好不容易通过午马才找到。。            
(5星)	 小时记忆            
(NA)	 只看过第一部，电视台居然不播放完，气死了！            
(NA)	 小时候看过            
(5星)	 我还记得！！司徒无情！！！！！欧阳无敌！！！！！            
(5星)	 无情三绝斩            
(5星)	 台湾人已经不这么拍电视剧了 可惜了            
(4星)	 我小时候可爱看了······            
(4星)	 小时候没看完的电视剧，之后却忘了剧名，一直耿耿于怀，终于找到。            
(5星)	 小时候的经典，全家人围在一起看。值得回忆            
(4星)	 啊啊啊 小时候的最爱呀            
(5星)	 超好看的电视剧，小时候还照里面的招式跟同学打斗呢            
(3星)	 后来试过回顾，觉得挺傻的，小时候美好的回忆，还是让它保持在原来的位置上把            
(5星)	 怎么记忆中是叫《今生今世》的呢？还是我记错了？不知道网上有没有看呢。。。当时没有看到大结局，很懊恼啊！！！！！很好看的啊！！！！！            
(5星)	 姐的童年            
(4星)	 记得赵燕玲，还有三姐妹。司马无情，欧阳无敌。。            
(4星)	 小时候超喜欢这部的            
(3星)	 小时候看的            
(4星)	 小时候好爱杨丽菁啊            
(NA)	 至今怨念当年坑爹的整容换人            
(5星)	 司马无情，欧阳无敌，以前天天盼着第二部...            
(4星)	 2011-2            
(5星)	 小时候经常看啊。。。            
(NA)	 小的时候很喜欢看，午马的印象最深，大侠啊。            
(5星)	 这个喜欢，好看啊！            
(5星)	 终于他妈的找到了            
