http://movie.douban.com/subject/3060465/	一帘幽梦
(3星)	 其实没什么印象了。另外想说，世上本无费云帆。            
(4星)	 谁不想有个费云帆            
(NA)	 一群抽风的人啊~~~            
(3星)	 萧墙演的实在不错~            
(NA)	 我喜欢这个版本．．            
(NA)	 费云帆，就是他。            
(4星)	 看过老版，新版根本不是人看的            
(5星)	 刘德凯演绝了~~            
(5星)	 非常非常爱刘德凯！            
(4星)	 如果你看琼瑶就至少得看1下这个            
(5星)	 我有一帘幽梦，茫茫人海谁与共？初二时看的电视剧，现在回忆起来，还是觉得旧版的经典。            
(NA)	 新版根本演不出那一份情恨            
(4星)	  陈德容             
(2星)	 75版的甄珍系偶dream girl..            
(4星)	 那时候的陈德容真是美得惊人啊            
(3星)	 看眼名字就头大好像很多人冲我哭            
(3星)	 久远回忆            
(1星)	 很不喜欢刘德凯            
(4星)	 琼瑶剧里面比较喜欢的了            
(4星)	 北京台播过            
(3星)	 喜欢费云帆嗷嗷嗷            
(4星)	 绿萍真是赞            
(4星)	 琼瑶-。-            
(5星)	 启蒙片之一!我知道很狗血可是很理想啊&gt;_&lt;~            
(5星)	 我觉得比2好            
(NA)	 刘德凯也是一搞笑的主            
(3星)	 o台剧o(╯□╰)o的鼻祖            
(4星)	 我有一帘幽梦，不知与谁能共。那年的琼瑶阿姨真是无敌。又有谁不爱费云帆？            
(3星)	 每集必哭            
(4星)	 ！！！！            
(5星)	 打赌评论里写的都是费云帆XD            
(3星)	 又见琼瑶            
(3星)	 林瑞阳            
(NA)	 我怎么无聊到加这些。。            
(4星)	 經典！ 費云帆 妳在哪里 ...            
(5星)	 这个感觉好朦胧阿 是不是性启蒙时期的缘故呢哈哈            
(4星)	 好像是我看过最正常的一部琼瑶剧，那时候蛮爱费云帆            
(NA)	 琼瑶戏都爱发癫            
(NA)	 天知道,童年的时候为什么会觉着,这个故事蛮好看的.紫菱蛮可怜的.事实上就是在多年以后突然回想起来的时候又去看了.就觉得紫菱真的是..呃.既想当婊子又要立牌坊的典型代表么.好吧.谁没有个童年不是            
(NA)	 完全不记得剧情了            
(1星)	 感情不是患得患失，在姐妹之间摇摆不定最终会害了自己，如此混乱的一家人，把背叛当做生活的基本，这样的人不配拥有爱情。嫉妒，无聊，歇斯底里，强势主义，有太多的独断自私，全部的利己思想，毁灭了幸福的家庭，灾难和幸福只不过是隔门的邻居，没有谁可以永远是幸运的，梦幻的名字却衍生了一个罪恶的故事，是遗憾也是无奈。            
(3星)	 以前觉得绿萍近似疯狂,到自己陷进去了,也复如是            
(2星)	 在接触韩剧之前，看的言情剧差不多都是琼瑶阿姨的作品。            
(NA)	 永远的费云帆。            
(4星)	 超喜欢那个费云凡~            
(3星)	 女人都爱费云帆            
(3星)	 演员都比较到位，尤其对比最近的一帘恶梦，越发怀念刘德凯的费云凡            
(5星)	 费云帆，费云帆，费云帆，我的大叔控因你而起。紫菱，我心中的女神4。。            
(4星)	 年年重播啊...             
(3星)	 容容这么水灵的女娃子，太喜欢了            
(5星)	 这个版本才是经典。            
(NA)	 我小时候喜欢林瑞阳的楚廉。。囧。。大了依旧不喜欢费云帆。。            
