http://movie.douban.com/subject/1786833/	情定大饭店 호텔리어
(3星)	 严重的虎头蛇尾，越到后来剧情越讲不通，草草结束不了了之~~            
(3星)	 太长了 陪我妈妈看了点 裴帅确实很帅气            
(4星)	 喜欢徐臻英            
(5星)	 其实并没有多刻画专业，主要还是以情动人，剧情紧凑人物鲜活。总算可以理解大妈们为什么爱裴帅，根本是个空降情种。。。其实我更喜欢金承佑。。。谁不曾错过爱情，谁不曾留有遗憾。。行动派才能赢得爱情。好像圆满又很伤感的结局。我几乎喜欢里面每个人：)            
(4星)	 很经典，把我们都骗了进来~~            
(2星)	 我妈很喜欢裴大爷……            
(5星)	 印象中追宋慧乔的男仔很帅啊            
(3星)	 也是电视上的。            
(4星)	 裴勇俊还是不错的            
(4星)	     申东贤凭什么那么帅啊........            
(4星)	 为了裴勇俊~~            
(NA)	 唯一一部跟老妈一起定点守候的电视韩剧 我妈都把我看成裴大叔            
(3星)	 小僧......陪母亲大人看了不少韩剧...            
(5星)	 啊啊啊啊我和我娘都深爱申东贤啊啊啊帅死了啊啊啊啊啊啊啊啊啊啊啊            
(4星)	 宋允儿，我很欣赏她~~            
(3星)	 讨厌裴勇俊宋允儿。只想看乔妹，真青春啊那时候。            
(4星)	 帅            
(NA)	 大爱。允。            
(3星)	 男主角和裴勇俊的个人性格相差比较大，所以演起来感觉雕琢痕迹很浓            
(5星)	 嘿嘿，想有天去华克山庄            
(4星)	 女主太二了。喜欢大叔和LOLI配啊噢噢噢噢。依然不喜欢裴勇俊            
(5星)	 看见裴勇俊就走不动道儿啊！            
(NA)	 第一集的长镜头，特别好看            
(3星)	 看在宋慧乔的份上            
(5星)	 高一 当时爱死裴勇俊啦            
(4星)	 恩…这部过后例外应该就结束了…            
(NA)	 小裴~~~            
(4星)	 好早看过的。            
(3星)	 部分情节剽窃小说饭店            
(NA)	 韩剧            
(3星)	 好像就没看完整，断断续续的。            
(3星)	 不喜欢            
(3星)	 没仔细看            
(4星)	 宋慧乔里面的配音我不喜欢。            
(3星)	 喜欢并不由自主的融入徐臻茵的职业OL风格步调中。。背景是著名华克饭店哦            
(5星)	 喜欢饭店里的那位收购专家 ：）            
(NA)	 喜欢裴勇俊            
(3星)	 韩剧咯            
(3星)	 卡司还是很强滴            
(4星)	 那时觉得脸红心跳的人，后来都不知道去了哪里……            
(NA)	 我也是个看过韩剧的人！            
(NA)	 原来我从小到大看了那么多韩剧..            
(5星)	 当时觉得可好看了，暑假的那几天我每天守着电视。喜欢宋允儿            
