http://movie.douban.com/subject/3093273/	茶是故乡浓
(5星)	 盘妹雅=视后            
(4星)	 這部电视剧讓我學會做茶葉過程 @ 主題曲- 接近 - 張學友 &amp; 陳慧嫻            
(4星)	 鹌鹑仔的不二人选。。            
(5星)	 真是好看得不得了啊，把这么乡土的内容拍得美死了，我再看竟然又能从头到尾的看完一遍。如果是100集的创世纪，拿起都打呵欠，真是佩服那阵时的决策啊。你最后那句好酸，看的心痒痒啊，哈哈。还有，剧中居然还有红楼梦葬花吟的背景音乐，够雷的。            
(4星)	 幸好最后阿盘还是回来了。苏玉华真是好演技。            
(5星)	 很佩服张可颐选片的眼光            
(4星)	 算挺特别的题材            
(5星)	 在我们那里拍滴剧。。张学友滴《接近》好好听            
(5星)	 难忘主题曲。            
(NA)	 接近~~~            
(4星)	 萌点很多~演员很合~第二条线通常比较有爱~~对了，唯一受不鸟就是踢威比万年不变的原声……            
(3星)	 香港制造。            
(4星)	 以前看过~这部应该是林家栋代表作了~            
(NA)	 看完那会儿还老幻想着要去炒茶叶.            
(5星)	 ~TVB不錯的            
(4星)	 我要去黄姚啊~            
(3星)	 点解麦包会变成甘……            
(5星)	 主题曲还能唱~            
(4星)	 一谈茶,,道尽人生            
(4星)	 其实当年比较爱这部            
(5星)	 不知拍摄地是哪里？            
(5星)	 非常棒的剧情！            
(3星)	 忘记讲啥的了。            
(4星)	 麦包就这么被忽略了。。。            
(NA)	 喜欢张学友的主题曲            
(5星)	 特地到广西取景，风景很不错，而更人意外的是剧中的情感~其实演员都是不红的，但是演技绝对都是一流的。拨人眼泪~            
(4星)	 胡伟立的原声 好            
(5星)	 重看一遍才发现，原来之前基本没看过            
(3星)	 1999            
(NA)	 上面的苏玉华很惊艳的说，不喜欢林家栋，觉得鹌鹑实在不可爱            
(3星)	 小时候看过，现在想重温一下，看看非凡哥。            
(3星)	 還可以，但太長了，沒看完            
(5星)	 我最爱的TVB剧集之一。            
(5星)	 清心和睦            
(3星)	 记得挺无聊。。            
(4星)	 毫不犹豫的孤身闯桂林，都是因为它。            
(3星)	 学友哥的主题曲~~~            
(3星)	 记得那片油菜花田！            
(NA)	 小學的回憶            
(5星)	 当年的港片就是经典            
(4星)	 林家栋闪光之作~~            
(4星)	 现在才看明白这场戏。故事非常可看，人与人之间的感情更是真实，有为学会了勇敢，妹雅学会替别人考虑，霜华学会了坚强独立，阿牛，大约学会了放下与珍惜吧。另，在桂林拍的风景确实不错呀，场景其他的都很真实，真正的乡土人情呀            
(4星)	 这系列淳朴中透出精致            
(5星)	 情节和风光都很不错，可惜有关炒茶的细节太假了，一个地方怎么可能又绿茶又铁观音啥都做，还有明明说是炒毛尖茶，可是那叶片炒铁观音和单丛还差不多，哈哈树欲静而风不止，做成事真不容易那个荣耀宗怎么说都是个职业经理人啊，那么多年难道没点积蓄？还找不到工作？。。。。。。            
(5星)	 tvb难得之剧            
(4星)	 人情人情            
(5星)	 原本是为张可颐所看，之后感觉是tvb值得一看的好作！张学友和陈慧娴合作的主题曲也很动听！            
(4星)	 哎呀 小学的回忆啊            
(4星)	 喜欢！            
(5星)	 当年收视率全面压倒创世纪的片子,那时候还没有巾帼枭雄什么事儿呢~还是在张可颐最美丽的年华,全部广西取景,真是好山好水好美人~             
(NA)	 广西贺州            
(4星)	 二小姐在剧里的少数民族姑娘扮相很美很美            
(NA)	 还是那句，港片不要看普通话版本            
(NA)	 躲在床上看完大结局。。。我。。外婆。。妈妈。。            
(5星)	 非常好看。主题曲很好听。            
(4星)	 念念不忘霜华最后品茶以及匆匆离开的那一幕            
(NA)	 念小学的时候看的tvb电视剧，很经典啊            
(5星)	 这部剧起码值得8.5分            
(5星)	 其实这个戏，就该拿视后了~~            
(4星)	 我真不是一般的喜欢张可颐。。好林家栋后来去演电影了。他上位的那段时间对我而言就像是一场灾难。。真的不是一般的不喜欢他。。偏他又长和我喜欢的花旦配戏。。555。属于怎么看怎么催眠自己都进不了顺眼的那一类。。。长的超级像我小学时候出车祸撞傻的同学。。寒。。。不过，他确实挺会演的。。            
(4星)	 已经烧桥的林家栋            
(5星)	 好看。加个主题曲。学友            
(4星)	 又一部经典剧，可惜林家栋依然不温不火            
(4星)	 当时觉得有点拖            
(NA)	 当时觉得苏玉华超靓。            
(4星)	 只要是可颐的 我都爱            
(5星)	 好O            
(5星)	 那時候很喜歡的一部TVB劇。很純很自然，張可頤和林家棟之間那段說不清摸不透的情愫...            
(4星)	 有印象。            
(5星)	 经典            
(4星)	 小时候好喜欢的            
(4星)	 8.5            
(4星)	 说到《茶是故乡浓》多少都要提到张可颐因为《创世纪》角色和《天地男儿》类似而辞演，转战《茶》，再来小成本的《茶》收视力压《创》，而后《茶》开拍续集，张可颐再次以角色雷同辞演的“小传奇”。            
(NA)	 主题曲啊主题曲`我的小学时代            
(5星)	 去广西的时候，害我一直在唱：风光里走过了几千里，一转身却在原地            
(5星)	 主题曲好听            
(NA)	 张可颐！            
(4星)	 经典啊，无论是剧情还是片头曲。看了好几遍，算是张可颐和林家栋的代表作了            
(3星)	 张学友的歌            
(4星)	 歌曲很好听 也喜欢张可颐            
(4星)	 小学六一晚会上播出了好听的主题曲：接近            
(5星)	 喜欢可颐～            
(4星)	 还不错，喜欢那个时候的佘诗曼，很勇敢，不做作            
(NA)	 好字            
