http://movie.douban.com/subject/3329961/	碧血盐枭 碧血鹽梟
(4星)	 TVB的女演员总要等到没有青春才会做花旦。            
(3星)	 没有萌点。黄浩然得益于角色的讨好性，马仔的魅力在于角色的塑造得力。杨怡的这个角色还不错。            
(3星)	 别人眼中的萌点黄浩然是这部戏中我的雷点            
(4星)	 最后一个镜头马浚伟像兔子一样哭了。。。＊。＊            
(3星)	 爱一个人，是该为了她放弃什么国仇家恨，忘记什么大义的，全世界都可以不要只要她，才是爱。致远，你输了。            
(4星)	 主题曲还行。            
(4星)	 簡直一個武打版的匯通天下+巾幗梟雄  蔣志光我太愛你了            
(3星)	 隐忍的爱            
(4星)	 实在太喜欢马浚伟。黄浩然也越来越好。            
(4星)	 哦呵呵我是黄浩然的脑残粉丝            
(3星)	 虎头蛇尾又拖沓的片子。感情戏虽好看，也不必非得死个人才能二选一吧，何况死的那个还是人气更高的二少爷，只能说黄浩然在TVB的地位不如马浚伟。这也就算了，三叔的出现太让人无语了，平白杀出个程咬金搞破坏。这也就算了，最后居然让他们在雪地重逢，还是萤火虫指引的，oh my god！            
(3星)	 为何胜雪就是不爱亭轩呢。。。            
(3星)	 杨怡略有进步，两位男主都很好            
(3星)	 我真的觉得杨怡像佘诗曼~ 至少感觉上~  往后面看多有意思的~再往后面看又没意思了~好烂的收尾！            
(4星)	 三个主角我都爱~该死的雪山重逢结局~            
(3星)	 黄浩然真是帅~            
(3星)	 我的二少爷呀！            
(4星)	 致远，好样的。            
(4星)	 爱情还蛮感人的~~因为有马仔嘛！            
(3星)	 TVB无人            
(4星)	 马仔的演技实在了得            
(5星)	      反正我超级很喜欢 男二 。               
(5星)	 戏里四哥总说：弃我去者，昨日之日不可留。            
(3星)	 我非常不妥马浚伟最后一个出镜的镜头居然是胡须凹凸。非常不妥。            
(NA)	 有点老梗了。。。。。            
(4星)	 一女两男极好啊—-—            
(4星)	 烂结局~二少死了！555555555！            
(3星)	 马浚伟又飞跃了~~！尽管我最爱杨怡，但是还是要承认，她没有演技可言。            
(3星)	 只看了2集            
(4星)	 黄浩然得到了二少爷这样的好角色，他懂得珍惜，也将二少爷的光华推到了高峰。直到二少爷死了，支撑我看下去的就是蒋志光这个配角了。连郭峰的表现也很令我意外，剧中黄浩然与郭峰的父子情很感人。胜雪爱的是谁，见仁见智吧，我相信两个手帕她都不愿意舍弃。今生二少爷与她有缘无分，望下辈子重逢。            
(3星)	 看黄浩然那个病态···雷到···            
(3星)	 二少神马的            
(NA)	 啧啧 要是一女能娶两男 一个就不用死了=M=            
(NA)	 二少爷TAT            
(4星)	 果然不可以一女二夫么...唉...唉唉唉...&gt; &lt;            
(4星)	 比较有情节            
(3星)	 剧情勉强，很多地方都拍的好假，快结束的时候我以为要3P，结局十分钟简直要雷死我了            
(4星)	 人物塑造得不错，有挣扎，有厚度。剧情也算不错了。中段往后说教味有点重，少了一开始郭峰的老不正经及敖嘉年一口一个女侠被杨怡追着打的欢乐。女主作为Miss时的造型不太好看，不过难得苏柏丽作其国配（杨怡自己声音挺低沉也不尖，为什么总是周莹啊声音很讨厌啊~~）。ps，俩男主哭戏真不错            
(4星)	 最後兩集亂糟糟，但是還好致遠和勝雪一起了。馬仔的古裝實在是沒話說啊啊啊~~~            
(3星)	 古装、清朝、官场、盐商、爱恨            
(3星)	 此剧中的黄浩然太招人喜欢了            
(3星)	 纯粹言情!            
(3星)	 亭辉居然死掉了，女主还一心两用~            
(4星)	 二少那么好，可惜不是马浚伟。            
(5星)	 “從一點點鹽，就看到了天下百姓的困苦。”            
(4星)	 剧情比较紧凑。            
(4星)	 喜欢马浚伟            
(3星)	 马浚伟！MARK!            
(3星)	 郭峰你不用演的那么夸张…            
(3星)	 为什么和二少爷不是官配！！            
(3星)	 剧透累人啊，还没看到结尾就知道二少死掉了，so放弃            
(NA)	 我还是喜欢二少            
(4星)	 二少很JP....最后一集不如不要了吧..24集的状态刚刚好..            
(4星)	 为什么马仔会这么帅            
(3星)	 年少很亮点 。。            
(NA)	 赞。。。最近一直在讨论二少爷死的太没价值了。。不过马浚伟还是帅啊            
(3星)	 哈哈~听到二少爷叫他爹“淡定”，就觉得好好笑~~谈定v v@@@讨厌四小姐~@@@又是一部披着大时代外皮的言情剧~            
(3星)	 搞什么鬼，看到后面越看越囧。            
(3星)	 狂煲tvb...            
(4星)	 为了看好友口中“文得 武得 深情得”的马浚伟和无比真诚 可人 又大气的杨怡            
(4星)	 刚看的时候以为是几年前的戏,故事有点老套,但还算好看,原来竟然是新片,有点老TVB的风格            
(4星)	 纠结的三角恋,温润二少啊,只是最后几集真的很鸡肋!!            
(4星)	 胜雪、致远，被命运捉弄的两个人啊。编剧真是虐，居然快完结的时候又出现了致远见死不救胜雪父母的情节，好可怜。。二少很好啊！            
(3星)	 马浚伟的声音曾呀么曾好听            
(3星)	 一女二夫？！纠结的故事            
(3星)	 后来太拖沓！            
(3星)	 勉强合格！            
(NA)	 入戏太深，抽不了身            
(4星)	 結局未免太過爛了....            
(4星)	 本片的意义在于它给了我一个胡亭轩            
(4星)	 喜欢            
(3星)	 敗在马浚伟            
(3星)	 好吧。。我是为了家姐。。。。            
(NA)	 哎，编剧。            
(3星)	 一女配二夫，没啥不好的~            
(5星)	 有几回真？            
(5星)	 二少太帅了~!!!!            
(3星)	 看了一周多才看完。一般。杨怡没把握好这个角色。很少不喜欢怡的角色。但是这个角色，正面，却不出彩。            
(NA)	 关于绾青丝做得那个视频而看了下碧海盐枭，不过出于对TVB古装的本能抗拒，只挑了几集，杨怡依旧是圣母的外貌。。黄浩然其实挺好的，但是一直不红不紫也真奇怪。不过，果然很云峥。。。            
(3星)	 20090522-20090626 @ office            
(3星)	 喜欢杨怡和马浚伟的搭配，说下黄浩然真的不像一个好人居然演大好人，哈哈。            
(5星)	 哎，怎么说，是女人演的还是不多说了~~            
(4星)	 杨怡真是漂亮            
(5星)	 三个主角我都喜欢。            
(3星)	 小环不错            
(4星)	 我是看杨怡的。。            
(3星)	 男女主角都还不错            
(4星)	 我喜欢胡亭轩这一角色            
(3星)	 没有新意            
(3星)	 正在观察中。过得去。            
(NA)	 不错！杨怡很灵            
(3星)	 没看完。            
(4星)	 二少爷整一个让女人为之心疼的角色吧,最后总是让人不喜欢这两只走在一起啊~阿怡也终于挑大梁了,欣喜!            
(3星)	 中归中矩的肥皂剧,BUG不少,但在日渐抽风的TVB中已经算比较正常的了.何况演员们都还是我喜欢的.N年前在&lt;黑白森林&gt;里看过黄浩然,现在竟然跑回去演电视剧了.他蛮帅的呀,为啥米一直就不红捏~            
(3星)	 很老套的剧，喜欢杨怡            
(4星)	 两个男人和一个女人的故事，不过作为旁观者，我更喜欢亭轩的爱的方式，只不过为了一个圆满的结局，编剧让他牺牲了。。。现实生活中如果出现两个如此优秀的男生，还真是难以抉择啊！哈哈~            
(3星)	 我还是比较喜欢黄浩然 可是他死了！！！            
(4星)	 为什么二少爷要死呢，难道就为了成全男主？            
(5星)	 此剧是09年最爱的TVB，二少爷是09年最心水的男人~            
(4星)	 回首看看 还是这戏最好。。。            
(3星)	 感觉黄浩然。。。            
(2星)	 挺喜欢黄浩然，不过还是坚持看不下去。            
(5星)	None
(3星)	 我很辛苦才看完。。。为了官配而必死的二少真可怜啊。。。死得好冤。。。            
(3星)	 充黄浩然去的。。。常规港剧套路，打发时间还可以            
(NA)	 TVB能不能别让黄浩然死啊~            
(3星)	 2012.1.10看完。TVB的剧就是有一种魔力，明知道没多大意思，但只要看了几集，你就想把它看完。            
(4星)	 Sweetness in the Salt。新萌点，黄浩然，胡二少。黄浩然和杨怡才是真正的没缘分。合作两次都没有在一起。。。。。。            
(4星)	 二少死得太冤啦 黄浩然把眉毛修一修好俊秀啊 我都不想看马浚伟的包子脸了            
(3星)	 @陶瓷杯faye 两男一女的戏码，最后又死一个。。。            
(3星)	 所有男人都很苦，所有女人都很傻的一齣戲            
(4星)	 诶 很TVB的剧啊。。。            
(NA)	 比我想象的好看，元旦两天看完了            
(4星)	 剧情就不要深究了，只欣赏演员吧~            
(5星)	 最喜欢二少爷，和盛雪最配，只可惜。而且我觉得敖嘉年这部剧演的败家子，比巾帼枭雄好。感觉从《汇通天下》开始，杨怡和马仔永远是有缘无份            
(3星)	 二少死了戏就没了。            
(3星)	 冲着黄浩然的二少而看。。。            
(4星)	 整体感觉还不错吧！            
(NA)	 其实添叔还是蛮会狗血言情的嘛，二少就像晴晴一样死那么久都死不尽，哈哈~~估计编剧写着写着自己也选不好了吧，于是只好把二少写挂了，PS：我也想学豆瓣ER说一句“好想给二少一支胰岛素啊”T^T            
(3星)	 小马哥真是帅            
(4星)	 盐啊！祸水啊！            
(NA)	 黄少柔弱且萌            
(3星)	 算是中规中矩吧,总觉得马浚伟杨怡黄浩然发力相当,没有谁特别突出            
(4星)	 剧情不想说了。为什么要这样对待我温温的黄浩然！！！            
(4星)	 从这部开始喜欢黄浩然，额滴二少爷啊~~~            
(4星)	 故事不错，演员也不错，值得一看            
(3星)	 不太喜欢马浚伟            
(3星)	 白雪再飞，毋忘我在等你            
(4星)	 情深不寿。            
(3星)	 主要想看马浚伟··但他的戏份都不多..而且聂致远这个角色一点都不出彩！ 剧情有点沉闷····  谭小环和蒋志光还是在九五至尊里感觉比较配            
(4星)	 寒假无聊的时候看的 没想到最后编辑还要来个反转            
(3星)	 一般很一般~             
(4星)	 草泥马的编剧~~~~把超warm的黄浩然搞得死去活来的~~~~~结~~~~果还是木有和杨怡在一起~~~~            
(4星)	 为了那种爱情            
(3星)	 马浚伟的剧总是让人觉得他是一个亮点            
(4星)	 喜欢杨怡的清纯扮相            
(NA)	 巾帼枭雄年轻版吗？            
(3星)	 黄浩然狗血的成全马杨二人死了，然后在狗血的在大东北见面。            
(4星)	 09年 楊怡真正意義上的第一次主劇            
(NA)	 不懂为什么 很喜欢它            
(3星)	 对四哥和杨怡都不感冒            
(5星)	 彩云散玻易碎，亭轩胜雪有情无缘。世上情缘也不过两种：有缘无情，有情无缘。            
(NA)	  马仔和杨怡配戏我最喜欢了！黄浩然的口头禅：爹，淡定喔。很可爱。最后一幕重逢真的令我很感动。            
(5星)	 今天才看到的，可能才刚看的缘故，感觉这部剧还满不错的，其实我比较喜欢看古装剧。之前还是满喜欢马浚伟的，但这部剧中，我喜欢二少爷。很久前在《新扎师妹》里就见过黄浩然，但不知道为什么，他也演了不少电影，但就是不红。在《公主驾到》里又见到他了，看来，每个人展现才华的场所还是不尽相同的            
(4星)	 黄浩然显然比马浚伟出彩            
(4星)	 这部剧收视不高可真是可惜了，其实很好看。从一心只想报复直到最后承担整个家族生意仍无畏无惧，杨怡的表现很到位。黄浩然演的二少爷十分有才又有爱，很可惜不能和杨怡在一起。不喜欢结局，不喜欢牺牲黄浩然而成全马浚伟和杨怡。            
(4星)	 4星全部二少。            
(3星)	 感觉充满了乡土、复古气息。            
(3星)	 黃浩然演的挺好。            
(5星)	 最后集的最后怎么感觉这么囧啊！！！！！！！不过羊马配真的好好好好有爱啊！！！！！！！            
(3星)	 岁月静好中，总有那么一个男子看着你目光温柔            
(NA)	 苦命的胡二少爷。            
(3星)	 病怏怏的黄浩然            
(4星)	 马仔的眼神...            
(5星)	 这才是黄浩然和敖嘉年的演技之作啊!!!            
(4星)	 二少！            
(5星)	 很棒！很精彩！看得很投入。            
(4星)	 很不错推荐            
(4星)	 黄浩然从此上位            
(4星)	 马浚伟。。。            
(4星)	 不得不承认，黄浩然在这部戏的角色讨好非常多            
(NA)	 好男人真的都死光了            
(5星)	 豪门恩怨  兵贼相斗  儿女私情  一份盐  一份情  一种说不出的感触。。            
(4星)	 大爱二少            
(3星)	 杨怡还是那么灵，黄浩然自从情陷夜中环之后难得演好人。            
(4星)	 我好中意马浚伟和黄浩然啊，纠结……            
(5星)	 因为这部剧让我对黄浩然眼前一亮的感觉啊，把角色演活了，那种深埋的爱情啊，让人揪心啊。            
(4星)	 二少精彩!            
(3星)	 喜欢俊伟，喜欢杨怡，喜欢浩然            
(5星)	 不错 最爱港剧 港剧就是比大陆剧好看啊！            
(4星)	 其实拔掉刺就可以很好的生活，其实只关乎时间，但是有时候却会陷入一片混沌之中            
(3星)	 杨怡的装扮难看了点。可惜二少爷撕掉了~~~            
(4星)	 马浚伟，我喜欢的。黄浩然，想起来了，是《孤男寡女》里那个帅哥。            
(3星)	 我。。。不会再看。。。马浚伟。。。演的了。。。            
(3星)	 二少爷有点悲~            
(3星)	 世间安得双全法，不负如来不负卿。            
(4星)	 马浚伟的丰神俊朗，忠义及用情至深，符合我所有对古时翩翩佳公子的想象。            
(3星)	 硬是马浚伟是TVB干儿子，为了要把杨怡配给他，必须要把男二搞死才得行。= =！            
(4星)	  二少爷演的太好了            
(4星)	 这部剧还是不错的。。特别是黄浩然。。哈哈。。演的不错。。            
(4星)	 挺好看的            
(3星)	 不过不失            
(4星)	 其实并不喜欢杨怡 但看着看着 她在里面的演得很精彩 也不自觉喜欢了。佩服她大义地担起《胜雪盐栈》，坚毅的性格，不被困难打倒的坚持。女子的坚强，有时更胜男儿。 亭轩似再世诸葛，总能运筹帷幄，叹自小身体虚弱，不能一展抱负。 致远错了一次，差点遗憾一生。看清了官官相护，人生观颠覆。            
(3星)	 还好            
(4星)	 比起某段时间的TVB剧，这真的还不错。但编剧始终走得不远。            
(3星)	 一般般把，不知道是不是TVB看多了，有点儿腻了            
(4星)	 黄浩然的角色很出彩呢 难得看到他演这样的角色 其中的过场音乐一直是我的手机短信音 呵呵 蛮喜欢的            
(NA)	 我无聊 拖了几个月了 实在看不下去了 不看了            
(2星)	 所以说不能一边绣十字绣一边看电视~~这不~~这片子讲的啥~忘干净了。不过主题曲很好听哦。            
(3星)	 太平淡，食之无味            
(3星)	 好像还不错，就是没有耐心看结局。            
(2星)	 非常之难以忍受的剧情，不过二少大赞。            
(4星)	 喜欢二少！            
(5星)	 这什么编剧啊！！！为什么害死了我的二少！！！55555            
(4星)	 追看时觉得好好看 后来冷静回忆下 就那么回事            
(3星)	 主要是喜欢几位演员！            
(3星)	 看过            
(4星)	 亭轩啊~            
(4星)	 最爱小马哥~~            
(3星)	 快进着看完的。头一回。            
(5星)	 看完这部戏时好喜欢黄浩然，但他的角色好虐心。情节很紧凑，就是结局被雷了一下            
(4星)	 很不错，看了巾帼英雄才来看这个的聂致远太帅了，胜雪应该是最爱他的            
(4星)	 还不错，冲着杨怡去看的。。。            
(3星)	 马浚伟不行啊，演技始终一面的，人家黎耀祥都视帝了，他老人家还在原地踏步            
(4星)	 虐啊～～三角恋，到最后的结局也说不清，道不明，只能充分想象了。二少的刻画，很不错！            
(5星)	 从此以后爱上二少~~~~            
(5星)	 好看好看好看            
(3星)	 又喜欢男二了，其实黄浩然还是蛮帅的，就是这个扮相有点……            
(4星)	 黄浩然应该再红一点，演得真好，感动过我            
(3星)	 其实无聊时候看看还可以吧。。            
(4星)	 画面很漂亮            
(3星)	 终于可以从硬盘里面删掉了= =            
(5星)	 杨怡...            
(3星)	 比较中规中矩            
(3星)	 二少……云峥……            
(3星)	 貌似添哥监制过不少片子我都看过啊            
(4星)	 黄浩然的表演还是可圈可点的嘛            
(NA)	 我啊撑不下去了...            
(3星)	 此剧很一般（看在二少上我还是不说烂了吧），二少很萌            
(3星)	 喜欢杨怡，总觉得古代大家庭的故事都差不多~            
(5星)	 都是我喜歡的人~~~~            
(4星)	 坦白说 后面两个男主角在那边推来让去的真的很烦，很想踹这两个男人的屁股！！有够婆妈的～～            
(NA)	 最近港剧看得有点多～            
(3星)	 三少好啊，不过电视剧实在太拖沓！不好看            
(2星)	 一般般            
(4星)	 诗词不错，二少真是翩翩公子啊~ 原来黄浩然还演过哥哥            
(NA)	 其实还蛮不错的            
(3星)	 杨怡的表现挺出彩的~            
(3星)	 打发时间不错~            
(NA)	 一样只是坚持了几集            
(4星)	 永悼二少            
(4星)	 特别喜欢古装的杨怡……            
(NA)	 二选一真的很难，于是编剧帮忙弄死了一个            
(3星)	 平平的古裝劇 看楊怡~            
(3星)	 二少真不错~还有，配角比主角好~            
(5星)	 除了结局以外，这部剧绝对值得一看，二少和致远让人很难抉择~            
(3星)	 不知道是不是先看了剧情介绍。。。觉得不好看，虽然男女主角我喜欢的            
(4星)	 胡二少是好，但是始终及不上我心里的聂致远。。。            
(5星)	 是因為喜歡亭軒才喜歡看的，亭軒死了，就沒有意義了，超喜歡亭軒！！！討厭聶致遠！            
(NA)	 哎呀呀 ...好看~            
(3星)	 二少明显打动了我，温文尔雅，博览群书。我简直要摇摆不定了。如果他没有挂，我可能真的会希望杨怡和他而不是和马浚伟。第一遍看得很动人，第二遍只觉得乏味，找个没有人的地方能够3p去吧杨怡。            
(4星)	 喜欢黄浩然饰演的足智多谋且温文儒雅的二少爷，剧情相对来说还算紧凑。            
(4星)	 不错，两个男主都喜欢，纠结，就是结局，哎。            
(4星)	 手机铃声是主题曲~每次听不到羊咩的声音就接起了~她第一次一女两男的剧集，结局很。。和二少在一起吧，55！其实是一部很不错的剧集，除了杨怡，黄浩然，马浚伟、细细看，张美妮演得妓女映月，梁丽莹演得丫鬟小阮，敖佳年演得三少，谭小环和蒋志光一对，胡总商，陈山葱都很不错各个有血有肉            
(4星)	 剧情不错            
(4星)	 马浚伟...            
(NA)	 男猪脚们还是可以的            
(3星)	 小黄菊+萤火虫            
(4星)	 聂政远开篇的几集简直是加林的续集            
(4星)	 感动在于,一段三角恋...            
(4星)	 二少，又秒了            
(NA)	 喜欢黄浩然！！！            
(4星)	 温润二少～            
(4星)	 鼻梁的较量 你永远是赢家            
(4星)	 看了這部後, 我對salt的知識大增. 因此我也從此開始用sea salt. 其實一女伺二夫沒甚麼不好, 勝雪當時的思想很前衛阿. 其實與其要二選一, 我會選擇放手, 誰都不選.            
(3星)	 3颗星是给演员的，剧情一般            
(NA)	 水准之内的作品            
(3星)	 杨怡一个人扛起半部戏。越来越有范儿了..... 女主角太过完美了            
(4星)	 因为很久没有看TVB剧,加上看到一半就大高潮,还心想说这部剧真是好...谁知戏到一半就高潮的代价就是最后5集不知所云的大无聊...=.=             
(4星)	 还行吧。其实是喜欢马浚伟，喜欢当初演曹植时候的那个温文尔雅的翩翩佳公子            
(1星)	 1            
(4星)	 顶胡婷轩啊！            
(3星)	 我是个蒸不烂煮不熟捶不破炒不爆响当当的一粒铜豌豆            
(3星)	 无聊了点。            
(4星)	 “女人喜欢让她笑的男子，但她真正爱的，却是让她哭的男人。”            
(4星)	 喜欢二少啊            
