http://movie.douban.com/subject/2157191/	笑看风云
(5星)	 谁还记得那个林贞烈            
(4星)	 很早以前的了 看的时候哭的西了哗啦  就是因为死了个美女            
(5星)	 好男人啊！这部剧的郑伊健是我的梦中情人，太好了！！            
(4星)	 基本上是我的港剧启蒙            
(4星)	 主题曲好好听            
(4星)	 只为林贞烈而看此剧，这也是陈松龄电视剧生涯的巅峰之作。            
(5星)	 绝对经典..            
(4星)	 啊~我能記起來的國語TVB啊~            
(NA)	 回忆            
(5星)	 考试前两天一直看的 好爱陈松伶            
(3星)	 小时候。            
(5星)	 我看得特别感动            
(4星)	 。。今天看见很多老剧            
(4星)	 当时还有古巨基和张延扮演一对情侣呢，这是我记最深的，那时候古巨基常常在一些片子里面扮演着打酱油或者打酱油的角色，包括一些周星驰的片子。            
(5星)	 十几年前看过，如今重温，还是在最后贞烈离开那时泪流满面。我不想说编剧的意思就是结局有成全了文龙跟黄蕾以后的意味，我不喜欢这样的感情，退而求其次或者感动于黄蕾的痴情而接受的假想。宁愿文龙在以后的日子里，从遇让他爱上的女人，但他绝对不会忘记贞烈，这个是他生命的挚爱            
(4星)	 喜欢郭蔼明~            
(5星)	 当时觉得郑伊健无限帅，比陈浩南还帅            
(3星)	 我喜欢那只牧羊犬            
(5星)	 爱t，爱这结局            
(NA)	 经典家族戏            
(4星)	 超级喜欢黄天。            
(5星)	 林贞烈啊！！！            
(5星)	 爱死陈松龄了！！！！！！！！！！！！！            
(5星)	 陈松伶            
(3星)	 好老的片子            
(4星)	 我可真真喜欢那时候的郑伊健。            
(3星)	 久远回忆            
(5星)	 童年回忆            
(4星)	 小D是包文虎包文龙～～            
(4星)	 陈松伶真难看，郭蔼明好看。            
(5星)	 经典TVB剧之一。因为不喜欢陈松伶，所以，支持郭蔼明的黄蕾。郭晋安奸角出位。            
(3星)	 这应该是当年我唯一一点都未看过的台庆或大制作，这应该是TVB大部头里面承前启后之作，歌曲已成经典，剧情却离经典有相当距离~商战的稚幼、起伏的刻意和矫情，只有感情线或许朴素真挚~~是这些么，还是我的童心早已逝去？戚其义时代都看似已经过去了~            
(5星)	 童年记忆。。。内牛满面            
(3星)	 开始添加TVB...            
(4星)	 一路上，到底在追求什么。            
(5星)	 小时候            
(5星)	 秋官那时候真的是我的偶像，他的主题曲《笑看风云》我到现在还在听！            
(5星)	 当年看的TVB，有很多大牌在里面的说。            
(5星)	 果然还是以前的TVB令人觉得好戏。            
(3星)	 伊面的柔情面~~            
(NA)	 谁没有一些刻骨铭心事，谁能预知对错。- 一听到就激动了            
(3星)	 其实还是小时候看的，不过记得张卫健出来的时候，惊为天人啊！            
(4星)	 只记得主题曲和某开门关门的几幕。。            
(NA)	 童年。            
(NA)	 童年回忆            
(4星)	 我竟然还会唱主题曲，囧！            
(3星)	 善良的贞烈，坚强的女孩，养着一条名叫贞贞的可爱牧羊犬，个性内敛而真诚。《笑看风云》中商场上的风云让人扼腕，但更让人叹息的是这一段爱情，永远记得那一幕，浑身绑着绷带的贞烈，终于戴上了美丽的婚戒，在文龙的怀里幸福地死去。             
(4星)	 这是我会唱的第一首粤语歌。初二受其影响，一直想学金融……            
(3星)	 小时候喜欢看的。。。            
(5星)	 这个戏当时叫个红啊 看得咬牙切齿            
(5星)	 美好的主题曲            
(5星)	 喜欢上了郑伊健            
(NA)	 1994            
(NA)	 就不是特喜欢            
(5星)	 郑伊健很帅～            
(4星)	 扒阿甘的音乐太狠了，还有till we  meet again            
(3星)	 喜欢贞烈和她的狗            
(4星)	 那时候郑伊健还是TVB一哥~~主题曲真好听啊！            
(3星)	 林贞烈，陈松龄演得真好            
(NA)	 所谓童年...=w=            
(5星)	 远去的，不能客观。            
(3星)	 松伶姐姐年青时~~            
(4星)	 郑和陈绝对是超级银幕情侣档，值得一提的是此片让偶第一次认识郭晋安，他演的是反派，跟之后的片大不同啊            
(4星)	 当年是有多喜欢这部剧啊……可是我很讨厌郭蔼明            
(5星)	 TVB启蒙剧啊！            
(4星)	 这部 《第三类法庭》《情事侦缉档案2》 《大时代》《天降奇缘》 郭蔼明怎么老演求而不得的角色             
(NA)	 小时候喜欢陈松伶。。鸡婆包文龙            
(5星)	 “无论你在不在我身边，在不在这个世上，都没有什么分别。”他失意时她陪着他在大雨中走了一夜。她21岁生日时他陪了他一整天，他让她吹蜡烛，她说怕把那只代表21岁的蜡烛也吹熄了，因为在她21岁时她遇见了他。性格孤僻的她总是低头，在陪他参加朋友聚会总是沉默微笑，他仍然觉得幸福。            
(NA)	 开启经典            
(5星)	 陈松伶死的时候太难过了            
(4星)	 对这种长篇港剧有点怕、。            
(5星)	 小学看的，火过一段时间，如今剧情全忘。            
(4星)	 片子很不错，有很多出彩的地方，还有，林贞烈和那个配音啊…            
(5星)	 我印象中港剧的代名词，直到金枝欲孽的出现才改变。            
(5星)	 贞烈            
(3星)	 除了主题曲……            
(5星)	 好喜欢包文龙与林贞烈            
(5星)	 中国的魔戒            
(4星)	 我肯定看过，但好象没看全。            
(3星)	 又是豪门恩怨的超长港剧啊...            
(4星)	 好看            
