http://movie.douban.com/subject/2331675/	童犬艾瑞克 Woof!
(4星)	 擦 原来我这么小就看过英剧啦            
(5星)	 小时候看完后 养过4只名叫艾里克的狮子狗- -            
(4星)	 不错。            
(4星)	 小时候追了好多集，记得只喜欢前半部。后半部好像是因为换了主角，当时心理无法接受，想起来我可能错过了另一片精彩            
(NA)	 美好的回忆，那个女孩帅气的自行车            
(4星)	 英文名字的出处啊:)            
(4星)	 就记得那小男孩满脸的雀斑了~时常会痒痒，然后一挠就会变成狗狗，然后就发生一些出人意料的事情。。。呵呵……与意思！            
(5星)	 是那个会变成小狗的男孩儿            
(NA)	 哈哈哈哈哈有人看过吗。            
(5星)	 太神奇了，所以小时候也想变成一只狗。            
(5星)	 原来我那么小就看过英剧了            
(4星)	 鼻子痒了就变成小狗            
(5星)	 终于找到了            
(4星)	 每天早上8点暑期档 鼻子一起痒            
(NA)	 童年的回忆。            
(5星)	 原来小时候看了这么多经典啊！            
(4星)	 浙江卫视午间拌饭            
(5星)	 小时候看过            
(5星)	 最爱...Rachel            
(4星)	 童年回忆，最喜欢第一个主角，第二个长的又矮又胖，变的狗也不可爱……            
(5星)	 小时候每天中午守着看            
(5星)	 小学看的:)            
(5星)	 小时候看的另一部经典外国电视剧。            
(NA)	 好喜欢没有变狗狗的艾瑞克，脸上有小雀斑。            
(5星)	 童年时候的大爱。            
(4星)	 美好的童年回忆(*^__^*)             
(5星)	 这个电视剧让我童年就觉得人和狗是相通的。            
(4星)	 小时候6点多天津台演的，小男孩真丑。。。            
(5星)	 豆瓣是用来怀旧的            
(5星)	 这狗太特么聪明了吧～～～～～～            
(5星)	 哇，这可是童年最深刻的回忆啦！            
(NA)	 找到了！！！！！！！！            
(5星)	 小时候最喜欢看这个了。内容不太记得了。只记得小孩子一痒痒就变成狗            
(5星)	 童年的回忆啊~~            
(5星)	 我还真是童真呢==小时候特怕他变狗的镜头==            
(5星)	 又是一部陪伴我度过漫长的初中暑假的电视剧~~~爱死了~~~想当年我每天都拿着我的小收音机把这电视剧录下来~~~~哈哈~~~其实我是喜欢里面那个小女孩~~觉得好迷人·~~于是我深深的爱上了英国~~~=.=            
(5星)	 绝对的经典 每天等着看的童年            
(5星)	 内牛满面……            
(4星)	 最喜欢的关于动物的电视剧，从此喜欢上了西藏犬！            
(2星)	 小时候看过，太烦了，闷死            
(4星)	 鼻子一痒，他就要变身！            
(5星)	   这部片子找了好久，就是不知道名字             
(5星)	 儿时的证明            
(NA)	 我十多岁最喜欢的外国连续剧~~            
(5星)	 真的很怀念嘿~            
(4星)	 小时候看过~~            
(4星)	 童年的回忆啊            
(4星)	 小时候的回忆啊            
(5星)	 小时候的记忆            
(5星)	 小学时看的了，很怀念，童年的回忆，当时超喜欢呢            
(NA)	 小时候的回忆啊，现在哪里还有的看啊？！            
(5星)	 啧啧～放学后的黄金档记忆            
(4星)	 小时候守着看            
(5星)	 童年的记忆, 记得小时候在暑假里每天中午守着看, 可谓是大部分80后童年最喜欢的儿童剧了,有机会的话真的想完整的看上一遍,可惜网上现在也没什么资源.            
(NA)	 小时候的记忆            
(4星)	 小时候很喜欢看            
(4星)	 是的 小时候真的看过这个            
(5星)	 竟然真能找到这个电视剧，一个小男孩有变成狗的超能力，啊，永远的童年啊            
(5星)	 就是在问了很多人都说没看过没印象之后，发现聪聪就看过，翻其“看过”62页，没勇气翻下去了，打“童犬”儿子顺利找到。            
(NA)	 终于找到了，童年回忆啊，好像每个假期都演。当时很喜欢那个每次帮埃里克收衣服的男生            
(4星)	 小时候看过啊～～～被天涯某帖子翻记忆来了...想再看啊            
(5星)	 小时候每天守着看啊~            
(5星)	 ！！！！！！            
(5星)	 童年回忆            
(5星)	 哪里有卖啦，好想看哦，童年时代超级喜欢的片子……            
(4星)	 让我想起了童年            
(5星)	 原来这才是我看的第一部英剧            
(4星)	 曾经每天中午必看的片子。。。            
(4星)	 原来你在这儿呢             
(4星)	 突然想起小时看过这部电视剧，曾经我也想变成小狗啊~~~            
(5星)	 这算第一部英剧么~            
(5星)	 还是有人记得这剧的！            
(5星)	 小时候很喜欢看            
(5星)	 暑假良伴            
(4星)	 很有想象力的说            
(5星)	 美好的回忆，小时候天天守着点看。            
(4星)	 也是七、八岁，八九岁的时候看的            
(5星)	 T-T            
(5星)	 童年的回忆            
(NA)	 好可爱的            
(5星)	 中学时每天中午必备~               
(4星)	 这么老的片子都能找到~            
(5星)	 看的不多，但印象很深~~~我的童年啊~~~            
(5星)	 终于找着了，远古时期的记忆，俺看的第一部英剧啊！            
(4星)	 有那么一点点记忆，小孩子总是变成小狗之后就没衣服穿了……            
(5星)	 差点高血压都犯了~~~记得这个有好几季呢~~演员和狗都换过~            
(5星)	 怀念~~~            
(NA)	 小时候可爱看了~            
(5星)	 突然想念。是老了吗？开始搜集小时候最爱的电视，还记得每天下课后的中午，趴在电视前等剧的心情，一次都没落过            
(5星)	 想买一套来陪着我等待长大的漫长旅程。            
(5星)	 永远记得艾瑞克为狗粮拍广告的狗鼻子事件，好怀念啊            
(3星)	 好像男孩成狗之前会想要打喷嚏~~ 小时候的事了            
(4星)	 小时候可爱看了 呵呵 雀斑小男孩和我妈口中的小shun狗            
(5星)	 可爱的雀斑男孩。。。挠着痒痒变成了小狗。。。。。。。。。某些时候，我也怀疑，我是不是恋童癖哦。。。            
(NA)	 童年回忆系列            
(4星)	 音乐 雀斑男孩            
(5星)	 现在哪里可以下到完整版的啊？            
(5星)	 跑着跑着变成了狗            
(4星)	 很有创意            
(5星)	 这个也是我的超爱~哦哟~小时候看到这个片子也不高兴去玩了~            
