http://movie.douban.com/subject/2136993/	雪域迷城
(NA)	 烂            
(NA)	 冲着“圣杯”和片名看了一段时间，最后觉得我看这货还不如再看一遍西游记orz            
(1星)	 从凸槽意义上讲是五星！            
(2星)	 烂片一部，我居然看完了……囧。可见当时无聊到什么境界            
(3星)	 - -            
(1星)	 大一时学校阶梯教室看的。            
(3星)	 挺棒的题材拍成这样子。            
(5星)	 这个，是我看过的中国电视剧里，最接近于西式奇幻史诗的东西……想必编剧深谙此道。            
(2星)	 这个女主角这是让人无语            
(1星)	 天雷滚滚，怎么有人投资怎么有人愿意出演怎么有人会想看？@温州调研路上的大巴上被强制看了好多集啊，太悲剧了！！！            
(2星)	 这剧好烂，这剧靠赵文卓挽回了一点颜面，赵文卓不在更烂……            
(3星)	 一般一般，过得去吧。            
(1星)	 太烂了 很不明白怎么这样的一部烂戏还有那些知名演员去接 里面最烂的还属那个女的 好假好做作 还长了一口的耗子牙 真是倒胃口            
(3星)	 里面的衣服和女主角好美，几年前看的            
(2星)	 不雷死人不算完！！            
(4星)	 感觉看中国的魔幻片就是和看美国的魔幻片不一样，虽然演的不是很好，但是很有中国风味，内涵也不错！            
(3星)	 还是耐心地看完过……            
(3星)	 这样的故事我现在的水平都写得出来，只是不会去写。            
(2星)	 没看多大明白的说。            
(NA)	 我居然陪我家老太看过。。。            
(NA)	 都是            
(2星)	 混乱            
(1星)	 才发现近期国产网游电视剧基本都看了。。这是种什么样的精神啊            
(3星)	 造型师网游玩多了            
(2星)	 宁静好雷人！            
(2星)	 女主可真是不好看啊。            
(1星)	 看到吐            
(1星)	 比《无极》还差。            
