http://movie.douban.com/subject/5908504/	我的如意狼君
(5星)	 年度给力剧！一个奶糖引发的灭门惨案。真心希望酱油不是奶糖，另外勾搭尔乔尔雅不算本事，你去勾引尔泰阿            
(4星)	 前面还挺好看的，结局实在太2B了！！！            
(4星)	 黃浩然在這部劇里找到自己的風格了..曹永廉連懦弱無能的模樣也這麼生動。比什麽萬凰之王強多了。            
(3星)	 tvb起名字太狗血了~因为这破名得损失多少观众~            
(5星)	 在经过万凰之王之后，这部真的算不错了，黄浩然也还满帅的            
(5星)	 故事看到现在还很靠谱~喜欢主题曲！~气势中带婉约~            
(NA)	 大饼脸的女主角，还有不争气的男演员，俗套的剧情，平淡的演技，我也不知道我为什么要看，可能因为我太空虚了。            
(5星)	 很好看。一颗星给黄浩然，在他还在拍电影的时候就很喜欢他。一颗星给niki，tvb少有的小清新，每次她的电视剧都有很舒服美好的感觉。一颗星给添叔，希望他别离巢。剧情不算新颖，胜在演员搭配好，画面好看            
(3星)	 诶我操还下一世见....            
(5星)	 看了几集觉得越来越好看。。。我待见周丽淇            
(5星)	 灰常好 纯粹是剧情很吸引人            
(4星)	 比预想的要好看，两人之间若有似无的感觉很吸引人。            
(4星)	 =。=干嘛最近都是不好的结局            
(4星)	 有这么一段爱情真的这辈子够了T-T            
(4星)	 首先男女主角都是我喜欢的 黄浩然自从真相之后就激萌：）） 周丽淇拍爱情剧一向很适合 头3集看到现在比万凰之王喜欢多了            
(4星)	 Niki，好久不见~            
(5星)	 看到第二集发现挺好看的，报仇什么的最讨人欢心了！我现在就在等待报仇的那一刻。二少爷说当年你不是要杀我吗，然后皇后一副惊恐求饶状！周丽淇好像挺＂旺夫＂的，二少爷这下应该会红了吧！！            
(5星)	 年度好剧，添哥的剧果然不同凡响            
(5星)	 演的几好            
(3星)	 ki这里算不算一个三好女啊。。。好吧，有点俗气的剧情。其实，到中间的时候，应该就能预测到这个结局了。            
(4星)	 看了一点，听了背景音乐，居然找到义海豪情杨杨和刘晴的感觉。。。为什么不让法拉来演女主啊            
(4星)	 岁月神偷的罗进二小盆友。            
(NA)	 ……艹BE！            
(3星)	 演员挺清爽的，不拧巴             
(4星)	 这片子怎么能叫这个名字呢=。=看了四集还蛮好看的，比天与地强多了=。=            
(3星)	 哈哈哈看了两集之后去看《法3》了 又到1/3的时候去看《天与地》了之后又看了几集之后去看《北爱》了 这是一部被我抛弃多次的惨剧啊 看到简评里人家写了一句：勾搭尔乔尔雅不算本事 你去勾引尔泰阿 忍不住噗了。哈哈哈~            
(3星)	 用TVB打发时间            
(4星)	 周丽淇太难看。            
(4星)	 应了那句话..what goes around comes around..            
(4星)	 果然是离离合合错过仍还要等。。。世上哪来那么多下一世，给大家这一世的幸福有多难？结局太坑爹，恨到恨不得把分都扣光！            
(2星)	 看了两三集，看不下去了            
(3星)	 这个世界是没有奇迹的，只有狗血。            
(3星)	 看名字还以为是一部很傻的剧，根本不是一个层次的！            
(3星)	 要不是这垃圾结局我会打4星。。。。。。结局实在受不了。。。谁被插了一刀还能从白天爬到第二天凌晨啊。。。太假了。。。话说陈秀珠女士演起坏人真当有模有样~！            
(4星)	 什么破结局啊             
(3星)	 (﹁&#34;﹁) 无话可说            
(3星)	 整部剧败在结局了。本事哥只顾自己“上船”，还把牛奶糖“留”在了即将会被屠杀的南京…囧            
(5星)	 李浩 点解你要死啊!!!            
(4星)	 其实三星半吧。复仇的过程太顺利了，董国馨这么有心计的女人，家里接二连三的出事竟然会没有察觉是有人在捣乱？最爱看的一段是牛奶糖误会李浩是坏人，李浩要求她每天送酱油餐，两人互相虐。啊，我果然喜欢看虐剧。。。结尾很狗血，有什么道理跑了那么远的路都不死，还不去医院啊！！！            
(2星)	 结局太傻x。有去河边找船的时间都去医院了。            
(NA)	 周丽淇怎么看怎么丑~            
(3星)	 真擔心羅一會愛上佟本善……結果沒有……            
(4星)	 TVB唯一的小清新周丽淇。            
(5星)	 &lt;20 完结&gt;虽然酱油妹就是牛奶糖的剧情设定是第一集就知道的 但是整部看下来一点儿都不烂俗。结尾悲了。小黄同学眼睛里都是温柔啊（心）。果然添哥的民国戏的质量是毋庸置疑的 可惜被放在了年底的烂档里。果断五星给了年底的这个惊喜。            
(4星)	 一口氣看完的，總體不錯了。            
(4星)	 当初因为这恶俗的片名没有追，现在看看还是不错的。niki很适合这类角色。黄浩然走这个戏路才对。剧情和坏男人太像，以至于编剧为了求片尾相似，竟然让男主嘴里说着牛奶糖在等我，还一路往船那儿走，太狗血了。如果要狗血，还不如让尔乔做牛奶，让佟本善勾引尔泰呢。            
(3星)	 我已经不想吐槽结局了 酱油鸡好好吃啊！！！！！！！！！！！            
(NA)	 爱港剧,爱粤语            
(4星)	 各方面设构都挺好的。结尾我没想到是这样的。            
(5星)	 演员剧情都很赞，但是结局为啥总是要死个人才算数啊！            
(4星)	 坑爹的结局            
(3星)	 结局太让我无语了。大白天就只有一个路人太想让人摔电视了！            
(NA)	 复仇戏不错，但感情戏蹩脚            
(4星)	 好看，尤其高尔乔的戏份。最后佟本善有病啊？按tvb一贯路数明明就救得返，自己奔跑个毛线呀，跑得失血过多活生生弄死自己，有那个力气跑去河边，早就到医院输血了好吗！            
(4星)	 差點因為這土名字錯過一部至少我能追完的劇。天與地和郎君之前多少TVB劇已經看不到一集就棄。。。            
(4星)	 最后就不要拍的那么死嘛，送还戒指的人不说出来大家都还有个臆想不是！三色台哪年能提一提李天翔呢！！            
(3星)	 好好的复仇励志剧变成了苦情大戏，叫我情何以堪。            
(4星)	 我想说，不演悲剧会屎吗！我要看俗气的大团圆，我不要看狗血的阴阳相隔！            
(4星)	None
(4星)	 本来给三星，但是天与地的小清新把我伤了，而这部剧有很有义海的味道，所以多给一颗星，主题曲加分，我很喜欢一点就是，佟本善再怎么勾搭，只有在徐芯面前变过魔术，告诉她有佟本善的奇迹            
(4星)	 下一世见。            
(4星)	 悲情结局            
(4星)	 黄浩然真是好帅....特别是穿着大衣的时候~~~~~~~~~好民国！好大少！            
(4星)	 好好是的一部戏又毁在大结局上。TVB你能用认真一点不那么狗血的态度对待每部戏的大结局吗！            
(3星)	 为了拍续集，编剧真是既能胡编又能乱造啊~~ 什么破结局~~~            
(3星)	 尼玛什么烂结局！！！！！！！            
(3星)	 结局太恶俗            
(4星)	 好吧又是悲剧，和坏男人结局一样。大结局拖沓的看不下去咯            
(4星)	 最后一集扣一星！            
(3星)	 好久不见周丽淇            
(3星)	None
(NA)	 呢出戏几有教育意义啊！            
(5星)	 虽然剧情很老套，不过看着很有味道，没有一点狗血的感觉~意料之外地好看~            
(4星)	 本来给三星，但是天与地的小清新把我伤了，而这部剧有很有义海的味道，所以多给一颗星，主题曲加分，我很喜欢一点就是，佟本善再怎么勾搭，只有在徐芯面前变过魔术，告诉她有佟本善的奇迹            
(5星)	 越看越美的一部戏，越听越虐的一首歌，清新的男女主角，又虐又温馨的爱情故事            
(4星)	 2011年的压轴之剧，也是2011年我看的最好看的TVB剧，没有之一。结局没有大团圆，佟本善报了仇，欠别人的也要还。黄浩然的表现非常出色！            
(4星)	None
(5星)	 对于近几年的TVB，这剧真得得给五颗星，编剧太有上进心了            
(4星)	 很好看啊 编剧导演才重要吧 搞得我越来越喜欢黄浩然了~            
(4星)	 前六集打动了我！尼玛tvb是有多久不曾出国这样还算不错的片子了啊。结果果然很tvb！结局又一次烂尾了！坑爹            
(4星)	 结局太坑了。。我去            
(3星)	 本来还不错，结局拖了两集，还那么傻，，减分！            
(4星)	 坑爹的编剧 狗血的结局 happy ending不好么            
(3星)	 结尾虐心+狗血，多余的第二十一集。            
(4星)	 结局能不这么悲剧么 真是的            
(4星)	 我不喜欢悲伤的结局，呜呜呜呜呜呜呜呜呜呜呜呜呜呜，我好爱黄浩然啊啊啊啊啊啊啊啊啊啊啊            
(4星)	 大結局都是虐人的！！！            
(5星)	 最爱niki啦！！            
(3星)	 看完咯，没有为牛奶糖和佟本善流一滴眼泪，却在高尔乔最后自杀的时候哭惨了。哎，我总是很享受这种虐情。            
(3星)	 佟本善和罗一真是亮瞎了...            
(4星)	 就是结局太假！！！            
(4星)	 可惜是个悲剧 话说高家两位小姐还是不错的 尤其是大小姐            
(3星)	 干嘛被刺一刀之后不去医院要到处乱跑？？？实在是太奇怪了            
(NA)	 女人都灰常好骗。            
(3星)	 本来就是看个消遣，但是最后一集还是太坑爹了。。。            
(4星)	 嘿嘿 很早就发现黄浩然还是蛮有潜质的嘛            
(4星)	 tvb的风格，为啥最后都要杯具捏。。。            
(NA)	 周丽淇像村姑            
(4星)	 阴谋与爱情。            
(3星)	 哎，我居然看了一部没一点悬念的苦情戏……真是贱堕啊。            
(3星)	 佟本善最后不是被尔乔捅死的，而是活活被编剧逼死的。            
(4星)	 结尾真是不和逻辑的狗血。。。            
(2星)	 脑残的编剧，坑爹的结局            
(4星)	 李浩你为啥要死呢            
(4星)	 剧情蛮好 插曲好听的 以及黄浩然的双眼皮儿到最后也看顺眼了只有女主是最讨厌的！o(￣ヘ￣o#)            
(5星)	 我不想看21了就当我只看了20集吧TVT李添胜的剧情感戏每次都看到内伤，主题都是老的但是送酱油餐变戒指这种桥段太好了好吗眼睛流汗了！剧情高潮迭起真的好好睇2012看的好剧之一确定TVT我要把黄浩然加入我喜欢的香港男演员名单里（心）p.s姚子羚的妆好浓都看不出本来面目了            
(3星)	 温情版的基督山伯爵啊，这么温暖的叙事手法让我理所当然地相信是个happy ending，结果竟然不是？！等到大结局后字幕都走完了，我才不得不接受男主死了= =            
(4星)	 簡簡單單的民初劇，最後的結局也惹得我唏噓。李添勝最近幾年監製的民初劇都讓我很感慨。可惜添哥就快退休。周麗淇是真正沒有削骨的女藝人，贊一個。這次見到黃浩然，終於不再心砰砰跳啦。            
(4星)	 好虐。狗血。            
(3星)	 演员的感觉都还不错, 只是情节和故事上比巾帼和义海差太多了, 有点小题大作的样子.编剧还是没有把两世的刻骨铭心编排好呀....            
(3星)	 TVB里的纯爱电视            
(5星)	 没有21集就是一部完美的剧            
(4星)	 没看到什么宣传，刚开播我就没准备看，今天偶尔一看还挺有意思的。            
(4星)	 无快进看完。结局黄浩然为什么去摆酷躺在船上，不让人送医院？周丽淇养眼！            
(4星)	 这剧挺虐心的= = 剧情还是八点档很扯的那种，演技真心算是TVB近年不错的一部。黄浩然当年是以像张国荣出道的，这么多年了，走到影子外面，真好。            
(4星)	 周丽淇看着好舒服~~这样的剧情虽然俗套却百看不厌            
(3星)	 本来可以四星的 大结局太挫减星！ 太挫！！！！            
(4星)	 喜欢这部剧，黄浩然真适合演腹黑男。            
