http://movie.douban.com/subject/3732807/	双头犬 オルトロスの犬
(NA)	 情节挺诱人···尤其有美得过分的泷泽寿明····            
(3星)	 女主角真是蠢得可以， 不停暗示熊切，只要杀了那个女孩就能掩盖罪证，其实熊切根本就不知道那个女孩子知道了什么。扶额，无语了。            
(5星)	 每一集总有龙泽唆使亮亮杀人的戏份，每一次亮亮在杀与不杀之间的挣扎是最让我激动的。            
(4星)	 目前看来不错~如果没有女猪就更完美了~            
(2星)	 是催眠之佳品~            
(NA)	 龙泽竟然也变大叔了，乍一看还是那个样子，越看越觉得老啊，埃，时光不再啊。            
(3星)	 2集弃。人很帅，剧很傻。            
(5星)	 泷泽长大了呢 那身材，zezezeze...不得不用这么老套的赞美词汇来形容啊上次的反派是在太阳的季节里面吧，这次应该很有看点的说恩，喜欢看到又帅又坏的人，关键还是要帅啊            
(2星)	 期望值很高 但在看过一集之后就土崩瓦解            
(3星)	    看到第三四集的时候开始有点看头了    六爷走路带风 一脸小受的样子我好爱啊  哈哈哈哈   小亮亮的绿色夏普933sh我好哈~！            
(4星)	 还不错情节/演员女主角难看了点正义与邪恶的男人都蛮帅更喜欢正义男            
(1星)	 大家一起来脑残。            
(5星)	 带着怀念和不舍，今天看完了。我只能说，小亮的眼睛，龙泽的泪痣，水川的头发，忍成修吾的少年，这个剧真美好。。。拜拜，09年夏天！            
(4星)	 设定不错，第一集推动不错，期待！            
(NA)	 我要弃了。。。            
(3星)	 说实话，我觉得很假~这么多帅哥美女，浪费了~            
(2星)	 和天生妙手一样，看了一集就不想看            
(3星)	 6爷清纯欲滴的眼神震惊了我                                                                    还是没有坚持下来。。。            
(NA)	 坏的是能力，不是人            
(5星)	 那只可爱的法医居然是原田夏希 ^^~~~             
(3星)	 J家暧昧的男生们。。。            
(3星)	 有你们俩我也追不下去 ～！            
(3星)	 太狗血了 完全是看在六爷 TAKI 和阿萨米的份上。。。            
(4星)	 剧情设定不错，可是剧本不咋滴，主角可口。看完啦，怎么剧本像两个人写出来的，一会儿精彩，一会儿无聊。            
(4星)	 虐人的片子啊，从头到尾，怨念。两位主角不说，还有佐佐木大叔的形象简直……剧本张力不够。            
(3星)	 tmd要不是看在帅哥阵容强大的份上直接给2星了            
(3星)	 1            
(4星)	 两只帅哥华丽丽地把我和我妈给就地掳倒。把水川拍得连花瓶的姿色都够不上颓得太过分了就是导演你的不是了。这剧教育意义还是到位的，那句“孩子们每天都在成长我要用我的手推着他们的脊背往前走”大合锦户亮的好人脸啊！            
(5星)	 Takki看的我好心疼最后一集差点掉眼泪难得三个男女主角都喜欢            
(4星)	 无法抗拒泷泽秀明穿紧身背心。            
(4星)	 治好所有的小朋友吧 | 小时候 能够将我从孤独中解救出来的 只有妈妈和你的微笑 我想回到那个时候            
(5星)	 非常好！            
(NA)	 弃            
(4星)	 善得之恶恶取之善 上帝的逻辑最是荒诞 不过那谁不是说么 真理诞生于你说的荒诞之中            
(3星)	 原田好正。。。            
(NA)	 我喜欢锦户亮和泷泽秀明那俩张脸罢了..            
(NA)	 娘的 好狗血             
(NA)	 叔叔你依旧很帅！            
(4星)	 水川压不住俩男主的气势            
(NA)	 太莫名了这结尾。。他们干嘛要装不认识？            
(3星)	 我想到了heroes            
(3星)	 锦户亮永远迷蒙的眼神和永远四十五度角往下看自己双手的镜头真是看得我很想死。不过为了泷泽，我忍。            
(4星)	 還沒看完            
(4星)	 狗尾续貂，晚节不保！总之，结尾很垃圾！            
(3星)	 四集，弃...            
(2星)	 09 基基基基基基基基基            
(2星)	 大结局终于深情对望了啊，太扯太扯，女主角的设定更是乱来，浪费了水川。            
(4星)	 TAT             
(4星)	 日本人比中国人至少这一点要强：他们勇于面对人性的丑陋 但中国人连面对的勇气都没有             
(5星)	 又是一部一口气看完的剧，比想象中好看！6爷你好萌~            
(5星)	 那个神之手的同学太萌了            
(4星)	 为什么到最后他们兄弟俩都不能在一起            
(3星)	 0.5黑乎乎的基调,看不下去....不追了            
(4星)	 就算是为了六爷这被虐样。XDDDD            
(3星)	 别摸我            
(4星)	 一开始觉得很囧，到后面慢慢变好看了！最终回还骗我眼泪…………             
(3星)	 66还是演DV男比较有气势，泷泽还是那么帅            
(3星)	 作用力与反作用力最后抵消了 囧            
(3星)	 好丽友好基友健康好朋友            
(4星)	 尼玛劳资又少女心了，一把年纪了二萌泷泽是个神马意思啊||| 严肃得说，结局是力量没有消失，各自过活，隐秘丝线紧紧相连。最萌的一种            
(NA)	 亮亮            
(4星)	 凌寒推荐。            
(4星)	 记得第一次知道泷泽秀明，是在98年看“新闻女郎”时，剧中那个眉目清秀的男生一下子就让我记住了。之后就是“魔女的条件”、“太阳不落山”。。。时隔12年后，看他这部“双头犬”，发现当年的纯情小男生已经蜕变成男人了。            
(5星)	 没看够！！！！想看续集！！！            
(NA)	 我喜欢结局。其实，大家在孩童时都如此谦让无私的，为什么长大了却变了另一个人 ？            
(4星)	 虽然有些剧情很狗血，总得来讲还是很好的。            
(3星)	 我不想你们一个背个包，一个抱只狗，就这样无比潇洒地背道而驰啊啊啊。。。            
(3星)	 两个小受的苦逼史            
(2星)	 拖了好久才看完……拍的这么烂……可惜了泷泽和大爷啊~泪奔~            
(4星)	 佐佐木演反派让我很伤心；大头的头果然大            
(5星)	 T_______________T雖然結尾充滿了bug，但是是好劇本，推薦沒事可以看一下            
(3星)	 我家小亮 这名字就萌了！EP1 虐我家小亮...太受了太受了 果然是总受...唉...孱弱癖严重......            
