http://movie.douban.com/subject/2157150/	少年包青天2
(2星)	 恐怖片 还是尔康演得好            
(3星)	 第一部好看，选陆毅是个失误            
(3星)	 释小龙和任泉那会儿特别有爱——幼时G启蒙就是这么来的。展昭…昭…公孙策…策…呕~~            
(NA)	 小蜻蜓不错。            
(2星)	 放弃金田一一 转向柯南了            
(2星)	 还我尔康……            
(3星)	 每年暑假都要重播一遍 ╮(￣▽￣&#34;)╭            
(3星)	 陆毅真傻            
(1星)	 坑爹            
(4星)	 cult片            
(3星)	 很不喜欢陆。            
(3星)	 第二部...囧了吧！            
(2星)	 第二部就2了。是为补记            
(3星)	 柯南又回来了,接着看            
(3星)	 比周杰好不到哪去 怎么不找个阳刚点的来演呢我就不明白了            
(3星)	 也算看了 许多台都播过            
(3星)	 比第一部逊色些            
(4星)	 你还我的展昭来~            
(4星)	 我个2货只看过第2部！摔！            
(4星)	 其实你们可以拍3P的。            
(2星)	 如果第一部是推理的话，第二部就是玄幻了。            
(NA)	 当年爱死了            
(3星)	 这个版本中等             
(2星)	 比第一部差太多            
(5星)	 喜欢赖床的我，曾经每天6点起床看，看完再睡觉            
(2星)	 陆毅好恶丫            
(3星)	 其实是不想说啥 = =            
(3星)	 。。。            
(2星)	 还是抄的            
(3星)	 比一有进步，起码主演让人不那么难受了，但还是没有把整部戏撑起来，还是配角有彩，主演欠缺吸引力。故事的架构有点单薄，故事的发展有点牵强，希望以后有更好的精品出现，先选好主演，编好故事架构再来吸引观众吧。            
(2星)	 没第一部好。            
(3星)	 任泉还是很公孙的。。。            
(3星)	 抄袭太多了点            
(2星)	 第二部又跟着看了。。奶油青天            
(NA)	  任泉             
(3星)	 陆毅演的包青天胖胖的还挺可爱            
(3星)	 起初对这版的“黑炭头”不太适应 后来慢慢习惯了。            
(NA)	 诶，陆毅的黑脸            
(3星)	 第二部没有第一部喜欢            
(NA)	 故事性上来说还是挺好的            
(3星)	 换了陆毅看着顺眼多了。            
(2星)	 原來還有范爺……我都忘了= =            
(NA)	 第一部是李冰冰的大饼脸，第二部是范冰冰的瓜子脸，啧啧啧讽刺吗？            
(4星)	 。。。            
(4星)	 太可怕了。竟然周杰的版本反而顺眼，陆毅你情何以堪啊~~PS：抄袭日本动漫不带这么赤裸裸的啊啊啊            
(5星)	 电视上看感觉就是不一样！不管好不好看 都觉得好看            
(1星)	 黑鬼~不如第一部！            
(NA)	 不许戳穿我没看全..            
(3星)	 2            
(3星)	 陆毅真是演什么毁什么。            
(3星)	 小龙啊~            
(NA)	 抄桥是我们的拿手好戏            
(3星)	 我是浪费了多少大好光阴啊·            
(4星)	 金田一 柯南            
(3星)	 第二部一般。            
(4星)	 和第一部一样，四星完全是给各位努力的演员们的。这部剧的编剧实在是太烂了，且不说网上盛传的抄袭金田一的事情，句法、情节什么的漏洞百出，词语、成语不懂还乱用，总之编剧烂到我不知道该如何形容了。莫非一二部都是同一个编剧？            
(NA)	 额~~~~电视有电视的好处~它会帮你安排节目！有时候没有选择也是幸福啊~~~~~~~~            
(3星)	 这个比一差。。。            
(3星)	 。。            
(4星)	 女猪脚都不待见~            
(3星)	 陆毅好丰满~~            
(3星)	 没有张卫健的少年系列，虽然很不喜欢这个系列，无论是谁来演            
(NA)	 任泉任泉任泉！！！            
(NA)	 剧情有够拖沓            
(3星)	 一部比一部差            
(3星)	 后来捏。。。            
(3星)	 我还是看过的。。。            
(3星)	 年少回忆。            
(3星)	 主角换了 有点不习惯 但每次标志性的背景音乐一响起来 还是觉得很邪乎            
(3星)	 [昔时所看]             
(3星)	 2比3好看             
(3星)	 我也还是看过。            
(2星)	 巨傻            
(3星)	 就是这电视剧让我对陆毅挑片水平产生了深刻的怀疑            
(4星)	 第二部还可以。第三部我完全就冇看。            
(4星)	 虽然很多段子有抄袭的嫌疑，但是大陆片能拍这样，还是应该鼓鼓掌了。。。            
(2星)	 居然 抄袭 刚版的金田一 有没有搞错啊当我们不看日剧的么            
(3星)	 电视剧             
(3星)	 基本是包拯好看了，剧情依然烂            
(2星)	 续集往往是越来越差            
(3星)	 一般，看过就算            
(NA)	 黑包子续集            
(2星)	 实在是不行，演得也不怎么样，剧情也弱智            
(NA)	 每个人都有自己生存的责任。只是大小不同而已。有的人肩负保卫小家，而有的人则肩负捍卫大家的重任。有时候，这些责任是推卸不得的。一旦推卸了，拿后果将是不堪设想地。可以当一个平凡的人，真的很幸福。            
(NA)	 一般            
(1星)	 给一星是因为抄袭！            
(NA)	 比第一部看着顺眼多了            
(3星)	 童年回憶            
(3星)	 我真的不喜欢陆毅啊，把周杰还回来(┳＿┳)...             
(4星)	 小蜻蜓义父那个案子，当年深深感动了我。。            
(NA)	 少年包茎甜有一集可你妈吓死我了            
(2星)	 2            
(4星)	 任泉很帅好么            
(3星)	 凑合凑合吧……            
(2星)	 陆毅演技还不如周杰，这。。。            
(3星)	 唉……            
(NA)	 公孙策我还挺中意的  - -             
(4星)	 其实我喜欢公孙策            
(2星)	 没有第一部的感觉了。            
(5星)	 任泉啊！！！！            
(3星)	 老子依然年轻            
(4星)	 又黑了            
(4星)	 还算靠谱的剧情～            
(NA)	 真无聊            
(3星)	 我其实喜欢的只有周杰版……            
(1星)	 看不下去，感觉有点造作了            
(3星)	 第二部就稍微傻逼点了！            
(3星)	 还不错啦，当时守着电视机天天看            
(NA)	 完全不记得了            
(3星)	 最近一直在看，爱死花公公了！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 任泉好帅！ 我的点评完了。。            
(3星)	 小时候把我吓的。。。。            
(4星)	 都是为了范冰冰啊！！！            
(4星)	 每集判案蛮灵的。。至今还记得几个经典案子。。啥移花接木啊。。啥暴雨梨花针什么~            
(4星)	 还是不错的 看看还觉得吓人呢。            
(1星)	 耻辱。            
(3星)	 ,. ︶︿︶..            
(3星)	 侦探片拍续集的成功率大概是所有类型片中最高的，因为是串联性质的单元剧，水平比较容易均匀            
(3星)	 绝对没周杰演的好！！！！！！！不喜欢陆毅没有牙版本的！！！！！！！！！            
(3星)	 因为陆毅，多给一颗星            
(3星)	 为什么公孙策的女喷油一部换一个？！            
(3星)	 只爱看小蜻蜓飞来飞去的灵巧劲儿。            
(2星)	 喜欢第一部，纯粹的破案，没有那么多杂质。第二部的女角色都不算喜欢。小蜻蜓和楚楚，还是更喜欢后者。            
(3星)	 大家都覺得陸毅沒有周傑強啊哈哈哈哈            
(2星)	 不如第一部            
(3星)	 陆毅不适合。。            
(NA)	 一千年前的事儿了            
(4星)	 打得都是感情分~初中暑假~            
(2星)	 少包就是只有第一部能看吧？            
(3星)	 还是有差距列！            
(NA)	 陆毅你当年可不是遭人唾弃的打胎帝            
(4星)	 以前好喜欢的，现在觉得布景差了点儿            
(4星)	 我竟然一集不落的看完了!!~            
(3星)	 2嘛，2呗            
(4星)	 楚楚和飞燕都不见了唉……不过也还行。            
(3星)	 还是第一步好...            
(3星)	 次好看            
(NA)	 我记得每天晚上吃着辣椒看这个            
(4星)	 这个包黑炭可不怎么像~~            
(4星)	 覺得這部比第一部好看..            
(3星)	 我还是倾向于周杰那个大鼻孔            
(3星)	 2比1和3顺眼点儿            
(NA)	 国产剧抄袭成风。            
(3星)	 个人喜欢周杰版的            
(3星)	 其实陆毅看起来可比周杰实诚多了，反正选角都没灵气还不如选个实诚的，就是当年大家对用了范冰冰很不理解。            
(NA)	 好吧好吧= =我承认我是个迷妹，当年他们三个正当青春好年华- -~看得我青春焕发...            
(2星)	 就是不待见陆毅            
(2星)	 还是1好看            
(4星)	 陆毅比周杰好看、= =            
(5星)	 真的会吓到我- -            
(3星)	 还是第一部经典。2010.06.01            
(5星)	 最爱了。。            
(3星)	 陆毅不如周杰演的好            
(3星)	 无视小蜻蜓。。。黑蛋白妞你们就顺从民意，拜堂成亲吧。            
(3星)	 一家亲真是……萌翻了！            
(2星)	 陆毅毁了这部戏。。。            
(3星)	 虽然陆毅长的比周杰好太多。。。但这种片子还是剧情决定一切的            
(3星)	 这个包拯有点呆            
(3星)	 = =就喜欢任泉的扮相            
(3星)	 = =。            
(3星)	 我真是什么都看过的..            
(3星)	 不爱陆毅啊不爱陆毅哇~            
(2星)	 剧情有够拖沓，一部比一部差。            
(3星)	 抄袭太多了             
(NA)	 有的场景当时觉得有点吓人啊~~            
(3星)	 其实··那是的任泉···好帅···哎~一直就不错            
(1星)	 去死去死 抄都抄不像            
(3星)	 断断续续的看了一些            
(NA)	 除了任泉我什么都没看到=。。=            
(4星)	 看到这部，第三部就没再看了，听说堪比恐怖片            
(1星)	 陆毅和范冰冰共扣掉4星。            
(3星)	 我烦陆毅            
(3星)	 我喜欢陆湘湘            
(3星)	 陆毅帅是帅，但小脸里的内涵不够啊！            
(3星)	 6/10            
(1星)	 真不知道陆毅演了个啥。            
(3星)	 我难不成还看了三？            
(3星)	 明显原创了就难看了....            
(3星)	 2            
(3星)	 当时看还吓得不敢一个人睡            
(1星)	 求您了，编剧大人，您还是抄吧！            
(3星)	 漂亮的湘湘。            
(3星)	 陆毅之类都不包公- -。            
(4星)	 觉得还行。看过很多遍。            
(2星)	 陆毅你快消失吧！我说真的……            
(2星)	 姐姐~            
(4星)	 推理办案到处抄袭            
(3星)	 还是周包黑比较顺眼            
(2星)	 少年的事，谁清楚呢            
(4星)	 2的案子很不错 喜欢~            
(3星)	 差于第一部            
(1星)	 主要演员都有问题……尤其跳出来一个莫名其妙的范冰冰……            
(3星)	 破案的我都喜欢.            
(NA)	 范冰冰范冰冰范冰冰！！！！！！！！！            
(NA)	 只是看过 没啥好说的            
(2星)	 不得不说,陆大帅哥就是个花瓶,而策策是唯一的看点.            
(5星)	 陆毅版，没那么恐怖，帅哥版丫~            
(5星)	 2002            
(4星)	 不喜欢任泉            
(3星)	 续集总是不如第一部的            
(2星)	 没一个案子有意思！陆湘湘是个美人！！            
(3星)	 冲陆毅去的．            
(3星)	 陆杰是够帅的，但是不像包拯。。            
(4星)	 同样FBB也比较碎烦            
(3星)	 迷陆毅的时候            
(3星)	 比不上第一部了。            
(NA)	 非常喜欢·~~But,后来据说该剧有模仿金田一的嫌疑——失望~~            
(NA)	 这部看的好像不是太仔细，因为包拯被换了，那会还有点..适应困难            
(NA)	 推理好玩！            
(3星)	 没有1好玩            
(5星)	 推理片            
(NA)	 没有一好看            
(3星)	 比第一部差好多。陆毅实在是不适合演小包。            
(3星)	 已经不记得2有些什么故事情节了，只留下自己确实看过的印象            
(3星)	 任泉還是差了那麼一點點。            
(5星)	 经典！            
(3星)	 任泉帅            
(3星)	 搞基吧骚年们            
(3星)	 那时候也挺迷任泉 哦呵呵呵~            
(3星)	 我爱小白脸~            
(3星)	 不喜欢陆毅演的            
(3星)	 深深地觉得周杰的第一部好            
(3星)	 补遗            
(NA)	 小龙什么的。。。最爱1,2两部了。。。当年天天看呐都不记得看了多少边了。。。            
(4星)	 小學還是初中。午飯翡翠台的回憶。            
(NA)	 陆毅就是没有周杰演的好！            
(4星)	 公孙策公孙策公孙策，其实我觉得陆毅还成            
(5星)	 你敢说那时候少年包青天系列没有迷倒到过你？            
(3星)	 总是吓到我            
(5星)	 阿策啊阿策 我咋觉得你那么装逼呢            
(4星)	 在家看的 还不错 比较多悬疑案             
(3星)	 没第一部影响深刻。            
(NA)	 我喜欢看包青天哈哈            
(4星)	 觉得任泉很有一种我理想中的清纯小受的气质XD~            
(NA)	 分不清1和2  但肯定都看过            
(2星)	 啰哩啰唆            
(5星)	 原来我小时侯的电视剧都在这儿啊啊哈哈哈~~好怀念呢~~            
(3星)	 小时候半夜看会被吓到的- -            
(3星)	 还是要周杰才行啊。            
(4星)	 陆毅还是很帅的~            
(2星)	 无语            
(2星)	 跟第一部就没法比了            
(3星)	 还好。            
(3星)	 快要变成魔幻了。            
(3星)	 凑合看吧            
(4星)	 我觉得，2没有1好            
(4星)	 小时候特别喜欢看，嘿嘿            
(3星)	 没啥感觉。。也不够吓人            
(5星)	 公孙策啊！公孙策啊！！！就是初中时候我的白马王子，梦中情人啊！！！            
(NA)	 没一好看 还是周杰适合演少包            
(3星)	 陆毅弱了。。。            
(3星)	 对这部还有少许印象 应该看的时候就知道谁是凶手吧            
(3星)	 换了周杰之后就都是靠剧情加老人了！~             
(5星)	 虽然有抄袭的嫌疑，但是还是不错的~~            
(4星)	 好            
(3星)	 更喜欢这部~小蜻蜓多Q啊。。可惜她已经成爷了。。。            
(4星)	 当时巨爱看有木有！！而且有范爷呢还！            
(3星)	 任泉的公孙策==很迷恋~~！！            
(4星)	 其实我觉得还不错            
(3星)	 虽比不上第一部，但是还可以~~            
(3星)	 有那么几个故事 太吓人。。            
(3星)	 原来看我过这么多电视剧            
(3星)	 小时候暑假一个人在家看吓得要死，特别是配乐，真服了您了！            
(4星)	 其实我觉得还是第一部好看            
(4星)	 小时候可喜欢少年包青天之类的了……            
(5星)	 陆毅比周杰帅            
(NA)	 小時候的記憶啊。。             
(4星)	 就是觉得范冰冰很漂亮，从那时起才发现            
(3星)	 说实话我觉得鼻孔才是最适合包拯的。。别人都弱爆了            
(3星)	 里面案子没少包13好            
(4星)	 国内推理剧..            
(4星)	 释小龙和何洁怎么样了。。            
(5星)	 范冰冰很美丽，可不喜欢陆毅黑黑的样子。。            
(3星)	 庞飞燕去哪里了            
(4星)	 任泉+范冰冰，悬疑侦探类的题材向来是我的菜            
(2星)	 烂~~            
(4星)	 比第一部略差            
(3星)	 当年也很喜欢释小龙~            
(4星)	 那时候还蛮喜欢范冰冰的。。和任泉配的那个女生蛮可爱的，不过现在好像看不到影了            
(4星)	 哈仍舊是童年記憶，可愛的展昭~            
(2星)	 剧情实在是不合理和不连贯，也就是来恩的那个故事不错！            
(4星)	 小时候很喜欢的电视剧。            
(5星)	 不错            
(NA)	 小学时候的谈资吧            
(3星)	 小学嘛 觉得这个就不错了            
(3星)	 小蜻蜓印象不错            
(NA)	 超级喜欢            
(NA)	 为啥换了主演？            
(4星)	 很不错的电视剧            
(3星)	 没有第一部好看。            
(4星)	 最爱公孙策！！睫毛超长的。。。            
(3星)	 案子弱爆了陆毅弱爆了。            
(3星)	 陆毅跟任泉我都好喜欢！            
(2星)	 当年巨反感的几个人齐聚一堂！他们是：刘威 范冰冰 陆毅。。。            
(2星)	 陆毅的演技的确差周杰一大截……同理，抄袭扣星。            
(3星)	 记得那背景音乐特甚。。。还有僵尸村，印象深刻啊！            
