http://movie.douban.com/subject/2148367/	恰同学少年
(1星)	 腦殘片            
(1星)	 这剧简直一惊天巨雷            
(5星)	 最近在重看  越看越好看 ZD同志真是帝王攻啊……OJZ            
(5星)	 拍得很假可是它的确教育了我也让我为之动容。            
(1星)	 太祖爷这扮相也太摩登了.............            
(5星)	 唤起心中潜藏的那股热血。            
(4星)	 好樣板，偏臉譜化。            
(4星)	 很好看。青春是最美好最令人感动的，这在任何一个时代都一样。            
(4星)	 这个其实特别立志。。不过好多演员之后上了芒果台都残了。。。。            
(5星)	 每个中国青少年都该看看此片~~            
(5星)	 经世致用。问苍茫大地，谁主沉浮            
(4星)	 喜欢片尾曲            
(4星)	 看得那叫个激情澎湃啊。            
(4星)	 谷同学很有潜质。            
(3星)	 意气风发少年时 这部电视剧很励志            
(NA)	 戏说小腊肉            
(5星)	 很有看点，但是不知道看点在哪            
(NA)	 《少年中国说》精神核心的剧集，很有看点，虽然我不太喜欢那个看点。            
(4星)	 断断续续的看的            
(4星)	 070802-04凌晨看完            
(4星)	 摩登登的！            
(4星)	 原作比较好看 喜欢蔡和森和向警予呀！            
(4星)	 这里面的他 积极饱满身心健康 很有魅力            
(5星)	 关于毛同志的影视剧里也就这个还能看下去，而且这部电视剧里我喜欢的还不是毛同志，而且刘俊卿还有萧子升            
(5星)	 今天我们为了什么而读书？            
(4星)	 少年毛泽东早早就显示出了其过人的智慧和胆识和魄力。            
(NA)	 谷智鑫怎么长得那么像ZH !!!            
(4星)	 大爱            
(5星)	 咩~~~怎么看都好看~            
(5星)	 伟人就是这样出来的啊……我那个热血沸腾            
(5星)	 ~这就叫志气~            
(3星)	 你认为很好麽            
(3星)	 因为貌似某人才喜欢上了的蔡和森……            
(5星)	 人民群衆喜聞樂見就得了~            
(4星)	 这应该是我最喜欢的毛主席形象了。。            
(5星)	 牛逼的青年们！            
(5星)	 当年觉得还挺好看的啊            
(5星)	 钱枫这个大头            
(NA)	 为了高梓淇陪我姥姥看的（……），具体不记得了，就记得梓淇在里面演反面角色还依然演的让我很心动。其实一开始他和毛泽东他们一个班，直到他爹爹给人端茶倒水到最后被打死，以及自己爱的女人嫁给别人的路上自杀了，于是才变成了这样。            
(4星)	 比较喜欢的一部以红色人物为主人公的电视剧，青春、写意、理想主义、白衣飘飘            
(NA)	 某此出去玩集合的那天坐在会议室边等人边被看这片子。看了一整天。。。            
(NA)	 小学的班主任不知道有多喜欢毛，时不时就向我们夸耀：“我也是湖南大学毕业的呢”。赶上当初芒果台放这个电视剧的时候，他说他几乎是每晚十点看到十二点……最后跑来给我们大力推荐。说真的虽然根本没有办法想象是毛orz，但你不想这事儿的话这剧基本上还不错看……            
(NA)	 还在西瓜的屋子里看过一集            
