http://movie.douban.com/subject/3198015/	绯闻女孩  第二季 Gossip Girl Season 2
(3星)	 没多大意思，看别人骄奢淫逸，看自己衣衫褴褛            
(2星)	 衣服可以百搭 人也是 完全不明白这种剧情发展有什么意义 跳着看到结局 我圆满了            
(2星)	 追不下去了 乱搞男女关系             
(3星)	 啊哈哈哈 换妻俱乐部            
(4星)	 看Gossip girls的毕业晚会，Blair得到了她一直梦寐以求的东西，然而当舞曲响起，她俯在恋人肩头，忽然无法抑制的伤感起来，他说你应该快乐的，她说是的，我很快乐，我应该快乐的，眼神却充满忧伤。她说，请不要说话，这一刻多么美妙，请抱着我，直到这支舞结束。Nate似乎明白了，她说的关于正在逝去的            
(3星)	 只要编剧说行，还有什么不可以。（一个势头这么好的剧居然会被拍成这样）纯粹看衣服和练听力            
(3星)	 所谓上流社会,这奢华淫乱的社会.最后5集变好看了            
(3星)	 能再乱点吗？            
(2星)	 同志们，不要被三次元的虚情假意欺骗了。            
(4星)	 还是最爱S.            
(NA)	 弃了            
(3星)	 世界真小 扎堆谈恋爱            
(3星)	 第二季我都不想追了好吗，几个人排列组合的搞就是这个剧的真谛了。越看越没劲=_.=            
(3星)	 成人化 好~ 看了14集 不打算追下去了 too shallow            
(4星)	 Serena，谁年轻的时候没爱过几个人渣            
(4星)	 真是亮丽动人啊            
(5星)	 现实生活中可能发生不了这种曲折迂回的爱情，至少不会发生在我身上，我也不允许发生。            
(3星)	 于是，搞来搞去一直在乱搞。然后我竟然还是看完了。最近我的耐心真心好好呀，哎哟喂，我在期待我的N&amp;S和C&amp;B，还有可爱的G。。小J这季里真心喜欢了，哎哟喂，烟熏妆什么的美好了。我在期待深情的C和N。。。XOXO，gossip girl            
(3星)	 编剧没激情了，俺也没激情了~可惜了一部好剧~~~~~~~            
(5星)	 Chuck made me cry coz da very last moment he said &#34;i luv u 2&#34; to b.plus,cannot wait 4 the next season&gt; &lt;            
(3星)	 第二季看的有点拖。。。没第一季好看            
(2星)	 what the f...看得我头都昏了。            
(3星)	 3.5星，看来第三季还要继续狗血下去            
(4星)	 人和衣服好看！            
(5星)	 chuck            
(4星)	 CHUCK终于说了            
(3星)	 去年下半年看得兴兴头头的，今年上半年已然乏味，弃掉了            
(4星)	 QUEEN B            
(1星)	 我真觉得GG里面人难看衣服也难看剧情煞笔狗血，，芒果台快点拍山寨版娱乐大众8！            
(4星)	 少年版“换妻俱乐部”            
(2星)	 看到一半看不下去了，V非常的惹人厌。            
(NA)	 棄……            
(4星)	 真喜欢两个恶魔在一起，这样很真实            
(2星)	 这恋爱谈到后来跟买菜的讨价还价一样直接..            
(3星)	 大家纠结过头了            
(5星)	 Chuck acts jst so dramatically well            
(3星)	 女猪脚变得多事而且啰嗦而且自以为是            
(3星)	 为“练听力”看过两部美剧：Gossip Girl&amp;Lie to Me            
(4星)	 9-14            
(4星)	 BC，不得不说，爱这结尾。            
(5星)	 恩。。。打算继续追下去            
(4星)	 只是因為它把blar和chuck弄到一起去了            
(NA)	 差不多,但还是喜欢第一季            
(3星)	 屌剧再也不想看了 不过练口语还行            
(3星)	 纠结至死。。。            
(5星)	 因为最后c终于对b说了我爱你，所以我给五星            
(2星)	 各种自作孽            
(3星)	 虐死个人            
(4星)	 这一季终于华丽丽的结束了            
(4星)	 剧情那个狗血，不过够波折，还是更喜欢第1季            
(3星)	 无语了            
(3星)	 到最后，我喜欢上了chuck bass......            
(4星)	 第二季就是BC            
(NA)	 C在本季结束对B的表白是唯一有价值的剧情发展。王子N彻底沦为自轻自贱的小白脸。S开始朝傻大姐方向发展。D、V一如既往扮演屡屡坏事的搅屎棍子。小J的烟熏妆啊我该赞还是该贬？反正只有靓妈Lily是永远优雅的。            
(4星)	 总算看完了!不喜欢那个结局——————————————————————————————当年sexy city的服装助理 摇身变成GG的服装总监 给23岁的女孩里有句话是这样说的“不要总幻想自己是sexy city里的任何一个女人” 那么 即将23岁的我是不是可以幻想自己是任何一个Serena或者Blair? &gt;&lt;            
(3星)	 不追了我            
(3星)	 一般般了，有点疲倦了。            
(3星)	 越来越狗血了……            
(5星)	 Chuck终于说了那三个字            
(3星)	 不打算追下去了。            
(3星)	 编剧可能喝狗血了。= = 不追三了。            
(3星)	 C终于同B说——I LOVE YOU TOO啦 ：）            
(3星)	 这么多年过去了，衣服看上去还是真不错。一边拼图一边听～跟相声似的～就是一通连环睡啊～            
(3星)	 贵圈真屌乱            
(NA)	 Blair is the only point            
