http://movie.douban.com/subject/3087439/	一脚定江山
(5星)	 童年的记忆 曾经特别喜欢            
(3星)	 当时觉得很好看！            
(2星)	 一八七八年英国曼联球会成立前，在球会兴建的工地发现一双真金打做的靴——故事回到金靴制造的地方——中国；当时为北宋仁宗年间，地点为民丰物阜的临安城。            
(4星)	 给了我最初的历史印象——原来历史那么美。            
(3星)	 小时候貌似还挺喜欢看得。喜欢那个时候的李冰冰            
(5星)	 高二时看过，好像也是在铜陵电视台看的。            
(3星)	 只要提起林冲 我就想到这里面的林冲的脸 = =            
(4星)	 当时好喜欢李宗翰啊。。。            
(4星)	 多少了解了些中国古代足球的知识。            
(NA)	 一八七八年英国曼联球会成立前，在球会兴建的工地发现一双真金打做的靴——故事回到金靴制造的地方——中国；当时为北宋仁宗年间，地点为民丰物阜的临安城。            
(2星)	 剧情差不多就是中超            
(2星)	 比较扯淡            
(1星)	 就看过两眼也能知道这是烂片 大陆编剧导演能不能别拿观众当傻子            
(3星)	 哇，够冷门            
(4星)	 电视剧女王。            
(3星)	 斯库里吐槽突然让我想起这剧，找出来标记一下            
(4星)	 蹴鞠啊。。            
(3星)	 当年我喜欢李宗翰= =            
(2星)	 ……            
(2星)	 为啥有人喜欢李冰冰啊            
(3星)	 内个时候喜欢李宗翰 在里面可搞笑类            
(4星)	 小时候可爱看了。            
(3星)	 哈哈哈哈哈            
(NA)	 我小时候还是很看好任泉和李冰冰搭的            
(NA)	 那个时候开始爱上任泉了阿阿阿！！！！有个官差说，你再跑，你再跑，你再跑我就追不上你了~~~~            
(4星)	 小时候超超超级喜欢！！！李宗翰在里面好帅！！！            
(3星)	 现在看来好搞笑            
(4星)	 李宗翰            
(NA)	 升高中前看的            
(4星)	 当时觉得李宗翰长得好帅啊            
(NA)	 我就记得里面有个叫猪sui泡的东西用来做蹴鞠的……            
(5星)	 当时被李宗翰给彻底惊艳了=▽=            
(3星)	 中国足球的意淫神马的……            
(NA)	 李BB烦屎了            
(4星)	 当时看来还是很不错的。。。            
(4星)	 当时我好喜欢看阿。            
(NA)	 不知道为什么，当时对女二号装丑的印象特别深刻呢~            
(NA)	 一个讲蹴鞠的故事= =            
(3星)	 当时觉得李宗翰相当帅            
(3星)	 两男的颜不错，当时还没腐，真是可惜了= =            
(3星)	 这都有？！            
(3星)	 冰冰的稚嫩期。            
(5星)	 大概是小学看过的剧了~喜欢张俊~还有张俊的配音~！            
(5星)	 天呐，那个迷，简直不得了，连片尾曲《只要有你在我身边》都拿复读机录下来了。            
(5星)	 我一直都觉得 李冰冰和任泉是有点什么的...我很喜欢早期的李冰冰            
(NA)	 默默地说，我觉得任泉长得不错啊开头还有国际友人穿插            
(3星)	 李宗翰在这片里黑搞笑。。            
(3星)	 年少回忆。            
(3星)	 还满阳光的李宗翰。            
(3星)	 现在再看这名字直想到棋魂的某种译名：一棋定江山（喷            
(3星)	 李宗翰很帅            
(3星)	 李冰冰年轻的时候，其实不错。            
(NA)	 我还看过这个啊！            
(3星)	 很糍。            
(3星)	 话说那时任泉多红啊            
(4星)	 这电视剧吸引力够大的~我记得那时候XCTV晚上演~~我天天看            
(NA)	 那个时候李冰冰还不怎么好看……            
(4星)	 三个喜欢的演员~            
(5星)	 小时候觉得任泉好帅！！！            
(3星)	 这算是童年的回忆！？追看电视剧的历史已经不复存在了╮(￣▽￣&#34;)╭ 任泉啊，即使你只是个受我也依然爱你=3=            
(NA)	 囧            
(3星)	 ！！            
(4星)	 李宗翰帅得勒~~那会儿李冰冰其实也挺舒服的            
(4星)	 当时觉得任泉和李冰冰老配了。            
(NA)	 突然想到李宗翰~            
(3星)	 记忆不是很深了，因为这部剧知道了李宗翰，当时很嫩啊~            
(NA)	 我已经记不清剧情了，但是李宗翰还是多受的！            
(NA)	 张俊和宝珠，中学时的大爱            
(3星)	 当时觉得很好看。。。这是什么审美            
(3星)	 那个时候任泉很红            
(2星)	 小时候我觉得李宗翰好帅=，=            
(3星)	 有点不好意思承认自己看过……            
(4星)	 两个大帅哥            
(3星)	 蹴鞠            
(NA)	 蹴鞠哦            
(4星)	 5555 和《加勒比海盗》很像 本来喜欢的是任泉 结果看完这个喜欢上了李宗翰 太帅了你妹的！            
(4星)	 我觉得李宗翰才是当之无愧的主角            
(NA)	 纳闷他们一个个踢球比NBA的投篮都狠，，            
(3星)	 踢球的！！！            
(NA)	 年轻时候那么帅的样纸呀            
(NA)	 当年觉得李宗翰帅到不行了            
(4星)	 多久以前看的电视剧了，一直感觉宝珠很可爱。            
(3星)	 这部剧让我认识了俩字儿一词儿，蹴鞠！            
(NA)	 李宗翰是个帅哥！            
(4星)	 对任泉的爱啊            
(NA)	 那时候我多年轻啦~            
(NA)	 李宗翰！            
(4星)	 童年回忆            
(5星)	 那啥我那时候好像很喜欢李宗翰 欧漏 ＝　＝            
(3星)	 我是不是好像看过啊……            
(3星)	 基本上忘了情节鸟~            
(5星)	 很喜欢两男猪脚            
(3星)	 那时侯我还小，觉得蹴鞠原来可以这么踢，就被看完了            
(4星)	 还记得初中时在家里看第一集时兴奋的下楼把自行车扛上了4层一边擦车一边看PS新买的车车……美好的回忆啊            
(2星)	 无聊，蹴鞠那种粘球的踢法与足球根本是两回事。而且实在看不出在蹴鞠比赛中战胜金国有什么值得骄傲的，皇帝照样被人抓了...            
(4星)	 李宗翰十分之帅            
(3星)	 这个囧剧…………            
(4星)	 久远的记忆呀            
