http://movie.douban.com/subject/2279832/	樊梨花 烽火奇遇结良缘
(NA)	 我真的很讨厌马脸。。。。            
(4星)	 宣萱             
(5星)	 以为不会好看的剧。。出乎意料的好看            
(4星)	 高三那年深夜的中央1台 居然放这部片子⋯⋯ ps：我高考怎么考的啊 每天补完课上完作业还看了不少电视剧 orz！！！            
(NA)	 跟宣萱抢男人，总是很惨            
(NA)	 我现在还会唱主题曲好不！            
(2星)	 虽然宣萱，虽然马德钟，但仍旧觉得编剧太不靠谱。。。            
(4星)	 宣萱~            
(4星)	 宣萱很适合演这种角色 但是马德钟的古装扮相总有点奇怪            
(3星)	 這版甩馬那版N條街啊。。。            
(NA)	 马Sir里面很北方唉            
(5星)	 当初好喜欢的说。            
(3星)	 2004            
(NA)	 【2004】            
(3星)	 编剧很离奇，宣萱很苦逼            
(3星)	 宣萱和马德钟十万个不衬啊！            
(2星)	 唯一的印象就是看过。。            
(3星)	 我到底看过多少港剧            
(3星)	 只记得卢巧音的那首歌了            
(3星)	 颇为喜欢樊梨花，当然她要是不谈恋爱就更好了。            
(3星)	 为了宣萱。            
(3星)	 补            
(5星)	 严重好看            
(2星)	 但记得那首卢巧音的《风吹不走微笑》            
(3星)	 天啊 我居然看过这个=。=            
(3星)	 还行            
(3星)	 这个不是最喜欢的。            
(3星)	 一般,没什么印象,写到这我发现我可能还是不太喜欢古装剧,            
(3星)	 我不知道为什么喜欢看马德钟的戏，阴暗了？？            
(3星)	 主题歌很好听            
(3星)	 音乐不错，其他一般般。            
(3星)	 主题曲不错            
(3星)	 宣萱比较不好看的一部...            
(4星)	 喜欢宣萱            
(3星)	 主题曲好听            
(4星)	 有点憨直既马德钟好得意……爱妻！！            
(NA)	 很为OO不值，马德钟一点都配不上她的说            
(5星)	 喜欢宣萱从这部片开始，很好看。            
(4星)	 其实TVB的很多电视剧拍的剧情很紧凑的，演员演技更没的说了~当时特别喜欢            
(4星)	 萱萱，俺曾经最喜欢的TVB女演员~             
(3星)	 普普~马德钟實在喜歡不了            
(4星)	 喜欢卢巧音的片头曲            
(3星)	 【好無聊的開始馬克看過的TBB】            
(3星)	 马德钟也挑大梁。。。            
(1星)	 当年还看过这么个烂玩意            
(4星)	 就是因为这个喜欢宣萱的。            
(NA)	 这。。。也太狗血了吧~~            
(4星)	 还蛮有趣的~主题曲是卢巧音的吧~记得~            
(4星)	 很喜欢            
(3星)	 当时还蛮喜欢看的。宣萱真是英气。            
(NA)	 深深愛戀宣萱的一部劇。            
(2星)	 好无聊好垃圾的片子            
(NA)	 没看完整。。貌似还是可以的。。            
(3星)	 薛丁山与樊梨花            
(3星)	 好吧，我看过的。宣萱。            
(2星)	 和外婆一起看的==            
(4星)	 宣萱就是保证            
(3星)	 不喜欢马德钟             
(3星)	 高中的时候跟同学周末两天看完 记忆里觉得还挺好看的            
(3星)	 和老爸一起看的~            
(2星)	 介个男的简直··            
(3星)	 不错            
(3星)	 很神奇的剧。            
(4星)	 因为宣萱···            
(2星)	 你妹的马德钟。            
(2星)	 主题曲超好听有木有！！！！！！！！            
(5星)	 cindy个主题曲唱的好好听            
(4星)	 宣萱演这种外刚内柔的角色最有吸引力！            
(5星)	 别人不喜欢看，我特别爱看！            
