http://movie.douban.com/subject/3021607/	天地传说之宝莲灯
(4星)	 话说我当时还是非常喜欢看得……大爱沈傲君            
(3星)	 是叫踏雪么。。            
(4星)	 沈太黑了点..其实很美...            
(3星)	 俺喜欢沈傲君演的踏雪咩~~~此外于莉演的三娘也很喜欢~~~            
(4星)	 因为比较喜欢沈傲君。            
(4星)	 我就觉得里面的小仙女是沈傲君来着……当时觉得她太漂亮了，后来她演的那些片子让我死活不能相信跟小仙女是一个人演的……            
(3星)	 啊...            
(NA)	 太二的片子！！！            
(4星)	 还挺喜欢看的。            
(5星)	 这不是我小时候追着看的么！！那个时候只有电视啊。。好怀念= =            
(NA)	 我怎么看过这么多电视剧!!            
(NA)	 补遗                  
(3星)	 放假的时候看了好多遍啊            
(4星)	 边吃西瓜边看的            
(2星)	 给林志颖一颗星，徐锦江一颗星            
(3星)	 那时候觉得沈傲君很好看~小时候看的电视剧了。            
(2星)	 沈傲君当年拍这部烂戏的时候想过日后会嫁给富豪么...            
(2星)	 呃 以前電視里放過很囧的一部電視劇            
(5星)	 年少回忆。            
(5星)	 很喜欢这个搞笑版本的，呵呵            
(3星)	 女人都还漂亮            
(1星)	 男主角恶心得我要吐了不知道为什么女的还要争他            
(5星)	 个人非常非常非常喜欢!!跟鱼美人一样,歌曲很好听!!!包括每一个插曲!!            
(3星)	 狠一般。。            
(3星)	 沉香，踏雪。小时候守着芒果台看的啊貌似。            
(3星)	 看到林志颖才勉强看的            
(4星)	 当年几喜欢那个踏雪哟~~~            
(NA)	 这个还可以的嘛            
(4星)	 很好看啊！！            
(3星)	 当年很风靡。            
(NA)	 这我看的时候就只认识林志颖啊。。这几天才知道原来这片是唐人拍的呢= =            
(4星)	 昨天才知道这个也是唐人的。我很喜欢。            
(3星)	 林兄实在是帅气可爱，比之鱼美人，还没那么白。            
(3星)	 沉香和小仙女的感情戏到处也算是感动到我了。喜欢林志颖，不过还是觉得他演俏皮的角色更适合。            
(4星)	 这么多年了，唯一的印象是沈傲君好美~            
(3星)	 2流经典，你不说，我还真想不起来了            
(3星)	 那时候看觉得沈傲君演的踏雪很漂亮啊~~~~            
(NA)	 那个时候就觉得沈傲君长的很美            
(2星)	 大学的某个暑假，大二？            
(3星)	 好吧... 其实 这个 也看过一些            
(1星)	 貌似很囧。。。有几处很明显的穿帮的吧。。。            
(3星)	 记不清了。。。            
(NA)	 当时播完这个播的鱼美人            
(4星)	 林志颖果真是小帅哥！            
(5星)	 沈傲君啊啊啊！！！            
(3星)	 让我星星眼的小志~~~~            
(4星)	 不知道为毛小时候觉得沈傲君很好看，现在看其实也就那样，打戏还算行，演员选的不错，刘彦昌微逊色，徐锦江大亮。最后大团圆结局也算是可喜可贺可喜可贺了            
(3星)	 小志荧屏初吻            
(3星)	 小志是帅哥，于莉和沈傲君是美女~~            
(4星)	 初中看。踏雪与沉香手牵手在天上飞的那一幕看的我内心震撼哪.....            
(3星)	 那时候觉得沈傲君真PL            
(NA)	 每天放学之后看。            
(4星)	 比国产的强太多了            
(4星)	 小时候蛮喜欢的            
(4星)	 哈哈~好早，哪年哪月的            
(2星)	 太多搞笑成分             
(3星)	 确实有看过~嗯            
(4星)	 以前挺喜欢的一部剧，感觉还不错            
(3星)	 台湾古装剧            
(3星)	 美女。            
(4星)	 话说小学时候狂爱看。            
(5星)	 童年啊            
(4星)	 于莉很漂亮            
(3星)	 算是小时候的记忆。。。            
(NA)	 。。。            
(3星)	 当年我通过这部电视剧来缅怀《绝代双骄》            
(3星)	 都是些看过但没印象的国产剧。            
(3星)	 于莉和沈傲君都很漂亮            
(5星)	 都是记忆            
(3星)	 好喜歡林志穎哦！            
(3星)	 据说是小志的荧屏初吻 真假啊            
(4星)	 还是小时候的品味啊。。。。            
(3星)	 神马！！沈傲君演的踏雪么！！！我以前一直觉得踏雪很美的！！！！            
(2星)	 虽然有林志颖，但这种片子还是很烂            
(NA)	 好像是看过的            
(NA)	 貌似小时候看过。            
(2星)	 只记得清纯的沈傲君            
(5星)	 小时侯最喜欢的一部剧之一，那时候好喜欢沈傲君            
(3星)	 里面有美女。            
(3星)	 挺经典的，儿时的回忆。不过郭晋安居然演林志颖的爹。。这让我现在大跌眼镜。。            
(5星)	 觉得沈傲君有种说不出的好看 = =            
(3星)	 搞笑。            
(3星)	 剧情记不清了，结局还不错~            
(4星)	 当年可喜欢了            
(3星)	 哈哈哈            
(3星)	 此分送给沈傲君            
(4星)	 真尼玛不喜欢沈傲君            
(3星)	 初中时最爱周末去租碟子 什么都看 - -            
(5星)	 小学时的记忆呀            
(3星)	 挺有意思的            
(2星)	 以前觉得沈傲君真是好看啊，林志颖真是童颜啊            
(4星)	 比现在的可好多了            
(5星)	 儿时的美好回忆！            
(4星)	 沈傲君~W~            
(5星)	 还记得那个踏雪 沈傲君很漂亮            
(5星)	 三圣母啊沉香            
(4星)	 还行啊            
(3星)	 跟寶蓮燈相比的話更喜歡魚美人            
(1星)	 林凡 一个人生活。            
(2星)	 和姐姐一起看的            
(4星)	 又是一部当时爱看得不得了的            
(1星)	 宝莲灯真没什么意思啊。            
(3星)	 踏雪            
(4星)	 我那回不去的童年            
(5星)	 曾一度觉得这个和 鱼美人是一批人 同期的   果然....呵呵呵  好看好看~            
(4星)	 当年的沈傲君啊~            
(4星)	 台湾现在都是偶像剧，都没怎么见拍古装了            
(3星)	 已经不记得是哪年看过的了...            
