http://movie.douban.com/subject/3901388/	我爱我家
(5星)	 100星            
(5星)	 中国最好的情景喜剧            
(5星)	 大陆情景喜剧的最高峰，120集遭遇大量的意外却仍然坚持下来。英达英诺诚父子最广为流传和受好评的作品，可惜收尾偏弱            
(5星)	 这就是我的圣经，思想启蒙之作            
(5星)	 老爷子死的时候我哭了            
(5星)	 最好的情景喜剧。可惜文兴宇老爷爷已经去了。            
(5星)	 确实一看就巨想家            
(NA)	 融会各式各样的歧视和对外地人的诬蔑。            
(NA)	 伴随我成长            
(5星)	 比内什么家有儿女档次高多了 起码嘎们的笑声都是真心的 八是配音！            
(5星)	 你是我记忆中忘不了的温存 你是我一生都解不开的疑问             
(5星)	 经典。            
(5星)	 经典，百看不厌            
(4星)	 那时他俩还在一起～            
(5星)	 内心的平静才是永远            
(4星)	 大陆室内情景喜剧的第一次。            
(5星)	 回忆            
(NA)	 中学吧，百看不厌            
(5星)	 大爱啊            
(5星)	 中国第一个情景剧，经典中的经典            
(3星)	 我着实讨厌文老爷子的腔调和拙劣演技。不过，他不在了，也就算了。            
(5星)	 五分还需要解释么？            
(5星)	 虽然有那么多的不成熟，但是更觉得可爱；其中那么多时代的烙印，值得缅怀，大白胖子再也拍不出这样的作品，谁也不可能让一群人回到那样的状态，总之是一个难以超越的巅峰。            
(5星)	 imdb都有了，真拉风！            
(5星)	 是经典了            
(5星)	 非常好。            
(5星)	 经典的情景喜剧            
(5星)	 牛剧            
(5星)	 经典就是经典            
(5星)	 最愛的情景喜劇。            
(5星)	 永远有笑声            
(5星)	 其实我到现在都还很喜欢看这个~            
(5星)	 给五星都不够啊啊啊            
(5星)	 极其经典，台词语言考究而不显贫，表演非常到位，特别是傅明老人。。。            
(5星)	 我的最耐~            
(5星)	 还能有什么“为一句无声的诺言默默地跟着你这么多年当你累了倦了或是寂寞难言总是全心全意地出现在你面前”能让我想起少年在那个炎热的夏天时光呢？最后大家都长大了，人也都散了。            
(5星)	 大爱~            
(5星)	 百看不厌。            
(5星)	 国产喜剧不可逾越的巅峰            
(5星)	 开山之作，值得回忆            
(5星)	 啥也不说了,经典永远是经典            
(5星)	 现在看也不觉得过时            
