http://movie.douban.com/subject/2276930/	绝代双雄
(4星)	 哎呀呀呀我要找的是这个呀！            
(5星)	 到現在還記得那首主題歌，太好聽了！~~            
(5星)	 大爱啊！直到现在里面的每一首歌我都会唱，唉，我好长情！            
(4星)	 往事如烟似梦            
(5星)	 用李煜的词作的主题歌是亮点。老剧了，突然翻出来真怀念。            
(4星)	 是赵匡义喜欢小周，所以赵匡胤是和李煜有JQ呀            
(4星)	 小时候看的，当时不懂“绝代”是什么意思，大人有把没有孩子的人称作“绝户”的说法，便以为“绝代双雄”是两个没有后代留下来的英雄。刚好赵匡胤和李煜都没有孩子留下来啊！今天想想，我倒！            
(4星)	 烛光斧影兄弟相残只为皇位            
(3星)	 歌挺好听            
(4星)	 很为李煜的才情惋惜，只可惜他本不该生在帝王家。            
(4星)	 美好的幼时回忆啊，再也回不来了            
(4星)	 四十年来家国，三千里地山河。            
(5星)	 幼时大爱剧。            
(5星)	 好喜欢赵匡胤~            
(4星)	 豆瓣上竟然还能找到这部！怀念啊！好像是二三年级的暑假看的，江苏台每次“小鸭圣吉奥”广告之后就接着播这个电视剧了～从那时候开始认识赵匡胤和赵光义的。那时候还没看过《上下五千年》            
(5星)	 剧情凄凉，配乐完美，过去那么多年，仍旧记忆清楚。            
(4星)	 风雷动变化瞬息间，英雄泪如何说从头，前程灰飞烟灭，叹回首月明中，往事如烟似梦。。。            
(NA)	 所以到现在都还会唱李煜词编的主题曲。。            
(5星)	 很好的片子            
(4星)	 小时候看的新加坡连续剧，喜欢主题曲，喜欢演李煜的演员            
(3星)	 只记得那个主题曲：风雷动变化瞬息间 英雄泪如何说从头 前尘灰飞烟没 叹回首月明中 往事如烟似梦 转眼岁月匆匆 谁为谁等候谁为谁蹉跎 到此刻依然模糊在其中 “人间悲欢缘分不同 你拥有你的来时去时路 我若同行命运如何 聚散离合 谁能预测 别追问今夕可有旧时            
(5星)	 小时候 啊 当初可喜欢这个了 旁白和主题曲！！            
(4星)	 你有着你的来时去时路,我若同行,命运如何.            
(2星)	 抄过歌词            
(4星)	 很小的时候看的。里面的歌曲很好听，往事如烟似梦，好多年来，不留心就从脑海里面冒出来了。发现想找到清晰的资源很难，但是看到画面之后还是会很激动，曾经热血沸腾的场面，就是很有那种古装片得感觉。            
(5星)	 童年的回忆            
(NA)	 小时候看的，还不太明白讲什么东西，主题歌到时记得挺清楚。原来是新加坡拍的            
(3星)	 小时候就是电视迷的我很喜欢里面的小周后，歌我到现在也会唱。就是看了这部电视剧喜欢上了李后主，还特地买了关于他的书看。            
(4星)	 回忆中最早看过的电视剧。            
(4星)	 新加坡电视剧，应该是自己十来岁的时候。美女英雄系列的。说的是该片讲的是李煜和赵匡胤、赵光义之间恩怨。挺好看的虽然我没怎么看全。            
(4星)	 居中有不少好听的歌曲，李煜的词。            
(4星)	 两位绝代佳人啊~满足了小时候的我的关于才子佳人和才子N多佳人的幻想~            
(3星)	 小时候觉得赵匡胤很帅，觉得李煜太娘们了，受不了            
(3星)	 一名为情剑山河            
(3星)	 小时候就觉得，那个李煜也能跟赵匡胤并列双雄？            
(4星)	 主题曲很好。四十年来家国，三千里地山河。            
(NA)	 看过，赵匡胤大哥哥让俺小小年纪就明白女人不漂亮是个悲剧            
(4星)	 就记得窗户后面一把斧头和尖叫，啊```            
(4星)	 喜欢主题曲，“我若同行命运如何”            
(NA)	 依然是小时候大爱的电视             
(NA)	 当年也不知道看这戏的什么，就单纯的想看——李煜            
(4星)	 记得不太清了            
(3星)	 当年想看却没看着的一部电视剧，那是正在迷恋陈天文~            
(4星)	 “风雷动变化瞬息间，英雄泪如何说从头”，哇哈哈，还记得片头曲这两句            
(NA)	 好怀念呀   真想好好的再看一遍            
(NA)	 风雷动变化瞬息间，英雄泪如何说从头            
(4星)	 里面有很多人都很悲哀            
(NA)	 那个时侯的新加坡拍了不少NB片啊            
