http://movie.douban.com/subject/2296675/	镜花缘传奇
(NA)	 花落花开片片红，唯有芳心载不动。            
(4星)	 四星给风仙，这个姑娘总是演女二可还是好喜欢，老版杨家将里她是演卫灵儿的吧？OAO            
(3星)	 又是一部审美观差点被扭曲的电视剧。当年就觉得明明是风仙好看的多，为啥金童说百花仙子美            
(4星)	 刘以达实在太萌了，小时候很喜欢。前两年还把这片子翻出来，在阵阵天雷中又看了一遍。男猪脚，你真不配做金童~            
(4星)	 明明是王艳娜的凤仙比较漂亮，女主各种普通 难道也是走后门来的？            
(NA)	 当年的内首歌啊 似梦非梦似花非花原来都在红尘中 飘飘渺渺朦朦胧胧谁愿茫然度此生            
(4星)	 突然很想重新看下，= =虽然和《镜花缘》出入很大。            
(4星)	 05            
(4星)	 我还会唱这个歌 欧也            
(NA)	 依然对姜大卫完全没印象            
(5星)	 还可以吧，应该是我上高中时候看的。只看了几集。            
(4星)	 小时候很喜欢看啊……            
(4星)	 剧情诡异!骆宾王转世?!            
(3星)	 小时候我老觉着演百花仙子那位是田蕊妮...            
(3星)	 刘以达什么的最萌了！@            
(4星)	 隐约很扯            
(4星)	 小时候的回忆。            
(NA)	 似梦非梦，似花非花，原来都是红尘幻；飘飘渺渺，朦朦胧胧，谁愿茫然渡此生。人间相逢镜花缘，佛前还愿真性现~            
(3星)	 特别小的时候看的了，有什么演员早就忘得干干净净，只记得里面一堆女的，还有好多特技            
(5星)	 当时对这部剧真是萌翻了            
(NA)	 唐小山就算有那块红印我还是喜欢到死==。。。片头曲里百花仙子白衣飘飘的场景“唯有芳心载不动”。。。TwT            
(2星)	 给李司棋的女儿开后门哈哈哈哈            
(4星)	 好喜欢风仙的说。            
(NA)	 当年因为吃螃蟹错过了大结局…不过我至今也没再吃过那么好的蟹…            
(3星)	 我当时特希望里面一对好，可惜现在已记不清是哪一对了。。。。            
(4星)	 小说我是二环内喜欢的，但这部剧有点。。。            
(NA)	 脑残电视剧真是越刷越多。。何时才到头啊。。。            
(4星)	 现在想来很雷。。。            
(3星)	 记得挺无聊的。            
(4星)	 镜花当然很爱镜花缘咯            
(NA)	 -_-雷剧            
(4星)	 小时候比较喜欢原著小说            
(2星)	 我喜欢镜花缘这个名字。            
(4星)	 花落花开遍遍红，唯有芳心载不动。却将纷扰风吹散，留下个真笑容。            
(5星)	 曾经纠结于结局~~            
(4星)	 三年级暑假的记忆...            
(3星)	 记得当年播出的时候宣传做很多，但是电视剧真不咋样            
(NA)	 汗。比动画版难看            
(4星)	 天涯正在八这个，话说我小时候觉得这个很好看呀~            
(4星)	 小山~~~~            
(4星)	 现在的电视剧都没以前的吸引人             
(5星)	 十年前最喜欢的电视剧啊！！！！主题曲乱好听啊！            
(3星)	 好多年前看的了，剧情都记不清了……            
(5星)	 John哥和lisa姐的组合，应该懂的吧            
(4星)	 小时候的记忆。            
(4星)	 小时候追着看有木有！哎哟，我还会唱主题歌~            
(NA)	 很难忘的电视剧，小时候看的~            
(4星)	 超爱这一出！            
(4星)	 我记得那时我很爱，那时也很小，现在也只能记得小人国啊等等稀奇的情节，还有武则天的百花齐放和结尾时金童玉女的终成眷属。            
(4星)	 当时我多喜欢姜大卫大叔啊。。。            
(4星)	 今天忽然想起这部很小的时候看的剧 恋恋旧时的回忆 恩 我长大了            
(5星)	 当年一度风靡的主题歌到现在还记得一字不漏            
(4星)	 唐小山            
(4星)	 后来才想起罗家英。。。            
(5星)	 我的记忆~~~            
(5星)	 我曾被真心感动过。            
(3星)	 全忘了            
(5星)	 当年可喜欢了呢天天追追不到难过好久。。            
(3星)	 就觉着里面的神仙也不怎么漂亮，可是奇幻的剧情看着很来劲            
(4星)	 蛮有意思的，特别是女儿国那一段，搞笑。            
(5星)	 一直很喜欢很喜欢，很想再找出来看看：）犹记得女儿国美丽的皇叔：）            
(4星)	 当年狂爱这剧，可惜播出时间不稳定，看得断断续续...话说小时候好多聚集为什么你每天同一个时间在那里等，有时候看得到，有时候又看不到呢            
(4星)	 不多说，当年看见这部我就走不动了。            
(4星)	 我认识了刘以达。。。            
(NA)	 我是真的喜欢过姜大卫            
(4星)	 小学的时候。。吧            
(3星)	 小时候。            
(4星)	 某年暑假看过的……嗯~后来想想其实很大牌！！！            
(3星)	 当年好吸引人的说。            
(4星)	 爱的轰轰烈烈又怎么，到头来是一场梦~            
(3星)	 艳丽的画面和一堆花仙子            
(NA)	 怎一个“扯”字了得            
(2星)	 为什么男女猪脚选的这么差强人意？            
(4星)	 初中每周末追的 最后一集还特地去买了空白磁带来 摁在电视机喇叭上录了音            
(4星)	 小时候的记忆~            
(4星)	 因为镜花缘，我不可救药爱上姜大伟            
(4星)	 小时候好像是觉得挺美的..            
(4星)	 那时我小学，怀念得要命TAT            
(3星)	 花落花开片片红，唯有芳心载不动。            
(NA)	 最近发现又有电视台拿出来放了吓了一跳一晃都有十年了呀~~            
(2星)	 剧情改编太多，好在汪明荃的霸气出演得人喜爱            
(4星)	 改编还是非常有趣，大牌明星扎堆，可惜金童是个歪嘴= =初中时看得津津有味，其实《镜花缘》实在是非常好的小说嘛。            
(4星)	 记得当时每天在电视前面守着~            
(4星)	 9岁看过的= =            
(4星)	 小时候觉得超好看，一直在比哪个仙子最美。            
(5星)	 这个居然也是港剧啊            
(3星)	 我已经忘了，但是我小时候看的我记得很美啊            
(4星)	 只想着什么金童玉女的            
(4星)	 我最爱！            
(4星)	 小时侯很喜欢看~~            
(3星)	 看了这个剧才知道有种水果叫杨桃的。。。            
(4星)	 现在还会唱片头曲的我……            
(4星)	 我只记得我看过            
(5星)	 记忆犹新！小时候超级喜欢！姜大卫超级有爱的，虽然我小时候是真的不认识他~            
(NA)	 小時候的記憶啊。。             
(5星)	 小时候好喜欢，虽然觉得女主不美。大了再看觉得顺眼多了。。。。。            
(4星)	 好像是讲一堆花的 但是记得好像很多集 多到我那时候追不下去            
(3星)	 遥远的小学时代的钟爱            
(3星)	 以前的剧本都比较朴实            
