http://movie.douban.com/subject/2154868/	戏说乾隆 戲說乾隆
(4星)	 风流潇洒的皇帝和英姿飒爽的佳人，古装最帅最美天作之合。而不管三教九流，一开口都听得舒服，有掌故有人情有生气。            
(5星)	 看过那么多人演乾隆，只有郑少秋版的能当起“潇洒”两个字，而他也成为了当时我眼中香港最帅的男人~~            
(5星)	 江山载不动太多悲哀 岁月经不起太长的等待            
(NA)	 赵雅芝好美啊            
(5星)	 小学一年级吧，那时候天天看这个，谈这个。            
(NA)	 我看得很伤心，为什么皇帝这么薄情寡义。            
(1星)	 印像中乾隆总抱个女的在草坡上滚来滚去，一点创意没有。            
(5星)	 小时候一直觉得他们两个最配！～            
(4星)	 那年的他跟她            
(NA)	 哇，小学！！问情！！！！            
(5星)	 那时花开~            
(4星)	 小时候，记忆比较深刻得电视剧。            
(5星)	 小时候就开始迷秋倌。            
(NA)	 回忆            
(5星)	 豆瓣的推荐里面突然出现了一堆老片子。。            
(5星)	 经典古装YY剧...            
(5星)	 这也是tvb的吗！！！！！！！！！！！！！！！！！！！！！找剧看居然找出来这么多老片子啊啊啊啊，突然有种很异样的感觉很想哭啊，小时候啊小时候，为什么要长大啊            
(5星)	 问情            
(3星)	 啧。一年级的时候看的。            
(5星)	 我真是爱死了            
(5星)	 原来三部都各有个名啊！            
(4星)	 我就只记得我那时还很小，每天晚上都让妈妈叫我起来看，但是我本质是猪，从来没有起来过。。。            
(5星)	 当年很迷。。            
(4星)	 儿时记忆感觉是。。= =。            
(4星)	 见一个爱一个，见一个收一个。。。            
(4星)	 豆瓣真会推荐啊。。。            
(4星)	 康熙来啦～乾隆乾隆你丫真流氓～半老徐娘赵雅芝            
(4星)	 挖，好年代久远啊，记得我妹妹很喜欢模仿中间插片时，乾隆舞手的那个动作。            
(5星)	 虽说郑少秋跟肥肥的事有点把他名声xx了 但是吧他古装真是帅。。            
(4星)	 哇咔咔。            
(NA)	 还写进过我小学的日志。我能背出来            
(4星)	 剧情记不清了            
(4星)	 最早的意淫启蒙教材            
(5星)	 久远到面目模糊            
(4星)	 经典。            
(4星)	 郑少秋风流倜傥，赵雅芝英姿飒爽，被我的中学同桌惊为天人            
(5星)	 歌很好听            
(4星)	 经典            
(5星)	 我的童年就这样被他们占有            
(3星)	 爷爷奶奶很爱看。            
(4星)	 “山川载不动太多悲哀，岁月经不起太多的等待”            
(5星)	 赞！            
(4星)	 貌似是第一部清宫剧            
(4星)	 开戏说之先河            
(5星)	 爱死主题歌。            
(5星)	 帅翻了好不好            
(NA)	 山川载不动太多悲哀啊            
(5星)	 江山载不动太多悲哀 岁月经不起太长的等待 芝芝太美了 皇上真有艳福啊 嫉妒中……            
(4星)	 我小时候喜欢的。            
(4星)	 小时候看得电视剧.内容不记得了.就记得女2很漂亮            
(3星)	 具体忘了            
(4星)	 经典，真当是经典。可能是这电视剧让中国男人都梦想当皇帝。            
(3星)	 啊哈哈，这个居然也有 = =            
(4星)	 爱看古装戏            
(4星)	 大了以后还盼着电视台播            
(4星)	 又来一个            
(5星)	 一生一世一双人            
(3星)	 山川载不动太多悲哀，岁月禁不起太长的等待            
(4星)	 当时不知为啥就是爱看- -            
(5星)	 就是那个画面,我在我们家纠正我同学把主题曲唱走调了!            
(4星)	 老的我都快忘了讲啥了            
(4星)	 只記得一個會武功的乾隆            
(4星)	 小学以前看的，囧            
(5星)	 我想爷爷了！            
(4星)	 山川载不动太多悲哀~            
(4星)	 记得小时候最喜欢看这个了。            
(4星)	 山川载不动太多悲哀，岁月经不起太长的等待。            
(4星)	 wo de di yi bu ou xiang ju            
(NA)	 小时候的大爱啊，以为打滚儿就是XX~~~            
(5星)	 那个时侯住的院坝，晚饭后，在小床上可以听到各种武侠片的呯呯锵锵的声音。阳台外面是滨江公园，森林下面是大河，晚上还在作业的打沙石的船要一直轰轰轰到深夜。这个片头曲灰常深远~            
(4星)	 爱死赵雅芝了。            
(5星)	 小学每年暑假寒假就躺在沙发上看,幸福的时光啊            
(4星)	 再看，就觉得一般了。但秋官还是潇洒。            
(NA)	 补遗               
(NA)	 记得芝姐是一人分饰三角吧，程淮秀，沈芳，金无针            
(4星)	 年 少 癡 狂 ...            
(5星)	 小龙人的“喔喔欧欧”最佳伴侣！~郑少秋 哦 老男人 爱！~赵雅芝 不用评论！~            
(3星)	 小学时候挺喜欢            
(4星)	 贾六            
(NA)	 童年回忆             
(5星)	 我当年很萌            
(5星)	 经典            
(5星)	 小时候的最爱……之一            
(4星)	 赵真漂亮。            
(4星)	 我的天好怀念。。。            
(3星)	 答应我是在这部剧中知道的，奇怪的是小时候对赵雅芝一人分饰三角并不感到奇怪，最喜欢陈淮秀的装扮了            
(4星)	 不爽风流男 --             
(5星)	 乾隆老喜欢把人放倒~            
(4星)	 山川载不动太多悲哀岁月禁不起太长的等待春花最爱向风中摇摆黄沙偏要将痴和怨掩埋一世的聪明情愿糊涂一身的遭遇向谁诉爱到不能爱 聚到终须散繁华过后成一梦 海水永不干 天也望不穿红尘一笑 和你共徘徊            
(3星)	 小時候啥都看～            
