http://movie.douban.com/subject/4826767/	家常菜
(3星)	 一个sb男和一窝子白眼狼的故事            
(3星)	 再牛逼的姐夫也伤不起二逼的小舅子和傻逼的小姨子。            
(3星)	 黄志忠总是那么古怪幽默。这部戏就是大肠刘的悲剧人生，自从娶了文慧，再也没有过过好日子，多希望他最终跟杨麦香一起啊。老何家四个孩子，一个死了一个关了，剩下一个坏胚子一个白眼狼，那是变着法子折磨大肠刘。剧集道具乱逻辑乱，看前半段足以。            
(2星)	 一家子都是白眼狼            
(4星)	 本剧情纯属扯淡 此男人纯属虚构。             
(4星)	 娶妻当娶杨麦香            
(NA)	 一家子神经病 白眼狼            
(3星)	 演员都挺好，就是故事情节太假            
(1星)	 好人没好报，一堆神经病            
(1星)	 卖点在哪儿？天下人负我，我也不负天下人？！歌颂平民英雄也要有个分寸，这哪是平民英雄，分明是缺心眼。            
(3星)	 略略有点《平凡的世界》的意思。不过越看越狗血，越编越扯淡...            
(1星)	 一颗星送给编剧擦屁股            
(3星)	 陪我妈妈看的呦!!!好男人呦!!!我妈喜欢呦!!!            
(3星)	 超人丧比大姐夫！！！！            
(4星)	 我媽看著直感慨：上哪找這麼好的男人啊            
(4星)	 这年头做爷们儿难，做像刘洪昌这样的真爷们儿更难！            
(NA)	 和我爸一块看的 他说好看就好看            
(4星)	 男主角很是個爺們            
(3星)	 苦逼又有担当的男猪脚的漫长狗脸岁月(▔/﹏\▔)             
(3星)	 老妈陪伴哈哈～这部戏好多缺心眼儿            
(1星)	 看到很多人感慨 我看了後也難以入睡 被劇中各種極品雷的是裏外皆焦..            
(5星)	 五颗星 因为你            
(4星)	 大陆拍生活剧真你妈不是盖的。            
(3星)	 原来小姨子才是主角！！！！！！！            
(4星)	 陪老妈看哒，差点把眼泪流干了，一家不懂事儿的糟孩子！            
(5星)	 对这种题材的片不知怎么滴就很喜欢。真是感人的片子，到后来看一集哭一集。呜呜呜~~            
(3星)	 文惠挺好看            
(2星)	 每個角色都是讓人大開眼界的奇葩啊……看到一半太生氣了就不看了。            
