http://movie.douban.com/subject/6026046/	雷普利小姐 미스 리플리
(3星)	 朴甜甜真的是太甜了。            
(3星)	 李多海样子变形了，姜惠贞也是啊囧            
(3星)	 对于一个看棒子戏就为减压的人来说，这个戏的主题太沉重了。。。果断弃之            
(5星)	 情节紧凑，张弛有度，最重要的是演员的演技都很坚实自然，真心喜欢，期待后续发展，现在才只是个开头而已，期待！            
(5星)	 好的。我想说我为了有天盲目地点了五星。odokei.odokei.            
(5星)	 五星是给我家大米的            
(NA)	 乃们不会真的觉得朴有天有所谓“演技”这个东西吧！！　李多海变漂了！那个男二大叔挺有爱的！            
(3星)	 如果李多海演的女主敢一路黑下去我就给高分，更何况还有亲爱的朴有天先生~~            
(3星)	 e6弃，李多海这人设让人恶上心头，可惜了内敛温柔像牛奶一样舒服.....的有天            
(5星)	 少爷一定会好好发展的！            
(5星)	 情节紧凑，演员给力，剧中音乐很不错            
(2星)	 你们懂。。我其实就是冲着有钱。。/20110608：想弃了。。/0614弃，实在受不了nc腹黑女。利用感情的人最后一定会最惨。朴大米你在这里面演一个只喜欢pl姑娘的少年，我对你失望透顶了- - 金大叔倒是真的演技派了。            
(3星)	 看着好沉重，不是喜欢的类型。            
(5星)	 李多海演的很好，有天加油！            
(5星)	 虽然是传统的韩剧，但感觉没那么狗血。            
(3星)	 三集弃！人物个性情节发展神马的能不能美好点啊！白白浪费了帅哥美女！            
(2星)	 其实我很喜欢这个调调诶，MICKY真心是个单纯只为爱情的小男孩，大叔则是那种成功男性。李多海真心。。。是个很多想学习勾搭的女生的典范了，演的好。。后面四集寡淡了，不想看了            
(3星)	 有天能不能演个有点个性的角色啊……            
(4星)	 真是分了十二分心来看完            
(5星)	 难得让我追剧的片子，虽然只看到第四集，还是先给5星啦！PS 男2比男1有魅力多了！LALALALA~~~            
(4星)	 还好，连着追4部剧等更新，够nc了我            
(NA)	 不管好坏，这剧分低不了，你们敌不过东方神起粉丝的力量！！！             
(4星)	 咳咳，先保守地给个4分，有天，好久不见            
(3星)	 就是去看有天笑的            
(3星)	 虽然我真的真的很爱本部长，但是这剧确实一般，三星都给绝世好男人宋裕贤。            
(3星)	 只是为了朴有天才去看的- -实在看不下去的烂剧啊！！！收视率居然会比成均馆高那么多            
(4星)	 除了結局有點兒老套~其他地方還是和一般的韓劇不一樣            
(4星)	 好沉重的剧情，不过还是很喜欢。            
(1星)	 好沉重            
(5星)	 情节紧凑，演员演技自然，赞一个先！！            
(NA)	 1            
(5星)	 李多海真漂亮。            
(NA)	 姜惠贞的模样变了，大概也整形了            
(2星)	 这辈子看过最差的韩剧，没有之一！！！            
(3星)	 还不错了，结局那点拍的很好，每个人都各得其所，即便无法走在一条路上            
(2星)	 剧情屎透了，演技烂透了的女猪有着一张好似PS过的脸。            
(4星)	 就，莫名其貌的结束了。。。。            
(2星)	 这剧简直从头烂到尾！！李多海的表情就没自然过！！(o#゜ 曲゜)o            
(2星)	 忍不了了，编剧到底要表达怎样的价值观呢？            
(3星)	 张美丽的最终归属不应该是平山武么？            
(4星)	 虐剧，不看伤心，看着伤身。            
(3星)	 快进看完的。。看完了不知道讲了啥。。。            
(3星)	 为了这个没有结局的结局降了一颗星            
(4星)	 韩剧也就充满阴谋的好看，重点是李多海整的太美了！男一男二都是浮云啊~~~            
(1星)	 李多海又整容了，瘦的人干一样，第一集看了就很反感，不看了！            
(3星)	 弃            
(NA)	 李多海演技又好又长的又美~~~~&gt;.&lt;            
(5星)	 新出炉韩剧 每周期待2集..感觉很不错~            
(2星)	 终于结束了！！！！！朴有天下次演部好点的剧吧哇~            
(NA)	 我不想打分= =我只看了十分鐘....            
(2星)	 象征性看了2集 ....for 朴有天            
(NA)	 每次看李多海都不一样。。别整了大姐。。上次就很好看了。。            
(3星)	 这部戏留下最好的东西是朴有天唱的《为你保留的空位》。编剧去死。            
(3星)	 看到一半 弃            
(4星)	 巨催泪            
(NA)	 【2011-05-30】            
(NA)	 冲着女主角身材好的不行这点 狗血的剧情忍了            
(2星)	 这女的有点神经质。。胆子大的出奇。。脑子都不动了是怎么着。。偷别人的东西就要保证不被发现好不好。。这么光明正大的用。。活该            
(4星)	 剧情依旧狗血...靠着李多海的颜&amp;好身材 勉强看完。。最喜欢的是黑道大叔= =            
(4星)	 朴有天。。            
(5星)	 我这一生，渴望被人收藏好，妥善安放，细心保存，免我惊，免我苦，免我四下流离，免我无枝可依。            
(NA)	 没有坚持看到最后的剧 卡司都是都打牌 怎么就没有抓住感觉？            
(4星)	 满嘴谎言的女人，即使本性并不坏，但总觉得还是太童话了，三个男人都那么的爱她。。。            
(2星)	 还是那个流氓大叔最深情啊            
(3星)	 完美的富二代男一号和失散多年的亲人的狗血剧情= =            
(2星)	 必须批判这种给小姑娘洗脑的狗血剧。男主神话到童话里都不会出现。            
(NA)	 唉 烂剧情             
(3星)	 金承佑绝对魅力  但基于剧情 弃。。。            
(3星)	 剧情很弱            
(2星)	 真心不好看            
(3星)	None
(4星)	 李多海里面的衣服好好看~~~~~            
(3星)	 用力过度的张美丽，我好讨厌你！！！            
(3星)	 前半部分还不错，节奏也紧凑，后来怎么就……#朴有天#同学忧国忧民的表情，悲苦了大半个剧，带着点成均馆的气息。            
(NA)	 看完了我还真就            
(NA)	 没认出多海小姐.16直接忽略.本部长二娘说教有理.平山先生该是归属的.熙主呀熙主诶            
(5星)	 終於完結了呀。是真的很不適應，每次追你們的劇在即將結束的時候都會無言悲壯。就好像每週的固定見面硬生生地 就沒有了。素直完結的時候是這樣，牧場也是這樣。天哥哥我愛你，我那麼愛你。            
(3星)	 这3星是给有天的。我发现我喜欢有天这类型的。理想型！！！！！但是剧实在是太烂了- -            
(2星)	 我都不知道张美里有什么可同情的，男主们一个个瞎了眼一样的爱上她！！结局果然在我预料之中，好一个美满大结局！！！！！！            
(2星)	 一集弃。。。            
(2星)	 事实证明：韩国拍恶女，是非常失败的。            
(3星)	 最后一集实在是太靠了- -、、、、            
(3星)	 最后一集太叫人失望了⋯⋯            
(4星)	 悲剧式人物哪怕做尽坏事到最后还是让人恨不起来。金承佑大叔演技超赞，觉得李多海演的用力过度。             
(3星)	 女主演技很烂 除了瞪眼睛就是瞪眼睛 开放式结局            
(4星)	 结局太平淡 平淡到我 不知道怎么看完的。。。            
(NA)	 哦大叔。            
(4星)	 有天很有！            
(NA)	 之前班里关系比好好的泡菜饭同学一直叫我雷普利小姐。。。。。。。。。谁给我解释一下这个雷普利是怎么回事！！！！！！！            
(NA)	 看到11 棄            
(3星)	 坏人做女主太不讨喜了磨灭掉了一切追下去的热情            
(2星)	 看不下去完全。另，豆瓣的那什么粉可真多哟。(z_z)            
(3星)	 三集弃 朴甜啊 我尽力了            
(3星)	 理念是有创意的，然而编剧刻画细节的水平有待提高。            
(3星)	 奇怪的故事发展没有共鸣的社会观，演员是真养眼            
(2星)	 把女二当女主看真的超累的！！！一集都出现不了五分钟！姐要崩溃了。李多海的脸和演技真的让我很苦恼。编剧的逻辑和想象力也让我受到大打击，被门夹了吧那脑袋！大胆预测结局，张美丽重生了！！            
(3星)	 就是为了看下里面的李多海，身材真好！衣服也很漂亮~            
(3星)	 对李多海竟然无感！！！ 有天看多了不禁看了！！！！            
(3星)	 你好意思那么坏，我都不好意继续看了。            
(3星)	 看女二顺眼中~几乎已经真相大白，马上就要结局了，却没有心思再看下去了~总之，一旦开始说谎，就会说更多更多的谎言来掩饰解释，于是，坑越挖越大，最后就真的把自己埋了万劫不复了。不能过这个样子的人生。            
(4星)	 到后半段才开始好看，看到最近竟然最喜欢平山大叔~            
(3星)	 “真的假不了，假的真不了”～女主角好有心机哦，赶快揭穿她吧！谎言怎么可能换来幸福哦？？……【这部韩剧是我继《不想结婚的女人》《妇产科的女医生》觉得最赞的！～】            
(2星)	 那么难看的电视剧我居然都看完了 我都要崇拜自己了            
(4星)	 真心觉得李多海回完炉不仅变好看了连演技也有很大提升。但是剧情决定了我们会看得很虐心。            
(4星)	 几个演员都挺好            
(3星)	 有些压抑，有天啊真觉得你不怎么适合演戏呢~~~            
(3星)	 失败在三处：第一，主角的各种转变太突然，无法让人信服。第二，女二在中场性格大转变，全剧失去了最大看点，为何不一真黑下去。第三，两场爱情描写都不深入，最不离不弃的爱反而是酒吧老板给的。结局也太草率了。            
(3星)	 一星给有带脑子的坏女主。一星给有带演技的配角。一星给没有烦人的HE。            
(4星)	 悲催到不行 但是还是赚我很多眼泪            
(5星)	 谎言弥补谎言 才是最刺激的 。            
(3星)	 看到最后却觉得最爱美里的人其实是平山武啊！！美里啊，为什么你就不明白呢？只有在平山面前你才不用一直用谎言维生啊！为什么要一直望着那不属于你的地方呢？            
(2星)	 第四集实在是看不下去了。。。            
(4星)	 烂尾啊啊啊啊            
(4星)	 只看李多海……            
(5星)	 题材很沉重  内容好丰满啊            
(NA)	 my girl就对女主无感，可是各大论坛、贴吧里喜欢的人那个多啊，好吧，以后看好了，先遁了，最近追的剧太多了，凌乱了~            
(4星)	 果真好身材            
(2星)	 近期的韩剧真让人失望            
(3星)	 就是这结局。。。 哎            
(3星)	 为了在这世界上生存而耍手段，说可恨但也无法让人责备。毕竟，正直能当饭吃吗？            
(3星)	 食之无味弃之可惜            
(4星)	 终于坚持着看完了，只能说编剧和导演的功力还不够，坑了两位我最喜欢的演员；翻译版本也不太好，经常看得我云里雾里的哈哈。            
(3星)	 实际观影效果低于期待值。剧本不是我喜欢的类型，实际上只坚持到了第六集而已。李多海的表演痕迹过重，女二号那种冒失的刻画让人难以忍受，有天的角色发挥空间少，【其实真的太温和就没个性了】剧中唯一正常的角色就是那个理事大叔了……多海姐姐的身材超赞。另，有天身边的男配，总叫我想起文政赫。            
(5星)	 为了有天我也盲目点5星。。。odokei...            
(4星)	 最近的韩剧总觉得差那么点东西呢            
(3星)	 李多海已经不是我的女孩里的小女生了 美死了~对朴有天无感~但他唱的那首歌很好听~            
(3星)	 笨蛋有天!            
(3星)	 三星全给朴有钱。。。 三集弃！            
(3星)	 我居然一集一集的看完了 ╭(╯^╰)╮            
(NA)	 01 - 06            
(2星)	 除了李多海很漂亮以外 其他的什么都不想说..            
(2星)	  男主太没个性了            
(NA)	 2集弃 为了金承佑忍了两集            
(3星)	 11集短头发的有天太帅了。            
(3星)	 哎呀......            
(3星)	 看了个头尾。最令人吃惊的是，被女主害得很惨的那个女孩竟然不仅原谅了她还对她那么好……朴先森，换发型啊！            
(3星)	 有点儿点儿沉重            
(5星)	 星星都是给朴有天的            
(NA)	 本部长你有一本正经啦~~ 这编剧你让我说你什么好……            
(NA)	 朴有天 李多海  冲着这两个人必追！！器具了。。            
(3星)	 有天你确定你演的是32岁大叔吗？我怎么看都是23岁校草= =||| 李多海再次整容后虽然趋于完美，可是完全木有feel了，一点都不可爱。 剧情很阴暗貌似会悲催，可素有天君你就是甜点啊甜点~~ 完全心水~ 为了有天君，果断追片~！            
(5星)	 For Yuchun            
(NA)	 我可是JYJ滴死忠饭。。。。我都弃剧了。。。。太有才了编剧。。这些个演员全被糟蹋了。。。。            
(4星)	 虐啊 大米啊 最终是靠着本剧贴吧里的好帖子 忍了下来 编剧想得很多 但实现很难             
(5星)	 想法很新奇的一部剧本，很欣赏李多海的演技，成功的转型，在里面她复杂的心理斗争真的很真实，从小遭遇不幸的她那样顽强的生活着。也很喜欢有天的角色，也充分证实了朴有天不光是偶像派也是实力派，很喜欢他演的电视            
(NA)	 几集弃之、            
(4星)	 剧情一定程度上跳脱俗套            
(4星)	 李多海在这部电视剧里真美，与以往相比变化很大，演技上同样有很大突破，朴弟弟的演技还需大的提高，期待新作~~            
(4星)	 情节很不错，只不过结局真的有点纠结。            
(4星)	 四颗星全是为了大米君啊！！！            
(5星)	 满分不解释 也太好看了吧            
(4星)	 不管你說了多少謊 你為了什麼而說謊 到最後 一切都會破滅  你可以選擇逃避 或者 你可以選擇抱著勇氣和自信去面對 讓一切回到原點 讓自己還原到真實的自己/ 李多海演得讓人心疼 最後她選擇承擔一切 重新找回真實的自己那一段 讓我感動了            
(NA)	 演员服装造型剧情棒！但就是没看完 不合我胃口。            
(4星)	 微笑的裕贤、低调的裕贤、隐忍的裕贤，心痛的裕贤，在这部剧情不甚完美的剧集中，朴有天和一众有实力的演员们为我们呈现了精彩的演技，而剧集本身所呈现出的沉重感在韩剧中也很少见。            
(5星)	 不同于以往的幼稚韩剧~可引人深思            
(2星)	 跟The Talented Mr. Ripley差多了，还好意思用人家的名字。。。            
(3星)	None
(4星)	 面具背后扭曲的人生！            
(1星)	 李多海现在是整成神马样子了= =            
(2星)	 李多海变形了？！剧情压抑，没看下去，弃之            
(2星)	 非常期待了看了2集，实在受不了。有点无法自圆其说的剧本。浪费一帮好演员            
(5星)	 完整看完。。我不讨厌女主角。。            
(3星)	 不能因为老朴男主就说这部剧好看 前6集还不错 后面就真的是冲着换发型后的老朴和身材无比赞的多海欧尼看的 剧情太不靠谱太纠结 也没什么劲 咱从小就对别人家那点儿破事儿不感兴趣 不过多海欧尼表现不错 可惜了那么多好演员            
(2星)	 虽然是朴有天演的........但是真的好差劲的电视剧啊            
(3星)	 失望啦。。不过朴有天算是爱豆中演技相当好的一个            
(3星)	 3.5吧，有点虐心丫            
(3星)	 韩国传统爱情片。看一个身世悲惨的说谎的女人如何玩转两个傻蛋，最终自食恶果又改过自新。结尾也许预示了男女主角各自走向不同的方向。            
(2星)	 看完坏男人想看了类似题材的结果这个女猪肿么这么不给力啊亲！！要劈腿也要劈的有技术呀亲肿么能一天同时答应两个男人的邀约呢亲~看到第六集，想弃了。【影评http://movie.douban.com/review/5281567/】            
(2星)	 为了李多海才看的，然后剧情真心慢，真心要快进。            
(4星)	 是部让人意外的韩剧 剧情紧凑 有点小刺激 只是李多海 亲 你的脸整的好大路货呀 都是这么锥子脸 韩国医生是不会整其他脸型咩            
(3星)	 多海真是无与伦比地美，但是又是无与伦比地没意思。。。只是有一句话印象很深：我不知道出了这个方法的别的方法。            
(2星)	 5集弃，有天能不能不要每次有颁奖都强调自己的处境！还有，能不能不要每次演戏都这个表情，知道你乖！！            
(2星)	 讨厌女主角            
(4星)	 一天之内看完很能说明好不好看啊！            
(1星)	 完弃            
(5星)	 表示很好看 实力派就是不一样~            
(3星)	 是怎么才能坚持着看完啊。。。。            
(NA)	 我这一生，渴望被人收藏好，妥善安放，细心保存，免我惊，免我苦，免我四下流离，免我无枝可依。很久以前看到的句子，仿佛就是写给这样的张小姐。             
(4星)	 雷普利真是把天天给坑惨了啊 我不知道该怎样评价这部剧             
(5星)	 李多海从女孩转变为女人            
(4星)	 看得越深，就越害怕。            
(3星)	 其实我想打2.5星的~            
(5星)	 有别一般的韩剧  虽然女主看起来很可恨  但是真的从心底同情女主 换做别人 是不是也能真的做到像烂好人一样呢！爱女主！            
(4星)	 虽然不喜好李多海，不过她演的美丽，真的演得很好，那种让人痛恨的坏被她演的很传神！            
(3星)	 結局太爛，其他不錯。女二號是來搞笑客串的嗎？            
(3星)	 于是长大了以后，你发现骗人很有用。            
(4星)	 一星給李多海~~~怎麼身材這麼好~也給樸有天~矮油~帥！            
(1星)	 看了三集，不知道到底在演什么            
(4星)	 四星只为朴有天            
(2星)	 很讨厌这样的女主的设定。有自己的理由就要去欺骗？恶意的欺骗就那么被原谅？            
(2星)	 很不可思议的剧情，第一次看那么坏的女一号，看到后面简直是希望女二号成为主角，不过李多海的演技还是很好的，我觉得是因为剧本的问题。            
(5星)	 我想给10颗星~~李多海即漂亮，又能把握角色，嗲~~            
(3星)	 剧情太讨厌了，讨厌李多海演的那人            
(5星)	 编剧很大胆……好吧，李多海更大胆，这是一个游离于主流价值观的故事，分外挑战人的神经。道德至上者可能不会喜欢，但是，真的应该给予关注……可惜最后还是迎合了主流，而这令人怅然的结局真的是大家想要的么……五星给勇敢且美丽的李多海……            
(4星)	 看的我累死最后还不结婚！！            
(NA)	 冲着李多海看的~~~剧情有点乱~~~李多海里面的装扮很喜欢~            
