http://movie.douban.com/subject/1790373/	我的女孩 마이걸
(4星)	 又是一部缓解压力和不好心情的备选韩剧之一。            
(5星)	 结局的编剧堪称绝了。佩服            
(5星)	 这一部超级好看！主角又漂亮又帅！而且超级搞笑！            
(3星)	 韩国人总是傻啦吧唧~            
(4星)	 开始是因为李准基看的 后来发现李东旭也挺帅的 话说那俩女主我都不喜欢 音乐挺好听的             
(4星)	 放弃该放弃的是无奈，放弃不该放弃的是无能；不放弃该放弃的是无知，不放弃不该放弃的是执着。            
(3星)	 偶第一部完整看完的韩剧。            
(4星)	 相当搞笑的一部韩剧.尤其是里面的姨妈那对十分可乐.以至现在每经过橘子林都会立刻想起片中某段经典画面.            
(3星)	 结尾豪杰春香的主演都出来了，搞~~            
(4星)	 發現韓劇的人設來來去去都是這樣子的。不是亂倫就是灰姑娘的故事... 韓國人難道就不能灌輸一下比較踏實的思想嗎？            
(3星)	 刚开始还不错，后来就俗套了            
(5星)	 李多海的演技太赞了．．．编剧也有小心思，调侃了很多韩剧在里面．很轻松的片子，能带给人好心情．            
(4星)	 还不错，还是喜欢男一号~~            
(4星)	 攻灿的服装比较失分            
(3星)	 这类型韩剧太多了,都一个内容,看多了就腻了呀            
(3星)	 喜剧感满强，够娱乐            
(NA)	 大傻丫头和王子病            
(4星)	 沒看完。            
(NA)	 让人发笑            
(3星)	 非常假，好在男主角養眼，也不長，算是跟我媽一起看完了。            
(3星)	 那女主实在是不待见啊……            
(4星)	 我的女孩             
(4星)	 咬苹果咬苹果那个可爱。            
(3星)	 完全没办法联想李俊基和女人对戏，要当les情节看会好些么...其实好像没看完，后来忘看了...一一。            
(2星)	 哎呀，男主角太呆了，女主角演得不错，不过怎么看都有点老。剧情拖沓型            
(5星)	 “我的爱情不是谎言。”            
(3星)	 大家见过如此不寒酸的灰姑娘咩？            
(5星)	 女人失恋的时候，左手冰淇淋，右手韩剧。果然是对的！而且我也选薛功灿：P            
(2星)	 好8其实我以前觉得李东旭蛮帅的            
(3星)	 故事老套，可是我不睡觉连看了15个小时……            
(5星)	 我唯一看过的韩剧。完整地看了2遍。现在在看湖南台的大结局还是被感动到！            
(5星)	 李东海爱你=3=            
(5星)	 薛功灿。。。。。。。            
(3星)	 是我，我也选正雨            
(3星)	 看了几集明知很弱智还是停不下来。            
(5星)	 可爱好玩~            
(4星)	 还是挺有趣的，只是接近尾声时有点拖沓，到现在还没看最终大结局，不过早知会是大团圆了~            
(4星)	 万福哟^_^            
(NA)	 我的女孩            
(2星)	 韩剧越来越垃圾了            
(5星)	 爱上它            
(3星)	 尽孝每天陪老娘看ORZ，部分内容很好笑            
(NA)	 好吧。我真的一度沉迷李俊基N久，家楼下卖石榴汁的阿姨都认得我orz            
(5星)	 很喜欢            
(3星)	 李多海喜劇演得也不錯呢。越往後越肥皂。。忍耐著好歹看完了            
(4星)	 哈。            
(NA)	 爱情不能输给谎言。            
(NA)	 06，夏。这是我走过的日子。            
(3星)	 还是会有哭的时候，我总是很容易和你们一起进入戏里~            
(3星)	 哇。屈指可数的看过的韩剧好吗。            
(5星)	 怎么能少了这个经典？这个至今都还在继续寻找的。一个能和我的女孩相比的温暖的单纯的            
(4星)	 重温一下恶俗的韩剧，这部俗而可爱，李多海我喜欢死咧            
(3星)	 李东旭我的菜啊            
(2星)	 我绝对是手贱加眼贱            
(4星)	 过。            
(NA)	 当年李准基风头正劲            
(4星)	 芒果台系列（以前看的了，就记得最后一集他们在电梯相遇时，我哭了都）            
(4星)	 看得为数不多的韩剧, 大学那会儿还哭得死去活来的            
(3星)	 喜欢男主角，李俊基，李东旭            
(4星)	 芒果台 一部分            
(3星)	 当初冲着李俊基的名。            
(1星)	 瞄了一眼俊基，搞不懂李东海有什么吸引人的，真的有点做作呢...            
(3星)	 竟然看了一部韩剧！            
(4星)	 要俗一起俗，哇哈哈哈            
(NA)	 完全因为男主角才看的..            
(4星)	 那个女孩好可爱            
(3星)	 好像看完的            
(3星)	 我是凑热闹追看的，实际上我觉得不咋滴            
(4星)	 迷上准基~~            
(4星)	 06年。            
(NA)	 恩~还不错的泡沫剧~            
(NA)	 讨厌李多海            
(5星)	 那个最美的男人啊。            
(4星)	 挺好看的。。。看完很开心的~~            
(NA)	 韩剧就是鼓励人做白日梦的。            
(2星)	 从这里看出韩剧由“浪漫+悲情”向“活波+浪漫”转变。变来变去，也就那味。            
