http://movie.douban.com/subject/5958582/	裸婚时代
(3星)	 1 都穷成这样了还全家用苹果 2 一个iPhone4从谈恋爱用到结婚生孩子用到离婚 3 满街的水立方大裤衩还把北京装江州 4 谈恋爱结婚生孩子离婚都在一个冬天完成            
(3星)	 看完片花我觉得整部戏已经看完了。。            
(3星)	 姑娘一定是娇憨任性甜美的城市姑娘，小伙一定是嘴皮子活泛努力工作也还是捉襟见肘的傲娇小伙，这样的爱情，你不杯具才怪！            
(NA)	 看完片花我觉得整部戏已经看完了。。            
(3星)	 看完片花以后同样觉得把片子都看完了~            
(3星)	 贫贱夫妻百事哀，这话是真理。            
(NA)	 这片花，看完片花我也觉得这部戏看完了            
(5星)	 细节打败爱情。            
(5星)	 我不是说这片怎么怎么好看 咱也不说那些煽情的戏份 也不说演员演的如何 爱情什么玩意的 少女心什么玩意的 其实都是胡扯 你看过之后就能明白 这片里有80后 有穷B 有苦B 有极品男女 有旁大款的 有泼妇 有势利眼 有勾搭的 有打炮的 有偷情的 还有二奶 你说这样的片子怎么能不打五星            
(5星)	 文章。一直就因为各种各样完美男子地形象在众多女生眼里成为非王子类偶像人物。他不像一般的偶像演员，用虚华地外表和张显地气质来博女生地尖叫。几乎每个角色，却都叫女生爱到心眼里。莫小贝就是最典型地一个。这部短片里。光是简洁地预告，就足以让人震撼。80后典型爱情婚姻，90梦想中地爱情。            
(4星)	 看完片花我脚得整部戏已经看完了……            
(3星)	 看完片花我觉得文章的戏已经看完了            
(4星)	 有爱为什么还要分开呢？有爱就不分开，说什么也不分开，再现实也不分开好不好。。。            
(3星)	 看完片花我脚得整部戏已经看完了……            
(3星)	 看完片花我觉得文章的戏已经看完了。★★★            
(4星)	 总体不错，但剧情漏洞还是有，看得人很烦躁。            
(3星)	 看完片花我觉得整部戏已经看完了，看过《海洋天堂》觉得文章演技有进步，可现在咋整得又退回去了呢，又变回向南了。。             
(NA)	 文章~我真心喜欢你啊~            
(4星)	 看完片花我脚得整部戏已经看完了……            
(4星)	 看完片花就不用看了吧            
(5星)	 童佳倩她妈是这部剧里最经典的.....             
(4星)	 我好喜欢童佳倩她妈呀！！！说话忒快！！！！！她爸被她妈欺负的时候特好笑！！！！！            
(4星)	 我觉得裸婚不悲哀，悲哀的是根本找不到为之裸婚的爱情            
(4星)	 杜毅也不错，但就是感觉着怎么那么恶心呢            
(4星)	 剧透一下，结局是……你猜！            
(NA)	 裸婚，我个人理解有两种。一种裸的是物质，这个只要两人都有工作，好好过日子，我就不信真那么难过下去。最怕的是裸的是精神，两个人在一起生活，必将遇到各种各样的问题，假如毫无思想准备，给多俩人一个亿，那也不济事吧？            
(1星)	 垃圾的编剧 窝囊的演员 想打广告都想疯了吧 逻辑混乱成这个鸟样了            
(4星)	 用了两天一口气看完，最大的观后感就是中年妇女太可怕了            
(4星)	 童佳倩 你惜福吧!            
(4星)	 虽然我看到第八集的一半就弃了，但还是值得推荐，毕竟看了前面真的会被感动过，也为其纠结过。            
(NA)	 我觉得这是一个恐怖片            
(NA)	 谁那么缺德把我妈写剧本里了！            
(4星)	 刘易阳他妈就是一神经病。谁遇到这样的婆婆都得离。不过看着真难过，他们多相爱呀，一过日子就那样了。            
(3星)	 不和常理            
(5星)	 前二十集还行。后十集就差点意思。节奏一下子跳跃起来了。虎头蛇尾的感觉。。。            
(4星)	 四天的时间，在期末考试的期间看完了整部电视剧。好久没有喜欢一部大陆剧了，真心地觉得对以后也许有帮助，就拉上King先生一起看了。前面的二十集我都看得很认真，后面有点寡了，哎，好吧，面包和爱情，你会选什么呢？现在幸福就好。            
(4星)	 一个片花，基本把剧里所有的内容完全概括，悬念自然也不剩多少，但仍旧有不少段落让人落泪。只是故事后半段有种过山车式的质量下滑，各色植入广告也是毫不避讳的充斥眼球。倒是抡出来说，双方两人真和裸婚挨不上边。★★★★            
(3星)	 俩字儿：贫            
(3星)	 和《奋斗》差不多的低质素，俩欲赋新词强说愁的主儿。            
(4星)	 好男人没钱一结婚就出问题，这个故事告诉我们，恋爱跟结婚真得是两码事……            
(NA)	 原来文章是结巴呀            
(3星)	 文章怎么那么容易哭啊~~~~~~~~~~            
(4星)	 除了富二代慈善女狗血了点，高考、事业单位与下岗、高工资福利与私企无保障、堕胎与未婚先孕，物价与食品安全，这片完全就是给党妈90大寿献礼。女方妈妈实在是太真实了            
(4星)	 坐着发泄情绪的好电视剧，最喜欢脑残了。            
(4星)	 姑娘一定是娇憨任性甜美的城市姑娘，小伙一定是嘴皮子活泛努力工作也还是捉襟见肘的傲娇小伙，这样的爱情，你不杯具才怪！             
(4星)	 童佳倩做得够好了            
(4星)	 结局朦胧美。            
(5星)	 细节打败爱情            
(3星)	 文章开始有点装了            
(4星)	 前三分之二都挺好的            
(5星)	 这一辈子能碰见刘易阳这样的好男人怎么着都值了。很符合现代生活实际的好片子。看完好多感触。后面几集基本都是从头哭到尾。不过细节的确是打败爱情的罪魁祸首。爱的时候是真爱，可是早晚都会被现实冲垮。看完之后除了有点小欣慰之外更多看见的就是生活的残酷。            
(NA)	 刘易阳不爱童佳倩！            
(4星)	 除了我爱你比你爱我多之外，我没有任何地方优越过你            
(NA)	 从奋斗到蜗居再到裸婚时代，章哥一直都扮演着贫贱夫妻百事哀的角色，真是苦了他了            
(5星)	 30            
(2星)	 文章怎么老演这种窝囊废？？？？？？？？？？？？            
(4星)	 这片告诉我一个道理 爱是狗屁啊 钱才是你爹            
(3星)	 其实刘易阳这样的好男人和没钱这点能抵消 但两方家长极品了些 真不能住一块儿            
(5星)	 其实细节打败的岂止是爱情。            
(3星)	 本事不大脾气不小还死要面子的巨蟹男！复婚个P啊！            
(1星)	 看完片花我觉得文章的戏已经看完了～+1            
(NA)	 这暑假过得。。。            
(NA)	 欧巴桑都爱看呐            
(3星)	 继《奋斗》后又一年度超现实生活情感大戏。撒娇帝姚笛，大磕巴文章领衔主演。还有不停叹气摇头的凯丽，永远不停止哭泣的死孩子。前半部还算有条不紊，后半部严重表达错乱。虎头蛇尾说得就是你啊。            
(4星)	 没结婚打算，所以基本上和我无关。但感觉比假惺惺的奋斗要强多了。            
(2星)	 做作的一比……            
(2星)	 这个连续剧就是各种吵架，各种吵，故事特苍白~            
(5星)	 唉，看完之后很心酸啊。刘易阳真是好男人，就算穷点又怎么了，男人只要上进，那就好。            
(NA)	 和洪艳！            
(3星)	 没共鸣啊我            
(3星)	 童佳倩你没胸没腿就算了，还没脑，这么个三无妇女，天天晃在眼前惹人烦！            
(NA)	 什么都没有的时候我们有爱情。什么都有了之后我们却失去了一切。            
(2星)	 烂片。理由两点：1.剧本垃圾：相识十年彼此知根知底了怎么过日子还一副闪婚情侣的样子，背景设定就傻逼了；2.演技烂：男主角从头到尾只会哭丧个逼脸；3.上一点的延伸，偶像剧也好歹请点表情自然点的群众演员吧            
(5星)	 兜兜转转最后总还是会在一起的，这就是命里的人            
(3星)	 最总沦落为爱情文艺片...            
(3星)	 太多矫情。。。。            
(4星)	 越看这部戏里映射的现象越窝火。 就那么点破事儿，落到那么个心智不成熟的男人手里搞得鸡飞狗跳，连基本的责任感都不懂，还用9年时间总结出来个屁“细节打败爱情”！说得比谁都好听感人，干的也不是啥让人佩服的爷们儿事儿！有得必有失。            
(3星)	 就吵架的时候像真的，高姿，MINI COOPER，淘宝，东南汽车            
(3星)	 现实比这残酷多 拍中国电视剧才会一如既往happy ending            
(4星)	 这苹果广告到位啊！给的镜头怎么也得比过二号角儿了！连他们家吃的水果都全是苹果~~~            
(3星)	 文章是不是不说台词光做菊花似的表情的时间太多了啊            
(4星)	 贴近生活 很现实            
(4星)	 第一没有那么多富二代女到处给人开公司，第二为了面子搞得自己家庭破碎的人也没多少……绝大多数讨生活的人都是死皮赖脸，各种低头，各种无耻，各种走捷径，但最后还是混的跟屎一样。这戏好在没什么剧情硬伤，台词很顺溜，看起来挺过瘾不拖沓。            
(3星)	 确实是细节打败爱情            
(3星)	 看片花儿，省事儿。拍这么一破片子，谁敢结婚啊？！你以为人人都能找到给别人生完孩子还不介意抄底儿的备胎么？！太扯。            
(4星)	 看不下去了            
(4星)	 看看就好 别跟现实瞎联系            
(4星)	 挺现实的~            
(3星)	 姚笛长的有点像孙俪+李小璐+杨幂的综合体            
(4星)	 闹心            
(4星)	 看裸婚最后一集，刘易阳躺在床上看以前的视频流眼泪的时候我也哭了，原来爱情真的不等于婚姻，陪伴自己的应该是那个适合自己的人，经得住细水长流的才是婚姻。            
(4星)	 看著鬧心            
(1星)	 骗子，富二代            
(4星)	 杜毅好帅啊~讨厌            
(3星)	 什么样的人过出什么样的生活，跟裸不裸没关系。几位家长、胖子、娇娇等人演得都很到位。对俩主角不来电。要不是各种滥用Apple（连女主上司和医生都Macbook Pro，要做设计剪片子么？），要不是明明是北京非说是江州，能给4星。还没看完，争取看完。自《奋斗》以后很久没看国产剧了。            
(5星)	 谁能找到童佳倩那么傻的老婆和你裸婚 ？            
(4星)	 切，劉易楊有啥好的，老婆都懷孕了也不體諒著點            
(NA)	 还行            
(4星)	 终于看完了= =憋死我了…………            
(2星)	 裸婚和裸奔，都是不行滴。话说我还就喜欢孙晓娆，怎么说怎么做怎么选都有富家千金的样子！            
(4星)	 除了细节方面太大条，剧情和人物还是比较贴近真实的，让人挺有感触的。            
(5星)	 “婚姻与爱情真他妈是一对死敌啊！爱是理想主义，可以不顾后果，一路疯狂。婚姻则要慢慢收拾这个疯狂之后的烂摊子。”            
(5星)	 给5星，不是因为有多好·· 是因为有多伤感····            
(NA)	 挺有意思的 可真是听不惯北京腔- -            
(5星)	 以前不当家不知道生活有多苦童佳倩没结婚的时候。和老板吵架多理直气壮。但结婚后，要为孩子的奶粉钱去低声下气的和那个女上司说话。这就是生活。爱情是不可缺少的，但是。真正的生活啊，柴米油盐酱醋茶。童佳倩说，有情饮水饱。真的吗？那些为了生活奔波的人，你问问他们。            
(1星)	 必须一颗小星星啊·····乱七八糟的            
(5星)	 话说我挺喜欢文章的。。。            
(5星)	 贫贱夫妻百事哀哀的我跳过了15集直接看了结尾而且完全可以凭结局脑补这15集中发生了 什么盒盒后。            
(4星)	 所以现实还是挺他妈残酷的，风花雪月的那点浪漫趁着恋爱期间赶紧享受了吧，结婚之后就得使劲儿赚钱养家，千万别跟文章似的让媳妇儿骂的抬不起头来            
(3星)	 终于在走之前全部看完了。虽然故事有点扯也有点弱。但还是有值得思量的点。最烦杜毅这种角色。除了好和二，一点特色都没有。            
(4星)	 继《奋斗》开始，这些青春励志爱情剧都把八零后的孩纸们看残了。            
(2星)	 最大的BUG就是在中国没有房子根本结不了婚，哪来后面这么多的故事发生！            
(4星)	 顺潮流看看            
(NA)	 杜毅真帅            
(2星)	 物质不是万能的,就像张柏芝与谢霆锋; 没有物质是万万不能的,就像童佳倩跟刘易阳;不过他们倒有共同点,都是傻逼儿女遇到了极品家长... 拜托,赶快离婚  //   顿时觉得自己的父母很好了,有木有!! ..不过每次这种亲子剧一来,在老一辈面前,年轻演员的演技那个做作跟稚嫩啊.               
(5星)	 ╮(╯▽╰)╭            
(4星)	 现实得有点残忍。            
(4星)	 三星，还有一颗给文章。            
(NA)	 就不能换个女主角么。。。            
(3星)	 看完片花我觉得文章的戏已经看完了            
(3星)	 我对这种剧真是完全没有好感。。            
(NA)	 看得零零落落 文章真的好适合这样暖心的好男人。            
(4星)	 细节打败爱情，感同身受的我心都碎的跟饺子馅似的            
(5星)	 这剧就适合MC期间看，哭死我算了。            
(4星)	 这两天看得天昏地暗的，我看连续剧总是在都下架后才开始追，不过真的很棒，特别是人物性格的塑造上，从每个人身上能看到不同的东西，不做作的电视剧。            
(NA)	 裸婚裸不起的。。。            
