http://movie.douban.com/subject/6534065/	女人的香气 여인의 향기
(4星)	 金善雅你这个福气！！！！来完玄彬来车胜元，现在还有李东旭！！！你艳福不浅呐！！！！！！！！！！！！！            
(3星)	None
(5星)	 又是一部讲述受欺负委屈老女人和帅气富二代男主相恋的故事。。。但我还是看了，而且还觉得好看。李东旭和金善雅简直是绝配了。            
(5星)	 女主演技绝对值5星啊            
(NA)	 金善雅 不可能错过你            
(4星)	 善雅姐 第一集最后 演技爆发！            
(5星)	 女主角过了十年节俭平淡隐忍的生活，终于在得知自己还有半年的时候，开始做自己以前不敢做的事情。。这部剧没有让人快进着看的想法，是一部不错的电视剧，会一直追下去的。。            
(5星)	 宣儿跟小李子没火花啊没火花。。还是跟小玄子有火花。。小李了气场严重不足啊~~可惜了两人居然是我最喜欢的韩国演员。。不过能合作己经高兴的不行了。。期待后面可以磨合的好一点。。。加油加油。。            
(5星)	 金宣儿的演技一如既往地好，看她选的剧可以放心很多，姐姐挑剧本的能力一级棒，不会挑那种没内涵又显得幼稚的戏。像我这种随着年龄变大也对韩剧越来越挑，不再满足于单纯的帅哥美女和唯美画面，希望能看到更多深入心底的故事，而姐姐的剧从不会让我失望，从三顺到每天夜晚到CITYHALL到女人香，都喜欢            
(5星)	 5星为了金善雅            
(4星)	 李东旭终于退伍回来了 金三顺也瘦成了纸片 又是王子和灰姑娘的故事 一开始就给女主整出了个绝症 难道结尾是个悲剧 真心求虐             
(3星)	 其实这部剧就是中规中矩，没啥特点，平庸，桥段俗套且无聊            
(2星)	 看了这么多韩剧总算是悟了，所有的韩剧都传递了一个信息，女人想要改变自己的人生，那么就去找个男人吧。三顺啊你的演技怎么都是一个样哇！！连身材好到爆的东旭oba也总是一副双眼微红情感充沛的小模样哟，omg。。顶不顺了。。果断弃于第一集。            
(5星)	 一直都很喜欢 宣儿的电视剧，从三顺 市政厅 到现在女人的香气 宣儿的演技都没的说啊，真是好看急了 虽然到第二集结束了才出现和男猪脚说上一句话，不过我相信后面会越来越好看的哦            
(1星)	 金善兒聲音真的好噁，角色性格抑鬱又煩人!只為嚴基俊看，演技派!在這裡還挺帥的            
(5星)	 永恒的三顺姐啊~这部剧追到第四集感觉蛮好的~说不上很惊艳但吸引人是有的~            
(3星)	 三顺瘦了之后显老，前几集疲软，情节发展太慢，无用的拖沓情节太多。看到女二就不爽。严基俊明明是喜庆的，非要人家绷个脸。这部戏明显全靠三顺一个人撑起来的啊。            
(3星)	 剧情应该还是老套的，有钱男主角和很衰的女主角。没有什么爆点，无聊打发时间咯。不过第一集金善雅太他么怂了，太假了。而且又是癌症            
(4星)	 第一集结尾哭了一鼻子，希望后面越来越精彩            
(3星)	 真的很弱智很烦很腻歪的剧情。不过还是挺可爱的。拖着快进看的，哈。            
(2星)	 一星给三顺的，虽然自从三顺之后我没发现她哪部让我觉得很经典的。。。一星给我看的最后一集，竟然死了。。。。晕啊，我就看了开头好无聊，不是我的菜            
(1星)	 垃圾。            
(5星)	 又一次秘密花园。追了。。            
(4星)	 眼泪不要钱啊，每集都流，诶            
(4星)	 最後幾集棄了.......            
(2星)	 不能理解这样的高分，比秘园和听心差很多            
(5星)	 为了李东旭给五星...连夜看完是有多花痴- - 我这种超级鄙视韩剧的人 竟然连夜看完了 剧情老套 但是不少细节设计很出彩             
(4星)	 一盆狗血泼到我头桑，看别人的故事流自己的泪            
(5星)	 看着笑 看着哭 一路下来 一部剧看完 真的很不错             
(3星)	 韩剧。亮点：潮男女（装扮）风景美，背景音乐出彩，沙滩老外男女跳舞很风情，风笛真好听。剧情：延续韩剧脑残系路线，生活即使再多不公平和委屈，即使绝症降临，也不会得到上帝怜悯，奇迹出现，王子现身。当生活过分压力，善待自己实际也非常有限，力不能及，这也是剧中女10年来只能不停的节俭。             
(5星)	 金善雅演的很美。把晚期癌症患者的心情演的很到位。演技没的说。但是整个充满一种淡淡的悲伤。结局给我的幻想挺好的。但是让她死比较显示。            
(5星)	 前半部分比后半部分精彩，金善雅实在合适此类角色，结尾不会那么伤感，但是想起，比悲伤更悲伤事，或者那样好？            
(2星)	 女人瘦了显老。开头还可以，是韩剧千古不变的灰姑娘剩女故事。6集以后基本没法看了。            
(5星)	 好久没看过萌点这么多的剧了~~~~宣姐太棒了~~~狂爱！！            
(5星)	 三顺就是从来不会让我失望啊。            
(5星)	 虽然女主角得了癌症，但是故事不再限于穷酸女和富二代的肤浅的生离死别里，狗血是有但是瑕不掩瑜，关于生活的积极的脚步，温馨还励志还怅然若失   男二号的演的真好，男女主角也演的很用心            
(5星)	 真的是太好看了  东旭和善雅演得都非常好 一定会成为经典！！            
(5星)	 很久没看片子跟着主角心动了。            
(5星)	 ~金善雅演技没得说，真心好看呀~            
(5星)	 为第一集最后善雅欧尼的演技五星~真心求悲剧结局~            
(5星)	 大爱宣儿  拍得很美            
(5星)	 宣姐华丽归来，好看啊！            
(4星)	 看见三顺泪汪汪的，我也受不了的~善雅肿么又演了个悲催的老女人呢~还要比三顺更惨···            
(4星)	 看了第一集，感觉挺抓人心的。想一直看一去，只是第一集就被病判了刑 难道是悲剧吗？             
(1星)	 太差了，剧情简直越来越白痴            
(4星)	 第一集實在是讓女性同胞覺得壓抑的想大叫！剧本很像《last holidays》，只是我绝对不会压抑自己到这个地步，作为新时代女性即使生活与命运都要和你开玩笑，顽强地面对与微笑，是最好的药剂。PS：冲绳的海真好看，又多了一个想去的地方了。男女之間TANGO的感覺非常棒，金善雅在現實世界里也是才女呢！            
(4星)	None
(3星)	 癌症车祸多金男爱上平凡女的韩剧剧情确实不咋的，冲着演绎派金善雅和呆呆的东旭我还是看完了，不得不说昔日的金三顺真的老了。。。            
(5星)	 才看第一集 我就快痛哭流涕了！！！TAT  现在两只眼睛就像桃子一样！！！！            
(5星)	None
(5星)	 韩剧有三包宝：车祸，癌症，治不好            
(NA)	 适合生理期释放眼泪，洗澡戏是福利，手放在胸肌上好紧张！            
(5星)	 我还是很爱三顺的，嘿嘿            
(3星)	 癌症什么的俗肯定是俗，但眼泪也是哗哗的。真心佩服三顺哦妮的减肥功力，细胳膊长腿大美背的，好羡慕。把眼泪含在眼眶里，死也不眨一下，直到泪水涌出眼眶，划出一道美丽的弧，这当真是本事啊。片名和《闻香识女人》一样，不过是因为都用了Por Una Cabeza这首经典的Tango舞曲，与剧情着实没大关系。            
(5星)	 给个五星啊！因为演员木有死给一星 一星给金宣儿 两星给李东旭 剩下一星给不会演习的俊秀...咩哈哈。            
(5星)	 刚开始2集就看哭了。老纸泪点要不要这么低。。。            
(5星)	 【和每一个人一起度过的所有时间，最后就拼凑成了我的人生。】最后两集我真是太喜欢了，连李东旭哭得一塔拉糊涂的丑样也可以原谅了！！对明天的释然，是因为对今天的珍惜，嗯！！欧尼真是WONDER WOMAN~！！&gt;333&lt;            
(5星)	 我我我。。。我可喜欢男二号了。。。            
