http://movie.douban.com/subject/2214123/	青青河边草 青青河邊草
(3星)	 只记得主题歌。青青河边草，悠悠天不老。            
(NA)	 青青河边草，嘿，永远变不老。。            
(5星)	 金铭啊            
(3星)	 年少的记忆            
(3星)	 咱也琼瑶过，咱也看哭过！            
(3星)	 小雨点~~~~~~~            
(4星)	 啊哈哈哈哈哈哈……            
(NA)	 久远久远记忆            
(NA)	 雷记忆            
(4星)	 马哥的天下～～            
(4星)	 小时候真的很喜欢            
(5星)	 小学四年级时候，跟外婆、小姨一起，在安徽电视台一套看的。            
(3星)	 外婆喜欢看            
(NA)	 咆哮教主 當時怎么就沒覺得你這樣愛咆呢            
(NA)	 景涛帝            
(4星)	 咆哮吧，景涛哥！            
(NA)	 记得小时候特讨厌这个电视剧，似乎特长，整天没完没了的播，动画片都没得看，并且里面的男男女女哭爹喊娘的，好不凄凉...            
(4星)	 初中的时候真的很被这个的剧情吸引。            
(NA)	 似乎是看得第一部琼瑶剧 感动得一塌糊涂            
(4星)	 还成            
(4星)	 小时候一家人常看的。            
(1星)	 涛哥依旧            
(NA)	 我其实想说肉麻            
(4星)	 好看。            
(NA)	 上上下下的享受和妈妈柠檬             
(3星)	 金铭的成名作吧~青青河边草的主题曲我还记得。还有少年特工的叶静!            
(4星)	 琼瑶阿姨的剧，我只喜欢这部。讨厌咆哮马。            
(3星)	 初中还是高中看的了吧，也就那样了。            
(3星)	 多可爱的娃儿            
(2星)	 超级吵闹，歇斯底里            
(1星)	 从当年看的时候就被雷了。。。            
(4星)	 哭。但是忘记为什么哭了。            
(3星)	 久远回忆            
(4星)	 我是一颗小小草哇～～            
(NA)	 青青河边草，悠悠天不老            
(4星)	 金铭儿~            
(NA)	 断断续续,没印象了其实.            
(5星)	 他真的把女主角摇晕了么            
(3星)	 琼瑶啊琼瑶            
(NA)	 补遗               
(2星)	 女主角让人无法忍受！！太白痴了！！！            
(5星)	 只比我大一岁的片子   喜欢那时的小金铭   现在家里还存着她唱的磁带            
(4星)	 喜欢岳翎~            
(4星)	 那時就真的很迷這個！            
(2星)	 我滴妈……            
(3星)	 已经不记得说什么了，就记得那句“青青河边草&#34;            
(4星)	 小时候觉得挺喜欢的，尤其是叶静小帅哥，呵呵~~~还有那首主题曲记忆犹新啊            
(3星)	 咆哮马。。。只记得主题曲 = =            
(5星)	 若干年后才记起来，原来那里是扬州~            
(4星)	 还是只记得歌曲和金铭的脸了。            
(4星)	 全凭当年的感觉 那个年底这也不放过 哈哈            
(NA)	 马景涛啊马景涛            
(3星)	 演小草的金铭现在很大了吧？如同我现在也上年纪了。            
(NA)	 囧死在这里..            
(4星)	 到现在我都记得里面那个小男生的样子            
(3星)	 还记得这首歌:青青河边草,幽幽...            
(3星)	 小草！            
(3星)	 怀念            
(3星)	 当时一次最多理解两三集，整个故事在讲什么就完全没法把握了＝。＝            
(1星)	 真j8能哭。            
(3星)	 咆哮马力作之一            
(3星)	 重播率除了还珠系列和情深深雨蒙蒙外是最高的了吧            
(3星)	 又见景涛            
(4星)	 阵容很强大 琼瑶作品里较为经典的一部            
(2星)	 这戏跟着老妈看的。。            
(NA)	 所谓童年...=w=            
(3星)	 那个主题曲超级万恶 我现在还记得            
(3星)	 这本我也蛮喜欢的            
(3星)	 小时候好经典的片子呢。            
(3星)	 没印象鸟……            
(4星)	 【这是为了今年阅片量凑数的！！！这是为了今年阅片量凑数的！！！剧情导演背景神马的都知道啊都知道！！！！】            
(3星)	 我會唱主題曲            
(5星)	 金铭今年要来的            
(4星)	 可揪心了            
(NA)	 都是很小时候看的            
(NA)	 小学时候还能看一点琼瑶剧，不敢复习，否则必然会恶心到自己            
(5星)	 当年好喜欢            
(NA)	 我始终记得看《青青河边草》那一年，全村小孩都得了红眼病            
(NA)	 这些琼瑶剧。。我看的时候可稚嫩了。。都忘记看过些啥。。只记得看过            
(4星)	 主题曲很好听。。。            
(3星)	 我小学的时候竟然觉得这片哭哭啼啼的不要看            
(NA)	 金铭最美时            
(3星)	 回不去的童年            
(NA)	 愤世嫉俗的离家青年何世纬（马景涛 饰）。            
(3星)	 还有何晴？！            
(NA)	 这个也看过无数遍            
(NA)	 小时候的记忆            
(4星)	 难得有一部琼瑶剧我爸妈允许我看的。。。            
(3星)	 我只记得改变的黄歌，还有小时候的金铭            
(4星)	 金铭小时候真好看……现在……- -唉……            
(NA)	 咆哮不知所以，自此而始。            
(NA)	 小时候的沉迷            
(5星)	 看了不记得多少遍            
(3星)	 马景涛的鬼哭狼嚎。            
(NA)	 日啊 老娘居然又看哭了！好堕落哇我！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 我可怜的童年啊，全部交给这种雷剧了。            
(2星)	 这么多年这部剧唯一让我记得是：你个杀千刀的..            
(5星)	 吖！ 我又泪流满面叻~            
(4星)	 我还记得那首小草的歌            
(5星)	 原来是琼瑶阿姨啊。。。那会在麦当劳看见金铭大姐姐可兴奋了~~话说那会北京好像就那么一家麦当劳？？            
(3星)	 我十岁生日，某阿姨为我在厂电视台点歌就是点的这主题曲……            
(3星)	 记忆中，拍的真的还好。            
(3星)	 金铭。她今年多大了。。            
(4星)	 只记得当时看的时候好像很喜欢～            
(NA)	 五婶爱看琼瑶，我们几个也跟着看全了，现在还会唱那首主题歌。。囧。。            
(3星)	 小时候喜欢            
(4星)	 小雨点            
(NA)	 跟着妈妈瞎掉泪的小时候            
(4星)	 这个~~            
(NA)	 接着咆哮            
(NA)	 补注。            
(4星)	 80一定看過的片子啊 binggong～ 大家的回憶果然是一樣的 恐懼- -            
(4星)	 咆哮教主……            
(3星)	 好早的片，拍得还是不错的            
(3星)	 学吉他时的练习曲            
(NA)	 当年很喜欢            
(3星)	 有点无聊            
(5星)	 小草...            
(4星)	 带着我童年的记忆，在河边里嬉戏。也伴我成长。            
(NA)	 好吧，如果是现在我是绝对不会看的。但是小时候的确看来不少琼瑶剧。。。。。。小金铭很可爱，马大嗓子。。。。。不说什么了            
(3星)	 喜欢金铭！            
(4星)	 小金铭呀~            
(NA)	 青青河边草，悠悠天不老            
(3星)	 金铭+叶静 童星情侣啊            
(3星)	 幼儿园时期的红片 情节忘得差不多了 只记得金铭和主题歌啦            
(4星)	 豆瓣果然是吮么都找得到。            
(4星)	 里面的歌都很好听啊，岳翎很清秀的说            
(4星)	 总是能很深情的雷到我.这里面父子情母子情母女情的戏比较好~            
(3星)	 忘不了那首歌……            
(NA)	 骗掉你无数眼泪的琼瑶阿姨作品，可以考虑和面巾纸商家搞联手促销。。。。            
(3星)	 不记得了……太老了            
(3星)	 只有一个字，吵。            
(NA)	 小金铭。那时人人喜欢你。            
(5星)	 小时候            
(3星)	 小草。哈哈            
(3星)	 何晴是个大美女！！！！~~~~            
(4星)	 主题曲可是我童年时候的主打呢~~~            
(4星)	 童年的美好记忆            
(4星)	 放这部电视剧的时候,里面的小主角小草的饰演者金铭可是红遍了大江南北.那首&lt;青青河边草&gt;也是走到哪,都能听到.            
(NA)	 青青河边草，绵绵到海角            
(NA)	 青青河边草            
(4星)	 金銘金銘            
(NA)	 金铭里面的扮相真可爱            
(3星)	 我就是一个老人.            
(5星)	 金铭小时候多漂亮~惹多少人喜欢啊~            
(3星)	 小时候老唱：青青河边草，牛儿在吃草            
(NA)	 金铭 小时候好看            
(3星)	 眼泪啊。这个最催泪了。            
(NA)	 喜欢这女人。            
(NA)	 主题曲响彻耳边            
(NA)	 现在看虽然很囧，但不可否认这是我成长的过程。            
(4星)	 就是看这部剧喜欢金铭和陈德容的。            
(NA)	 【1992-03-17】            
(3星)	 이것이 엄마에 대한 추억이다.            
(4星)	 也是。。竟然看完了！！            
(4星)	 小時候，咱也瓊瑤過。            
(3星)	 哈哈~这个。。。            
(3星)	 主题曲洗脑不解释...陈红真好看...还有那个演过观音姐姐的姑娘...            
(4星)	 青青河邊草，悠悠天不老            
(NA)	 就记得你妹的一直在哭，一直在吼了            
(3星)	 哈哈哈哈，教主！！！！！！！！！！！            
(4星)	 那时候家里还是黑白电视机，调频道还得用小扳手，还只有一两个台，电视台播这剧时我才几岁，和大人们一块看那时候他们喜欢的电视，到现在还有对它的印象            
(3星)	 初识教主            
(3星)	 岁月是把杀猪刀，金铭也残了            
(3星)	 金铭啊。。。我当年还买过你专辑            
(NA)	 跟着姐姐们看啊看的就看习惯了            
(3星)	 童年哪……我居然還記得小草的老師姓華 (爆)             
(NA)	 哈哈~鬼丈夫~            
(3星)	 教主威武。            
(3星)	 一般一般吧，一直觉得是儿童剧            
(3星)	 青青河边草，悠悠天不老。            
(3星)	 青青河边草 哟            
(3星)	 拜教主 囧 小时候看一直搞不懂女主究竟是刘雪华、岳翎还是金铭 -________-&#39;&#39;            
(5星)	 青青河边草            
(NA)	 我还能记得OP!!!            
(2星)	 金铭粉嫩            
(3星)	 马叔叔已经咆哮始祖了。            
(4星)	 我妈说我看的哭死了!!            
(3星)	 吼吼吼。小时候的我是琼瑶迷。            
(3星)	 1993年春天            
(NA)	 金铭那时候该是有多萌。多少孕妇都把她照片贴在床头当胎教。            
(3星)	 琼瑶剧的音乐真是无敌            
(NA)	 当年我有这个磁带！            
(4星)	 好吧也算经典了            
