http://movie.douban.com/subject/3016210/	爱杀17 愛殺17
(5星)	故事情节来讲是我看过的台湾剧中比较不错的一部，而去翻看背后的花絮的时候，又看到从编剧到主创鼻涕一把泪一把的说着媒介和政府对自己的不支持，毕竟一部好作品出来不容易，相对来说，这一点在日本可能就放宽很多，所以很羡慕他们的创作环境呀！
(5星)	至今认为台湾最好的偶像剧
(4星)	张韶涵凭借这片子入围金钟最佳女主角。沈时华凭借这片子获得金钟最佳女配角。
(4星)	中二病时期最爱www
(NA)	青春不只有白色梔子花瓣，還有謊言和死亡
(3星)	逆转的推理惊悚题材
(5星)	很早以前看过的,觉得中国最好的偶像剧……
(4星)	唯一一部看全的涵涵主演的电视剧，没有了过多的你情我爱，这剧还是值得一看的~~
(5星)	居然有人对这个句的标签是，惊悚！
(5星)	目前为止我最喜欢的一部台湾偶像剧
(4星)	这算是最有内涵的台剧了
(5星)	再拿来看.依然觉得很经典.
(4星)	有了这部 为毛张韶涵还跑去演公主小妹。。。男主拍拍广告mv就行了 听他讲台词是一种痛苦。。。
(3星)	主题曲，口袋的天空要比片尾曲好听一百倍啊
(4星)	题材很不错哦
(3星)	我的天~台湾人的日本情结好重额~即便是偶尔原创一次，也摆脱不了扑面而来的浓浓的日本的味道！PS：结尾那一片段也太充数了吧。那个咖啡女感觉好像《旋风小子》里的珍珠哦~
(4星)	不赖http://www.youku.com/show_page/id_zcbfc11ae962411de83b1.html
(3星)	真怀念那个还看的进电视剧的年代 时间比较好打发
(5星)	结局实在是大大出乎我意料！
(5星)	剧情很赞。。。诡异额。。。恐怖额。。
(4星)	高三的时候看的= =
(4星)	是我看过的最好的台湾剧
(4星)	黑色偶像剧，我承认我有点小阴暗~
(1星)	當年覺得太驚悚了就沒看下去……囧
(NA)	当时看的时候还真的惊了下，不再弱智了
(NA)	我曾经和里面的张韶涵在相当长的时期里保持同样的发型，耶比
(5星)	一样虐。。。变态。。。不过张韶涵演技真不错
(4星)	难以置信的，很精彩
(1星)	什么烂片啊，乱歹阿毛的
(5星)	青春 秘密 失去 承诺 爱·背叛 谎言 羡慕·嫉妒 恐惧 欲望 伪装 游戏 爱情 毁灭 救赎 ——人的心灵是无底深潭。
(NA)	我也有过看台湾剧的时代 呆摸这剧还不错看
(4星)	我美好的高中回忆
(3星)	剧情拖拉。很做作。
(4星)	当年看的时候感觉还不错，起码没那么闷
(NA)	高三的时候看的..
(NA)	有点阴暗。。
(5星)	虽然从当时看这部剧甚至到现在也还是不喜欢张韶涵，我绝对是一个会因为有不喜欢的人而不看某部剧的人，但是机缘巧合下我看了她演的这部剧集，说真的我和我家罗一致觉得这部剧真的蛮好看的~
(NA)	双生的善与恶。
(2星)	不好看
(4星)	有内容的一部
(4星)	我愛宜靜`我們心中都住着一個靜。
