http://movie.douban.com/subject/2297165/	碧血青天杨家将
(4星)	 好像喜欢过一个角色叫灵儿（皇帝私生女）。庞妃好漂亮~~            
(5星)	 最怨念的片之一！！！！            
(3星)	 包黑子换了个身份 可惜一样认的出是他 哈            
(3星)	 细腰乍背的展昭和庞妃扯上了。            
(5星)	 那个时候好喜欢杨文广啊，可爱            
(NA)	 这辈子看过的电视剧的主题曲要是做个好听排行，这个绝对排前三！            
(3星)	 挺热闹精彩的跟风作            
(5星)	 当年很迷吴毅将。。。。            
(4星)	 把《杨家将》改成了《包青天》，但异常精彩，打斗场面很过瘾，尤其展昭和皇妃师妹的爱情纠葛            
(4星)	 这个很不错            
(NA)	 童年啊，童年            
(2星)	 【舍】            
(3星)	 小杨广好可爱            
(3星)	 小时侯好象特别喜欢看这个            
(4星)	 童年记忆            
(NA)	 杨家将和包青天混搭啦            
(NA)	 我记得这个里面有蔡晓仪~演庞妃~跟展昭从头拧巴到尾急死我了~鲍起静的柴郡主~徐少强杨宗保~苑琼丹的杨排风~~            
(4星)	 亚视牛逼作品 片头给力。            
(4星)	 也就胡乱瞄了几眼飞速重温，此版杨家将仍然是迄今最好看的，后来苏有朋胡歌众人的老没意思。太喜欢王艳娜的灵儿了好吗可惜妹子早淡出圈子。            
(4星)	 展昭总是很帅的。            
(5星)	 小时候疯狂迷恋的...            
(5星)	 这部的展昭是亮点，有心理活动；这个演员貌似是模特，不过现在貌似发福了。。。而且老是演坏人。。NND            
(5星)	 哇塞 我小时候狂爱那展昭挖～            
(4星)	 还记得杨门女将华丽丽地穿着白衣服跪在法场上，面不改色心不跳，当时心想，这帮娘们都是吃什么长大的啊            
(3星)	 片头曲好听@@            
(NA)	 那时候都上包青天！            
(5星)	 夢回黑白彩色電視時代～            
(4星)	 蔡晓仪挺好看的            
(5星)	 一直都很喜欢这部剧！！！            
(5星)	 经典啊！            
(NA)	 碧血青天            
(NA)	 喜欢吼天喝月那歌~            
(3星)	 童年             
(4星)	 记得还蛮好看的 = =            
(4星)	 当时而言，该剧佘太君的形象、气质确实不错。            
(NA)	 主题曲必学            
(3星)	 追过的为数不多的港剧，印象最深的是庞太师还有顾天命...            
(3星)	 现在完全木印象了=。=            
(4星)	 很小的时候跟妈妈靠在床上每晚看两集 阿妈对庞太师那是咬牙切齿的痛恨啊 然后每次看到庞太师被包拯和佘老太太在朝堂上挤兑就欢乐得不行 哈哈哈哈            
(5星)	 甄志强的展昭也好帅【好吧，我是展昭控】            
(NA)	 就喜欢里面的杨文广            
(4星)	 情节忘了。只记得自己看过。            
(4星)	 当年至中意的一部剧。现在还记得那首好听的片头曲，情节却已经忘光了。            
(4星)	 怀念啊~            
