http://movie.douban.com/subject/3114923/	白发魔女
(3星)	 只能说张智霖很帅，蒋勤勤很漂亮。            
(3星)	 最好看的练霓裳            
(4星)	 练霓裳是奇女子 可惜卓一航配不上她             
(NA)	 其实蒋勤勤白发之后真。。难看。            
(4星)	 因为于佳卉，我又想起了这个很早以前的电视剧。哈哈哈。现在看蒋勤勤的扮相好雷人。            
(2星)	 张智霖            
(4星)	 初中看的，为了俺家CHILAM.俺坚持不懈的在中考前看完。            
(4星)	 分数都给两个主角 张智霖和蒋勤勤 至少小时候看 我也是痴迷了            
(3星)	 白发魔女太美了。            
(NA)	 小时候想,怎么可以甩啊甩的头发就白了...            
(4星)	 很经典的片子哦。蒋勤勤            
(3星)	 蒋晴晴、            
(3星)	 真是说白就白            
(4星)	 蒋勤勤AND张智霖！            
(NA)	 补遗                  
(2星)	 很难看            
(3星)	 当年就不好这口。，。            
(3星)	 那时候每天利用中午放学回家吃饭的空隙，赶回去看！            
(4星)	 蒋勤勤大浓妆超好看～            
(3星)	 我喜欢的梁羽生的武侠             
(5星)	 怀念迷恋此片的岁月。            
(4星)	 每天放学回家吃饭时候看一会的记忆~            
(NA)	 动人            
(3星)	 主角有爱            
(5星)	 偷偷看啊！            
(NA)	 一点都不明白练霓裳干嘛要喜欢卓一航。。完全没优点！！（唯一优点是大仙演。。。）            
(5星)	 小时候每天熬夜只为看到新的一集            
(5星)	 玉罗刹、霓裳、白发魔女，这都是一个人            
(3星)	 张智霖的造型难看到渣，化妆师应该拖出去抽死。            
(3星)	 这电视拍的，活活浪费资源，比新加坡版差太多。            
(3星)	 有人记得何萼华么？            
(NA)	 夏天下午            
(NA)	 越虐越性感            
(NA)	 我喜欢。。但是这种爱情很夸张            
(3星)	 爱你久久            
(4星)	 当年很迷。            
(4星)	 汇集我的至爱——蒋勤勤&amp;张智霖！怎能错过~~            
(4星)	 蒋勤勤颜鼎盛的时期            
(3星)	 为了看张智霖，这么狗血的剧情我竟然也能忍。。。总体一星，两星给张智霖~~            
(NA)	 有点忘了呢，但是不赖的            
(NA)	 蒋勤勤的白发造型我真是忘不掉= =            
(4星)	 当年超爱看啊            
(3星)	 只记得张智霖，居然是蒋勤勤的白发魔女？我居然没印象了            
(3星)	 那时候跟罗魏姐姐一起看的            
(4星)	 蒋勤勤好美！            
(NA)	 记得小时候每集必看啊            
(NA)	 小时候是有多爱看啊            
(4星)	 好吧豆瓣能猜对的也只有这些老东西了....当年在ATV看的，可惜现在已经没有粤语版。还记得主题曲，记得歌词中站在城市中央等待被海浪淹没的绝望窒息与痛悔。后来找了小说看，惊为天人。金庸古龙笔下女主纵使姿态万千，也永远比不上梁羽生的厉胜男与练霓裳。            
(4星)	 太小了，忘光光了            
(3星)	 看过，但不记得了。            
(5星)	 当时好喜欢看，特别喜欢蒋勤勤···            
(2星)	 堪称烂片            
(NA)	 那时觉得蒋勤勤可美了            
(4星)	 初中一年级 考完试回家第一件事就是看这个~一航一航的叫歪            
(NA)	 蒋美人白衣飘飘乃是梦中景啊，只是不明白为何有点咆哮状态，至今未知男主，卓英豪？一航？英航？。。。            
(3星)	 印象最深的居然是《爱我久久》            
(4星)	 至今 还记得主题曲。初中看得。。            
(5星)	 看在我当初被这片子迷得七荤八素的情分上。五星。因为现在再也找不到这种感觉了。            
(5星)	 当初那叫一个惊为天人啊！！！！！！！！！            
(4星)	 我好像真的看过很多电视剧啊……            
(4星)	 我记得我以前还蛮喜欢看的。            
(5星)	 当年为了看结局生生逃了课……            
(5星)	 第一个喜欢的女演员。。。            
(3星)	 那时候觉得老好看了，，u哈哈            
(4星)	 大一的时候宿舍里天天追着看，还把剧里的角色安插在自己、同学和老师头上。我是一航~~ 哈哈！（也是因为这部剧，才发现张智霖原来长得很帅！）            
(2星)	 除了妆很惊悚之外没有任何可取之处            
(4星)	 虽然和原著差别还是很大的，喜欢主题曲，记忆中的白发魔女~~~~            
(NA)	 里面一帮牛鼻子老道士,迂腐.那个魔女有点偏激.            
(1星)	 囧剧            
(3星)	 很感人的            
(5星)	 年少时的感动。            
(3星)	 小时候看的            
(5星)	 大爱大爱！！哭到不行……            
(5星)	 我只记得小学偷偷看到11点半才去睡觉的时光。            
(NA)	 在我眼里最好看的港片            
(5星)	 小时候的最爱~            
(5星)	 喜欢张智霖和蒋勤勤```虽然与梁羽生小说出入很大```但这部温馨的《白发》符合国人的审美趣味```            
(NA)	 又一部白发魔女            
(5星)	 一度十分痴迷            
(4星)	 一直对那个美丽的霓裳记忆犹新            
(4星)	 大晚上躺被窝看的，画面太阴森吓得我不敢上厕所            
(NA)	 实在是好久远了~~蒋勤勤又一个美人            
(5星)	 蒋勤勤的古装真是惊艳啊，张智霖那时还挺嫩，话说里面的金庸元素好多啊，虽然是梁羽生写的。。。            
(2星)	 扯            
(4星)	 哦呜怀念年幼时光！            
(4星)	 曾经挺喜欢这部电视剧的。。。。            
(4星)	 童年武侠剧的美好回忆。            
(5星)	 蒋勤勤啊==美死了            
(4星)	 童年看着只有铁路新闻 几乎没有广告的 铁路台 看电视剧 比pps还爽还记得 一个寂寞的暑假 也是这部剧陪我度过            
(NA)	 小時候的記憶啊。。             
(5星)	 今天晚上看的三部电影里拍得最好的。。。            
(4星)	 剧情有点弱，不过用的演员都很喜欢，尤其是演坏蛋慕容冲的那位。勤勤那会儿真好看，出来的时候仙女啊，比刘亦菲的小龙女都好看！            
(4星)	 冲着勤勤给4颗星吧，还是剧情不够吸引人            
(3星)	 演员不错            
(5星)	 非常非常非常好看啊= =            
(5星)	 小时候的回忆呀 ，俊男靓女 现在看都很经典的说            
(NA)	 霓裳~~一航~~~晕            
(3星)	 当年很爱看            
(3星)	 小时候看的，很受感动。            
(2星)	 当年和现在都看不完            
(NA)	 之前还一直想着这剧的女主角是谁呢。            
(NA)	 小时候看的            
(3星)	 剧情又臭又长 有扯皮之嫌 不过蒋勤勤确实是个美人胚子            
(5星)	 张智霖很帅，蒋勤勤很漂亮            
(5星)	 当年我最爱看床戏了！。。。。。。。。。。。。。。。。            
(2星)	 虽然是帅哥美女，就是不感兴趣啊            
(NA)	 莎            
(NA)	 梁羽生            
(3星)	 一朝青丝变白发，从此转做烂柯人!            
(4星)	 除了台词没什么新意            
(2星)	 小时候            
(4星)	 这个太稀饭了，经常哼那歌。            
(3星)	 要不是因为男女主角真不想看这狗血的剧情....            
(3星)	 特~~别~~扯~~~            
(NA)	 蒋勤勤漂亮啊            
(5星)	 当年的最爱！！！！！！！            
(3星)	 那时……嗯，初中            
(5星)	 好爱蒋勤勤，白发也美死了！            
(3星)	 不记得了            
(4星)	 看的废寝忘食            
(3星)	 一直以为蒋勤勤是香港演员。            
(3星)	 蒋勤勤白发之后。。。。            
(5星)	 勤迷心中最精典的剧集            
(3星)	 相当的拖沓            
(5星)	 当年真是疯狂迷恋这部剧啊，看了好多遍……            
(4星)	 小时候觉得很好看，长大后翻来看了几分钟就受不了那拙劣的画面感了。完全不记得男主是张智霖。            
(4星)	 我喜欢张智霖啊啊啊啊啊            
(4星)	 我是看着你长大的。            
(3星)	 N年前看过，配音太垃圾            
(4星)	 还有人记得么。。安徽台的周末大放送。。。            
(5星)	 那是候要赶巧才能看到男主名字的字幕。。我还记得男主喊女主。。。霓裳。。。矮油。。。矫情了            
(4星)	 蒋勤勤还是演的挺好的。            
(3星)	 白发的蒋勤勤还是好看，关键还是跟张智霖搭戏哈哈！            
(5星)	 当年的最爱，当时四川卫视播了一半停播了还打电话去问有木有！            
(NA)	 美则美矣，也只剩下美了，反派嫉妒心很强，帅气的反派啊            
(5星)	 又是每天中午，家乡的电视台，那时候好快乐啊            
(3星)	 背离了原著了            
(1星)	 印象中奇烂            
(NA)	 有的东西还是要mark一下的。。。蒋勤勤！！！            
(NA)	 原来是蒋勤勤。。。            
(4星)	 怀念啊            
(3星)	 我觉得很经典啊            
(4星)	 爱过！            
(4星)	 小时候挺喜欢的。。阿牛唱的片尾曲也很好听，很有那个年代的味道:-D            
(3星)	 貌似看过几集~            
(4星)	 看这戏的时候就觉得陈俊生好帅  和白发魔女完全可以配   蒋勤勤那时候美翻了            
(4星)	 我小时候觉得张智霖特别帅             
(3星)	 开始喜欢蒋勤勤的片~~~            
(5星)	 好有爱的童年。还有阿牛的歌。            
(4星)	 好喜欢蒋勤勤啊。。。            
(2星)	 快进快进快进，这里面怎么就没一个正常人，蒋勤勤很美，但她每次大喊一航一航的时候，我就浑身鸡皮疙瘩。我再怎么花痴张嫩霖，可这个卓一航实在不敢恭维。这是哪门子的编剧啊。我犯贱哪，一边骂还一边看下去，支撑我的，就是两大主角的容颜。偏偏张嫩霖同学还老是一头爆炸头。            
(NA)	 居然油重温，好好看哈，现在为毛老没有新的又优秀的电视剧，尤其是武侠片。。。            
(5星)	 蒋勤勤美翻天了            
(4星)	 一直认为蒋勤勤很美很赞啊 ~\(≧▽≦)/~            
(2星)	 。。。            
(5星)	 小时候最喜欢的古装剧之一～            
(5星)	 小学的时候很喜欢 今天又翻出来看  帅哥美女就是养眼            
(4星)	 蒋勤勤好漂亮~羡慕大眼睛的美女~            
(4星)	 蒋勤勤老在找卓一航·~~午夜梦回~·还能听到她声嘶力竭的呼唤“一航 ~~一航·~~~”~~~            
(3星)	 台湾一掺合进来，演出效果都相当的歇斯底里            
(3星)	 其实我也看过。其实我也懂得。            
(3星)	 小学看的，记得男主发型很拉轰……正常点能死啊！            
(3星)	 其實這個時候蔣勤勤的顏已經不是最巔峰了。。            
(5星)	 好喜欢张智霖版得卓一航，帅呆了！两个小酒窝~~~            
(4星)	 每个人演得都很用心，主角特别棒，可惜拍摄得可能太早了，效果实在不怎么样            
(5星)	 记得这部电视剧是晚上十点档，那时候因为还很小不到九点就困了，但为了看它还是硬撑到十点，又或者第二天与同学热切的讨论，总之，这真是童年难忘的回忆呢！            
(4星)	 和奶奶一起看的            
(3星)	 哈哈哈笑死了            
(4星)	 不管如何，这是我见过最美最像练霓裳的“练霓裳”            
(4星)	 1.那会中考的时候晚上偷偷的看，我家勤勤那；2.看到勤勤被人假冒，相当的郁闷；3.那个卷发的坏男人很讨厌也很BT；            
(3星)	 张智霖额卓一航实在不得我心            
(3星)	 小学的时候很喜欢蒋勤勤啊 现在觉得扮相好雷....            
(5星)	 我那华丽丽的白发魔女啊！！！我还记得小时候还不知道什么是爱情，但就为了她在湖边那一夜的白发，我哭了。。。哭得如今记得。。。然后记得很清楚最后男主为女主种的那一朵雪莲~~~那么遥远的记忆，那么清晰的画面，很强大。我会从新看么？忽然想呀~~            
(5星)	 小时候爱看!            
(5星)	 练霓裳真是我见过的最漂亮的女子了            
(NA)	 蒋勤勤的古装真的是好美TAT            
(NA)	 初中放的，没看全～那时候才开始认识蒋勤勤的吧，觉得女主黑头发的时候真美啊            
(4星)	 当年脚得白发姐姐好美            
(4星)	 果然什么都忘了，            
(3星)	 练霓裳，演得不好~~~            
(4星)	 练霓裳总是深情的叫着一航一航。小学时中午看了就不想回学校了。            
(4星)	 那个神奇的结局= =            
(4星)	 看的很早，但记忆犹新啊~ 小学时候的偶像剧            
(3星)	 圆包子脸卓一航同学一路吐着血吐啊吐啊。。。没了            
(5星)	 给五星是因为我小学两年级的时候真的觉得白发魔女超好看的！然后我从小学两年级开始就觉得蒋勤勤很美丽张智霖很帅气了...虽然小霖在里面的方便面头被很多人一阵狂P，但在两年级的我的眼里看来他真是帅惨了诶~chilam赛高！            
