http://movie.douban.com/subject/2287774/	黄埔倾情
(5星)	 扮相美得一万加好么？！！！张智霖跟郭可盈绝配好么！！！            
(3星)	 俺好喜欢OP~~里面的月白是俺童年时候对修女的好感来源            
(5星)	 四个主角都是我喜欢的人 那个结尾曾经深深的震撼了读小学的我            
(3星)	 龙五            
(NA)	 虐死人了好吗...            
(4星)	 这部当年看的时候很喜欢 虽然是惯常的套路            
(5星)	 想当年            
(4星)	 嗯，张智霖还是挺帅的，我是外貌协会的，嘿嘿~~            
(5星)	 转眼十几年过去了~            
(4星)	 耍帅片            
(3星)	 开始添加TVB...            
(5星)	 童年记忆，经典。            
(NA)	 小学时候的片            
(3星)	 就为邵仲衡            
(4星)	 青阳 鸿飞 南星 那时的起名很文艺 太阳星星月亮            
(4星)	 长亭外，古道边，芳草碧连天            
(4星)	 复习了两集后才想起小时候看过，不过那时候还不认识郭可盈，姑娘当年多好看啊，后来瘦得失去了美感，再一整容，就彻底杯具了。对张凤妮演的方青阳印象比较深            
(4星)	 这个我竟然没有马克过！！！            
(4星)	 oh....任飞鸿....            
(5星)	 非常喜欢的一部港剧。            
(5星)	 当年迷的啊            
(5星)	 比较喜欢邵仲衡~            
(NA)	 好看啊            
(4星)	 这玩意儿是霖仙儿落水记的第二章            
(4星)	 张智霖~            
(4星)	 自此狂爱张智霖～但是今年有机会再看此剧时竟发现那么粗糙那么……所以我把印象定格在了十年前。            
(3星)	 郭可盈那时脸庞宽大。我以为，比现在好看。            
(5星)	 很小很小的时候看的 记忆里只有张智霖了~            
(5星)	 当时很喜欢张智霖            
(NA)	 开始喜欢郭可盈            
(4星)	 主题曲            
(5星)	 经典            
(NA)	 经典！帅气。太男人了！            
(NA)	 当年这片子还真是风靡过我一阵子呢~靠            
(3星)	 邵仲衡、陈庭威，至今傻傻分不清楚。            
(5星)	 可以负责任的说，94年他和邵仲衡在《 黄浦倾情 》中的形像，完全引领了一轮新发式的风潮，成功的将青少年男性发型从九十年代初郭富城、林志颖开始的蘑菇头中拯救出来！            
(5星)	 看的Chilam的第一部剧。。。然后就中毒了- -            
(5星)	 小时候爱死了，深陷其中            
(5星)	 张智霖和郭可盈一对璧人，演绎一段乱世情缘，情深一片。            
(5星)	 很小时候看过的电视剧 却一直有着很深的印象 喜欢那个月白            
(4星)	 十多年前的张智霖            
(NA)	 大仙，爱死了。            
(5星)	 小时候看的看的看的。 太美好了            
(NA)	 所以很多年后看到谈判专家里两个角色的年龄差距，顿时觉得做女人真无奈啊            
(4星)	 应该是我看得郭可盈的第一部片            
(5星)	 那时是因为邵仲衡才去看的，结果却喜欢上了张智霖十多年后，我发现，其实在我心里，还是想要一个阿孝那样的男人，即使坏，即使要我死            
(4星)	 读小学的时候看的 然后喜欢上张智霖            
(5星)	 当年真是好看唉，可惜赶上正高考，有一段没一段地偷偷看。是邵仲衡哦，一直记得是陈庭威，常常搞错，呵呵            
(NA)	 just so so            
(5星)	 愿天下有情人终成眷属。            
(4星)	 我很想打五颗星。。。可是这个结尾怎么可以这么仓促。。。还这么狗血。。。五哥怎么，怎么就皈依佛门了呢？！！            
(5星)	 当年张智霖帅啊～            
(4星)	 在这之前只知道张智霖是袁咏仪的男友，看了这片后，很是迷恋了他一阵子。            
(5星)	 虽然结局比较happy，但是过程无比纠结~            
(4星)	 那时候的张智霖 很帅            
(4星)	 倾情            
(5星)	 张智霖～～～～～～～            
(NA)	 那年月的上海滩 这些片子都曾是最爱的            
(NA)	 想再看次,倾情很好听            
(4星)	 老片好看~            
(5星)	 爱上智霖，一部黄埔倾情足矣。            
(NA)	 事隔多年，很是喜欢            
(5星)	 中毒太深。            
(4星)	 赞啊,家国情仇            
(5星)	 因为这部戏喜欢上张智霖，初中看的，歌很好听            
(4星)	 张智霖好帅啊~当我想起谈判专家第一集里面阳光向简洁要签名的时候  我笑喷了            
(5星)	 想当年            
(4星)	 第一次看郭可盈的戏，并且一直都把她当成李嘉欣，直到很久以后的刑事侦缉档案。。。            
(4星)	 张智霖超帅！            
(4星)	 那时的张智霖和郭可盈还演情侣呢。            
(5星)	 当年大爱的龙五啊~~找了几年，终于找到粤语下载；            
(NA)	 留在心底的只有物是人非四个字，张智霖和郭可盈的扮相都美。            
(5星)	 经典啊，大爱，张智霖好帅的，可盈好漂亮。            
(4星)	 非常一般的港剧，是看张智霖的第一部剧，当时就觉得大仙多少年都不会变。。            
(5星)	 龙五啊 当年暑假看了一半 一直记得 另一个暑假终于看全了            
(4星)	 俊男美女，经典时代。            
(5星)	 那时年少，对旧上海的片子本就没什么抵抗力，再加上张智霖同学如此帅气的扮相以及这个凄美的故事，更是被迷的不知道东南西北。            
(5星)	 可好看了            
(5星)	 当年他们的颜太美好了~            
(5星)	 哈哈哈哈，好久远的片子，但印象很深刻，大概就是从那时候起开始喜欢Chilam了吧！            
(5星)	 张智霖太帅了！！！            
(4星)	 那时候 记得  很好看。。。但是 剧情不记得了  貌似是悲剧收场。。想重温。。。            
(5星)	 现在再让张智霖和可盈演情侣我会觉得不舒服滴……            
(4星)	 小时候很喜欢邵仲衡            
(5星)	 小时候 重温~ 初看时是十几岁吧 现在是2011.9.24日23.50分 看完大结局 依旧喜欢 喜欢这样的人 这样的爱            
(3星)	 初三中考，妈妈不让我看电视，我就一边慢悠悠的洗脚一边偷看。那时候真是着迷的不得了，觉得张智霖帅的不得了。等到若干年后再次重温，忽然觉得这么情节都这么肉麻这么幼稚，真是深深的震惊于我当初为什么会这么喜欢这部电视剧            
(5星)	 张智霖，郭可盈            
(3星)	 那时候觉得可盈真美！            
(5星)	 很多人说经典，我也不能太清高，也评个五星吧，确实好看。            
(5星)	 邵仲衡太帅，可惜龙五不是一个让人喜欢的角色，TVB总是喜欢辜负帅哥。如果月白是原先决定的朱茵演会更经典的。            
(4星)	 小时候还是蛮喜欢看的。张智霖好帅。喜欢月白。            
(3星)	 当年觉得还好            
(4星)	 张智霖真的好帅啊            
(5星)	 经典啊，耐死张智霖了~            
(4星)	 上小学时迷的呀。            
(4星)	 早期的郭可盈和朱茵长得真是像啊            
(4星)	 其实没看多少，但是电视剧和演员们的良好气质让我十分有印象，题目也好听~呵呵呵，当初也是冲着这个和家人看下去的。            
(5星)	 小学一年级看的电视剧，还印象很深呢，前些天又翻出来看。            
(5星)	 看过看过 很喜欢张智霖 那时候我妈妈也喜欢 哈哈 还不知道郭可盈也是主角呢            
(4星)	 情因你倾，投身火里，一分也没余剩。。。穿起民国装来有模有样的，当起黑老大来也还行，就是那会儿有些太嫩了，如果现在再演个黑老大就好啦。。。            
(4星)	 第一次认识郭可盈            
(4星)	 永远不老的张智霖，那娃娃脸和酒窝啊。。想想若干年后他和郭可盈重新合作的谈判专家，他演一个新人，她已经变成他的上级了，难道女人注定老得比较快？sigh。。这部剧应该是他出道不久以后的作品，表现得相当可圈可点了，和那部很有名的上海滩相比，我更喜欢这一部（所以一直没去看上海滩。。）            
(NA)	 当初巨爱鸿飞            
(4星)	 小时候的记忆            
(4星)	 在重温            
(4星)	 年代戏总是排山倒海的无力感。男人责任感太强也不是好事。中意方青阳。            
(5星)	 记忆中少见的我和我妈都喜欢的电视剧            
(4星)	 剧情记不太清楚了，还不错的电视剧。            
(5星)	 儿时大爱            
(5星)	 够经典 够好睇            
(5星)	 小时候看过 很美好的影响 还想再看一次            
(4星)	 小时候可喜欢看了~            
(4星)	 超喜欢的一部剧，看了不下4遍            
(5星)	 这是我在中学时代断断续续看过的一部港片，记得好像是中午回家吃饭的时候每天看一集。也是因为这部片子，知道了大仙同学，当时就有种很“惊艳”的感觉，及时到今天，我也想说，很少见到这种雕刻感又兼圆润的面孔。最近正在回顾中，整个影片感觉依然很好，对大仙同学，仍然充满爱~~~~~~            
(5星)	 太经典了            
(5星)	 我就是從那時開始喜歡Chilam，當時我還很小，一轉眼都十幾年過去了。大仙依舊，可我已長大。            
(4星)	 小时候看得，很喜欢。            
(4星)	 男人一生中会碰到的三种女人：他爱的女人，爱他的女人，和懂他的女人——南星、月白、青扬——你愿意做哪一个。            
(4星)	 热播时，我不看不睡觉。            
