http://movie.douban.com/subject/1786753/	天国的阶梯 천국의 계단
(1星)	 我看第一集就能猜出最后一集，男女主角的一把年纪了玩纯真也不是办法啊。            
(4星)	 如果你说是左边,我绝对是左边,你说是右边,我绝对是右边,重要的并不是哪一边,重要的是信任            
(NA)	 让人哭死咯            
(NA)	 哭了            
(3星)	 很悲情，就是太拖沓了~~            
(5星)	 能别老生离死别的么 话说金泰熙还挺漂亮~            
(2星)	 啊哈哈哈哈，多么的娱乐挖。当和妹妹夜半困在沙发里，一边看一边恶心地模仿着把酸奶或者口水不住往对方脸上涂的时候~~~妹妹的眼白多得真HAPPYTREEFRIENDS里的超人挖~~            
(NA)	 真是疯了~看这种片子!            
(1星)	 我觉得我也得眼癌了，，            
(NA)	 一如既往的拖沓            
(3星)	 前面很感人，但是剧情进展太缓慢了，我忍不住快进，却还是睡着了。            
(3星)	 只记得男二号很丑很丑              
(NA)	 感人            
(4星)	 完全为了权相宇。            
(NA)	 :_)            
(4星)	 骗了我很多眼泪。            
(NA)	 爲什麽相愛的人不能在一起 ？            
(NA)	 看得无比欢乐。            
(2星)	 俗的要死。。。            
(4星)	 赚走了我不少眼泪。            
(2星)	 权相宇我的菜 特别是哭的时候T T            
(3星)	 喜欢哥哥咩哈哈哈！！！！！！            
(3星)	 不对，这个好像才是那学长推荐看的。。。算了我记不清了            
(4星)	 看到时候已经过了幻想的年纪，所以就边笑边看            
(3星)	 a崔啊 你自己把你自己整天哭的悲催的。。。            
(4星)	 崔智友的气质~            
(4星)	 权相宇灰常的帅！！！~~~            
(NA)	 韩国男人是世界上哭的最男人的男人，权相宇是杰出代表。            
(1星)	 被迫和妈妈一起看了垃圾            
(4星)	 太悲情了、            
(1星)	 喜剧～            
(1星)	 太好笑了！！！            
(3星)	 为了看崔智友。            
(5星)	 从来不敢看结局，好惨啊            
(4星)	 看的第一部韩剧。大一的时候，无法排遣一段感情，只能每天下午4点机械地赶回宿舍看电视，在剧情里任心情跌宕起伏。            
(4星)	 日本版的片尾曲很赞~可是下不到...            
(NA)	 我妈超爱            
(4星)	 金泰熙真是好看            
(2星)	 墨迹……            
(4星)	 OST不错            
(5星)	 权相佑·······            
(5星)	 哭了三年的韩剧            
(3星)	 那时我迷恋你            
(3星)	 怎么那么多苦情戏            
(NA)	 曲折            
(NA)	 权相宇            
(3星)	 又是从头哭到尾~~泪腺发达阿~~            
(3星)	 结尾拖沓了点儿            
(NA)	 这部赚人眼泪的电视剧，因为权相宇，照单全收，比较他所有的电影，这个电视剧最好看~！~            
(NA)	 嗯好看  里面的音乐也好听            
(2星)	 受不了这种只剩下鼻涕眼泪的剧。            
(5星)	 真正的爱情不过如此而已。            
(2星)	 喜欢幼年的男主扮演者和青年的，其余不感兴趣            
(3星)	 能郁闷死人的剧            
