http://movie.douban.com/subject/6810832/	花美男拉面店 꽃미남 라면가게
(3星)	 支持保羅和班長在一起!!!            
(4星)	 最近唯一追的韩剧。。我就喜欢这类型轻松不用脑的我是脑残粉 (*￣︶￣)y             
(2星)	 对不起，就男主这种鞋拔子脸在我心里还算不上是花美男            
(1星)	 女主角丑得不能忍受！            
(4星)	 世界再怎么忙，饭是坐下來吃的。世界再怎么酷，爱情是不能变酷的。重要的不是吃什么样的拉面，煮拉面的时间最重要——time。 拉面就是咕嘟咕嘟煮着的时候最好吃。现在这一刻，你因为谁心里沸腾着？就是这个瞬间 是最棒的，别的都不重要。            
(3星)	  丁一宇 肿么长得好智障的样子~~~            
(NA)	 不行不行 李青儿还是没法儿看。。。            
(3星)	 我去...要不是冲着小宇和李己雨两枚帅哥，这剧情...这疯癫的女主... 小宇一笑就治愈我，止不住的回想49日啊，2星~李己雨那身高身材，1星~            
(4星)	 剧情虽然老套，但是我已经深深爱上丁一宇(▔/﹏\▔)             
(3星)	 从狼的诱惑到现在都没红。可见女主是有多没特点了...韩剧里面最丑的女主角评选的话肯定有她..╮(╯_╰)╭            
(NA)	 看第一集的时候就决定弃剧。            
(3星)	 男二穿衣服太有腔调，男主的着装风格也不错。剧情什么的完全可以不用看啦。            
(3星)	 虽然剧情有点不太现实。男一哪里像高中生拉，不过满好笑~~会接着看。嘛，我喜欢看男一吃醋~~，哈哈。            
(3星)	 姐弟YY恋，可惜了49天里的功力。。。            
(3星)	 三星全是给丁一宇的微笑的。。。其他什么的基本无            
(1星)	 尼玛，这男女猪脚的脸上割了多少刀！！！            
(2星)	 第一集弃。。。            
(1星)	 一星郑日宇            
(NA)	 这个世界在忙 也要坐下来吃饭。            
(3星)	 实在无法忍受女主角的演技，尼玛从狼的诱惑到现在都没红，不是丑不丑的问题，真是没一点可取性，外在的演技啊，毁了丁一宇了真是。8集，弃之。            
(NA)	 看韩剧最忌讳的就是一开篇就悲催的爱上男二啊！注定是悲剧啊！那身高，那身材，那笑容，要人命啊!（摔！）            
(4星)	 很轻松很搞笑啊            
(3星)	 瞬间回到小学初中的年代，但是明明已经到了怪阿姨的年纪- -            
(3星)	 韩剧套路，可以用来打发时间XDD            
(4星)	 看到最后特别希望保罗和车二B在一起= = 保罗太可爱了。。真心没看出来女主是当年狼的诱惑里的女主！！！次奥！！当年简直就是个长人中怪物好么！！！            
(3星)	 看美女而已。。。。劇情給老娘去屎            
(3星)	 木有花美男。。。丁一宇拍这部有点毁了自己。            
(1星)	 最垃圾的剧情的韩剧！！！最丑的女主！！！！有史以来！！！！浪费了我的丁一宇啊！！            
(NA)	 如果，生活里有一个韩剧男主角。。。那就不是生活了。            
(4星)	 哈哈哈哈哈！！！从昨晚八点看到今早八点。。。。终于从第一集开始吧它给看完了！！！！！！我觉得还不错。。。虽然这部片子有点白痴。。。。但是是我看那么多韩剧。。。最搞笑的一个。。。笑死我了。。。同样，这部韩剧也让我意识到。。一部片子。。。音乐是多么重要啊！这部片子的音乐都很喜欢！            
(3星)	 完全就是靠花痴男主看完这个剧的    女主跟剧情太让人失望了。            
(2星)	 长那么难看的男主角还是第一次见。            
(3星)	 保罗弟弟rocks            
(4星)	 這是一個男人犯賤的故事，不過我喜歡            
(4星)	 还没看完  呢 不过很搞笑。。。。。。。            
(3星)	 原来在偶像剧的爱情里也是弱智青年欢乐多。男二身材好心水（¯﹃¯）！            
(2星)	 没内容            
(4星)	 鄭日宇            
(2星)	 编剧脑子里进拉面了            
(3星)	 剧情越往后越不给力。。。但是看过后会喜欢丁一宇和李青儿~            
(1星)	 弃 ,  太俗了点儿吧             
(5星)	 给丁一宇。            
(NA)	 小郑你火起来了            
(4星)	 萌            
(3星)	 太做作了！            
(1星)	 很吧很想打他和他们            
(5星)	 我宇我宇我宇我宇我宇我宇我宇我宇我宇我宇            
(2星)	 要不是有觉得还不错的男的，懒得看了            
(3星)	 2星给我初恋，，1星给大柱子~~~~剧本就是一坨草泥马的屎，，，好多次看到我初恋手都冻得红红的，，，就不给他买个手套么TAT            
(3星)	 原来丁一宇就是郑日宇。我就不吐槽电视剧本身了。            
(NA)	 好像是不怎么样            
(NA)	 惊了，秘密花园回家的诱惑加上马克西姆！这剧的音乐太神奇了。。            
(2星)	 剧情比较狗血，没有什么亮点            
(5星)	 女主角的演技一流。。。漂亮的没话说！！！            
(3星)	 真心喜欢女主角 剧情太单薄 男主是纸片人            
(4星)	 为了小丁我也要给个四星啊!!!            
(3星)	None
(1星)	 第一次用搞笑这个tag，大家瞬间都明白了我的良苦用心。            
(3星)	 剧情非常普通，不过我是来看帅哥的！！            
(3星)	 某人很像某人            
(5星)	 虽然题材很老。。不过人物还算清新感人。。社长啊。。            
(3星)	 又是一个富贵王子爱上灰姑娘，还是大龄灰姑娘的故事。。。当然还有一个身材高度性格都很出众的男二。。。这出戏因为比较短就没有女二了。。。。女一杨恩逼就成为全剧中最受宠爱的杉菜。。。            
(2星)	 什么脑残编剧！！！狗血鸡血鸭血的剧情~~高中生就要这么白目吗~女二讲话那么白痴~他们嘴唇的颜色真尼玛奇怪~要不是丁一宇我撑不到现在啊啊啊啊！！！话说保罗好帅~~~丁一宇一星保罗一星~~            
(3星)	 还够不上美男两个字，期待下一部花美男乐队了，看预告很给力啊，貌似真的有美男╮(╯_╰)╭            
(1星)	 什么玩意            
(5星)	 太好看了！！！超级喜欢！            
(2星)	 浪费时间。丑男            
(NA)	 找个漂亮点的女主角会死啊            
(3星)	 哎呀竟然被两个帅哥吸引了。。女主太丑了！！明明男一也很弱智，还是忍不住看下去，很轻松。他们的皮肤都好好呀……羡慕！            
(3星)	 丁一宇就完全一电眼小鲜肉。            
(3星)	 太幼稚了，打发在家时间            
(2星)	 棒子剧又掀起了脑残新高峰...            
