http://movie.douban.com/subject/2253756/	凤凰四重奏 鳳凰四重奏
(3星)	 女主角还是美的            
(5星)	 最喜欢第一部的余凤...但毓林可真不是个东西            
(NA)	 TVB真的太能拍了。            
(NA)	 第三个好抽            
(4星)	 喜欢第一个故事，十二少演的真好            
(4星)	 马德钟太萌了！！！            
(4星)	 只要你爱佢，就咩问题都可以解决噶啦..            
(3星)	 sa苗喜欢马德钟sa苗喜欢马德钟sa苗喜欢马德钟sa苗喜欢马德钟sa苗喜欢马德钟sa苗喜欢马德钟sa苗喜欢马德钟sa苗喜欢马德钟sa苗喜欢马德钟sa苗喜欢马德钟sa苗喜欢马德钟sa苗喜欢马德钟sa苗喜欢马德钟sa苗喜欢马德钟            
(3星)	 三重奏的部分比较有意思。            
(3星)	 第二段鲁迅的故事好可爱啊。不过编剧真是黔驴技穷了            
(4星)	 好看~            
(4星)	 凤凰四重奏             
(5星)	 最近一直在看~~很好看~~只是结局很唏嘘~            
(NA)	 憎佘，剧尚可            
(4星)	 好看的 真的好看的            
(2星)	 TVB 哈哈哈            
(5星)	 “你要记住,能够遇上自己喜欢的人,是一件最幸福的事,所以你一定要好好珍惜,无论遇到什么问题,都不要轻易放弃,只要你爱他就什么问题都可以解决”  曾经和爱过的人一起听这段话            
(3星)	 ——“你要记住,能够遇上自己喜欢的人,是一件最幸福的事,所以你一定要好好珍惜,无论遇到什么问题,都不要轻易放弃,只要你爱他就什么问题都可以解决&#39;&#39;             
(3星)	 2008-2009            
(4星)	 前两奏也是有一集没一集的看，到现在第三奏才仔细的看，很有味道，可以稍微反映从那个年代到现在的人民的世事变化！            
(3星)	 最近的我已经极度无聊的看港剧了，哎            
(5星)	 啊！！！！！！非常非常好看啊！！！！一口气看了通宵，然后接连看了6遍！！！（尤其是第四部）            
(4星)	 很好玩            
(4星)	 后两部比前两部好看            
(5星)	 灰常好看~~            
(3星)	 苦瓜脸貌似很红            
(3星)	 几有新意~~最喜欢的是6、70s那段啦~~            
(4星)	 喜欢最后部呀```            
(NA)	 也看得稀稀落落            
(NA)	 哇 我居然看过            
(3星)	 我能说我不喜欢佘诗曼嘛            
(3星)	 火车上看的- -！            
(3星)	 貌似是在深圳台看得..            
(3星)	 佘诗曼真难看啊。。。            
(NA)	 好看~~            
(3星)	 总觉得编剧不咋地，但故事还是挺新意的= =            
(NA)	 23 - 30            
(5星)	 Dec, 2009四代女人的爱情            
(4星)	 除了第二个故事，其他都喜欢            
(2星)	 纯粹捧阿佘的场            
(4星)	 挺有意思的！            
(4星)	 要记住，你是现代的女人，不必屈服于命运，可以做出任何自己的选择。            
(4星)	 。。。。。。。。。。。。。            
(5星)	 喜欢            
(NA)	 阿佘就系ADA MAGGIE JESSICA蛰伏时勉强登上后座了...            
(3星)	 看得不完全，大体觉得创意很不错的。            
(3星)	 非常一般，为什么阿佘还可以得最佳女主角？            
(5星)	 四个年代的爱情故事，讲述了不同年代的女性思想。非常赞的片子            
(5星)	 好！主题曲也好好听！~~            
(4星)	 说实话我还真是DJ佘诗曼。。。            
(2星)	 烂片~            
(3星)	 看到则佘诗曼就不爽话说我终于看到一步马德钟演主角的片子了。            
(2星)	 佘诗曼的演技也就那样了。            
(NA)	 佘诗曼演技最精湛的电视剧，加上马德钟，绝美！            
(NA)	 最爱第三部            
(1星)	 佘诗曼演技很烂，很做作            
(3星)	 本命06女主之作。            
(5星)	 第一奏很好。哭了            
(3星)	 挺不错            
(5星)	 很好看 很有创意！！            
(3星)	 汗！            
(NA)	 很喜欢却没看完            
(4星)	 果然没有想象中精彩，我总是这样~            
(3星)	 一家店长远的历史啊就是一部戏            
(3星)	 越来越喜欢佘诗曼了            
(3星)	 2006            
(NA)	 【2006-08-28】            
(4星)	 最喜欢最后一奏了~陈键锋当年好可爱            
(4星)	 我沒看出恐怖........            
(2星)	 看过，但是对剧情居然一点印象木有了…            
(3星)	 看得真心纠结            
(3星)	 最后一个故事 GAY版三苗。。            
(3星)	 最喜欢古代的和千禧年后的            
(3星)	 对马德钟无感            
(4星)	 清末年间守妇道民国私奔闹革命60年代玩恶搞两千年后共搅基            
(5星)	 最喜欢白慧珍戴立仁那个年代了~            
(4星)	 同样二了吧唧的……不过剧情还好~            
(4星)	 马德钟啊原来这演员叫。演出了时代变迁，很不错，女人当自强            
(4星)	 我觉得是佘诗曼的绝佳之作了。            
(4星)	 只看过现代。很喜欢。            
(3星)	 原来这个也算在电影里面的啊。            
(3星)	 补            
(4星)	 因为男猪脚是这货而扣一星。            
(2星)	 纯粹为了捧佘的场，基本看不下去，然后佘竟然因为这戏捧了杯。            
(3星)	 后面2段不咋滴            
(3星)	 加班回来，半夜睡不着打发时间看的片子，剧情比较无聊老套            
(3星)	 有点意思^^            
(4星)	 4世。2  4            
(4星)	 最钟意第二部，认为值得就一定要争取，好欣赏汪子君这种个性，有一幕，她同李吉祥私奔到天津，生活拮据，那时正值寒冬，经过飞发铺，爱美的子君忍不住烫了一个最时髦的卷发，回到家，吉祥正为钱发愁，她问，我新做的发型好看吗？是我，要气得掀桌子骂街，但吉祥笑了笑说，很好看，很适合你。怎能不爱他            
(NA)	 剧情那个窘啊,第一个故事比较好看            
(4星)	 哈哈。我記得後來冇聊系深圳臺追嘅！！            
(4星)	 评分仅针对最后一个故事~我不厚道，纯粹为了看苗苗            
(NA)	 又是深圳卫视。新闻联播前晚饭捣鼓期间必看            
(NA)	 其实是 这个寒假 看的 我真无聊            
(4星)	 前几天开电视看到阿佘和某女穿婚纱接吻，所以才立刻上网看下去。怎么知道百合倒没有，玻璃抓了个            
(3星)	 消遣            
(4星)	 四段不同时空的故事，但就像是同一个故事上演了四次。            
(3星)	 刘晓彤 太对我胃口了            
(4星)	 喜欢佘诗曼            
(3星)	 讨厌佘,尤其第一个角色,这一类的角色是我的雷区            
(3星)	 艺考那会没考试的时候就在小屋里看 那会喜欢上的佘诗曼            
(4星)	 看马德钟演好人怪怪的            
(NA)	 着实一般，佘诗曼还靠此剧拿了当年的视后，凭咩啊，集数长咩？            
(5星)	 又仔仔细细的看了第四奏，真的是很用心的剧集。“这纽扣扣不好是不是就可以不走？”            
(3星)	 我怎么就喜欢马德钟了呢...            
(4星)	 恶作剧，后半段笑得不行了            
(3星)	 一直不喜欢这种类似短篇的味道            
(4星)	 因為陳鍵鋒看的。            
