http://movie.douban.com/subject/2363863/	MVP情人
(3星)	 只喜欢那个高兴，太好玩了。            
(2星)	 不忍心多看一眼的男主角            
(NA)	 我至今能还记得给我推荐这个剧的同学的原话是这样的“里面好多好多的美少年.&#34;请问...美人儿到底在哪里?            
(NA)	 为嘛当年还敢号称是灌篮高手真人版。            
(4星)	 高兴TM最帅了！            
(2星)	 = = 偶像剧。。男的没一个能看的。。            
(4星)	 看过的为数不多的台偶            
(4星)	 挺好看的哦，颜行书去哪了？            
(NA)	 頂級雷人帥哥            
(3星)	 张韶涵的青葱模样            
(3星)	 我難過的是忘記妳忘記愛忘記的夢被打碎忍住悲哀 ...            
(2星)	 恶            
(2星)	 SB是的            
(3星)	 那个时候有喜欢过。            
(3星)	 三个星都为了张韶涵= =。。。            
(NA)	 很好看 喜欢那个时候的张韶涵 最喜欢的是iceman            
(1星)	 垃圾            
(3星)	 過。            
(1星)	 林立雯长得还行 其他的演员。。哎 毁了            
(3星)	 = =            
(4星)	 究竟谁比较帅？这个问题好纠结......            
(4星)	 儿时很红            
(2星)	 张韶涵很丑            
(4星)	 “不要轻言放弃，否则对不起自己”            
(4星)	 大爱啊！！！！            
(3星)	 第一次看这部电视剧时，张韶涵还没出名哦。男主角太难看了。            
(3星)	 说实话 男主角长得那还真是......            
(4星)	 MVP情人            
(4星)	 至少陪我度过了那个漫长的夏天 功不可没。            
(5星)	 不要轻言放弃，否则就对不起自己！            
(3星)	 你敢说你小时候没看过嘛！！            
(2星)	 假人张韶涵            
(NA)	 我只是马克一下            
(NA)	 当时好喜欢这部剧哟            
(1星)	 丑屎了！            
(3星)	 姐萝莉的时候为了高天琪撑着看完整整30集姐容易么我            
(2星)	 不好看            
(3星)	 还能让我说神马            
(NA)	 .......            
(4星)	 妈的 以前还超感动来着            
(5星)	 2003。。Spring..            
(1星)	 路过打分            
(1星)	 腰巴山club以及秃脑门子张韶涵             
(3星)	 中学时代的台剧儿五。            
(2星)	 張韶涵出道作品            
(3星)	 恩 时光            
(NA)	 。。。            
(NA)	 喜欢那首歌，我难过的是放弃你放弃梦放弃了....            
(3星)	 几年前看的哇。。。那时候年轻。。。还想要坚持。。。永不言弃。。            
