http://movie.douban.com/subject/2282468/	天降奇缘
(4星)	 请与我同唱主题曲            
(4星)	 小时候挺喜欢看的            
(4星)	 小时候迷得一塌糊涂，现在想想很有趣            
(5星)	 海洋公园            
(3星)	 有点弱比            
(4星)	 童年的回忆啊啊啊！            
(5星)	 海洋馆的训练员！~            
(4星)	 第一次见到萱萱            
(3星)	 我居然还看过这部．．．．            
(3星)	 又相当于“儿时”记忆了。囧。            
(3星)	 浪费我们家阿尊            
(2星)	 久远回忆. 没看全.            
(4星)	 喜欢！            
(4星)	 还不错。            
(4星)	 同样因为郭蔼明，所以喜欢~            
(4星)	 红丝丝...            
(4星)	 当时在班上引发了很大的讨论。还是比较经典的。            
(4星)	 当时很喜欢            
(NA)	 小学三年级暑假重播了 最后一集男主角认不出红娘了看得伤心呀            
(NA)	 記不得郭藹明了            
(4星)	 港劇裏面　　這部是很喜歡的了            
(3星)	 开始添加TVB...            
(5星)	 我看的第一部港剧            
(4星)	 结尾虽然感慨，但是我依然喜欢            
(4星)	 当年很爱看。。。            
(4星)	 豆瓣猜竟然把这部TVB老剧给我找出来了，不错，算法改进之后有点儿靠谱了。。。            
(4星)	 当年超喜欢红丝丝            
(NA)	 开爱的小神仙宣萱            
(NA)	 初中时喜欢的            
(4星)	 宣萱和温兆伦好衬            
(4星)	 小时候看着觉得挺有意思。            
(4星)	 結局有點鬱悶            
(4星)	 比较搞笑地            
(3星)	 没什么特别的好感            
(NA)	 能翻出这个来看我是有多无聊。。。小时候觉得丁长安超帅的 好多台词场景都还有微弱的印象 囧            
(NA)	 萱萱是仙女，喜欢这个设定            
(4星)	 一星扣在结尾这里。。让我非常非常遗憾的结局。            
(5星)	 小时候好喜欢的 红丝丝红丝丝~~            
(NA)	 小时候。            
(4星)	 丝丝            
(4星)	 那时好喜欢宣萱。            
(5星)	 经典经典死了！            
(4星)	 那时候的温兆伦多帅！！            
(4星)	 最后一击没看着。。。。            
(4星)	 第一次认识宣萱            
(4星)	 好老的片子~~但是印象里觉得满好看的~            
(4星)	 很早以前的港剧了            
(4星)	 真好看 真好看 真好看             
(3星)	 我8岁时候看的 现在还零星记得一点            
(4星)	 我小时候好像很爱看= =            
(NA)	 多久了。。            
(3星)	 我爱这个结局            
(4星)	 蛮好看的 以前我老爱看港剧            
(5星)	 好怀念啊～～～～～～～            
(5星)	 在那么久之前就有这种题材的剧 TVB不愧是TVB啊            
(4星)	 小时候看的还想再看            
(4星)	 还不错            
(4星)	 小时候喜欢看！            
(4星)	 曾经天天守在电视机旁 就为重复看这个            
(3星)	 我还记得你唱的歌亚 小宣宣            
(NA)	 当年特喜欢            
(4星)	 小时候觉得很好看很有意思~            
(NA)	 伦的年代            
(5星)	 我一辈子讨厌这个结局。            
(3星)	 只要有郭霭明我就喜欢郭霭明。            
(3星)	 不喜欢萱萱            
(NA)	 美丽的红娘            
(NA)	 我很早的时候大概5,6岁看的.居然到现在还记得里面的内容.可爱的小红娘.            
(4星)	 印象中第一次见宣萱～            
(NA)	 想当年老子真是看了不少港剧啊。。。            
(4星)	 小学时候看的，小时候看的电视剧印象都比较好。 关于红娘的故事，结局还蛮惨的。            
(NA)	 TVB            
(4星)	 只记得宣萱的造型了            
(NA)	 没看全            
(NA)	 【1995-10-30】            
(4星)	 红娘。            
(3星)	 一直都不觉得宣萱好看。            
(5星)	 童年回忆！！！！！！！！！！            
(NA)	 丝丝.....小时候觉得很好看的说            
(5星)	 打错线只有死路一条。            
(NA)	 好小好小的记忆 时隔14年后才发现那个在月老旁边的小女孩是萱萱。            
(5星)	 爱上萱萱的一部剧。            
(5星)	 最爱就是这个            
(4星)	 记得当初最开始看是因为喜欢郭蔼明 但后来发现温有喜欢上宣萱的嫌疑于是放弃 再后来喜欢上萱 再重看这部剧又嫌弃和amy的感情戏太冗长 今天终于快进的看到了最后 温sir的那句一切都过去了 我现在喜欢的是洪丝丝嘛 但下一秒醒来 脑海里已经永远不会再记得那张笑脸            
(4星)	 宣萱… 偶们年轻时看的，吼吼…            
(3星)	 恩，南京台            
(4星)	 我还蛮喜欢那个结局的            
(NA)	 小时候爱看            
(3星)	 宣萱很可爱~            
(4星)	 我那时大爱宣萱的。            
(4星)	 充满了回忆的味道 只看珍惜么……            
(4星)	 忽然发现小时候看的电视剧大部分都是TVB的            
(4星)	 我要再看一遍~我要再看一遍！            
(5星)	 小时偶好喜欢温兆伦。。。            
(3星)	 终于找到了这个剧 小时候特爱看啊             
(4星)	 那时宣萱好美 温兆伦好帅 巧克力好珍贵            
(4星)	 小时候的爱。            
(4星)	 那时觉得真好看            
(4星)	 这么多年了一直都很有印象。            
(NA)	 喜欢郭蔼明， 不喜欢萱萱。            
(4星)	 我记得我看到宣萱昏倒的时候，，温兆伦在她旁边深情的呼唤。。然后我妈就把电视关了。。之后十几年我再也没看过。。。            
(5星)	 就因这部剧开始喜欢宣萱            
(3星)	 宣萱说这是她拍过的最愉快的一部片子。            
(4星)	 小时候的喜爱。            
(NA)	 我当年很喜欢萱萱。            
(4星)	 小学还是初中的时候看的            
(4星)	 红娘的那个~            
(5星)	 可爱的小红娘            
(NA)	 小学是东方台放的...            
(4星)	 印象中挺好看的            
(4星)	 天边自有小天仙~为毛红娘和安安不能在一起            
(NA)	 在丝丝要离开安仔哥的最后两个钟，真的好让人感动。对安安的不舍，但是继续留在他身边又只能害他。那种内心的情感的矛盾，最后还为了永远在安仔哥身边而投胎成一个小女孩，丝丝真的可爱。对爱情的执着，让我重新审视身边所有被忽视的情感。            
(5星)	 重温了一遍~~~发现安安是应该跟子新在一起~~~            
(NA)	 牵过手，没绳索。。。我好中意郭蔼明啊啊啊，不过话说回来，小红娘在里面有爱讨喜得多啵。。。所以其实是部悲摧的伪大团圆剧来的            
(4星)	 又重温了一遍。。。            
(5星)	 小时候觉得宣萱不好，为什么到最后想拆散在里面很般配的温和郭。现在明白，喜欢一个人，即使只有一点一滴的时间，也希望那人是属于自己的。            
(NA)	 木牢牢牢牢年前            
(5星)	 小学毕业那年最爱的电视剧。超级迷！            
(4星)	 喜欢那时候的宣萱。            
(4星)	 老片了            
(5星)	 这也是和MAY的话题么，小学的港剧～那时觉得超级好看呢！宣萱的红娘            
(4星)	 小时候看的了            
(5星)	 月老什么的。。。            
(NA)	 宣萱多么招人喜欢啊！温兆伦为什么后来变成色大叔了！            
(3星)	 过去            
(NA)	 前些天又重温几集，还是那时的港剧好看呐            
(4星)	 记得女主好像叫 丝丝？            
(4星)	 小時候很喜歡看的電視劇。我說，郭藹明好看。哥說，萱萱好看。現在唯一記得清楚的是，那個臉上有記的女人讓她干哥哥，給她心愛的安安點歌，歌曲是火燒圓明園。            
(3星)	 第一次看到宣萱            
(5星)	 有爱的小红娘!!!!            
(3星)	 那时的宣萱迷人            
(4星)	 很有趣。            
(4星)	 小时候相当喜欢的~            
(NA)	 小学的某年暑假电视上放，在二表哥的推荐下看的 蛮好看的            
(5星)	 小时候的最爱~            
(4星)	 对宣萱这个神仙偷吃巧克力印象很深 电视里没怎么炒过冷饭~            
(5星)	 宣萱很可爱            
(3星)	 一般            
(5星)	 毛里求斯。            
(5星)	 第一次认识宣萱的作品，也是开始喜欢她的作品            
(3星)	 1995            
(3星)	 温兆伦不论从哪个角度来看都不是SG脸，不懂为什么演了N个人见人夸的SG。最要命的是带动看剧的loli也跟着发蒙，误认他做美男。可见三人成虎此言非虚。            
(2星)	 小清新            
(3星)	 记得是小学时候看的吧。当时被迷得神魂颠倒的。            
(5星)	 小时最爱！！！            
(4星)	 我年少無知時是看過的，一聽主題曲就都想起來了~            
(4星)	 很小时看的…那时的宣宣好可爱            
(4星)	 温兆伦+宣萱            
(4星)	 但是这部戏里，真的不喜欢宣萱的角色啊~            
(3星)	 可惜是悲剧            
(3星)	 有月老 红娘什么的...很好看的...            
(4星)	 海洋公园            
(5星)	 虽然那时我没有开始听粤语，但是我依然爱着这些人，以及他们带给我的年幼时期关于爱情的憧憬。            
(NA)	 曾经一度因为此剧不DJ宣萱，因为当时是郭蔼明粉丝            
(3星)	 因为这部剧喜欢上宣萱，加上点感情分吧。            
(NA)	 那年头看得津津有味            
(NA)	 小时候躺着看 ^^            
(4星)	 有一条大狗  剧情怪喜人的  呵呵            
(NA)	 好老的片子啊。            
(5星)	 洪丝丝洪丝丝5555555想念            
(NA)	 小学最喜欢的电视剧 温兆伦我小学是真的超迷你 还有萱萱            
(NA)	 我家青春的宣            
(5星)	 好老好老的片子了，记得当年看的放不下的时候，我才几岁啊。。。。。            
(5星)	 一直都很喜欢宣萱            
(NA)	 老片~            
(5星)	 还是喜欢安安和蔼明一起。。。。            
(3星)	 天天都挥发出，人间温暖            
(4星)	 太经典了。。。都忘记有这个片子了            
(4星)	 真是好老的片啊 那时侯我才几岁啊 ..TVB真是伴随我成长 = =            
(NA)	 那个思思化作红绳的时候真叫我伤心啊            
(4星)	 当时特别喜欢里面的小红娘！            
(4星)	 蛮经典的！            
(3星)	 每个人的小指都会牵着一根红线            
(5星)	 只看姜大卫            
(5星)	 第一次认识宣萱            
(4星)	 很早期的片子，当时还在读书，现在想来，那些快乐时光就是这么打发的            
(3星)	 宣萱啊，又是部看了郁闷的ytht的            
(4星)	 天降奇缘            
(3星)	 小学二年级看的            
(4星)	 深刻记忆 宣萱从此爱上你            
(NA)	 李倩小姐迷宣萱的开始            
(4星)	 宣萱~            
(4星)	 我靠 温sir啊            
(3星)	 时间过去很久了，还是有些怀念            
(5星)	 小时候很喜欢看的电视剧，结局的时候莫名的悲伤            
(4星)	 童年回忆，TVB嘛，一直都爱宣萱            
(3星)	 小时候看得津津有味～            
(5星)	 这是看的第一部宣萱的剧。小红娘最后变成了红线还记忆犹新。            
(4星)	 最喜欢小红娘丝丝了！            
(4星)	 岁月真的是把杀猪刀，尤其看完万凰之王中的宣萱。            
(5星)	 怀旧怀旧。。果然是怀旧啊。。子新是很不错啦，但是还是喜欢丝丝啊= =            
(NA)	 从童年到现在一直记得的一部片子            
(3星)	 初识宣萱，好黑好瘦好丑。            
(4星)	 找个时间再回味哈  以前经视台播出的感觉   萱萱和蔡少芬是最美的tvb花旦            
(4星)	 童年的回忆 看TVB剧的开始            
