http://movie.douban.com/subject/6123976/	最佳爱情 최고의사랑
(5星)	 大叔卖萌，最让人开心了。车大，你的喜剧天份真不是盖的。希望能看到你的深情，也最让人心脏扑通扑通了。            
(5星)	 大愛車勝元！ 明明是40歲的大叔了，但那鬧起彆扭的摸樣，高興得瑟的表情都可愛得讓人好想摸摸他的頭再給顆糖啊！！ 演得實在太好了啦！！             
(5星)	 女主像闫妮……………………            
(4星)	 很好笑。目前为止我给五星，实际评论少了一颗星的原因，是必近还没有完结，不知道后面的剧情如何，我发现我有点轻微中毒的现象，主题曲也很好听，这是唯一一部我没有因为演员外貌不算帅美看下去的。。车大叔和女主角两人演技都很好，特别是大叔的演技。你见过40岁演偶像剧的么？            
(5星)	 这段时间以来最好看的韩剧，男女主角的演技太好了            
(5星)	 笑死爹了！！！！            
(1星)	 开场十分钟就受不了…… 女主太老 男主不帅 剧情老套 你能有一个亮点我也就坚持了～            
(4星)	 車大叔好有喜感!!            
(5星)	 男二演技很给力啊。。。。把女同胞们迷倒了            
(3星)	 最近唯一有想追看慾望的韓劇            
(5星)	 今年最喜欢的韩剧，令多年放弃韩剧的我重拾韩剧            
(5星)	 太太太太好笑了。            
(5星)	 剧情发展还不错，到目前为止节奏算快的，车大叔依然那么的有魅力又抽抽！            
(5星)	 洪氏姐妹的人物有弹力球的感觉，有活力，存在感十足，情节戏剧性较强，每部作品都有可爱的小情节设置，本剧也不例外，前2集活泼有趣，男主有一颗听到女主歌曲就柔情跳动的心脏，期待后续发展。            
(4星)	 每看完一部美好的韩剧就会萌发不想谈恋爱或者是找不到这样的男朋友就不恋爱的念头= =            
(5星)	 推荐啊！！！！！！！！好看死了！！            
(4星)	 这样的搭配实在很讨喜。大叔萌起来是很有爱的。            
(5星)	 大叔你表演真卖力啊脸上肌肉都不够你用了啦啊哈哈哈哈哈            
(5星)	 大叔还是大叔，你还能再可爱一点么？            
(4星)	 连坏人都很讨喜，车胜元和孔孝珍的气场太登对啦            
(4星)	 按照目前劇情發展，應該是很老套的劇情，不會有驚喜了，我現在只希望大叔不要總是看起來油光滿面。不过很为尹继尚的角色温暖，和女主一样木讷与无厘头，某种意义上又要开始问爱情是不是除了温暖的契合之外，就是得有挣扎、误解和对抗呢？            
(5星)	 俗套的模式，不一样的剧情。依然是一往情深、默默付出不求回报的男二，一开始确实很打动我。但是吧，大叔实在太强烈了，没有办法，自恋到极致却始终为了爱的人着想，活着在表白，死了还在表白。孝真姐姐演的真心是个傻大姐，善良到没有忍耐限度的女人，真心是绝世好女人呀。哎哟喂，感动死笑死了            
(4星)	 追完了，接着看city hall! 洪氏的剧情一直都蛮可爱的。也很久没看过如此抽风的男主角了...囧...车大叔是热血日系的吧...            
(5星)	 搞笑啊~            
(3星)	 看个头儿            
(4星)	 喜欢车胜元！            
(3星)	 韩剧就是拍成10集都嫌长啊，各种抒情。            
(4星)	 三星半。有趣，但会有点缺少共鸣和感动的失落            
(NA)	 车胜元很可爱~            
(4星)	 大叔……            
(4星)	 洪氏能力还是比较弱，幸亏演员挑对了。车胜元你这个妖孽极品淫森大赢家女儿奴傻爸爸能别出来祸害广大女同胞么！！！老婆孩子热炕头的幸福男淫请自重！！！不要每次出来都能把我迷得七荤八素然后再想起你结婚二十多年儿纸和我一边大这种残酷事实好么！！！！！！！            
(3星)	 开始挺好玩儿的，越看越没意思            
(NA)	 看到10集 弃剧            
(5星)	 顿时喜欢上了孔大姐！            
(4星)	 大叔很萌呀&gt;&lt;            
(3星)	 网评好高，我吃饭的时候用来听声响的。            
(2星)	 就没人觉得女主长得像闫妮吗？！！国庆看的第一部无聊剧            
(3星)	 女主真的让我不舒服。导致我觉得他们根本不在状态里。两个人拥抱我都觉得突兀            
(NA)	 看多了大叔也挺可爱的。            
(4星)	 看得我想养颗土豆等它开花 不过韩剧也就那么回事儿啦            
(4星)	 每次喊叮咚都觉得好喜感~~            
(3星)	 这叔看起来挺棉的 一开口 感觉智商不高啊 =^=             
(4星)	 终于追完了完美大结局，剧情的发展难得的也不拖沓。每次洪氏姐妹选的演员都是我喜欢的！！！             
(3星)	 开始觉得很好看，可后面就看不下去了……            
(5星)	 杜高振，请做我男朋友好吗？尹弼洙，做我小男朋友吧！            
(NA)	 一不小心 我又开始看韩剧了。。。。。。            
(4星)	 你懂我对大叔的爱。今年除了秘密花园最好的韩剧。／624第一时间追完。叮咚！            
(NA)	 考试期的调剂品，不愧是金牌编剧，剧情妙趣横生又不乏浪漫细致，男主演得又萌又蠢，女主不白不傻挺讨人喜欢。不过韩剧无论怎么好看，总是在半途就耗尽热情。遗憾弃=A=            
(4星)	 看电视我喜欢看脸，看脸的话我绝不会看这部电视，看完才知道，什么才叫看脸！拗口吧，大叔的电力跟那些小演员不是一个级别的！            
(3星)	 叮咚。。。真是一部浆糊剧 不过13点男主角和小P孩对手戏都很好看             
(3星)	 有一半的跳着看的！虽然我很喜欢大叔 可是神经质般的还是无感啊..里面出现了好久不见的曾经很喜爱的明星！            
(5星)	 nice!!!!            
(5星)	 一开始觉得男女主角都很一般。看着看着就觉得。真爱。ヾ(≧O≦)〃            
(5星)	 最喜欢看车大叔说叮咚跟克服的样子 萌死了。            
(4星)	 夏天在家宅着看的片子，好搞笑……            
(4星)	 很搞笑，很温暖~            
(5星)	 昨天今天就靠这个下饭了，笑得好几次差点呛到…微博看到片段结果就一直看下去了…这几年见韩剧就躲的本侠刚赏个开头居然就觉得太好看了，大惊——美剧看不下去是因为品位降到韩剧档了么，遂点开另外几坨热门韩剧，不成，5分钟都忍不了。#孔孝真好萌#  ps.二胖就是男一男二的优点集大成啊            
(3星)	 最开始在星空卫视看到播放中文配音版的，打发时间看的，男1 女1都不是外表很赞的那种，女1越往后看越觉得好看一点，是搞笑的韩剧啦~~喜欢男2笑得温柔又好脾气耶            
(NA)	 明明男二号更好！            
(5星)	 吻戏无敌了，男主无敌了，男二无敌了，全都无敌了。            
(4星)	 大叔！！！！本来说不看韩国偶像剧了。。。可是，车胜元简直是男神级别的啊～～ ～～ ～～ ～～ ～～ ～～ ～～ ～～！！！！！！！！！！！！！！！！！！            
(5星)	 这是白羊射手和巨蟹的故事。白羊好善良，射手又冷又幼稚，巨蟹好温柔，但是会给人负担。            
(5星)	 超过秘密花园成为我心中今年最好看的韩剧！/(ㄒoㄒ)/~~            
(5星)	 人类已经不能阻止车大叔了！！！！！！！这部戏我绝对会看好几遍！！！！！！！孔孝真的pasta和这部剧都值得看。            
(5星)	 尼玛要不要这么好看！            
(5星)	 车胜元好帅额。。。。            
(NA)	 囧，暑假无力到看韩剧的地步了。。╮(￣▽￣&#34;)╭            
(4星)	 大叔很有型            
(3星)	None
(5星)	 特好看！！！！            
(5星)	 201107 车胜元大叔表情好丰富 身材超棒 好喜欢女主的嘴和无辜的小表情            
(4星)	 有意思~            
(4星)	 鄙视爱看韩剧的男银们你们可知道，那种对帅哥心花怒放的感觉可以填补两周对你们的将军肚无奈啊~~~\(^o^)/            
(5星)	 剧情轻松有趣还不错。。            
(4星)	 卖萌的大叔我伤不起！！！！好爱！！            
(4星)	 这个是真的挺好看的            
(4星)	 开始时比较难以入口,女主角太难看了= =但男主角的演技实在太好,剧情虽然不太爱,但看男主角卖萌卖笑卖肉什么的也很暗爽.看到最后觉得比那啥说谎好看了不是么~呵呵后~            
(4星)	 拥有强势幼稚男猪脚与自立自强女猪脚最终走在一起的正义结局的爱情，其真谛就是：克~服~！            
(4星)	 基础分两星，因为大叔加两星。。。。大叔真是破格演出了啊，跟雅典娜反差真是太大了。。。。            
(5星)	 洪氏姐妹真是深得我心啊。。。。            
(4星)	 几年来看的唯一韩剧，好笑，轻松，大陆如果翻拍一个应该也会热播。            
(4星)	 前面特别好，后面靴微疲软，扣掉一星。但也还是我近年看过的最赞的韩剧了！（当然了我看过的韩剧太少了实在。）            
(5星)	 大叔好帅的！！适合大叔控看            
(NA)	 开始蛮好玩的。越到后来越悲情            
(5星)	 小医生。。。            
(3星)	 韩剧套路            
(5星)	 도꼬 최고!도꼬 짱!도꼬 띵동띵동!!            
(5星)	 真是个萌剧啊！真的是我遇到的第一部，完全不觉得拖沓，看完还觉得不过瘾的韩剧。而且是在一开始就对男女主角完全无感的情况下萌上的。结尾仓促了点。            
(3星)	 ★★★☆ 搞笑劇，OST不錯            
(5星)	 女主刚开始看真的很不顺眼，不过韩剧的身材衣服都很棒哎。看了就心情好的剧不多了。爱死大叔男主，可以再可以爱点么。第一次喜欢的韩国男人。叮咚叮咚            
(3星)	 车大叔卖萌卖抽都很成功            
(4星)	 哈哈哈哈 女主角长了一张看了就想笑的脸！大叔很萌 关键是男二号很儒雅很书生气有木有！！！！韩剧真欢乐啊。。。。·~~            
(5星)	 完美收官！愿生菜夫妇也能如此般AZA AZA FIGHTING！            
(5星)	 可喜欢孔孝真了。。她特别特别的真实。。。            
(5星)	 大叔面 正太心 +  御姐面 萝莉心= 最佳爱情            
(3星)	 车大叔不太适合浮夸。。            
(4星)	 源源不绝的偶像和经久不衰的童话类型            
(2星)	 鉴于某人强烈推荐，硬着头皮看了3集。事实证明，姐年纪大了，这种少女系狗血剧不适合我。            
(5星)	 喜欢~有爱的大叔啊啊 啊 ~            
(3星)	 还好            
(4星)	 厄。。。。。。。真逗。。。睡前催眠。。。            
(5星)	 如果不是在网上看到别人推荐，大概我是不会去看这部剧的，男女主角都不认识，而且第一眼男主还能算有型，女主实在是很普通，却在洪氏姐妹笑中带泪的故事里，爱上了这对年纪不小的主演，众多配角也个个很有特色。            
(5星)	 40岁还拍偶像剧的卖萌抽风大叔最man了~            
(5星)	 那谁简直太可爱了....谁能受得了~            
(5星)	 这部剧真的很好看！应该算是本季最好的韩剧了！洪氏姐妹果然给力！不论从搞笑的心意，还是演员的超一流表现，都堪称完美的一部剧！在韩国收视也集集攀升，下周将极大可能占领收视排行榜一位！~极力推荐大家去看看~~掀起继《美男》之后又一轮网络风潮吧！            
(5星)	 轻松的剧，孔孝真演的谢谢很喜欢。开始不知道是主演，只听说女主不好看。今天看了演员表就想看了。是我的菜哈。车演技很不错哈又卖萌            
(5星)	 烂尾            
(4星)	 洪氏姐妹的又一代表作。可惜结局弱了点。            
(5星)	 好欢乐！！！！            
(4星)	 男主身材很棒，演技帅气也有搞笑，不错哈！男2也不错的说……            
(5星)	 洪氏姐妹写的剧都不错。不过就是每次都有一点点虎头蛇尾。这次希望不会            
(5星)	 原来喜欢上一个人，心跳会那么明显的跳动啊。车胜元演的高傲的男主终于发现自己喜欢上那个已经过气的国宝少女了。期待剧情的发展。            
(4星)	 如果没有城市猎人的话。。。我想我会打五星的。。。            
(4星)	 孔孝真也可以算我喜欢的韩星了！！为什么大妈一样的女人能够保持这等的纯真呢？正如许多韩饭一样，我也是期待启尚大叔，不过男一大叔真的是很可爱啊！！！洪氏姐妹的片子绝对是没的说的。两个大叔真是太可爱了！！！！            
(5星)	 金牌编剧+我家大叔            
(4星)	 很轻松的爱情剧            
(4星)	 好笑归好笑，车大叔这把年纪挑战这种小白角色会不会有点吃力哎哟眼角的鱼尾纹哪。。=_,=            
