http://movie.douban.com/subject/1922656/	法证先锋
(NA)	 林文龙和蒙嘉慧多配，歪嘴钟扮可爱真是令人发指            
(4星)	 个人觉得这类题材没有比鉴证实录更好的了            
(5星)	 剧情很精彩 只是钟嘉欣太傻比了。。。            
(3星)	 如果我以后要选个胖纸那就要欧阳震华这种好了-。-            
(4星)	 林文龙明显是和蒙嘉慧比较配啊            
(4星)	 鐘嘉欣這個角色要不要那麼討人厭啊。            
(4星)	 最后一星给蒙嘉慧的。            
(1星)	 无理智的判案，幼稚的思考，看港剧易患老年痴呆            
(NA)	 豆瓣8.2的评分真是瞎了狗眼 明明难看的要死 演员恶心得要死 台词恶心得要死 剧情弱智得要死             
(NA)	 更喜欢鉴证实录            
(3星)	 吐槽一下钟嘉欣。本来又高又壮的女纸是我喜欢的类型，只是钟大哥实在是鸡血太足了。无论什么剧，宫斗、商战、犯罪，演技都如打了鸡血一样，无论看到尸体还是卤鸡蛋，她都激动万分，兴奋异常。            
(4星)	 很喜欢蒙嘉慧。欧阳震华大冬瓜。            
(4星)	 倒追剧集，看到十集左右忽然有点儿食之无味。            
(5星)	 珍惜第一部的点点滴滴。那么多好男人好女人值得学习。            
(5星)	 蒙嘉慧正翻了好喜欢她！！！！！！！钟夹心也还没嫩么讨厌。。。            
(5星)	 比2好看            
(3星)	 断断续续看的。            
(NA)	 看了三集 果然是老套路            
(4星)	 原来蒙嘉慧长的挺好看的。            
(4星)	 “我要向你证明你挑战法律是错的”。。。还是柯南说的对——真実はいつも一つ！            
(4星)	 欧阳震华的年。            
(4星)	 劇情還是比較精彩的，蒙嘉慧在裏面尤其美麗，雖然很多人認為這裏面的案件很小兒科，但是我個人對TVB這類劇還是特別有感的，完全符合我的小低能。            
(4星)	 以前喜欢追电视看哦！            
(5星)	 高一的回忆            
(3星)	 3.5            
(5星)	 深爱欧阳震华            
(4星)	 林文龙好帅哦~~            
(4星)	 现在看来1一定是法政系列最经典的一部 无论是主角们的表演还是案子的设计 或者是法政破案给人的耳目一新的感觉。            
(5星)	 TVB侦破题材的剧集都十分好看。            
(4星)	None
(2星)	 案情幼齿化，人物脑残化，剧情是家庭伦理爱情，破案是用来推动剧情发展和培养感情的。            
(3星)	 给那么多线索和证据，换做我，也能轻松破案了。            
(4星)	 蒙嘉慧好漂亮╮(￣▽￣&#34;)╭             
(4星)	 看完了。。。感情戏一律快进。。案子还不错，不过我总忍不住看视频下面的评论剧透。。那个钟嘉欣看着好不爽啊。。            
(3星)	 关于刑侦的部分比普通的港产侦探剧要严谨得多，鉴证手法也让人大开眼界。就是人物感情方面处理得太过理性。几乎每一个主角都三观端正头脑冷静大爱世人，无懈可击得有点过了，缺少草根味与亲切感。btw，虽然张松枝平时演坏人太深入民心，这次难得演一个法政部人员，也不需要从第二集开始就遭雪藏吧            
(4星)	 就是巧合太多了 案子都太快了             
(4星)	 哈 发现挺喜欢蒙嘉慧的～～～够帅气！又想起那个当警察的梦想了。。近视你妹！！            
(NA)	 后面不给力压             
(4星)	 有几个案子还真是有点儿意思。            
(4星)	 好看的 蒙嘉慧戏里戏外差别也太大了            
(4星)	 我打算把当年看过的TVB也添加上...啊哈哈哈            
(3星)	 假 兮 兮 看了两三集            
(4星)	 还是一好看            
(4星)	 还可以呀，没犯罪心理看了，就看这个喽            
(4星)	 好看啊~~~谢谢涂涂的推荐~~~            
(3星)	 山寨csi            
(5星)	 喜欢蒙嘉慧            
(3星)	 纯粹用来杀时间            
(4星)	 Dr.koo!            
(3星)	 太tm離譜了            
(5星)	 真是经典的片子            
(4星)	 哎呀呀呀~港剧就是看的快~~可以看II啦~不过传说中都话不如I呀~~            
(4星)	 就爱法医..            
(4星)	 欧阳震华            
(NA)	 HOHO，看过了！过瘾啊！            
(2星)	 硬傷            
(4星)	 欧阳小胖子            
(4星)	 为什么剧里破案的都是法医呢？因为这部剧叫法证先锋啊o(╯□╰)o            
(4星)	 要爱上林文龙了 尽管现实中太渣了 钟嘉欣无论什么时候都打鸡血。。            
(4星)	 比3是好看多了 不过也就是传统TVB 陈法拉惊鸿一瞥。            
(4星)	 最后一个连环杀人案最和我胃口            
(4星)	 除了编剧有点脑残，其他都还挺好的            
(3星)	 前面不好看 后面还不错 蒙嘉慧真心漂亮。。。            
(5星)	 很难得的给五星的港剧，我就是爱TVB肿么了！近年来总是对香港探案剧无法抵抗，这部真的是越看越精彩啊。蒙嘉慧我还勉强能接受，但是能不能换走钟嘉欣啊，还有为毛里面都是不用表白直接变男女朋友，真心跟不上他们的节奏啊！另，最后一个刚死人老子就知道是谁杀的了好吗！是编剧太笨还是我太聪明啊！            
(4星)	 有一集没一集的看过            
(3星)	 多了人情味的港版CSI，故事的衔接很自然，意犹未尽。            
(4星)	 我是爱欧阳震华呢，还是高Sir？            
(4星)	 我是有多无聊啊！！            
(3星)	 麻麻地。            
(4星)	 为什么剧里破案的都是法医呢？因为这部剧叫法证先锋啊o(╯□╰)o            
(5星)	 难得的好剧，钟嘉欣也难得如此萌。            
(5星)	 不错哟~            
(4星)	 我爱胖子！！            
(5星)	 很好看！科普了很多知识            
(5星)	 蒙嘉慧真的是低调(*￣︶￣)y             
(4星)	 编剧很不错 。            
(4星)	 前幾集最好看！後面越來越沒勁其實= =尤其是最後1集...            
(3星)	 剧情似曾相识            
