http://movie.douban.com/subject/5294313/	一天 하루 / ある一日の物语
(1星)	 该片真实反映了棒子没东西吃,小孩子没学上,爱整容,爱外遇,爱意淫的精神风貌.是一部自我批评的佳作.            
(3星)	 三个随便给个我都大满足了            
(3星)	 不是广告的广告，好像有故事却又没有，画面漂亮得没话说。韩彩英和朴时厚的餐厅果蔬大战不知所云，Bigbang和小学生的段落与主线严重脱节。郑允浩又一次戴了绿帽子，他长得很像会被女人背叛的男人吗？如果想做成短剧，就应该更彻底一点儿，起码要有些值得推敲的剧情。            
(3星)	 广告……李多海怎么变奇怪了……充满大酱味的史密斯夫妇，浪费了厚厚和彩英==            
(3星)	 这片真不是一般的2，为了bigbang看的            
(5星)	 http://v.youku.com/v_show/id_XMjI5MTc1MDI4.html，韩国旅游宣传片，因为金范和朴施厚决定打5星，这俩都是我的菜啊！！！！            
(4星)	 歌好听。史密斯夫妇的cos实在有点接受无能= =            
(4星)	 ~\(≧▽≦)/~ 允浩~允浩~~            
(4星)	 三星半，虽然情节很扯，但是演员很好看，风景也很好看(￣▽￣)|||            
(5星)	 官网好好玩,有这片子的高清完整视频,有中文字幕的,还有花絮看,花絮里还会出现你注册用的头像!!             
(NA)	 不同时做点什么就看不下去的片子。剧情无聊有再多明星演也不会吸引人。PS：不要被广告蛊惑，韩国真的没什么好玩，现实中也不像韩剧里那么美好。            
(4星)	 我爱大T  =3=            
(4星)	 我是来看演员的 p(#￣▽￣#)o            
(3星)	 韩彩英身材真好，李多海肉肉的也很可爱            
(3星)	 陣容            
(NA)	 李多海的鼻子...            
(4星)	 嗯~ o(*￣▽￣*)o淡淡的感觉好美呀，李多海和时厚给了我不一样的一面，很美好。恩，喜欢这个。            
(4星)	 好喜欢好喜欢蛮有趣的，所有关于橙子的画面都让人惊艳~~bigbang有点打酱油，如果衔接再流畅一点就好了。另外，允浩你跑步的样子╮(￣▽￣&#34;)╭太华丽了吧？            
(1星)	 各种首尾顺次抄袭欧美剧集。被几个依靠整形技术而夺得偶像称号的人霸占了稍显强势技术的广角镜头。我只能感觉抽离般的无力。            
(5星)	 完全就是广告 画面真的太美好了 剧情咱就一起忽略了吧。。。朴s在里面真的太帅帅帅了 http://www.haru2010.com/ 官网有花絮和剧照            
(4星)	 還挺美的,雖然有些穿幫鏡頭。            
(3星)	 好像在网上有看过。可是不知道想说什么。            
(4星)	 因为郑允浩。            
(3星)	 说穿了不就广告么。            
(4星)	 ~~~            
(2星)	 没看下去 - -            
(3星)	 不是广告的广告，故事很扯，但画面漂亮得没话说。            
(3星)	 碰上金范傻了才要允浩呢             
(NA)	 這三十分鐘好難忍。            
(2星)	 乱七八糟的.允浩苦逼等待男了.            
(2星)	 为什么总是吃橘子，为什么总是吃出橘子汁，            
(3星)	 好喜欢朴施厚啊！！！！            
(3星)	 真帅阿。。。。。            
(NA)	 http://movie.douban.com/subject/6101722/  俩标签~信息还不一致~            
(NA)	 广告就不给分了            
(NA)	 评分三星以上的人们都告诉我为什么吗？            
(3星)	 宣传片而已 为了酱油团们马一脚            
(3星)	 韩彩英和朴施厚 真般配 李多海好做作。。。            
(3星)	 剧情真的很烂，然后果然是旅游宣传片啊，乡下人表示韩国的火车好豪华。。。            
(3星)	 韩国旅游片            
(3星)	 还真是没意思，要不是看在允浩的份上我就终止观看了。            
(3星)	 韩国观光+帅哥美女片            
(5星)	 看过中国国家宣传片之后，只能给这个五星            
(3星)	 这竟然是旅游广告！            
(5星)	 好看，瞧瞧人家韩国的观光旅游宣传片，全是帅哥美女，还有故事情节。            
(4星)	 韩彩英姐姐很漂亮啊……金范是89年的orz             
(3星)	 蔬果大戰那一part雷到我了，然後我真心不喜歡允浩..李多海是不是又整過了??金範的feel我還是一如既往的喜歡。其實短片不好看╮(╯_╰)╭。就只是靠大牌支撐而已!!推OST!!!            
(2星)	 什么东西啊- -一颗给画面和美景，一颗给朴施厚。丫总是扮演完美情人哎哟。            
(3星)	 ost比较赞~            
(4星)	 郑允浩你个大萌王啊〒▽〒            
(3星)	 = =到底有没有后续了            
(3星)	 韩国能把旅游宣传片拍成这样我实在是无语…有几个风景？除了明星就是明星…宣传整容业呢吧…            
(3星)	 朴s在里面真的太帅帅帅了             
(3星)	 为了豆包，看的。纯粹养颜来。            
(3星)	 韩国是很美啊            
(3星)	 阵容强大画面唯美可惜没什么剧情            
(2星)	 各种磨叽装逼。别模仿before sunrise.            
(NA)	 好烂的剧情。            
(2星)	 剧情烂死。韩彩英真心美，BIGBANG可爱            
(3星)	 仅仅是为了权志龙看的，就是个旅游宣传片么，囧囧的剧情            
