http://movie.douban.com/subject/4742378/	我的女友是九尾狐 내 여자친구는 구미호
(3星)	 讲老实话这戏好挺有意思=，=            
(5星)	 好看..申敏儿很可爱嘛~那个医生感觉比男猪脚要帅~~哈~            
(2星)	 男的不帅，女的不靓，表演做作，场面不够宏大，故事老一套            
(5星)	 申敏儿怎么能演美女？            
(4星)	 男二比较帅。            
(1星)	 女丑，男恶，洪氏姐妹太做作！            
(4星)	 男二娘的要死还装帅，恶心死。里面的动画部分挺可爱。男一的姑姑和喜欢发哥的洪导很亮点很雷人……            
(4星)	 后面軟掉了。            
(5星)	 我太俗了我太怂了！我就爱狗血剧！我对不起祖国~            
(5星)	 剧情紧凑            
(4星)	 好好看啊。好好看啊。O(∩_∩)O哈哈~            
(5星)	 很喜欢男一的可爱，但是感觉男一没有在《传闻中的七公主》里面帅了，但是还依然可爱。男二也蛮酷蛮帅的。女主角活泼可爱。是个现代剧中的爱情喜剧，喜欢~~            
(4星)	 开始几集我都准备打五星了，可是后面就牵强了，为了误会而制造误会。申敏儿不漂亮，但是笑起来真是可爱。李胜基还是他一贯的路线。“法海”长得也太妖孽了。导演很爱周润发哦，还好没说小马哥是韩国人。            
(4星)	 看了2集吧，感觉应该是部轻松的片子。片中大概会有纯情浪漫的爱情，有那个医生的矛盾，有申敏儿的善良调皮……很期待这部电视剧结局，应该会是皆大欢喜的大团圆结局吧~不要是悲剧哦……            
(5星)	 不愧是洪氏姐妹~挺搞的！            
(5星)	 好看！！！！！            
(NA)	 只看了一集。不评价。            
(3星)	 不乏笑点~            
(NA)	 好久好久没看韩剧了，这部开头还算吸引人吧            
(2星)	 扯就一个字啊.我是看不下去了.            
(NA)	 姐姐天天在家看這部連續劇，有事沒事跟著蹭著看了一些，申敏兒好可愛。....除此之外...這部戲很無聊...            
(4星)	 这两天得安排个烤肉的饭局。             
(4星)	 後天就去吃嗞嗞的烤肉！好想吃肉吖。。。555            
(4星)	 九尾狐死的时候我要哭瞎了……            
(4星)	 nomo nomo nomo nomo pogoxipo yo ~~~~~~~hyoi hyoi             
(NA)	 就是里面捉九尾狐那娘娘腔怎么看怎么别扭~            
(3星)	 耨摸耨摸耨摸耨摸            
(4星)	 前半部分真的很好笑            
(NA)	 看到7 弃之            
(3星)	 不好笑，而且申敏儿死丑            
