http://movie.douban.com/subject/1482394/	蓝色生死恋 가을동화
(5星)	这个片子整哭了一代人
(3星)	对文根英不是一般厌恶
(3星)	那叫一悲啊
(4星)	汗...看的第一个韩剧啊
(5星)	第一部韩剧。
(4星)	哥！！！！！！恩熙！！！！！！哈哈哈哈哈哈！！！！！！！！太煽情了吧小韩民国！！！！！！！！
(5星)	淡雅与唯美的爱情，从这里，我爱上了元彬，我心中的完美男人，帅气、阳光、温柔、害羞、深情，Perfect Man!
(3星)	完整看过的唯一韩剧 的确煽情
(4星)	哭死啊哭死
(4星)	记得上高中那会儿，全家人一起看的。五岁的小表妹，学里面的宋慧乔叫哥。
(5星)	看的第一部韩剧~~让我在放映室里，和同学哭的稀里哗啦~~~旁边的大学生问我看的是什么~~蓝色生死恋~~10年了，我口味一直没变，还是喜欢元彬！还是不待见宋承宪啊~
(NA)	最早红起来的韩剧
(4星)	请准备好纸巾
(5星)	是我小時候看的第一部韓劇也是最啟蒙一部! =   =  所以我要給五星宋慧喬很美!!!!!!!!!!!
(2星)	我讨厌这样俗剧情的悲剧.
(4星)	哭啊哭,不过不想看第2遍,还有音乐不错...
(4星)	哎~谁没纯情一把过，想当年看结局哭的崩溃，之后一段时间看班上男生极其不顺眼，觉得你们这帮人俗透了真不想搭理你们，哈哈哈哈哈哈哈哈哈哈 
(NA)	其实我就看了个开头...主角长大后一开始就觉得节奏好慢看不下去﹁_﹁
(2星)	很不喜欢这种只会哭的风格
(4星)	催泪弹啊。
(5星)	第一次看的韩剧
(4星)	经典唯美，画面和音乐也都很美啊
(4星)	话说当年啊！男主角一哭我就哭，女主角哭了我还哭，不过宋承宪你也太爱哭了！！
(NA)	韩剧白血病的先河
(NA)	韩国是白血病发病率最高的国家。
(5星)	经过多年的思考，我还是认为这是一出好戏。你可以说它狗血，但这狗血洒得空前的细腻。
(4星)	很经典的韩剧……
(4星)	怎么说呢，如果现在再看一遍，肯定没有那个耐心了。不过当时赚了我不少眼泪。
(NA)	很早的韩剧 哭哭哭
(4星)	到底是电视剧啊，一点也不明白宋承宪哪里比元彬好。
(4星)	我可怜的元彬啊！！！！！！！
(3星)	苦情的一逼神马的  当年都是陪我妈看
(4星)	小时候很喜欢的。
(5星)	看的第一部韩剧好像。。
(NA)	其实不记得到底看完没有
(4星)	因芒果台天雷滚滚的《一不小心爱上你》重温了《蓝色生死恋》，真是催泪弹啊啊啊
(NA)	我就看过一集还不知道两集。。。记得元彬了OAO
(NA)	高中。。。
(3星)	操垃 這就十年垃
(2星)	到后来看的只想杀了那坏女人。哈哈。
(1星)	好恐怖的这个，，
(5星)	第一部韩剧，哭得那么伤
(4星)	哭就一个字
(4星)	看在宋慧乔的份上
(3星)	其实没有完整的看过,但是他们哭的那叫一个惊天动地啊!!
