http://movie.douban.com/subject/3120912/	河东狮吼
(NA)	 关咏荷            
(NA)	 张柏芝的还是后来的 而且逊多了            
(NA)	 就是苏东坡丑了点。。            
(4星)	 新春期间，能有这样的无脑娱乐片陪伴，还有什么可求的呢？            
(3星)	 三颗星都给当时和现在都一样的柏芝。            
(5星)	 我爸都看的！            
(3星)	 除了廖伟雄丑一点，，，但他还是蛮有演技的            
(4星)	 还不错            
(3星)	 历史上还真有这件事。            
(4星)	 又看了一遍            
(5星)	 挺喜欢看关咏荷的。            
(3星)	 20            
(5星)	 我觉得很好看啊~这个海报不对！！            
(3星)	 毕竟是是年前的片了            
(3星)	 怕老婆会发达，命运微妙的安排。            
(NA)	 不好看啊~关演的老婆真是个大苦瓜，我要天天对着她 我也会疯的。没有电影般那么有逻辑            
(4星)	 个人认为比电影版好的多了去了            
(4星)	 小时候还看哭了            
(4星)	 张柏芝那时候多美。            
(5星)	 10年前看过，再看还是觉得蛮好            
(3星)	 这是女权主义，不是平等而已。            
(3星)	 结局失望，苏东坡跟小蝶很搞笑            
(3星)	 鹅姐啊真的不好看哇            
(3星)	 10岁以前看的，剧情不记得多少。只记得林家栋演的苏东坡，以后学苏东坡的词想到的他的形象都是林家栋的样子了。            
(4星)	 很感动的电影为什么评价不高            
(3星)	 看这片子定位很重要，放的够低就还有亮点，问题是为什么要那么低- -            
(3星)	 最近才小得有个TV版。。。。。            
(3星)	 ok            
(4星)	 记得好好笑的            
(NA)	 恶搞持续恶搞            
(3星)	 小学毕业暑假，从上海探亲回来，夜里到家打开电视看见            
(4星)	 小时候看过的TVB剧。印象很深            
(1星)	 1.5 也没比内地版好多少            
(3星)	 最后时刻的对簿公堂倒是很好看……            
(4星)	 经典！！！片尾曲超级好听的啊！！！            
(4星)	 事到如今。好好站起来。            
(3星)	 那时候的傅明宪还是个清纯可人儿啊            
(5星)	 想到郝同学了，呜呜            
(3星)	 主题曲很好玩            
(5星)	 其实大宋才子更解风情，大爱。。            
(NA)	 好看            
(3星)	 当初我还研究这个研究那个。。            
(5星)	 关咏荷曾经这么美。            
(3星)	 回忆= =            
(4星)	 龙邱居士亦可怜，谈空说有夜不眠。忽闻河东狮子吼，拄杖落手心茫然。            
(4星)	 不知道为什么，我被小张给感动了            
(3星)	 那会还挺爱看。。            
(3星)	 男主角很菜~            
(5星)	 这是小时候最喜欢的一部TVB古装喜剧了，现在想想也觉得是经典啊，爱你恨你好不容易才找到音频当下了！            
(4星)	 一入宫门深似海            
(NA)	 琴操~            
(3星)	 欧阳震华大叔好可爱            
(3星)	 认为比电影版好看，而且很KUSO，当年看的很乐和            
(3星)	 一开始觉得　陈季常很丑啊 呵呵 可是后来被欺负多了 觉得还挺可爱的            
(5星)	 又是一部老片中的经典，搞笑，适合全家人于饭后一同观看。            
(3星)	 县令与他的夫人（母老虎）            
