http://movie.douban.com/subject/1830572/	缘尽今生
(5星)	 难忘的新加坡经典            
(4星)	 典型新加坡家族纷争剧~            
(3星)	 似乎小时候看范姐的不少剧集，类似题材还有激情女大亨等等……%%#（这名起的）            
(NA)	 新加坡剧原来挺繁荣的，现在都无影踪鸟~            
(5星)	 第一部看范文芳的片子            
(NA)	 认识了范文芳            
(4星)	 若说无缘，缘何相聚；若说有缘，缘尽何生？－－缘尽今生。            
(3星)	 哦哟当初拿新不了情来做主题曲的那个嘛            
(4星)	 那时看的无比纠结啊，若说无缘缘何相聚，若说有缘缘尽何生。范文芳最喜欢的片子，非常好听的片尾曲似乎是万芳的，可惜找了好久也没找到            
(4星)	 若说有缘，缘何相聚。若说无缘，缘尽今生。            
(4星)	 在想：为什么那年代许多新剧的主题曲都是辛晓琪唱的。。。            
(5星)	 怀念。            
(NA)	 女记者嫁入豪门被婆婆凌辱从偏门入，老公没有OOXX能力。。。            
(NA)	 塔琳。。。            
(NA)	 到现在还能记得那歌            
(5星)	 若说无缘，缘何相聚；若说有缘，缘尽何生？   对这16个字的印象比电视剧深刻的多得多。            
(4星)	 。。。小时候我以看过这种剧为傲。。。超成熟的。。。当时有酒后那啥的戏码，，多么重口啊啊。。。。。            
(5星)	 这个片子让我爱上了范文芳@@从此。。。            
(NA)	 范文芳貌似饰演了三代还是四代人            
(4星)	 小时候居然看过那么多新加坡剧            
(4星)	 除了港剧新加坡剧那时也很火，暑假追看的那时候的暑假真是好剧连台啊，方玲的成长史，喜欢范文芳的一部戏！            
(4星)	 对这部戏的片头太有印象啦！！            
(4星)	 范文芳那时是真美 不过只记得最后一个镜头 满面苍老的婆婆慢慢合上眼睛 手里的书掉在地上...            
(5星)	 文芳凭这部剧获得了最佳女主角，我小时候可喜欢看了。方玲！            
(NA)	 不记得剧情 歌的旋律到是有印象            
(4星)	 因为这部片子喜欢上了范文芳            
(3星)	 里面范文芳刻意扮成熟。            
(4星)	 小时候看到饿电视剧 喜欢万芳唱的片尾曲            
(4星)	 因为这部片子范文芳一直给我年纪很大的感觉。。。呵呵。。。当然现在的她年纪真的是不小了。。            
(4星)	 经典之作            
(NA)	 喜欢里面的蒋益文            
(5星)	 这部戏最赞的是范文芳的演技，从纯真懵懂到精明干练，甚至有些发狠......            
(5星)	 第一次看范文芳的剧集就是这部！很好看！！            
