http://movie.douban.com/subject/6013886/	你为我着迷 넌 내게 반했어
(5星)	 我们高美男和姜新禹终于要在一起了。            
(4星)	 小郑咱能不面瘫么～            
(3星)	 我的娘啊  这编剧是个奇葩！你不给我男一钟意女一的情节也要给我男二钟意女一的呀！！六集过去p都没有。还有啊  我觉得我觉得男二真的很帅气啊！！            
(1星)	 果然没有张根锡的气场            
(2星)	 此片我已放弃            
(5星)	 最爱郑容和。            
(2星)	 第一集的剧情实在很不出彩,而且女二的鼻子实在有够歪的,鼻孔一个大一个小~~            
(5星)	 夏日里的小清新，色彩非常鲜艳，演员很是养眼，场景也很浪漫！狗血又怎么样！我看我喜欢！！            
(NA)	 总算看完了 演员不错 可是编剧真的有点白痴。。。。            
(5星)	 同作为艺术生 从文艺角度看这部片子很不错哦,！不像一般的青春偶像剧没有内涵。男女主人公各代表着古典乐与电子乐，并形成了对比与融合。整体很不错！！！            
(5星)	 超级好，爱死了，郑容和，迷死人了            
(3星)	 看到的人一定会说终于美男和新禹终于走到一起了，关于音乐方面的碰撞也是很期待，这种将国乐和流行乐放入一切并融还是很期待的~除此之外我只能说荣和同志要挑战自我感觉良好的自恋男和他那张不苟言笑的脸蛋对比，还是朴妹妹演技比较赞            
(1星)	 真的很差很沒誠意啊…… = =  編劇吃屎的么……            
(5星)	 美男新禹修成真果啊~~~食神弟弟也好可爱啊~~~~            
(3星)	 容和拜托接点魅力大爆发的剧吧！            
(2星)	 噗..猪脚太让我失望了 俗套的剧            
(4星)	 敏赫的表现还是不错的，看到他演的桥段我总是忍不住得想笑，现在就是看容和的发挥了，说实话就是眼神他比较拿手，其它的还是有点僵硬啊，先慢慢看之后你的表现吧。还有不是说是都市冷男么，但怎么看怎么还是觉得是个热心肠的暖男啊。。。悲催的容啊            
(NA)	 。。。另外名字取得不怎样啊 不过我很喜欢朴信惠 一定会追的~~~            
(5星)	 不错哦！青春浪漫采景也不错            
(4星)	   哎哟，小清新喲～还有剧作亮点～不错～            
(4星)	 小清新吧~夏天绿色的海报很好看~            
(3星)	 前七集是在神游嘛编剧亲！            
(4星)	 蛮青春的小清新剧。没有了张根锡，发现郑容和原来也蛮帅啊~            
(NA)	 完全只想吐槽男猪脚的吉他。            
(4星)	 分不清谁是主角。。。玄奇英秒杀啊！            
(3星)	 很清新的小片子。但是对于我抱有《原来是美男啊》的心态去追剧的人来说。。。。很失望。口味太清了。哈哈            
(2星)	 弃～            
(5星)	 虽然前三集主角的戏份很少，但是我感觉很好看，感觉你为我着迷是一个很轻松的戏剧，越来越觉得很好笑，第四集又有吻戏了，一定能大发啊            
(3星)	 明显年纪大了 没有心情看这种剧了 看了一集 在不断快进 应该不会再看了            
(3星)	 对这个男的还是有点招架不住T_T            
(3星)	 几个小时就快进看完了。。完全是因为郑容和跟朴信惠才看的            
(3星)	 虎头蛇尾            
