http://movie.douban.com/subject/4307476/	无法坦诚相对 素直になれなくて
(NA)	 不是说好日剧吗 怎么有棒子出没..            
(5星)	 除了棒子,里面的一切都很美好,美好,美好.            
(NA)	 树里 瑛太！！！结婚！！！            
(2星)	 什么破剧情，比LF还烂，弃之！            
(5星)	 野田妹和英台谈恋爱，太欢乐了～！太有爱了～！            
(NA)	 瑛太樹里也救不了啊……            
(5星)	 只是这样的演出阵容打五星……last friends里结局不伦不类的上野和瑛太这次会不会又被狗血剧情整死 让我拭目以待……可怜的在中完全失却神起的光环 成为日剧的牺牲者 唉 棒子在鬼子那儿更不受待见由此可见一斑……            
(3星)	 脚本第一雷，juri一成不变的表演第二雷，[哔]第三雷            
(3星)	 主题曲不搭调，镜头胡乱快切也很没必要，剧情太虐，上野小姐得赶快摆脱野田妹式表情才能有更大空间发挥，本剧唯一优点大概就是瑛太长进很大，终于可独当一面，            
(1星)	 弃~~滚~            
(5星)	 好吧我也给五星谁叫我喜欢五呢。五颗星都给在中不然半颗都没有。            
(5星)	 不需要任何理由            
(5星)	 因为在中，才追这部剧。演员们关系都很好，只看见日剧饭这这JJWW了，希望嫌弃的人快点离开，不要再追了，谢谢。 真可悲啊，小树和瑛太的饭就这么容易动摇，为你们感到悲哀，仙后们反而很挺你们呢。            
(4星)	 讲twitter生活的日剧，除去那些狗血桥段，倒是很适合我等草根人群照镜子。其实这剧里把Twitter改成什么都是可以的，太没有推特自己的特色了。其实不要强调twitter，这片找不到什么卖点了，说网友偏偏网络的元素却又是那么不明显。你既然定位草根，拜托更草根一些啊            
(3星)	 北川悦吏子的剧集就是一个字：虐            
(5星)	 哈哈 剛看完第一集  很精彩 追了！            
(2星)	 twitter就是个鬼影...            
(3星)	 目前看不出什么门道...只为瑛太和玉山很难看....弃之...啊瑛太啊.....            
(2星)	 剧本狗血，主角违和，配角无爱，配乐山寨，进展缓慢致使我一直快进，这是韩剧吗？第六话弃            
(5星)	 沒有理由 CP就是王道            
(NA)	 看到在在啦  很期待 发现瑛太和上野树里更是惊喜哇  赶快上映吧            
(3星)	 《LF》虽然纠结，但我至少知道那五个人到底在纠结些什么，《素直》就一直没明白过这五个人到底在纠结什么。追到第8话，看到玉山君扑向瑛太，我弃了~！！！            
(2星)	 北川阿姨的时代早就过去了，学会上推也没用。            
(2星)	 我管你什么卡司。难看就是难看。            
(5星)	 ost大爱。又是本过程悲催的剧            
(3星)	 在LF面前顯得非常2B  一味狗血沒有新意 怎麼說北川也是個名編劇 何必呢 淺野大媽笑而不語~            
(4星)	 全剧里无论是男是女到最后都喜欢上瑛太，为毛我都不觉得狗血？只能说明：瑛太酱你有魅力的太有说服力了~~~            
(3星)	 怎样坦诚相对？你让女人卸妆试试，你让男人每看到一个性幻想对象都告诉你？            
(1星)	 看不下去了已经。            
(2星)	 刚看第一集确实感觉非常棒！到第五集实在看不下去了            
(3星)	 玉山铁二演技大突破 咳咳            
(1星)	 我真是硬着头皮看完的啊，完全不知道为什么要追了这么久，没一个喜欢的角色，没一对有爱的CP，如果有洒狗血大赛，这个应该是前三强吧。            
(3星)	 6.1/10 看到第十集就觉得自己浪费时间了            
(4星)	 其实，就算说出来，也改变不了什么吧            
(4星)	 叔叔吻了大妈后流下“心很累感到反胃”的泪水！但是后来，叔叔爱上了eita，整个世界都变成了粉红色~大妈的剧里果然总有个默默地G……            
(2星)	 弃了 受不了全民皆爱nakaji            
(NA)	 弃            
(NA)	 都好，除了编剧老太太过时的YY            
(5星)	 结局好好啊！！！！！！！！！！！！             
(2星)	 我还真是无法坦诚面对大妈的心思啊。。。            
(2星)	 弃了 每集听一下小胖妹的剧情简介就可以了 比月之恋人要好些             
(4星)	 北川大媽太無敵，人人都愛NAKAJI。            
(NA)	 看不下去..弃了..啊~喜欢电视剧的名字~(第一集就出现了徕卡M7...T..T）            
(5星)	 寂寞是很可怕的啊。            
(2星)	 都是渣。            
(NA)	 很不错，适合年轻人看。            
(4星)	 Twitter 时代的故事。            
(4星)	 上野树里怎么就义无反顾地残了呢？            
(3星)	 很喜欢OST，但是整个剧情确实一般。            
(2星)	 我没看完，我就是来打低分的。            
(1星)	 推特在哪儿。。。            
(5星)	 期待终篇            
(3星)	 日版的gossip girl            
(3星)	 也就那样吧，很狗血就是了            
(NA)	 毫不掩饰地说我是完全冲着瑛太看的            
(3星)	 忒狗血了……            
(3星)	 3星半...树里+瑛太应该是=大爱才对，可是这剧纯粹是拖拖拉拉看完的...ps：东方神起我虽然很爱你们可是你们真的不适合当演员...你们还是回归老本行好吗...            
(5星)	 青春！！！！！！！！            
(3星)	 结局太屎了！            
(NA)	 今晚刷夜能看完么！！！！            
(3星)	 到现在也 不敢相信……我看完了。            
(4星)	 因为树里和瑛太我还是多加了一颗星            
(4星)	 我.....终于看了最终话. 已经说不出好坏，看见两个人在天桥相视而笑，就觉得已经圆满            
(4星)	 瑛太~~~            
(4星)	 是不是无法坦诚的一方，才是真正在乎与深爱的那一方？‘那时我们并不知道什么是真爱，也不知道真爱有时会如此伤人。’虽然是温暖的结局，这句话却总徘徊不去。            
(4星)	 看见结局很幸福～～～            
(4星)	 ep01&gt;02&gt;11&gt;3~11用這樣的順序追完 很喜歡,不知為何應該會有番外篇的預感...            
(NA)	 一帮胆小的家伙！            
(5星)	 【Hard to say I love you】每天睡前在被窝里看，妄图以此梦到瑛太，果然还是无缘啊……插曲竟然是TingTing的，EMO馆里还两次放出Owl City的。瑛太很拿捏得住，上野树里表现不够出彩，玉山美貌但是戏份太虐，在中完全沦为衬布……男人没自信的样子真欠踹啊…            
(4星)	 编剧太废。只有场景戏好是撑不起来一部剧的。我非常想说是Juri看到现在最不成功的一次表演。这种内心派角色明明早年把握的很好啊为什么到现在不行了涅？在性格很强的角色里泡久了的缘故？最重要的是明年大河啊加油！！不过还是没办法看着你就心情好。瑛太太萌了。            
(4星)	 这是我看的第一部日剧            
(4星)	 嫩牛五方般的五角恋情！！这剧情，服了！！            
(4星)	 请叫我屁几。            
(4星)	 终于看完了。。玉山桑真是好帅 果然是人人都爱nakaji啊，包括编剧。。除了剧情白痴 其他都很好。。。            
(3星)	 气氛压抑，唯“生命乃是迷茫”此轮廓是清晰。时时刻刻不知如何是好。昏暗囫囵人人都蒙着一层命运式的灰色，结局也并没有走向一个开朗的景况，现实生活就是对未来不断做出种种猜想但依旧依循大体轮廓轨迹安于落定的俗套。中古机店外玻璃橱窗里你的脸庞此瞬间瞳孔里还存有理想倒影。吐血徕卡机啊。            
(3星)	 够了哦，机场追逐，你不要走，你不要走。            
(5星)	 虽然漏洞有很多，但是，很好看。这个不好说。让我第一次又写影评的冲动的好电视。第八集的时候突然很同情主编。            
(NA)	 TNND，磨叽了十一集而且还要到最后一分钟？北川大婶，我算是记住你了。前戏酝酿得我都快累死了，什么快感也没有了。各种突然消失的角色，各种伏笔和支线的崩坏，MD要不是冲我们家瑛太和树里，真想吃了编剧。憨直的大型犬、午后的少年瑛太君，就这么被磨叽了十几集也不能扑倒野田妹，悲凉啊……            
(3星)	 Loser party。前五集很好，后五集有点拖。情节线没有完全展开，后面越来越淡，悬念线也莫名消失。            
(2星)	 这几年噱头最大，实质最差的剧！比LF和IL还差劲！！！！            
(2星)	 没看完其实，后面太狗血了，而且越来越跟twitter没半毛钱关系            
(4星)	 日剧通病，绵软，狗尾。中间的亮点还是有，演员很舒服。            
(3星)	 虽然生活很寂寞，但是幸好没有电视剧那么狗血            
(5星)	 如果连自己想要什么都不知道的话  那要怎么对自己坦诚？！5星给THE TING TINGS~            
(NA)	 1.难怪今年路上多了很多haru头。2.大家都爱nakaji            
(3星)	 其实在现实生活中我们很难做到坦诚相见。因为有太多的条例束缚着我们。所以这个日剧我是抱着很大的热忱与期望观看，但是基于对日本编剧的编写手法太过于不欣赏开头的部分很难继续看下去。最终仍然坚持看完。对于韩国人的过分谦卑，和日本人各方面的行为偏颇都造成了一个好的主题被丧失掉了，实为可惜。            
(3星)	 第三颗星是给取材视角的  战线拖太长 强迫症看完很痛苦            
(3星)	 看到想吐，弃。            
(5星)	 那你们自己去拍一个“好的”出来呀每次只会嫌弃别人~！            
(2星)	 编剧一塌糊涂，两颗星赏给音乐            
(4星)	 不錯看            
(2星)	 两颗星都给瑛太            
(NA)	 即使是缘分的相识，但却比跟最亲的人还要坦白~            
(1星)	 弃            
(3星)	 真是大杂烩了，师生恋，不伦恋，三角恋，同性恋。。。一应俱全~            
(NA)	 第一集就是一个广告            
(4星)	 虎头蛇尾……            
(3星)	 纠结剧            
(3星)	 MLGB终于结束了啊啊！            
(2星)	 从前的日剧从来不带这么乱七八糟没头没脑的            
(3星)	 就是说谁也别耽误谁才是王道？            
(4星)	 第一集看出了gossip girl 的感觉            
(2星)	 没看完            
(3星)	 上野树里绝对不能演老师! 瑛太倒很适合演摄影师啊 | 囊带韩国朋友跟家人讲话还有自言自语不是讲家乡话啊 | 黄昏恋什么的最讨厌了            
(3星)	 有点类似于《旋爱》的感觉，对于都市青年男女的生活和感情现状的探讨。又有点类似于《最后的朋友》，瑛太和树理很默契。三部剧有个共同点，就是其中都有“同志”的角色……“全剧终，向所有忍受到最后一集的观众致敬！” http://ikan.pptv.com/p/10310234#1            
(4星)	 偶都米有用过TWITTER            
(NA)	 人生遇到的种种矛盾高度集中在了几个人身上，真的是好充实的人生啊，我也好想拥有            
(4星)	 雖然劇情呈現韓劇走向，但北川悅吏子細膩的情節依然打動我。對於真正喜歡的和自己，偶爾還是要坦誠相對。            
(4星)	 开篇居然TINGTINGS            
(NA)	 终于忍受到剧终了 我容易么我            
(2星)	 元素标签堆砌 故事敢不敢再弱一点            
(4星)	 靠靠靠小瑛太一上来就买了个莱卡机！比起狗血剧情，现在的我还是更愿意回归纯爱，譬如只有两个人的世界，或者像野猪里的三个人也好。人物刻画除了树里和瑛太其他都很难获得认同。最后话最后幕那个牵小手真够雷的=    =太多刻意煽情节奏太慢。追的有点累。             
(3星)	 雖然狗血,但結局還是蠻溫暖的....            
(3星)	 弃了            
(NA)	 标一个Twitter的TAG。            
(2星)	 追到第三集，弃。不喜欢日剧，瑛太救不了。            
(4星)	 一下部分的圈子.影响的不止是你我他            
(4星)	 大耳朵酱素摄影男！！！            
(3星)	 居然拍了11集 好像也没啥实质性内容 纯粹欣赏演员，服装和日本街景            
(2星)	 瑛太和树里。             
(4星)	 结局还ok啦~            
(3星)	 果然黑马角色都是像瑛太他爸或者《交响》里黑木那种，暗地里帅屎你            
