http://movie.douban.com/subject/2294273/	加油！金顺 굳세어라금순아
(5星)	 CCTV8第一次看 韩惠珍笑起来台可爱了 姜志焕台帅了 辉成的头发台赞了             
(4星)	 姜同学 你太可爱了            
(4星)	 姜志焕好帅啊～～～～            
(3星)	 在CCTV-8上看的，还可以，就是太长了点。            
(4星)	 比国产好看多了            
(4星)	 晚上特意跑出去买盘看。。。            
(5星)	 考研备考日子里的一点小小乐趣            
(5星)	 爸妈那会晚上熬夜看啊。好看            
(3星)	 老妈很爱            
(NA)	 丢掉儿子跑路的爹+丢掉女儿改嫁的娘            
(4星)	 励志 喜欢金顺的勇敢和坚强 喜欢在熙的小可爱 那样长的家庭剧 花了一个暑假的时间陪妈妈一起看 结局令人欣慰 我也知道了 善良的人努力的人一定会有好结果。            
(4星)	 最记着那头卷发和紫袜蓝鞋            
(4星)	 很奋斗的单身妈妈哦。            
(4星)	 仍然是例外之一。            
(2星)	 我讨厌未婚先孕题材！            
(5星)	 向金顺一样坚强！            
(4星)	 跟着老妈，在cctv8看完的            
(5星)	 韩惠珍 饰 罗金顺 ; 姜智焕 饰 在熙             
(5星)	 最喜欢金顺的笑容            
(5星)	 这样一看我看过的韩剧还真的不少~这一部没有俊男靓女，只有感动和家庭的琐碎，让人感慨唏嘘            
(5星)	 就这样喜欢上了姜志焕            
(4星)	 當年我超愛看的呀&gt;///////&lt;            
(NA)	 原来我从小到大看过那么多韩剧..            
(1星)	 剧情拖沓，对白肤浅，完全不能推进剧情发展。思想不靠谱，同一句对白重复N次的做法让人想砸电视机。            
(2星)	 电视抢不过妈妈，只好看之13            
(3星)	 金顺虽说日子过得苦 那衣服可是一套一套的            
(4星)	 好像韩剧都素和妈妈看的            
(NA)	 喜欢啊喜欢 爱啊爱啊 韩剧——甘愿沉醉            
(4星)	 高三的日子全耗费在动画片和韩剧上了。。。进度太慢了。。            
(5星)	 160多集，终于看完。蛮好的一部电视剧。金顺的妈妈为了改嫁丢弃女儿，金顺为了儿子放弃再嫁。诗浣为了妻子的儿子犹豫不决，在熙为了金顺全然接受遗腹子。公婆努力善待大儿媳的孩子，为了金顺的新婆婆能善待自己的亲孙子。一句话“将心比心”！            
(4星)	 太长 实在坚持不下去了 可金顺你很棒！            
(3星)	 有一段时间老妈看得很起劲儿，然后跟着她看了一点……有不少煽情剧都是这个原因看的            
(4星)	 只可以说还好……            
(NA)	 曾经看的哭的心里哗啦的            
(4星)	 长的剧里算是比较喜欢的了。不过还是有点虐啊……喜欢姜志焕，傻乎乎的。            
(4星)	 星座专家说金顺是巨蟹座~~            
(5星)	 初中时非常喜欢，金顺对人生的积极与向上，让人感动。            
(5星)	 好看            
(NA)	 在TV ROOM认识了ZJ            
(4星)	 超级喜欢金顺。缺点就是太絮叨了。            
(3星)	 坚强的母爱            
(5星)	 05年的冬天每个星期天的下午从补校赶回家收看中央八台的金顺~~            
(3星)	 无疑是励志剧            
(5星)	 可爱如她            
(3星)	 高三时，每星期回家后和外婆一起看的            
(4星)	 嘿嘿 很喜欢姜智焕            
(5星)	 不错            
(NA)	 虽然又臭又长但还是很爱看            
(NA)	 ...            
(3星)	 为了我们汉汉曾经的女人            
(5星)	 我过去很爱的一部励志韩剧            
(NA)	 【2005-02-14】            
(NA)	 中学和麻麻一起看的╭(′▽`)╭(′▽`)╯             
(5星)	 姜志涣!!!            
(NA)	 妈妈的爱= =            
(5星)	 好几年前看的，一开始追电视，后来觉得忍不住了，去买的碟            
(4星)	 高中时候哭得我呀。            
(4星)	 高中的时候熬夜看的·····那时候多爱啊··········            
(3星)	 好怀念和老妈一起看韩剧的日子~！            
(NA)	 再多的风雨也只是人生的插曲。            
(NA)	 CCTV8            
(4星)	 女主顺眼男主也顺眼，记忆深刻            
(4星)	 金顺告诉我们，只要能忍足够长的时间，总有一天苦日子会到头的            
(5星)	 Pipi，71集。            
(5星)	 因为太长了，依旧没有看完，但是金顺这个女主角是如此的激励人奋发向上，即便你的人生遇到了重重困难！            
(4星)	 没有斗志时就喜欢拿出来看看，加油            
(4星)	 那时候在央视放，我天天追，追啊追……            
(NA)	 无语无语了            
(5星)	 太喜欢这部剧了，大爱姜志焕。            
(5星)	 沮丧时我爱看这个            
(3星)	 好喜欢奶奶。。。            
(3星)	 白菜头太可爱了~            
(4星)	 从这一部开始喜欢姜智焕,但他后来的片子.......            
(4星)	 唯一一部和妈妈有共同语言，一起追的电视剧。            
(2星)	 加油！            
(5星)	 我高一的时候，抱着这部电视晚上偷偷开电视看……唯一一部看完整的韩剧，162集呀，卡卡卡……            
(4星)	 挺励志的，但是我已经不再相信这样的童话……            
(5星)	 当年，总是冒着吵醒妈妈的危险，偷溜到客厅看的。金顺、辉成、在熙，你们要幸福。            
(3星)	 陪妈妈看的…其实还不错，就是好啰嗦…            
(NA)	 好长好长~唉耐心这个东西.            
