http://movie.douban.com/subject/2153389/	白蛇传
(4星)	 我觉得刘涛还不错。            
(5星)	 不知道为什么　会喜欢这个版本．．            
(4星)	 刘涛也很像白素贞啊，潘粤明也很像许仙，我很喜欢他们俩~            
(4星)	 我觉得这个版本相当的美啊            
(4星)	 与老版白蛇剧情大不相同，但很喜欢的版本，青蛇角色演得很成功。            
(3星)	 刘涛挺美不是吗            
(NA)	 白娘娘对法海说：“你不要我，你要许仙，你这是什么勾当！”            
(4星)	 几张看着眼熟又想不起他们是谁的脸。。剧情有点拖沓有点生硬，但是还算看得下去。。            
(3星)	 一般般，不好看，怎么比得上赵雅芝版本！            
(1星)	 还能再烂一点儿吗？            
(4星)	 这个许仙倒有几分灵气....            
(2星)	 色彩太浓            
(1星)	 电视台放什么，我就看什么，好没出息 啊..            
(2星)	 有够烂            
(NA)	 记得那时公公说：哼~这个故事咋成这样了捏？！            
(2星)	 看在主题曲的面子上给两星吧···            
(1星)	 完全看不下去。。。            
(NA)	 补遗               
(NA)	 就看了个结局……噁心到            
(NA)	 房间装潢很漂亮。            
(4星)	 暗想从前，烟雨天，你还在我身边。在日记本写满对白蛇传的感悟，生离死别，爱恨情仇。今夕你已不再，我心依然，今生和你作伴。            
(NA)	 刘涛演碧莲还擦不多╮(╯_╰)╭            
(2星)	 稀巴烂            
(NA)	 好傻的潘粤明。            
(4星)	 名作。            
(NA)	 哎呦喂，小潘，但是。。。汗啊            
(2星)	 陈慧琳唱的主题曲呢~            
(5星)	None
(4星)	 此版相比经典版还是有其可圈可点之处的，个人觉得不是翻拍之败笔。潘粤明的许仙扮相明显就比原先那位女扮男装者更真实，而且演得着实很书生；刘涛虽不及赵雅芝那么具有古典美，在姿色和气质上也配得上白娘子这一形象了。另外，陈紫函演的小青也更活灵活现些。情节和武打编排上还是觉得原先那版更纯粹些            
(4星)	 其实在妖界的那段还是很好看的，很有新意接下来的剧情就有点循规蹈矩了。还有的还是画面很唯美的，想了想把三星改为四星了            
(3星)	 喜欢半步多那段            
(1星)	 白蛇传不是说拍就能拍的            
(3星)	 纯看人            
(3星)	 抄袭、混杂！            
(2星)	 刘涛美~            
(4星)	 许仙丑了点            
(2星)	 法海长得还可以 其他人都应该被虐死            
(NA)	 当时看哭了好多遍。            
(2星)	 刘涛倒是挺有贤妻良母气质的，不过故事乱糟糟的。            
(4星)	 喜欢连翘~            
(3星)	 快高考的时候看的，不堪回首的时光里有了一个温馨的点缀~意境不错~            
(5星)	 很赞，片头片尾插曲。故事。            
(3星)	 唉，有明珠美玉的万丈光芒在前，后来的虽然布景好服装好化妆好，都不得不沦为砖头了……            
(NA)	 ……唉 其实演员都不错 就是拍的不给力            
(2星)	 其实刘涛的扮相很美 小青也真的跟个妖精一样 许仙太不好了 法海太年轻了吧还一直贼心不死            
(2星)	 你可以再难看一点！陈紫函，就不喜欢你。刘涛，你演的好痴呆！整个就一闹剧，中央一台在正进行中呢……            
(3星)	 真不想骂你。。            
(3星)	 一部好看的烂片            
(NA)	 许仙好            
(3星)	 。。。            
(NA)	 ⊙﹏⊙b汗            
(5星)	 用一生守护一个誓言~            
(4星)	 我觉得还不错啊&amp;……音乐，人物性格，我发现国产好剧里必然有出彩的配角= =            
(3星)	 纯粹打发时间，不让耳朵无聊。看起来还好。或者是因为我的电视剧看的太少？            
(3星)	 法海和白素贞有暧昧嘛。            
(3星)	 和老版的不一样。而且感觉改的有点面目全非拉。            
(3星)	 很雷人！~            
(5星)	 百看不厌~❤~             
(2星)	 ……            
(4星)	 女二號            
(4星)	 潘粤明表演痕迹明显，尤其是声音，像在念稿子，不过，刘涛很妩媚，刘希媛很可爱。            
(NA)	 喜欢刘涛。不过这电视好像挺扯~            
(5星)	 想到西湖去看看：）            
(5星)	 古代的故事加上现代的爱情观，有些人骂，可是自己依旧喜欢，喜欢这样的改编。非常的有感觉。            
(4星)	 潘粤明好痴情。总体感觉还挺好的，剧情有点不舒服。            
(2星)	 小家子气，没法和老版比            
(4星)	 这个版本的面画感太美了，让我爱上了西湖，而且结尾曲也超好听。            
(4星)	 觉得收集眼泪是剧中很感人的一系列环节            
(3星)	 最美是结局啊！正因为悲剧才显得更难能可贵。            
(NA)	 呵呵            
(5星)	 不杀白素贞，我注定成不了佛。            
(4星)	 跟赵雅芝版的还是差了点            
(4星)	 片尾曲不戳啊==            
(NA)	 不一样的解读            
(NA)	 许 是许配的许 仙 是神仙的仙 三星。            
(3星)	 我比较喜欢潘粤明的书生扮相~            
(5星)	 从最紧张的考试复习时开始看，一直看到考试结束。法海对白素贞的穷追不舍源自对其隐秘的爱意。许配的许，神仙的仙，名字都如此巧合，像是专门为了候着一个人。潘粤明把许仙演活了。            
(3星)	 里面台词怪渗人的。。。            
(5星)	 喜欢这种感情。            
(4星)	 虽然比不上赵雅芝版本 但因为白蛇的角色原因还是很喜欢刘涛            
(5星)	 这部挺好看的。            
(3星)	 非常一般的一个版本。            
