http://movie.douban.com/subject/2154765/	新孟丽君传奇 再生缘
(4星)	 叶璇女扮男装超棒~            
(4星)	 四星是给当时的叶璇的            
(5星)	 那时候大家都还好年轻 现在的林峰已经没有办法演那么憨厚老实的角色了 以前觉得叶璇好美 这么多年后再看 杨怡更美！！            
(4星)	 爱那片尾曲。            
(4星)	 TVB稍微拿得出手的作品。            
(4星)	 这个故事在连环画上看的。            
(4星)	 還好最後是HAPPY ENDING 不然X2和林峰實在是..葉旋男裝居然比女裝靚 馬國明以前的確是打過很多醬油            
(4星)	 一看就喜欢上林峰了~最后一幕很有爱啊~            
(5星)	 陪着你，为等告别你，明年桃花飞。            
(5星)	 叶璇啊!!!!!!!!我就是从这里爱上你啊之后就爱上了THERESA啊`那KELLY唱得歌也太TM好听了            
(3星)	 主題曲有句歌詞“誰又會答應，再生不愛別人”，令人想起另一部tvb電視劇的歌詞“今生即管情動，下世亦注定撲空”。愛又如何，不愛又如何，都是不知就裏地在紅塵裏亂轉罷了。            
(NA)	 三星半            
(NA)	 看过韩再芬后这个孟丽君实在令人失望到家了            
(NA)	 一直忘不了葉璇演的 孟麗君。            
(5星)	 最喜欢TVB剧集之一！~~~~爱死            
(4星)	 那时候很喜欢叶璇呢~            
(5星)	 当年看得很入神~~            
(5星)	 少爷啊            
(4星)	 经典            
(5星)	 TVB最爱的角色-少华。叶璇的这个角色也非常好。            
(3星)	 当年胡杏儿只是个小配，现在可不一样了。            
(3星)	 马德钟没当上皇帝之前，他是能看的；当了皇帝之后，这剧的男人让我暴走了，最后终于发现，这里最招dj的男人是孟丽君她哥            
(5星)	 百看不厌            
(5星)	 想着你，回忆却恨你，赐我这天地            
(5星)	 这个女子，真正潇洒。            
(3星)	 初中看的，对主题曲印象深刻            
(5星)	 迷人的峰少~~~            
(4星)	 高考之前看的            
(NA)	 还有马德钟！            
(3星)	 年少回忆。            
(NA)	 不能算是童年。。可是记得忘记这首歌现在还在听。还曾傻傻地说谁会唱这首歌我就嫁给他，可最后发现了，那个人现在是我的影子~造物啊。            
(5星)	 爱煞陈端生的原著，也倾心海马的演绎~            
(3星)	 花木兰            
(4星)	 好怀念啊初中的时候大家在食堂一起看            
(4星)	 我们还扮演过那些角色，结局让我觉得蛮妙的。            
(4星)	 其实叶璇是个大姑娘~            
(3星)	 我當時怎麽會喜歡葉旋，怎麽會。。。            
(3星)	 这部开始发现林峰很帅的哩！！！            
(5星)	 还是黑炭头~女扮男装的叶璇很帅！            
(3星)	 是根据一本古代小说改变的，就是无聊了点，那种套路我台熟悉了            
(NA)	 一半            
(4星)	 不錯~            
(NA)	 林峰与叶璇的天作之和.从此喜欢他两.多么希望当初海马没有离开TVB.但希望只是希望.他们没能像剧终的少化和丽君一般.            
(4星)	 告诉你什么叫丰神俊朗倜傥风流，海马璇啊 一声叹息            
(NA)	 那时真可爱            
(4星)	 哇哈哈，又看了一遍。港剧我可是很少会温习的～            
(NA)	 帅            
(5星)	 我可喜欢这个了            
(NA)	 林峰叶璇最配的一部            
(4星)	 叶璇，林峰，偶滴爱，大大爱            
(4星)	 近两年比较喜欢的一部港剧            
(4星)	 少爷的            
(5星)	 这可以说是我小时候对我来说最重要最重要的一部TVB电视剧了。因为这部戏喜欢上了叶璇还有林峯。虽然后来林峯红了就没怎么喜欢= =。昨天开始重温这部戏了~            
(NA)	 【2002】            
