http://movie.douban.com/subject/3025145/	大闹广昌隆 大鬧廣昌隆
(4星)	 有些老港剧，总是老了，才有韵味。生生世世是轮回，若世上真有宿世情缘，人人不落单，那也未尝不是美妙。且比起胭脂扣，三少爷并未负她。            
(4星)	 特喜欢这片名            
(4星)	 无限悠长的主题曲带出动人故事，林家栋好多发挥。。赞赏。。后面两集劲头上来了，罗兰的盲婆和pal的天灵大师斗得好。。“你做乜仲唔让路，佢哋系宿世姻缘”。。比起主角二位更叫我心疼。。还有一不小心看出了《新人皮灯笼》和《赌城大亨之新哥传奇》的剧情。。。            
(4星)	 好啊!我以前中午吃饭必看的!            
(4星)	 林家棟的演技真不錯, 主題曲梅艷芳的抱緊眼前人好聽            
(4星)	 好感人的爱情            
(5星)	 主题曲在我脑海荡漾了14年            
(4星)	 还记得当年追大结局追得好辛苦。            
(2星)	 原来  林家栋  这个时期就已经演过主角了、我一直以为他是后起之秀呢。 当时来看还不错的一部剧。            
(3星)	 周海媚在这里面很让人心疼的。            
(4星)	 好怀念            
(5星)	 超级无比经典            
(5星)	 但愿爱的最动人。。            
(4星)	 恍惚还记得周海媚唱的歌曲，等着你回来            
(3星)	 林家栋很出彩~            
(4星)	 结果那段时间我家附近真的开了一家广昌隆，而且还开到现在。。。            
(4星)	 周海媚在里面唱的那首“我等着你回来~我等着你回来~”印象极其深刻啊...            
(NA)	 我等着你回来            
(4星)	 好恐怖的记忆            
(5星)	 油紙傘下的周海媚……我幼年時的女神啊TvT小時候看過的最喜歡的靈異劇沒有之一，要是放假的時候TVB重播一下就好了            
(3星)	 一直记得那年伞下的小芙蓉。。。            
(NA)	 当年每集必看的呀。。。。尤爱梅艳芳的主题曲            
(4星)	 无意中稳到抱紧眼前人这首歌，想起是这电视剧的主题曲，莫名感动着。故事大概忘记，像是第六感生死恋。            
(NA)	 2005   10 14            
(4星)	 还不错            
(4星)	 印象最深刻是：梅艳芳的主题曲            
(NA)	 大良阿姐好似我的小学同学            
(4星)	 很喜欢的剧，记得那插曲等着你回来，记得艾威的搞笑表演。。            
(3星)	 印象深刻的一部            
(4星)	 虽然小时候觉得很恐怖！但不知道还是忍不住去看！            
(NA)	 我等着你回来，我想着你回来~            
(3星)	 就是今天广州健力宝大厦啊！！！            
(5星)	 童年回忆！！！            
(4星)	 虽然是14年前的片子了，而且当时还小，但是给我的印象还是很深。恐怖的鬼怪灵异、哀怨缠绵的爱情、还有怀旧的民国风，都让我相当喜爱。周海媚和林家栋的演技都很好。            
(4星)	 很好看的人鬼情缘,里面的背景出现了很多正品纯音乐,强大!,真心喜欢.林家栋演出了性格截然不同的两个人,三哥虽然不算很帅,但是风度翩翩,足以让很多女子倾慕.许大广稍显粗俗,但心地也很善良.周海媚很漂亮.            
(4星)	 小芙蓉造型真漂亮              
(4星)	 男主演的好啊！            
(4星)	 依稀还记得那把伞和伞下的周海媚. 谁知道哪里有资源下这部剧啊, 求答案.            
(NA)	 当年以为系鬼片嘎……            
(5星)	 怀旧了。。还是那么好看阿。。感人。。            
(4星)	 我还记得那首经典的歌，小时候真的是怕怕            
(4星)	 印象挺深刻的 我等着你回来            
(5星)	 这部片还是蛮好看的，因为是鬼片。            
(5星)	 又好笑又恐怖林家棟後來離巢後發展卻平平            
(NA)	 当时爱惨这部戏，有没有有没有~~            
(5星)	 想当年，俺一家除外逛街，俺要求俺爸一定要晚上九点十五分前回到家，就是为了看鬼姐姐            
(5星)	 TVB的经典角色中怎少得了那楚楚深情的小芙蓉。            
(4星)	 小时候最怕`            
(4星)	 小芙蓉。。。广昌隆。。            
(4星)	   广播剧跟小芙蓉~            
(5星)	 小时候很怕来着……            
(3星)	 剧情很一般，不知为何当年收视率如此高。            
(3星)	 我等着你回来~~~我等着你回来~~~            
(3星)	 似乎是我第一部追完的剧，大BOSS被无名路人插爆了……            
(2星)	 想不到为什么收视这么高            
(3星)	 我等着你回来我等着你回来………………            
(5星)	 周海媚是那样美。。这就是我小学的审美观。。            
(4星)	 小芙蓉啊小芙蓉            
(NA)	 那首片尾曲是什么，已经不记得歌词，只有旋律……            
(4星)	 小时候看很怕怕            
(4星)	 和谐之前煲晒成部戏~咔咔            
(4星)	 太恐怖了……对于小时候的我来说。那时候觉得周海媚好漂亮啊在这部剧里就是艳丽的女鬼嘛TvT            
(4星)	 那时候看就一个字 惊            
(4星)	 当时睇自己都有少少感动与害怕（回想起其实林家栋都比TVB捧来捧去都红唔起，电影又比华仔点捧都唔红，郁闷哩距）            
(4星)	 结局系咩已经唔记得啦。净系记得《寒雨秋灯之遮鬼奇冤》同海味噶美丽            
(4星)	 越来越喜欢陈启泰蜀黍了，话说他在这剧里真是惨啊            
(4星)	 莫名其妙的一直记得广昌隆这个名字            
(5星)	 回想起剧情，还是觉得很感人如果真的有这样的爱情，值了            
(4星)	 中学时看的，那会儿周末在家看得都不愿意返校，记得片中那首经典鬼歌：我等着你回来，我在等你回来.....            
(3星)	 小芙蓉吧            
(NA)	 还记得以前是跟外婆一起看的。天真的我当时觉得恐怖无比。            
(4星)	 第一集，完全印在心上。            
(4星)	 8.5            
(3星)	 很庸俗的结局            
(5星)	 他怎么就这么受欢迎。。一定要看~            
(5星)	 感动加搞笑=TVB一朵奇葩            
(5星)	 搞笑又温馨的剧。林家栋太可爱了。TVB收视冠军不是盖得呀            
(4星)	 都几好睇～～            
(4星)	 哇~好细噶时候看过，好似细个看咩都甘好看            
(4星)	 胜者为王            
(5星)	 好经典啊！            
(NA)	 怕怕            
(3星)	 “我等着你回来，我等着你回来～”看过一直唱着这首歌哈哈哈            
