http://movie.douban.com/subject/4317614/	脱狱之王 第一季 Breakout Kings
(4星)	  女警和女犯  两个女猪脚都挺漂亮的             
(2星)	 即便两个女主角均是我喜欢的类型，我也对这剧集那无聊的设置和干瘪的冲突感到失望了。            
(3星)	 人物刻画的还是很有看头，尤其是lloyd            
(5星)	 喜欢Jimmi Simpson的表演            
(4星)	 试试看一部新剧~起码第一集很不错哦！！！我喜欢那个神经质的前神童！！            
(2星)	 看完第二集 果断弃            
(4星)	 Good            
(4星)	 Leverage跟White Collar的合体            
(5星)	 第一集很好看，第二集也不错，强烈推荐。            
(3星)	 只看了第三集            
(3星)	 这次，编剧又耍花枪了。每集让一个人越狱逃犯，再抓回来。一季结束就把所有点子都用完了。何况还抄袭了criminal minds的模式，人物设定都一模一样，老大，老二，智者，黑人，女人。另，喜欢当年prison break的人绝不能错过第三集。            
(3星)	 &lt;s01e13&gt;季完結。.. 1x3:T-bag。            
(NA)	 我没感想了。            
(3星)	 弃。            
(4星)	 超喜欢Lloyd Lowery            
(4星)	 虽然剧情依然俗套，不过有很多感人和现实            
(5星)	 I love lowery~~            
(4星)	 觉得心理医生挺逗的~~            
(4星)	 有趣~~            
(4星)	 越狱原班人马。。。没有原先惊艳            
(3星)	 如何让越狱变得简单？如何让越狱变得孤单？单元剧版的《越狱》固然迎合了电视网的趋势，但失去了有效的人物互动，仅靠“逃—追—抓”的三字模式来演绎，难免薄弱。除了T-BAG特别集着实让人怀旧了一把之外，可看点太稀少。            
(3星)	 除出了T-bag那一集，其他也没怎么样……            
(2星)	 第二集看了不到一半就决定砍掉，越狱题材拍不好就是这样了，演员也让人难过。            
(2星)	 這樣咯            
(3星)	 囚犯的定位是在哪里啊            
(3星)	 自从越狱之后看这类剧集的热情就消失殆尽了。还不错，但是完全没追的兴趣了，但是两位大叔的互动很是让我腐魂爆发            
(4星)	 显然许多不靠谱的元素，但比较喜欢这个题材。            
(NA)	 看完第三集就行了            
(2星)	 无敌弱阿，什么越狱的反向思考，扯，团队都没表现出有什么用，结果每个人背后还那么多事儿。最好看的就是每集开头5分钟犯人怎么跑了。Tbag客串都没意思，越发显得他高大了！            
(3星)	 第三集的T-Bag算是个不错的高潮。在美剧那么多罪案剧的情况下，这剧的故事悬疑太差了，挺好的概念就这么轻易的被编剧毁了，弃            
(2星)	 看到T-Bag很激动。。。            
(4星)	 前两集还不错的样子...现在是流行无论在任何题材中都要混搭个Sheldon Cooper型的Nerd么...            
(2星)	 看到第二集，实在没兴趣了。            
(2星)	 看完四集果断弃。            
(2星)	 案子无聊 团队无爱 人物关系太紧绷外加没特色 没有任何主线或者支线附带 单元剧也不是这么做的 越狱噱头太大结果变得很假 越狱方式技术含量太低 尤其是12集开着卡车撞监狱 雷死了 T-bag那集也很囧 当年跟米帅花了多少心思才逃出来到这里轻而易举就搞定了 法警太闷了 Fox弃剧是正确的 求砍             
(4星)	 以毒攻毒            
(3星)	 无力吐槽！！我居然看完了一季！请叫我神！            
(4星)	 可以看。            
(1星)	 看过最差的美剧。除了T_bag 在其中出现了一下之外，没有任何看点。            
(2星)	 看了一集，很普通啊……            
(4星)	 虽然剧情漏洞百出，但还算好看～不知道还有没有第二季了？            
(5星)	 I like geeks ,even thou they are fictional            
(3星)	 也就第一集能看，后面还是算了            
(4星)	 T-bag!!!!真的好有范啊!!!!!啊，花痴不止。。。            
(4星)	 看名字还以为是越狱2号，实际上是完全不同的类型。点子不错，不过恐怕拍不了太久，模式化太容易重复了。            
(3星)	 剧一般 但是第3集勾起好多回忆啊~             
(5星)	 变态的心理学研究者 怎么觉得看着这么顺眼            
(3星)	 剧情差了点事，看完这一季就放弃~            
(3星)	 看完了，感觉还可以，但也不是那么精彩，凑合能看            
(2星)	 鸡肋.            
(NA)	 罪犯版犯罪心理 其实追逃犯不一定要逃犯吧 他们也没有多有见地啊            
(4星)	 每集的亮点在怎么越狱的 哈哈哈哈            
(3星)	 一般            
(4星)	 晕死才13集啊~~3星半吧。如果人物间互动更多就好了。我是HC2女主来的~            
(3星)	 水准只能维持三分钟，中后段太弱，T-bag也救不了。            
(4星)	 just 13?            
(2星)	 这狱逃的太简单了            
(3星)	 惊喜不多 继续观望            
(3星)	 T-bag那一集都算不上有多出彩……            
(3星)	 弱            
(3星)	 一般            
(5星)	 leverage + white collar + prison break的话题 ；节奏也太快了 经常回头反应一下 不过 很不错            
(3星)	 看完T-bag那集 后面就不用再看了 所有主演都非常的没有人物魅力            
(3星)	 S01E13 兩位主演長得比較抱歉            
(3星)	 季终            
(3星)	 第三集居然是抓tbag            
(NA)	 又一鸡肋            
(NA)	 T-bag            
(1星)	 5星给t bag...A bunch of D-bags caught T Bag? R u freaking kidding me?            
(2星)	 看在Domenick Lombardozzi的份上，勉强给两颗星。剧情混乱且老套            
(2星)	 只看了t-bag的第三集            
(3星)	 为了第三集，什么都值了            
(3星)	 看过CM对大部分变态罪犯剧情都阔以淡定了            
(4星)	 看第二集就弃剧的人好可惜，第三集今天出，T-bag回归。            
(2星)	 弃。            
(4星)	 角色有爱！            
(5星)	 一条绳子上的蚂蚱……开始很美好，之后很重复，最后太乏味            
(2星)	 就这还跟越狱比肩？相比同期的shameless都是乏善可陈            
(3星)	 没吸引点            
