http://movie.douban.com/subject/2303259/	天外飞仙
(NA)	 其實 我什麽都不怕的 我不怕命運 也不怕艱難 我就怕 每次醒過來的時候 身邊的人都不在了 被留下來的人 就像廢物一樣 被遺棄 被遺忘 最後 連自己都忘記自己是誰了 你知道嗎 失去了自己最愛的人 也就是失去了自己 忘記了最愛的人 也就是把自己給忘了 你爲什麽要回來 你回來 我就只能恨你 不恨你的話 我活不下去            
(5星)	 最爱地瓜和小七~在这里彻底喜欢上了大胡和依晨            
(3星)	 我很喜欢浩雪恋，这种牵绊的爱，两个人之间没有爱情，却因为命运不得不携手进退，这是我喜欢的感情模式。            
(4星)	 好吧……当年我不懂事看小七被带回天庭的那集还哭个稀里哗啦的……= =            
(4星)	 第一次有喜欢上大陆的古装偶像剧，拍得温馨又感人，友情，爱情，亲情的元素再一次成功组合，结局男女主角虽然不能真正在一起，但毕竟有过这么一段快乐的经历，相信爱原来可以这样。            
(5星)	 喜欢小七啊呜咬一口烤红薯，再调皮地抬起头来看着董永的那个镜头。不过，香雪海可真是美啊，路尽隐香处，翩然雪海间……            
(4星)	 很喜欢小七被拔除情根之后化名龙光彪的那段，超可爱啊~            
(NA)	 为我亲爱的谢君豪先生            
(3星)	 Tae真可怜。赵亮的口头禅：全千乘县谁不知道老爷我是穷人。            
(3星)	 上官浩淇完美诠释了什么叫贱。喜欢赛金。            
(3星)	 主题曲很好听。            
(4星)	 天亮以后.就再也牵不到你的手..            
(3星)	 其实是被香雪海和上官皓琪感动到了！            
(3星)	 纯粹为了谢叔看的。。。不过蛮好玩额            
(5星)	 胡小歌是我家二老公...林的演技确实不错...某场哭戏,居然把我眼泪勾引出来了~            
(3星)	 完全无厘头。谢君豪，郭妃丽作绿叶了。            
(3星)	 我最讨厌的是神马？是国产电视剧真的好长啊……            
(3星)	 浩琪与香雪海            
(4星)	 小七很可爱，地瓜也很可爱。            
(3星)	 真的对林依晨欣赏不能，有她我就看不下去            
(NA)	 补遗               
(3星)	 我承认我是为了看胡歌%            
(4星)	 很偶像~~            
(3星)	 胡歌的发型太傻B叻！            
(4星)	 个人认为灰常好看.我美丽的林依晨 我帅气的窦智孔.画面好歌曲好.            
(1星)	 弱智片。。喜欢看的人还来的俄多~            
(3星)	 这剧除了演员就没啥好看的了            
(NA)	 地瓜小7~跟着我妹看得            
(2星)	 一颗心谢君豪 一颗心郭妃丽             
(4星)	 哎呦，太喜欢傻乎乎的地瓜和古灵精怪的小七了。            
(3星)	 我的胡歌啊~~~~~~~~~            
(2星)	 林依晨无敌的一张方脸，胡歌一贯演的这种神啊仙啊的烂片。            
(3星)	 对狸猫更感兴趣些。            
(4星)	 雪海和浩琪的爱最让人感动。小7和地瓜的剧情太拖沓了。看着都累            
(3星)	 我是来看胡歌的。            
(NA)	 舍不得            
(NA)	 全班一起看的！当时那感觉真好！            
(5星)	 一眼万年＋林依晨            
(4星)	 《失业生》DVD            
(NA)	 地瓜~~            
(4星)	 哈哈哈哈哈哈哈哈哈哈哈哈哈哈。雷人公司力作=无数巨大漏洞+极度搞笑。如此优秀最后还是没能撑过三十集。            
(4星)	 内地的明星中最喜欢胡歌，林依晨也不错，而且觉得他们好配            
(1星)	 很仙剑貌似差的不是一点            
(NA)	 胡歌，爱你。            
(3星)	 还行吧～～            
(3星)	 舍友很喜欢，陪他看完的            
(NA)	 一直欣赏不了林依晨            
