http://movie.douban.com/subject/2160565/	家有儿女
(2星)	 一点都不好笑！为什么到处都在放！            
(NA)	 其实我很烦这部电视~~            
(4星)	 那个时候天天中午一放学回家就要看的- -            
(4星)	 1季确实很好看。小朋友们太赞了            
(4星)	 因为妒忌所以我减掉一颗星            
(4星)	 不错的情景喜剧了            
(2星)	 没人觉得很烂么            
(NA)	 社会主义和谐社会的模范家庭            
(NA)	 别拍续集了，还是            
(NA)	 太经典了            
(4星)	 很朴实            
(4星)	 无聊的时候可以消磨时间            
(4星)	 很久都没正眼看过，居然还是看了～            
(4星)	 有些故事比较好。如果能完整贯彻教育的精神在其中，就会更好。本来是想给3星的，但有鉴于国内教育题材的电视剧有限，这一系列算不错了。            
(3星)	 还好，我是被逼着看的~~            
(4星)	 超级好看 哈哈            
(5星)	 最爱刘星            
(1星)	 一点都不好笑            
(5星)	 就是喜欢。。。内种感觉。。。            
(4星)	 豆瓣的你猜是个有趣的东西            
(1星)	 见过的最不要脸的室内情景喜剧,宋老太装可爱,实在是想吐.            
(4星)	 恩．．            
(3星)	 可以说是看不下去            
(5星)	 陈小喜欢~我就喜欢~~~我们一起，家有儿女~~~            
(4星)	 就是受不了宋丹丹的“嘿~”            
(4星)	 2008年湖南台的元宵晚会小P孩都出来了 给我喝的 长的真快啊！！            
(4星)	 相当有趣，可看性不错。刘星好可爱，真像夏雨            
(3星)	 还行。            
(NA)	 也就1还看看            
(5星)	 10年长成的经典            
(3星)	 喜欢小时候的他们，唉            
(3星)	 为什么间奏老用ac/dc!~            
(5星)	 我童年最深的记忆之一            
(4星)	 还挺有意思的            
(5星)	 卧槽我真的好喜欢！！            
(NA)	 刘星儿~~            
(4星)	 我這個重口味帝不知道爲什麽那麼喜歡看。電視有播按到就會看。            
(NA)	 假期坐在电视机前没办法            
(5星)	 我是真的狠喜歡看啊哈哈哈哈哈囧            
(4星)	 爸爸妈妈中午下班后最喜欢看的节目            
(NA)	 孩子們 你們都忒能長了            
(3星)	 着实火热了一段日子            
(NA)	 补遗             
(3星)	 我还是更喜欢 武林外传            
(4星)	 新的一部的女儿不喜欢            
(3星)	 夏东海长的像我爸，多给一颗星            
(5星)	 从初一还是初二就开始看了            
(4星)	 暑假看着挺好            
(4星)	 看了2部，我亦觉得不如之前。            
(2星)	 宋丹丹是见证历史的人            
(2星)	 感觉特别无聊……            
(3星)	 我不喜欢宋丹丹..            
(4星)	 中国版的“成长的烦恼”，只喜欢看第一，第二部。第三部换了人就不喜欢了            
(5星)	 我他妈的挺喜欢。            
(4星)	 改良版《我爱我家》            
(4星)	 刘星怎么长的这么快的呢。            
(4星)	 对话和故事其实都不错            
(5星)	 这是我第一部感兴趣的家庭情景剧 每次看看都能让我发自内心的笑。            
(3星)	 中国特色的青春肥皂剧，虽然很多时候显傻气，但从风靡的状况看，群众们还是很吃这傻气的。            
(5星)	 那几个孩子精灵八怪的，好可爱。            
(2星)	 我觉得没什么意思            
(1星)	 这是喜剧？            
(3星)	 还是觉得我爱我家好啊 TAT            
(NA)	 多么幸福的一家人啊。            
(5星)	 每天看呀看            
(NA)	 算我看完了呗.2快是一集没拉的看完了.1看完了吧算.反正我真觉我已经看了巨多了.            
(NA)	 ~喜欢原来的小雪~            
(3星)	 当时我很无聊。。            
(5星)	 我弟特想刘星呢  呵呵            
(NA)	 一个人寂寞的时候看，不错            
(4星)	 最近迷上电视剧            
(5星)	 快乐就好。            
(3星)	 俺就是喜欢小刘星~~~            
(4星)	 喜欢刘星同学。严重反对他长大            
(NA)	 那儿子长得可真像夏雨            
(1星)	 流氓            
(3星)	 小时候都蛮可爱            
(3星)	 山寨剧~山寨的还不错！            
(1星)	 看的我起鸡皮疙瘩，是情景喜剧的败笔。            
(3星)	 刘星太带亲了！            
(4星)	 很喜欢看。。=。=            
(4星)	 挺喜欢的情景喜剧，喜欢刘星和他爸他妈~            
(NA)	 就好似《外来媳妇本地郎》咁，演员都跟住一齐大啦~            
(5星)	 嘿 外面电视里正在播 我爱这一家子             
(5星)	 经典啊 挺好看的            
(3星)	 跟某个人看还真来劲啊            
(3星)	 太肥皂            
(3星)	 张一山…………你的网络宫殿住得还舒适吗…………            
(4星)	 一直觉得很搞笑的            
(4星)	 消遣時看看 非常不錯！            
(4星)	 第一部什麼的最好看了!!!            
(4星)	 相当有趣，可看性不错。刘星好可爱，真像夏雨            
(4星)	 中国式的幽默，推荐            
(3星)	 第一部其实还是不错的            
(3星)	 翻版成长的烦恼。            
(3星)	 山寨。            
(4星)	 高二暑假陪骨折老爸的记忆            
(3星)	 为毛我还很喜欢看- -            
(4星)	 第一部五个都很可爱啊            
(4星)	 只因喜欢第一集里的刘星。            
(5星)	 我竟然全看了诶..            
(4星)	 看过一些些            
(5星)	 我很喜欢看！非常！            
(3星)	 没事儿就看着，挺好玩儿的            
(3星)	 可喜欢小夏雨了            
(4星)	 第一步最好看~            
(3星)	 张一山挺逗的。后来那个寻找成龙，彻底囧了。            
(4星)	 只要想到高亚麟演的嫪毐，再看看这里面的老爸，就知道高绝对是演技派~我们寝室都推崇他~            
(5星)	 很好看啊！！！            
(3星)	 刘星夏雪夏雨都很棒所以一人一星。但其实有些剧情蛮恶我心的。            
(4星)	 好喜欢刘星啊哈哈哈哈            
(4星)	 每次轉臺看到都會看。很好笑啊，還有道理呢。哈哈..            
(4星)	 还是第一部最好。            
(5星)	 发现我比较喜欢这类型的剧。。。啥都不用想，跟着傻傻笑就行= =III还是那仨小孩小时候可爱            
(NA)	 后知后觉，看第一部的时候第三部都出来了。我妈最爱，越省电话里也一直絮絮叨叨            
(5星)	 老少皆宜            
(4星)	 嘛也不说了 能让人哈哈大笑就好            
(NA)	 家庭情景剧            
(4星)	 挺喜歡的~~            
(NA)	 傻逼透顶            
(4星)	 曾经我笑得不省人事^            
(3星)	 腿受伤休息时看的            
(3星)	 年少回忆。            
(5星)	 最近几年一直都挺喜欢看~            
(5星)	 看了好几遍哈            
(4星)	 这部喜剧让我认识了张一山。可惜我爱我家时候的傅明老人已经不在了。            
(4星)	 小孩子总是那么搞笑            
(4星)	 我也想要个北京儿子……            
(3星)	 没传说中那么好看吧……PASTIME~            
(4星)	 没人没看过吧……            
(4星)	 老外学中文蛮好的。            
(4星)	 挺好看的。不过到后来换演员以后就不喜欢看了。我还是怀旧呐~嘎嘎~            
(4星)	 前两部还行，第3部换人后一点feel都没有。            
(5星)	 有人评价是国产电视剧版的《拜访者Q》。            
(5星)	 真是可爱的一家啊！            
