http://movie.douban.com/subject/2303241/	小侠龙旋风 小俠龍旋風
(3星)	 印象最深的情节是神仙姐姐花无影被她的师姐花弄月下咒，白天变成石头，晚上变回人，她的爱人万里云却是白天是人，晚上变成蝙蝠。            
(3星)	 那个女白天石像男晚上蝙蝠的设定至今印象深刻无比，够虐的；貌似还有外星人？            
(5星)	 小时候好喜欢看！！            
(NA)	 这才是神仙姐姐的源头            
(4星)	 所谓武侠科幻剧就是;飞碟与暗器齐飞，大侠共外星人一色。印象最深刻的是女的早上是石头，晚上是人；男的晚上是蝙蝠，早上是人。苦逼恋人总是不能见。            
(4星)	 科幻武侠。有一个场景印象特别深刻，小虎队问小仙女能不能让烤鸡复活，小仙女说办不到。            
(NA)	 还记得主题曲很好听嘛，红孩儿合唱组的《神奇的旋风》颇有小虎队盛年作品风格。当年吴奇隆正红，不过看了看百度的分集内容简介，就被雷了，我靠我靠怎么可以这么雷！！http://baike.baidu.com/view/479426.htm            
(3星)	 学鹰狼传奇的山寨剧，但能看            
(5星)	 小时候好喜欢看啊！！！！！            
(3星)	 如此单纯恰如童年回忆。看了一半。神仙姐姐真是神仙姐姐啊。            
(4星)	 就记得男女被日夜隔绝。还有那谁哥哥被魔咒了，变的很坏。            
(4星)	 小时候看的，感觉还蛮不错。            
(5星)	 回忆            
(3星)	 那个雕塑和猪            
(2星)	 其实这个特傻 是我最不喜欢的不伦不类的电视剧 但是小时候可能也没有什么东西看吧            
(NA)	 那片头            
(3星)	 http://www.douban.com/note/189405678/            
(4星)	 白天变成雕像的美人 和晚上变成蝙蝠的男子 这是我小时候看过 最凄美的爱情片了            
(5星)	 这么好的剧难道得不到满分！！！            
(NA)	 hahaha            
(5星)	 童年经典啊这是            
(4星)	 小时候巨喜欢无比啊，神仙姐姐和希希都很好看            
(NA)	 这个戏里有一个外星人，粉红色的外星人。            
(5星)	 哦外星人            
(NA)	 记得那个外星公主            
(3星)	 那个石像和蝙蝠的恋爱不错            
(NA)	 囧，就是变蝙蝠的那个吧            
(3星)	 除了记得女的变石头男的变蝙蝠啥也不记得鸟 = =            
(5星)	 当代JIONG片            
(NA)	 我靠 这个都找出来了 里面有赵咏华吧 当时给我的印象就是一个字：矮            
(4星)	 哈哈，经典            
(NA)	 小虎队啊...童年啊            
(NA)	 肯定看过。。只是差不多忘完了 = =            
(5星)	 神仙姐姐真好看            
(4星)	 前几年怀旧了下~            
(4星)	 石像与蝙蝠的爱恋            
(5星)	 好小的时候看的了            
(3星)	 神阿。            
(4星)	 80年代末~~            
(NA)	 那时候赵咏华很纯的说            
(5星)	 多大了你             
(NA)	 OMG，，，，            
(2星)	 抄袭鹰狼传奇，这片实在是木啊。。。。。导演居然是刘雪华的老公。。。            
(4星)	 小时候暑假看的。觉得赵咏华好漂亮！！！            
(4星)	 “我要摘下最亮的星星 我要探索最深的海域 所有美好的事都活在你我心底 等到年老再去回忆。。。。”            
(3星)	 ……我连这都看 过，我无语了~            
(NA)	 小时候觉得那个白天是石头晚上变活人的姐姐可美了 现在想想怎么会有那么不伦不类的片子            
(4星)	 神仙姐姐，石像，蝙蝠，我竟然还记得～            
(4星)	 小时候看的，石像和蝙蝠的故事。            
(4星)	 三星半，看在小虎队的面子上，其实这剧不怎么样            
(3星)	 现在看很无聊，但冲着小虎队，马马虎虎吧            
(NA)	 初中时候，每天就等着下晚自习冲回家看这个，曾经有同学为此剧将教室电线剪断……            
(5星)	 印象最深的情节是花无影被她的师姐花弄月下咒，白天变成石头，晚上变回人，她的爱人万里云却是白天是人，晚上变成蝙蝠。            
(NA)	 印象很深，第2集有吴奇隆半裸受刑，算是早期的性启蒙吧 +_+            
(5星)	 小时候每天晚上看完第二天还回去和幼儿园老师坎剧情！            
(4星)	 当时应该还是上小学吧，那公主动动嘴就能控制骰子，还能点火，还帮吴奇隆治好了脸上的伤，不过好像很费能量阿鲁，依稀记得粉色长发上面满是珍珠很漂亮，那珍珠好像叫什么能量什么球，不过到后来她就没怎么出现很费解… 石头人什么的在当时把我虐得够呛。            
(NA)	 記不得哪個外星球公主是誰演的了    、     貌似張庭？            
(2星)	 挺能扯的            
(3星)	 天啊。雷剧。            
(4星)	 很离谱的剧，3星，怀念加1星            
(4星)	 挺扯淡的            
(5星)	 小时候的回忆            
(3星)	 是三年级还是四年级 T T!~ 记不清 蝙蝠和石头那段印象深刻            
(NA)	 哈哈，好老的剧集~~赵咏华也演过电视剧诶~~            
(5星)	 影响我童年的电视剧啊！！终于找到了~~            
(3星)	 居然还有些印象...是不是里面有个人白天是人晚上是蝙蝠来的...            
(4星)	 万里云与花舞影、白天与黑夜、蝙蝠与石头            
(NA)	 妈妈咪呀，我还因为这个最后一集被我妈揍~~            
(5星)	 我靠。。。我就记得有个没人鱼吧。。            
(4星)	 那时候我还小。            
(NA)	 小时候觉得这两人特别帅。。。。            
(4星)	 花无影 石头人 四大护法 外星人 蝙蝠..丰富了我的小时候              
(3星)	 剧情够怪=.= 小时候看D            
(4星)	 哇噻，居然还能找得到这部片子，实在是太神奇了！但是印象很淡薄，只记得陈志朋是坏的，吴奇隆是好的，吴的老师白天是人晚上是蝙蝠，真正的这个演员还喜欢演三级片。            
(4星)	 蝙蝠石像外星人=。。= 还有吴奇隆            
(3星)	 回忆几乎模糊了            
(NA)	 故事层次清楚。只可惜我当时胆小，梦见剧中女魔头害人两次，哎！            
(4星)	 西门霜的美貌，我一直念念不忘。            
(5星)	 小时候看过的            
(NA)	 小虎队只差小乖就凑齐了，还记得白天是人晚上是蝙蝠，和白天是雕像夜晚是女人吗？童年的记忆            
(2星)	 万里云变蝙蝠            
(4星)	 童年的回忆。            
(5星)	 大三的时候跟同学又重温了一遍。            
(NA)	 很黑很邪恶的片子            
(4星)	 小时候“很晚”了还坚持要看下去，为此还跟外公大吵一架。。。记忆中的神仙姐姐啊            
(5星)	 剧情忘七七八八了，倒是记得那黑白电视我够不着！            
(4星)	 记得小时候很喜欢这部剧啊 两个情人一早一晚始终不能见面啊 | 那个年头貌似盒带式录像机刚普及 应该算是狂看各种电影的开端吧            
(4星)	None
(NA)	 科幻片.....            
(4星)	 =。=            
(NA)	 其实我完全不记得剧情了            
(5星)	 儿时忘不掉的魔幻剧么。            
(3星)	 这片子竟然还有7.3。问了下周围的人，发现看过的人还不少。。。。放现在绝对是天雷剧，不过那时我和@四面瑟 可是这剧的忠实粉丝，天天守着电视机看。[挖鼻屎]            
(4星)	 好喜欢看这个诶！还有个粉红色头毛的外星人公主！            
(NA)	 爸爸最喜欢的小虎队。永不用真体相对的灾星下的恋人啊。。。外星公主最后是不是被吴奇隆抛弃了，回外星去了。。。补个结局先。。。侧那，各色美女太漂亮了，跟金庸的后宫阵容有的一拼！            
(2星)	 小时候看过            
(4星)	 那時候好喜歡            
(4星)	 这个都发现了。。。             
(5星)	 第一次知道外星人這東西。            
(NA)	 记得有周海媚、外星人、飞碟什么的。记了好多年。            
(4星)	 小学的时候很喜欢看的，剧情只记得女的白天变石头，男的晚上变蝙蝠            
(4星)	 记忆当中最早的台湾电视剧            
(3星)	 这个剧情我居然还记得！！            
(5星)	 非客观打分，与记忆有关。正月，姥姥家，大舅舅家，上午，表弟表妹们，激动。。。万里云、神仙姐姐花舞影、可恶的兔耳朵...原来当年的演员们都蛮好看滴~            
(2星)	 记得电视演一半的时候还比较喜欢，后来越来越觉得难看。我小时候对武侠片无抵抗力的，而且还爱科幻，这种前提下，不喜欢这电视剧，说明它拍的很烂。            
(4星)	 儿时记忆啊！            
(4星)	 总是看的没头没尾            
(3星)	 记忆中很眨巴的片子，可是我当初是很认真看完的！            
(5星)	 小时候看过，可现在再看一次却发觉无比的好看啊！            
(5星)	 小时候最爱啊~~~~            
(4星)	 我只是印象里看过   只是印象，，，，            
(3星)	 情节说实话已经忘了大半，只记得霹雳虎还是很帅的            
(NA)	 当年一直想不通茜茜公主怎么就不见了。。            
(4星)	 我当年多么爱看啊……虽然现在连情节都不太记得了……            
(4星)	  吴奇隆             
(4星)	 外星人在中国古代~~            
(4星)	 在那个年代看，还是不错的，但还是有一些些夸张的剧情。            
(4星)	 被我发现了。            
(4星)	 小时候可喜欢看了。后来发现演西门霜的女的是再续意难忘里的何佩琪。            
(4星)	 神仙姐姐-.-            
(2星)	 这片子让我领教了台湾烂片的水准，完全无厘头啊。            
(NA)	 终于找到了。。喜欢。。            
(3星)	 外星人。。。咋说呢。。。            
(3星)	 　开始曲很好听            
(3星)	 无聊的老片            
(4星)	 貌似通过这剧认识了轩辕两个字……            
(4星)	 我记得里面那对一个白天石像一个夜晚蝙蝠 只有在黄昏那刹那可以相见。。            
(4星)	 幼儿园大班时候的回忆 1994年？            
