http://movie.douban.com/subject/2241523/	冤家宜结不宜解
(5星)	 TVB经典之作了            
(4星)	 经典，好看。第一次喜欢上吴启华就是这部剧，笑起来太温暖了。            
(3星)	 夜色很好听            
(3星)	 两两。            
(NA)	 我小时候很爱看诶。。。那时候真少女~            
(5星)	 最喜欢的港剧之一            
(4星)	 当年啊 很喜欢            
(4星)	 超爱吴启华～            
(4星)	 早期描述爱情类的算是一部挺喜欢的作品。            
(3星)	 没想到从小到大竟然看过这么多TVB剧，整理到这应该算是终点。            
(4星)	 喜欢那个时候的郭可盈            
(3星)	 郭可盈再瘦一些就可以不化妆演白骨精了            
(3星)	 看到吴启华就一包火            
(3星)	 港剧            
(3星)	 最可爱的吴启华            
(3星)	 还蛮轻松搞笑的港剧。天哪，那个时候我看了多少港剧。            
(3星)	 超甜蜜 静香大美女竟然是江欣燕 时间这个东西啊            
(3星)	 开始添加TVB...            
(5星)	 好看！！！！！！            
(4星)	 超喜欢哈 记忆中每到暑假 就泡在港剧中            
(5星)	 可惜吴启华已经结婚了。。。            
(4星)	 郭可盈的腿~~~~            
(5星)	 棒棒棒~            
(4星)	 当时非常喜欢~ The color of the night            
(NA)	 原来我各种TVB都看过 囧            
(3星)	 那时候的郭可盈多漂亮啊            
(3星)	 我觉得一般吧,我姐姐一家都中此毒..不理解            
(5星)	 田美雪和陈达充。            
(3星)	 消遣看看            
(NA)	 TVB用来用去都是那几个演员 又看见创世纪里的小弟了            
(5星)	 纠结的一B啊。。。            
(NA)	 colour of the night            
(3星)	 看过 但是忘了 = =            
(5星)	 小学            
(NA)	 最爱的其实是这本里的郭可盈            
(5星)	 童年，哈哈哈            
(NA)	 记得里面有一首特好听的英文歌            
(3星)	 吴启华 郭可盈             
(NA)	 那时候我真年轻            
(4星)	 小时候最喜欢的TVB            
(3星)	 音乐不错，故事老套。            
(NA)	 我居然想起来 小时候偷着看的电视剧....            
(3星)	 吴启华~~            
(3星)	 还蛮轻松的~            
(3星)	 肯定看过，讲什么的就忘记了。。。            
(4星)	 婚姻是靠经营的!美丽的爱情也要互相理解互相忍让才能有美满的婚姻~            
(4星)	 何宝生那就是我的偶像啊            
(3星)	 the color of the night!            
(5星)	 好浪漫..看了很多遍&gt; &lt;            
(4星)	 The color of the nightMiss u finally            
(3星)	 年少回忆。            
(4星)	 小学的回忆~            
(3星)	 冤家宜解不宜结和千里姻缘兜错圈的内容总是搞混            
(4星)	 高中            
(NA)	 小学五年级...记得郭可盈系入边车衬衫比吴启华，识咗唔够三个月就结婚。            
(5星)	 何宝生``！！！！            
(5星)	 从这部剧开始喜欢吴美珩~吴启华和郭可盈也很配            
(3星)	 不算经典，看了就忘了            
(4星)	 还记得歌名是《讲道理》。            
(NA)	 真无聊            
(3星)	 很早前看的~~吵架吵得比较有意思`            
(3星)	 很商业的感觉了。            
(NA)	 诶。如题。            
(5星)	 喜欢男女猪脚另外情节也不错啊            
(3星)	 六年级时候看得 小时候就是喜欢郭可盈 家里富裕 可爱拍戏而拍戏的女人            
(4星)	 大爱室内设计...            
(5星)	 你可以看出编剧是多么喜欢安达充，猪脚的名字，一个是达充，一个是美雪，sigh~            
(5星)	 比较轻松，看了不累！            
(5星)	 说明媚，道清爽，莫过于它！永远的港片经典...            
(3星)	 年代久远。            
(4星)	 color of the night            
(5星)	 喜欢            
(4星)	 初中时代看过的，常常想起的爱情小品            
(3星)	 记得小时候追着看的            
(3星)	 1998            
(4星)	 轻喜剧            
(4星)	 这个故事好像还蛮有趣的            
(3星)	 以前電視上播的，劇情反正就鬧鬧騰騰的            
(3星)	 剧情忘得七七八八了，印象最深的是片头曲，后来才知道是彭羚唱的《讲道理》。            
(4星)	 被这片名纠结了好久            
(5星)	 那个被香港片充斥满的童年哎···~~            
(4星)	 也是小时候看过很喜欢的片！            
(NA)	 忘了？            
(3星)	 为了《刑侦》的高洁和《妙手仁心》的Paul            
(4星)	 记得那时郭可盈很瘦很瘦            
(5星)	 带给我疯狂的记忆            
(3星)	 那件外套的袖子一长一短~            
(4星)	 里面英文歌好听            
(5星)	 经典港剧！            
(5星)	 The colour of the night            
(5星)	 某一幕，我还常常想起            
(NA)	 挺好看的爱情剧            
(4星)	 当年的吴启华迷倒一片~            
(4星)	 郭可盈姐姐当年是我的偶像·            
(NA)	 long long ago            
(4星)	 搞不懂这个结局有什么好哭的……            
(5星)	 在我心里 此剧完美 爱情最怕的是 自己也不清楚要的是什么 迷茫 错过 剩下遗憾去祭奠            
(5星)	 重温过去美好的回忆，港剧还是老的好！            
(NA)	 好看的老剧了.            
(5星)	 六年级~六年级的暑假 嘎嘎 记得那时郭可盈还穿着着黑色的发糕鞋 那年代好流行哦 还有那首U and I 哈哈            
(3星)	 陪老妈看            
(NA)	 内帅哥出家了            
(3星)	 温馨小品剧。            
(4星)	 这片子，怎么说呢，看来看去觉得不爽~            
(NA)	 好片啊,当初找了好久才看全,尤其前半部,情结超好,也因为这个戏,到现在我的MP3里还一直有夜色这首歌            
(5星)	 当年看了这戏以后我好萌吴启华            
(NA)	 还想多看几遍。。。The color of the night ...            
(NA)	 郭可盈 吴启华             
(5星)	 小时候的经典啊！！！            
(5星)	 太虐了            
(3星)	 那时候感慨他们家的办公台还不错。            
(4星)	 =  =我就是觉得吴启华和老爸长得像嘛……            
(5星)	 看了那么多遍还是喜欢            
(5星)	 对自己影响还是很大的            
(3星)	 以前看觉得还不错，不过不够经典，一般，里面的英文歌不错            
(4星)	 小时候爱看的片子            
(5星)	 美雪，达冲~~~~            
(5星)	 郭可盈，大美女，但是又不是那么遥远，大爱，就好像可能有一天我也会在街上碰到这样一个人一样。            
(3星)	 冤家宜解不宜结！大对            
(3星)	 最后一集把我哭得那叫记忆深刻，那种错过，是旁人看起来更纠结。            
(5星)	 最喜欢的电视剧之一            
(3星)	 可以看看的。感觉那时候的郭可盈是最美的，有种饱满的莹润感觉。现在她太瘦了。看着让人觉得可怕。            
(3星)	 三星半            
(4星)	 U &amp; I            
(3星)	 只记得那首歌了            
(4星)	 我的TVB启蒙            
(4星)	 很喜欢看~那是觉得吴启华和郭可盈也很配            
(5星)	 那段时间超爱这片~~the color of the night 很好听~~五星力荐。。            
(5星)	 那个男人决定了我的审美。目前来说是这样的。            
(3星)	 结局太...            
(5星)	 小时候看这个觉得实在是太好玩了~            
(3星)	 没见过市面的后果就是很容易对一样东西轻信或者好感。比如大了才知道原来此剧基本就是按着日剧抄袭，再比如深情款款的吴启华原来是个风流浪子，原来是拍三级片起家。            
(5星)	 郭可盈年轻额时候还是很傲气的。            
(3星)	 吵吵闹闹的生活            
(5星)	 插曲好听~~            
(3星)	 呃~ 郭可盈挺漂亮~            
(3星)	 这部看的比较早...主题曲蛮好听...恩...            
(5星)	 高三时候偶然看的 郭可盈与吴启华真是很配 超喜欢主题歌            
(4星)	 我喜欢后面KK一个人努力的样子 现代的女性本来就很独立 不是谁都要靠男人的            
(3星)	 还好吧~~~~             
(NA)	 蛮喜欢吴启华演的戏的，虽然不喜欢吴启华            
(NA)	 港剧的童年记忆？            
(3星)	 话说以前觉得很好看            
(NA)	 看过一点            
(5星)	 想离婚的看看这个~            
(3星)	 当时觉得吴美珩很漂亮。            
(4星)	 虽然是好纠结。。。            
(3星)	 好看好看……            
(4星)	 很好看            
(3星)	 初中看的            
(3星)	 当时觉得很好看..            
(NA)	 好玩的剧            
(4星)	 主题曲《讲理由》超好听            
(3星)	 像下午的小甜点，音乐很好听。            
(3星)	 tvb            
(4星)	 冤家宜结不宜解啊~            
(4星)	 结局再明媚点呐。。。            
(5星)	 插曲当时非常流行，很喜欢，那首歌还找了很久很久            
(4星)	 好久以前看的了            
(3星)	 插曲很好听            
(4星)	 初中时候觉得挺好看的~            
(4星)	 1998            
(4星)	 冤家宜结不宜解            
(3星)	 离离合合，缘分呢样野真系好难讲得埋……            
(3星)	 小学天天看港剧            
(4星)	 喜欢吴启华~~~            
(4星)	 当时刘兄非常喜欢啊            
(4星)	 其实brian蛮好的            
(5星)	 成田离婚和这一部我都看得很认真噻            
(5星)	 好喜欢那个时候的吴启华和郭可盈啊            
(4星)	 因为这部连续剧，我打定主意要做律师            
(4星)	 这部剧让我记住the color of the night            
(4星)	 小时候也可喜欢看了。觉得可盈姐姐美翻了。            
(3星)	 补遗            
(3星)	 这个我小时候也看过呀！            
(5星)	 堪称TVB90年代的经典！            
(4星)	 这部电视剧还是挺喜欢的~！！            
(3星)	 【好無聊的開始馬克看過的TBB】            
(5星)	 当年真的是很喜欢吴启华，这几天重温过后，发现结局竟是那样。。。            
(3星)	 欢喜冤家            
(4星)	 吴启华果然很帅            
(NA)	 当年追得不行啊，大爱啊。            
(5星)	 the colour of night 即使现在还是会记得的好听死的插曲            
(4星)	 一度很喜欢郭可盈。            
(4星)	 第一次看到许美静的名字就是在这里。            
(4星)	 小时候真的看过不少TVB啊。            
(NA)	 爱情当中错过就是在猜忌当中产生的，而猜忌的结果就是不信任。而误解需要的理解，理解产生的基础是了解。了解需要的是真相。            
(3星)	 挺经典正统的tvb爱情喜剧            
(5星)	 时装剧中 这依旧是最难忘的爱情故事。 也许相爱总会有路转峰回 失去拥有也不是绝对            
