http://movie.douban.com/subject/3240786/	风流唐伯虎
(NA)	 从很以前就发觉了，杨童舒真的让我很不舒服            
(3星)	 觉得这版很好看，杨童舒当时还是叫杨柳。不明白唐伯虎为什么不喜欢小公主。            
(4星)	 以前很爱看。。。            
(4星)	 邱心志演唐寅还是很说得过去的，这版的秋香似乎也没什么名气，演的也是傻可爱风的，但是是朴实那种傻，不是装小可爱那种，还比较能让人接受            
(3星)	 有點萌，有點土，土萌土萌的            
(4星)	 小时候觉得很好看。            
(3星)	 1996年的暑假看过            
(3星)	 小学三四年级的暑假四川台放得，那时大人让我下午午睡不让我看电视我总是偷偷地打开电视把声音压的很低，一直没看到结局，一直等着，还一直凑不齐十美到底都是哪几个，然后，小学毕业了            
(5星)	 邱心志演唐伯虎太适合了，这是我最喜欢的一版唐伯虎            
(5星)	 超级喜欢            
(4星)	 童年记忆了 当时也是追着看 而且当时就好喜欢杨童舒啊 对主题曲印象也很深刻 还有那个搞笑的荷花表姐哈哈            
(5星)	 1989年的我 现在对这部片慢慢的都是美好感动            
(3星)	 儿时的记忆了 哈哈哈            
(2星)	 土萌？！哈哈            
(4星)	 小时候看的，片头片尾曲现在还会哼两句，现在想重新看一遍，找不到了            
(3星)	 主题曲一直都记得            
(4星)	 到现在邱心志都是我心里好男人的标准            
(4星)	 很爱那位公主。。            
(3星)	 小时候甚是喜欢啊            
(3星)	 小时候看过,这个唐伯虎真是老少通吃阿,后宫成员有公主贵妃少妇还有丫鬟,可惜这个秋香是我看过最寒碜的            
(2星)	 一日为师终生为妇            
(3星)	 没啥印象了········            
(3星)	 女主角都太磕碜了~            
