http://movie.douban.com/subject/2229446/	青出于蓝
(4星)	 这个班级的学生真好看。。。            
(3星)	 那谁挺帅，就是赵颂茹老公~            
(NA)	 学生戏，很无趣。            
(3星)	 郭可盈的发型很失败~剧情还凑合。。            
(5星)	 欧阳震华，陶大宇，郭可盈，已经是好看的保证了。            
(5星)	 郭可盈居然跟陶大宇成一对，唉，遗憾啊            
(1星)	 唉...一部比一部噁心!3個加起來過百歲的中年人在談情....TVB真的沒演員了嗎?            
(1星)	 虽然郭可盈扮相靓，但剧很烂。            
(3星)	 整个学校只有那一班学生            
(NA)	 没怎么看过            
(5星)	 超经典，有欧阳的戏都很喜欢。。。            
(NA)	 ayu和周永恒就是從這裡開始的吧            
(NA)	 而胜于蓝            
(4星)	 翻了半天豆列就是寻找这部啊～大约是全天档的看，开开心心的学校剧，耶。            
(NA)	 这个倒一般            
(3星)	 阿郭在里面。。。 不好看阿 发型太失败了            
(NA)	 一点            
(NA)	 最有印象是主题曲            
(4星)	 因为让我遇见了宁进            
(3星)	 可以看看 就是没什么新意 欧阳震华很有劲的            
(5星)	 很不错的校园剧！            
(3星)	 不好看.超级的浪费人才.什么破编剧.特别是那些学生真不符合我的口味.我的男色啊.            
(2星)	 或许是看过他们打打杀杀。突然放到高校里当起正儿八经的老师，我是一点都不习惯            
(4星)	 还成，里面那个学生特帅。            
(3星)	 很無聊 = =|||            
(NA)	 同学各位找个位 这是你的开学礼 望前看 想象戴着四方帽时多美丽 先交过难忘学费 先不会来年失礼 明天总会是个新学年 终生制            
(3星)	 女主不讨喜            
(3星)	 这部戏让我知道周永恒和赵颂茹 两个本是前途无可限量...不过看着他们现在结婚生子 何尝不是一个好结局呢            
(3星)	 刑事侦缉档案后张大勇和高婕的再续前缘，不过看起来已经不对味。里面我唯一我特别想他们好的是阿山和皓月童鞋了，一查人家剧情外已经做了夫妻还生埋BB添，我眼力真好！            
(4星)	 欧阳胖胖从来没演过坏人哦。            
(3星)	 我确定这部我看过，但是除了名字内容一点都不记得了。            
(NA)	 哈哈  傻            
(3星)	 补            
(1星)	 明显投资不足            
(3星)	 灰常灰常囧囧有神            
(2星)	 被看了。            
(3星)	 中上吧            
(3星)	 反正我不大喜欢…… 让我突然很鬼马地想到了十八岁的天空~            
(4星)	 周永恒~~            
(1星)	 忍了两集就再也看不下去了.......            
(2星)	 不好看            
(5星)	 哇塞记得这里小帅哥长得像谢霆锋~~            
(3星)	 结局我早就猜到了诶，郭可盈选的是陶大宇，不是欧阳振华。            
(5星)	 喜欢主演！            
(4星)	 勇婕早不在了。            
(2星)	 实在不咋地            
(3星)	 还可以吧            
(3星)	 可爱的欧阳震华            
(3星)	 郭可盈有点装嫩了。            
(4星)	 我喜欢的风格~~最喜欢欧阳震华了            
(3星)	 KK这么瘦，陶大宇胖的不成样子啦            
(3星)	 师生题材我喜欢            
(3星)	 演员卡司蛮强大，可惜剧情不怎么好，学生演员也比较“苍老”。            
(NA)	 很差的一部            
(1星)	 没有BOBO的话谁看啊.            
(3星)	 轻松            
(3星)	 学生中间有个别长得不错            
(1星)	 巨傻。。            
(4星)	 清新校园剧。            
(3星)	 挺有教育意义的！            
(NA)	 三水漁農業暨職工會尹兩燦尹丁寶瑞紀念中學，簡稱尹兩燦（搵兩餐），如果你懂廣東話的話，聽到這個，你一定會笑不停，Bobby飾演校長超可愛XD            
(3星)	 还可以，贾叔很神奇            
(4星)	 喜欢陶大宇这个师奶杀手            
(3星)	 不用动脑子的电视剧            
(2星)	 看過沒印象            
(2星)	 看到不少人的青涩时代~话说阿yu真的太太太太像阿mi了！这部剧开头还行~可是依然是犯拖集数的毛病~而且诶编剧似乎逻辑思维能力很差~到22的时候我真心觉得可以大结局了~竟然还闹出后面的各种风波~起伏过分多了~后面乱糟糟的~            
(3星)	 【好無聊的開始馬克看過的TBB】比心花放還不忍卒睹啊            
(3星)	 勇婕同心早已过去            
(3星)	 那时候挺喜欢的，还记得有个学生挺帅哈哈            
(3星)	 记忆太久远            
(NA)	 我当年是有多喜欢郭可盈啊。            
(5星)	 我爱死这部剧了好么，因此想当老师啊。。。周永恒也是我的菜            
(3星)	 打发时间还行，其他没什么。            
(1星)	 真不咋的            
(5星)	 啦啦啦啦我爱傻逼热血剧            
(3星)	 中规中矩没新意            
(4星)	 很不错啊  难得TVB这样的校园剧集            
(3星)	 没特点，浪费了好演员，学生真的蛮麻烦的            
(3星)	 依稀记得，好励志的。            
(3星)	 随便看看            
(3星)	 一群学生和老师们            
(3星)	 话说，我还清楚记得这片子的主题曲怎么唱呢。            
(5星)	 再聚首            
(NA)	 这个算是满早前看过的，和我家小孩再看的时候，算是一种怀旧吧。剧情还好，当时还满喜欢电视剧里面的那种生活的。            
(2星)	 不喜欢学生题材。。。            
(NA)	 我中意 这三人行            
(2星)	 TVB是不是看勇婕CP太火了想赚点外快啊，所以欧阳震华是用来炮轰的吗？            
(NA)	 我到底是看了多少港剧啊……            
(3星)	 剧情真的不怎么样 主角很强大，曾经就是那个欧阳震华的年代            
(3星)	 这种中学生的剧看着都不太合理...            
(4星)	 复习一遍            
(3星)	 虽然刑事侦缉档案是经典。。但是陶大宇在这部里面太没爱了。。应该选bobby的。。            
(NA)	 郭可盈削骨中。。。            
(3星)	 为什么不和欧阳震华在一起            
(2星)	 陶大宇也看烂了            
(4星)	 很好笑            
(NA)	 年少            
(4星)	 不落俗套的校园剧。陶大宇再和郭可盈一起合作，感觉已经大不同了，张大勇和高捷已经是不复再的经典，这次我反而更喜欢郭可盈跟欧阳震华在一起。            
(4星)	 校园剧，还不错，蛮轻松。            
(3星)	 校长才是我的爱！陶大宇的脸早就塌了            
(4星)	 让人很舒服的校园剧            
(5星)	 特有爱            
(3星)	 啊啊啊，大宇和KK就不应该再合作，记忆总是特别美好的嘛~尤其是这部，真是毁啊……            
(2星)	 老师有那么厉害？            
(3星)	 tvb難得拍校園劇...            
(3星)	 相当一般。            
(3星)	 麻麻地            
(3星)	 不喜欢这种不给力题材            
(4星)	 很搞笑            
(3星)	 看。            
(3星)	 看进去还可以，秦沛在里面演得挺好！~            
(4星)	 每次看，每次都会让我感动。            
(3星)	 好像看过。。。            
(3星)	 看了一半。。。            
(NA)	 很失败            
(5星)	 欧阳震华好搞笑            
(4星)	 至少有让我感动的地方，但是短时间内不想看到3个老将的戏了~            
(4星)	 欧阳山好帅。            
(4星)	 其实我最爱系欧阳山。每段青春年少，都有一个欧阳山。            
(2星)	 师生关系            
(3星)	 希望老师和校长在一起啊。            
(NA)	 tvb也有无聊的时候            
(5星)	 欧阳震华。。            
(5星)	 太励志了，剧情也是泪与笑的交替，很催泪，也很搞笑            
(3星)	 追忆            
(3星)	 同学各位找个位 这是你的开学礼...            
(3星)	 讨厌欧阳震华。。。。            
(4星)	 很喜欢里面的那个小孩子~            
(3星)	 周永恒。。。            
(4星)	 小品剧，还不错，很有学生气息。。。片头曲是克勤唱的，我喜欢，哈哈            
(4星)	 欧阳山            
(3星)	 好像没看全             
(4星)	 主角都很喜欢，不过剧情老套了一点            
(3星)	 其实很一般嘛            
(2星)	 某男曾有色情鏡頭            
(4星)	 因为是校园励志，就多给了一颗星            
(2星)	 很一般            
(4星)	 周永恆！別的就不評論了...            
(3星)	 额。。。KK你也太廋了吧。。。            
(4星)	 学生主题的剧，里面的学生真可爱            
(3星)	 看过一点点吧， 属于烂片类型。郭可盈那个招牌动作我还记得，足以证明她演技烂            
(3星)	 稍稍扶额下我纠结了OTZ            
(4星)	 一切师生问题            
(3星)	 TVB的剧看起来就是图个轻松，不过这部片子居然能偶尔感到点励志的成分，难得啊            
(3星)	 郭可盈，陶大宇，再加欧阳震华            
(4星)	 新人都很好看，很有潜力，长的很像明星，尤其是徐皓月那个女的长得很像郑秀文，气质更像            
(5星)	 里面那个男娃娃可惜了~演完就被雪藏~最后发现在街边修车-..-            
(3星)	 劇情一般,不過演員是我喜歡的~            
(3星)	 三个重量级……            
(4星)	 搞笑~~~。            
(3星)	 应该还不错。。可惜情节都忘的差不多了。orz...难道我老了？            
(NA)	 Bobby戏。。不错过。。可是很一般。。            
(NA)	 不好看 ，            
(3星)	 看bobby一副嬉皮笑脸的样子不太习惯            
(NA)	 KK的抉择，BOBBY OR 大宇~            
(3星)	 老            
(3星)	 搞笑类很！            
(4星)	 刚开始还没有抱大希望，不过很轻松的片子，不知不觉就大结局了哦。            
(2星)	 假            
(NA)	 很励志，而且是陶大宇和郭可盈老搭档演出，很喜欢            
(5星)	 TVB中讲老师题材的电视剧好少啊            
(3星)	 开学礼            
(3星)	 失望透顶            
(NA)	 关于教师的电视剧,因为和我未来的职业可能挂钩才看的            
(4星)	 青春啊 學生仔啊            
(3星)	 还是不错的一部戏            
(3星)	 惯用的港剧手法，但师生情还是有点动人的            
