http://movie.douban.com/subject/2311147/	绝代双骄
(3星)	 李绮红是亮点，还有片尾《稻草人》~~            
(4星)	 小辣椒啊小辣椒            
(4星)	 其实李绮红的小仙女很可爱，可惜她本来应该是苏樱，又很不苏樱~~            
(3星)	 我喜欢看开头李绮红穿着红色的衣服和童颜男林志颖斗嘴。            
(4星)	 好喜欢小辣椒            
(4星)	 小鱼儿就是应该和小辣椒在一起~            
(3星)	 小志跟李绮红很搭            
(3星)	 喜欢这个小辣椒。。。            
(4星)	 李绮红若在更年轻的时候演小辣椒，该多好。喔黑呀喔嘿呀～            
(NA)	 自然而然把李绮虹与张菁联系在一起.林志颖的小鱼儿没有人能颠覆.忘了说郑嘉颖的玉郎实在是很坏又很帅.             
(NA)	 小时候跟院子里的小朋友玩角色扮演，不是还珠格格就是绝代双骄            
(4星)	 那时候超喜欢看小鱼儿和小辣椒....鄙视另外一对~            
(3星)	 其实只喜欢火红的小辣椒            
(3星)	 苏有朋简直太做作了，陈德容也很受不了。唯一的看点是小辣椒，我喜欢李绮红，呵呵～            
(4星)	 超级喜欢小辣椒的说~~            
(4星)	 小辣椒很可愛            
(NA)	 李绮红，我好喜欢你            
(NA)	 那时候超爱小辣椒            
(4星)	 最心疼的就是小辣椒要彻底离开小鱼儿那一段..幸好他追上了            
(5星)	 最经典了            
(4星)	 好喜欢小辣椒            
(3星)	 我记得这里面九妹太几吧骚了            
(4星)	 小辣椒啊小辣椒            
(4星)	 为了李绮虹MM给个4星吧            
(3星)	 小鱼儿～张菁～            
(5星)	 喜欢小辣椒            
(3星)	 喜欢小辣椒            
(3星)	 只为李绮红。            
(NA)	 小时候的热门剧集！还有一个女人叫肖咪咪~~~            
(4星)	 两天看完，绝对记着。            
(3星)	 铁心兰的头发……小辣椒的演员是强大的，我觉得造型没造好。俩男主角把握人物性格都很透，透到有点过了头，全剧差不多都一个表情，一个冷一个痞。            
(3星)	 在我还小时遇见你，古龙先生。            
(3星)	 好可爱的小辣椒            
