http://movie.douban.com/subject/2248728/	花姑子
(2星)	 张庭快去烤鸭子吧            
(3星)	 为了陶醉。。。太傻了。。。            
(3星)	 多情总被无情伤，唉你妈逼的            
(2星)	 寇叔那装我真是不想说啥了。。。            
(2星)	 傻的            
(3星)	 邱心志当年也帅过的            
(3星)	 我印象最深刻的就是那句 花~姑~子~            
(3星)	 记得两句  妖若有情妖非孽   人若无情怎为人——陶哥哥说的当时就觉得~~~            
(5星)	 真是万分爱怜陶醉和素秋这一对儿。            
(NA)	 补遗               
(4星)	 我终于想起今天的唐伯虎扮演者在哪部剧中见过了...            
(3星)	 还行 也就那么回事            
(3星)	 我的记忆越来越模糊了            
(5星)	 张庭那俩小酒窝 看着就舒服。            
(2星)	 不好看            
(3星)	 我喜欢男二女二，，女一号太自私，可男二号就是喜欢···            
(2星)	 这都不知道是啥时候看的了。好怀念。            
(3星)	 志怪玄疑、人妖之恋，妖媚的女子众多，当然也不乏一些深情的男子作为烘托。            
(5星)	 竹子精太帅啦            
(3星)	 天，我还迷过这部            
(NA)	 忘了            
(3星)	 我觉得里面那个男的不错　            
(1星)	 只喜欢沈晓海            
(4星)	 女主角笑起来好漂亮，深深的酒窝，呵呵～～            
(3星)	 三颗星给男二号。我真心萌沈晓海啊啊啊可惜不红啊。虽说我喜欢他不是因为这部剧。可是真心喜欢他啊啊。            
(3星)	 当年好喜欢听那个片头曲啊！！！！来供我，醉一场，梦一场，舞飞扬~~~            
(4星)	 我喜欢张庭            
(1星)	 妹的邱心志就是这么被毁的            
(2星)	 。。            
(3星)	 可惜没看到结局。            
(NA)	 真是古老啊古老            
(2星)	 无聊。            
(2星)	 我就说此片应该看过，一看评论竹子精三字终于想起。当年的竹精印象深刻。            
(2星)	 主要为了看张庭，没想到演个情痴。            
(NA)	 邱心志！当年啊啊啊啊！            
(3星)	 貌似看过，真喜欢张庭！！            
(4星)	 片尾曲陈倩倩的相思泪至今使我难忘            
(3星)	 三个都喜欢            
(3星)	 好吧... 其实 这个 也看过一些.....     都忘了什么内容了            
(3星)	 爱死陶醉了            
(3星)	 冲着张庭            
(2星)	 讲啥子我都搞忘完了。。            
(3星)	 斷斷續續的沒看完...            
(3星)	 张庭的花姑子把我雷得不轻            
(4星)	 好早前看了，小时候怎么这么喜欢古装剧= =            
(4星)	 陶哥哥 萌啊~~~            
(3星)	 哦。张庭啊。可是好囧的片啊。            
(3星)	 看过。。。可是都忘得差不多了。。。            
(4星)	 不错...            
(3星)	 实在不喜欢花姑子这个女人，倒是陶醉还蛮让人心动            
(3星)	 一整个故事。            
(3星)	 为了陶醉加个星            
(3星)	 我的品味最近貌似提高了,觉得这些东西有点扯……            
(4星)	 还是最喜欢陶醉啊~            
(NA)	 貌似中间许多地方缺乏逻辑            
(NA)	 这我也看过...当时哈张庭，觉得她各种潇洒飒爽            
(NA)	 催泪            
(NA)	 歌曲不错，两两相望            
(3星)	 还是挺好看的，挺感人的            
(3星)	 我为什么这么热爱聊斋            
(2星)	 雷剧            
(3星)	 三颗星分别给张庭，邱心志和王艳。            
(3星)	 单纯稀饭沈晓海的陶醉 竹仙            
(NA)	 我还真的是什么电视剧都看过啊。。。            
(NA)	 他们是什么妖精来着？            
(4星)	 改编自《聊斋之花姑子》，蛮忠实原著的（我觉得）。最喜欢沈晓海演的陶醉~            
(3星)	 放假的时候，太闲了            
(5星)	 这是我记忆中最美好的回忆，直到现在还还记得那个孤独吹笛的陶醉            
(2星)	 一直觉得此片是烂片中的战斗机，DB评分居然没有很低。一个小故事愣是扯成了好几十集，能有多好看呢……好吧，沈晓海还是很帅的。            
(5星)	 最惹人怜爱的花姑子，最美丽的张庭            
(4星)	 结尾不记得了，不过服装好看，每一个人都用情很深啊！王艳不管是千金小姐还是被妖术所乱的性格都那么好玩，其实还是比较喜欢不是千金小姐的女子，男二依旧比男一好。            
(3星)	 喜欢张庭和邱心志            
(3星)	 张庭不复当初……            
(NA)	 三星。            
(5星)	 陪我度过一段美好时光            
(3星)	 我只记得英气逼人的竹子精了...            
(3星)	 演员里面没有小海哥哥。。。。            
(NA)	None
(2星)	 开始几集很喜欢，越往后越无聊，都不知怎么追完的。            
(3星)	 记得撇过。            
(4星)	 没多大印象了            
(3星)	 不太记得剧情了 好像是张庭演了个小妖~是鹿精么？            
