http://movie.douban.com/subject/4728583/	Giant巨人
(3星)	 OST很好 这阵子吃饭时听到 莫名其妙地就热血起来了。。。            
(5星)	 刚看到第八集 作为一个鄙视棒子的老爷们 我哭了几次 值得五星            
(5星)	 终于看完了，真棒。韩国电影一般，没想到电视剧可以拍成这样。            
(5星)	 好看好看~不以爱情为主轴的韩剧更有看头~            
(5星)	 不错的一部韩剧，好久没看过这么好看的了。            
(5星)	 继《天桥风云》之后又一部好剧！！！            
(5星)	 越看越精彩的剧，喜欢李凡秀。            
(5星)	 漫长的复仇过程，比《大长今》更复杂的争斗，更加感人的亲情。            
(5星)	 没想到这部电视剧这么好看！            
(5星)	 童年的戏份大爱，小演员们的演出赚了我不少眼泪，金秀贤，从圣诞节会下雪吗开始就喜欢他，绝对有前途的一颗星。李凡秀朴真熙等人刚出场时那几集实在是不太吸引我，开始兄妹三人相认才渐渐变得有看头，持续期待中~另外感觉朴真熙在这剧里好胖~            
(5星)	 很棒。真的~！            
(5星)	 除了拖沓了点，其它方面几乎完美。            
(5星)	 好..值得一看            
(5星)	 忘不了大结局那一幕：强慕坐在车里，看着车窗外繁华的都市，那种复杂，深思的眼神……            
(5星)	 摒弃了一贯韩剧的矫情拖沓，人物众多、关系复杂、背景宏大、情感交织了各种商场政界的事件，不得不感慨编剧的写作深度，已经足以超越平常连续剧的范畴。李氏兄弟、赵氏父子还有黄家，甚至各种配角都把各自的角色诠释地非常出色，诚慕的大气、强慕的冲劲、赵弼延的狡诈、静妍的美丽，都让人印象深刻。            
(5星)	 好看的韩剧！            
(5星)	 大戏            
(3星)	 反派演得好。剧情也不错，如果能精简到25集会更显得精华。            
(5星)	 太彪悍了，凤凰卫视。我感觉这些年只要开电视看财经，保证是在演这玩意。。（但是韩国人，你们不觉得太长了吗= =）            
(NA)	 结束了 看到三兄妹抱在一起的时候 猫泪就掉下来了啊啊啊            
(5星)	 被小年妈妈带着看韩剧 结果看这部看得整天思密达思密达的 不过确实好看~！！            
(4星)	 这部韩剧还挺好看的。。            
(4星)	 给男二和静茵的。。为什么我结尾貌似没看懂            
(NA)	 换人也换得我五雷轰顶!!!!!!!!!!!!!人长大变样子也得有个限度吧!!!!!            
(4星)	 难得有内涵的韩剧  经常出现的背景音乐很像克罗地亚狂想曲 我那么喜欢静妍 强幕 岷宇 在学校的那些戏。。。宇珠太可爱了 岷宇对美珠的爱。。。            
(NA)	 凡秀大叔 那 绝对 演技派！            
(5星)	 和其他韩剧真的不一样, 超级超级... 好看            
(5星)	 难得的主角很丑但很好看的剧            
(5星)	 看这片就不要带思考能力了，编剧忒强大，比坐过山车还刺激。追完了，老大竟然在手术中挂掉了。编剧你够狠...            
(5星)	 韩国史诗。韩国总走在中国的前面。顺便把韩国的历史了解了一下。            
(5星)	 从来没有对一部电视剧这么着迷。。            
(5星)	 终于见识到真正的男人魅力~~            
(4星)	 每一个角色都不显得多余，很饱满。韩剧能做到这么长还不觉得拖沓已经是一件不容易的事了。            
(4星)	 唯一让我有感觉的韩剧            
(5星)	 真的太好看了！！！            
(5星)	 大爱男2和女2呀，不是一般的韩剧，有深度，有广度!            
(5星)	 难得的好剧！            
(5星)	 内心饱满又斯洛呀，我的开年大戏就这样完美落幕啦。            
(5星)	 强烈向你们推荐的《Giant》，迄今为止最欣赏的一部韩剧。            
(4星)	 难得和娘亲一起看棒子剧！！主要就是看美珠和珉宇！！！还有宇珠！！！！！！            
(5星)	 大气磅礴            
(4星)	 很温馨的！            
(5星)	 本来看到太长，就没怎么打算看的，但一看上，就停不下来了。尤其喜欢里面的白波老人，有一种透过表象直达人心的洞察力以及挣钱却又被被钱控制的超然心态。相当出彩的人物！            
(5星)	 韓劇真的什麼都能拍，很寫實            
