http://movie.douban.com/subject/2248526/	玉观音
(5星)	 孙俪的处女作。节奏很好，比电影版好10000倍            
(NA)	 安心就是个祸水            
(4星)	 很久以前看的。印象中是部经典。            
(4星)	 孙俪演得最好~            
(NA)	 孙俪很好，可是她身上有半毛钱能看得出来是个女警啊？海岩你这个坐书房的假言情制造机你就扯吧。            
(3星)	 火了孙俪，何润东很帅。            
(4星)	 那时候是偷偷看得，很好看啊，正式看海岩剧，爱上孙俪            
(4星)	 毛杰：我把心都给你了，你为什么不能把心也给我呢？。。。。。。            
(5星)	 最爱的一部海岩剧 请记住冬夜里 我的叮咛             
(NA)	 高中的记忆            
(3星)	 讨厌何~            
(5星)	 何润东的突破之作。            
(3星)	 进入故事太慢            
(4星)	 我知道了他们～            
(5星)	 电视剧里的佟大为显得很帅气，何润东身材也性感！多希望他们俩那时候是我的……            
(NA)	 出轨了跟人孩子都生了依旧能够清纯美好我当年就留下这个印象了。。。            
(4星)	 这部片对很多人都造成了很大的影响，很长时间里，安心成为许多人心中对美丽女子，甚至是初恋的代言人，后来再也没有另一个谁可以超越她。故事本身的传奇色彩，很多年后在翻阅书籍和重看电视的时候，你似乎都能想象着初见安心的时候，确有一道玉观音似的光芒，在她的背后，而她正慢慢向你走来。            
(4星)	 我不喜欢这个结局，但是我的杨瑞又在哪儿呢？电视里都是骗人的。            
(NA)	 最开始是听的广播剧，无数个凌晨三点。            
(3星)	 时空倒错            
(5星)	 luckybtw：老妈爱佟大为            
(3星)	 我只能硬撑到20集            
(NA)	 就为安心这个名字            
(5星)	 送我一个玉观音。            
(4星)	 我喜欢主角们的演出。            
(5星)	 从此认识了孙俪            
(5星)	 当时我上初中吧~他们还不是很火。            
(3星)	 演员都还可以。            
(5星)	 佟大为！何润东！！            
(NA)	 孙俪长得很安心。。后来就幻灭了。原著里杨瑞很帅，我觉得佟大为实在。。。。。。。            
(4星)	 我很讨厌佟大为！            
(3星)	 你们都是那个时候爱上了孙俪            
(3星)	 妈妈喜欢看。            
(3星)	 不喜欢，这几个人我都不喜欢，整个这个编剧我也不喜欢            
(5星)	 昨晚重看，突然间懂了杨瑞为什么会那么做            
(4星)	 补遗            
(4星)	 当年看得颇感动            
(4星)	 大概初中的时候看的。那个时候觉得怪怪的……孙俪演戏永远给人一种僵硬、放不开的感觉。            
(NA)	 安心你就是一寂寞女，人多好的毛杰被你毁了。            
(NA)	 喜欢孙俪            
(NA)	 玉观音            
(5星)	 并不是因为它多经典，多么有文学价值。只是我爱它，它对我的影响太大了。            
(4星)	 是高一寒假还是暑假在冉强烈推荐下租的碟看的，还是很感动的吖            
(4星)	 電視劇里，算不錯的了            
(5星)	 佟大为最帅的时候            
(NA)	 最喜欢的国产电视剧。也看了书，改编得很好。总之喜欢喜欢喜欢。            
(NA)	 喜欢里面带有挣扎的剧情和人物。            
(4星)	 孙俪真美            
(3星)	 画质很次，孙俪的腿很长～            
(5星)	 海岩的东西 这个算最爱了            
(3星)	 孫儷還挺好看的是不？            
(3星)	 孙俪真像Estelle            
(5星)	 早期相当好的电视剧，近几年国产电视剧也跟着越来越对我的味勒。爱的深刻的男人总是让我不能自拔，佟大为如此，邓超也如此。孙俪你总是演被他们爱的死去活来的角色，真嫉妒你，嫉妒到死。            
(3星)	 赵宝刚先生又出现了.干净的故事,不错的情节.漂亮的景色,为什么不看?            
(3星)	 孙俪演得不错 不过还是后来慢慢比较出来的            
(5星)	 看了这个特别喜欢孙俪，佟大为，和何润东。。色调也满好看             
(4星)	 挺曲折的。            
(5星)	 不想再谈的感动。我会铭记，永远的阳光，你的善良。-我在远方等你，太多的喜和悲。-我在远方想你，用一生等待。山为你流泪，河为你心碎。-头上的国徽，因你更美。            
(5星)	 歌很好听，演得很赞。            
(4星)	 海岩             
(2星)	 討厭海岩！孫儷！佟大為！            
(3星)	 孙俪就是这部红的吧~            
(2星)	 极品女子            
(5星)	 好久好久了竟然            
(3星)	 海岩的也就这个还耐看。            
(3星)	 虐人啊            
(4星)	 请你一定要比我幸福。            
(5星)	 当时的安心我可喜欢了            
(3星)	 其实当时以为有谢霆锋。。后面才知道搞错了。。            
(5星)	 裸了那么多~~~            
(4星)	 孙俪孙俪 安心啊安心            
(NA)	 我怎么看过这么多电视剧!!            
(5星)	 佟大为灵的呀！孙俪我一直喜欢的！不过演技确实不怎么滴。。。过了那么多年，我总算看完了玉观音！！！            
(4星)	 我看过书，当时挺喜欢的。觉得安心这样的姑娘真是天上有地上无。            
(4星)	 俺家有碟哦            
(NA)	 高中时很喜欢这部电视，看的心痛。            
(4星)	 貌似有小谢？            
(5星)	 孙俪的小宇宙在此爆发了·～            
(4星)	 捧红了两大明星            
(5星)	 从这部开始喜欢佟大为~            
(4星)	 只看了一半            
(NA)	 带我回到了石林和西双版纳            
(5星)	 第一次觉得佟大为真好。应该是，杨瑞真好。真好。怎么这么好。            
(NA)	 .            
(5星)	 孙俚很清纯 演的很到位            
(2星)	 看不来海岩            
(4星)	 当年完全被那种绿色的调调吸引了。后来知道是滤镜...            
(3星)	 3.5            
