http://movie.douban.com/subject/3026988/	尘埃落定
(3星)	 总体还是拍出来阿来小说的意境，那时候就觉得FBB妖的不行            
(5星)	 李解真他妈的牛逼！！！！！！！！！大赞！！！！！！！！！！原著更赞！！！！！            
(5星)	 翻拍佳品，结尾改得真狗血。            
(3星)	 竟然是汶川            
(5星)	 就是把结尾给改了本该死去的傻子在党的领导下变成了民族政策好开明的写照~~            
(5星)	 居然这么冷门？我觉得很好呀            
(4星)	 很不错的电视剧            
(3星)	 只记得女仆和傻儿子那场做爱的镜头了【伏额            
(5星)	 都很出色，范BB的美丽我是从这个时候开始注意的吧。还有李子园牛奶的广告。            
(3星)	 改编得好奇怪            
(3星)	 在甘南的某条国道上，突然想起这个有关藏族的老电视剧来，这大概是我看过的第一个有关藏族的作品了，当时觉得——衣服太漂亮啦！还有就是喜欢“尘埃落定”这四个字。2004.TV            
(NA)	 爱着傻子            
(4星)	 电视剧本身不错 只是本人不太喜欢范小姐 =A=            
(4星)	 比较不错，范冰冰演风骚，李解大智若愚表演，记忆深刻            
(4星)	 喜欢李解演的傻子=v=            
(4星)	 歌不错我很喜欢            
(3星)	 为什么对范冰冰完全没印象？！！！            
(5星)	 算是国产电视剧里不错的了~            
(3星)	 李解演的还行            
(NA)	 爷居然演过这个，我都不记得了            
(5星)	 只到今天我都无法忘记第一次见到傻子时的惊鸿一瞥            
(NA)	 许还幻是常德妞。            
(5星)	 雪山上开放着雪莲~雪莲唱着歌            
(5星)	 也爱看原著~            
(4星)	 宋佳美啊            
(5星)	 当年的李解美极了。            
(4星)	 记得还是在中央八套看的，记得那个可爱的傻少爷。            
(4星)	 我对编剧无语……这结局是个啥玩意？            
(3星)	 什么玩意儿。            
(4星)	 卧床时看的，总觉得少点什么            
(3星)	 光是看原版小说就YY到不行  完全到不了体会土司制度和西藏那个时期文化生活背景的境界&gt;_&lt;            
(4星)	 那是范爷还没红到现在，但已经摆脱了金锁的形象...            
(3星)	 看过原著看改编都别扭果然是真理。            
(4星)	 第一次觉得范冰冰美，就在这个片子里            
(4星)	 结尾改的太那个了            
(NA)	 用心做电视剧 。。。            
(3星)	 在汶川拍的啊            
(4星)	 本来打算看原著的，不过看完电视剧就不想看了。            
(3星)	 没有小说有意思            
(4星)	 我很喜欢这片子的片尾曲，另外我很喜欢当时的范冰冰；因为她傻子老公的大哥说“这不是大奶子大屁股的女人”。            
(4星)	 记忆里某个暑假在家守着看西藏很美            
(1星)	 你麻痹的，为啥把结局改的这么恶心            
(4星)	 没书好。演的还不错            
(4星)	 以前在家和老爸老妈一起看的            
(NA)	 当年看着挺好，如今不过尔尔。            
(4星)	 范爷美的像个仙女。            
(4星)	 被真实到了。            
(3星)	 具体忘了什么内容了  也没有连着看  就只很想看原著            
(4星)	 有味道            
(5星)	 我十分喜欢李解。。。            
(3星)	 初三升学时读原书，爱得不行，电视剧却很平庸            
(4星)	 7/10            
(5星)	 特别喜欢里面的服饰，特美            
(4星)	 松狮，太可爱了            
(4星)	 阿来，            
(4星)	 范冰冰太美了            
(4星)	 中国的《阿甘正传》，从一个人的命运反映时代的变迁，好            
(4星)	 李解他哥，长得跟齐峰似的……            
(NA)	 电视剧有点囧            
(NA)	 瞄过            
(4星)	   看到范冰冰使我一阵惊慌。。。。。！            
(3星)	 还是看书好啊～～            
(4星)	 李解的魅力和演技，支持。            
(5星)	 连续剧……            
(4星)	 最近在看射雕，很是喜欢欧阳克，于是想起认识李解的这部作品来……            
(NA)	 范冰冰这个时候演的还行呢            
(4星)	 都说你傻，只有自己才会明白。            
(5星)	 其实我真觉得挺好看的            
(4星)	 虽说只是瞟过几眼 但是好看！            
(4星)	 书看完了，电视剧没看到结局！            
(4星)	 道具、服装、演技都很有诚意。少年时期印象很深的一部片子，由此爱上李解            
(5星)	 那会的电视剧多好看啊，结局不好略有遗憾。            
(3星)	 1还能再缓慢一点吗2那狗不错3敢问导演是有多喜欢所谓的战争场面和所谓的床戏            
(5星)	 挺喜欢阿来写的书的            
(NA)	 没死算怎么个尘埃落定？            
(5星)	 范爷居然是傻子的压寨夫人，全片恢弘大气，即使在片尾稍微和谐了那么一下。西藏数千年来的制度传统在逐渐消亡，令人欣慰的是告别野蛮毕竟是人类文明的前进主流，但文化的珍贵却是无可替代的，傻子最后让他的父亲、母亲、哥哥、妻子、黄特派员都刮目相看，似乎在告诉正常人们，传奇者就是这样大智若愚。            
(3星)	 当初陪爸爸看的、、、、 （下雨了）            
(NA)	 初中礼拜三记忆            
(3星)	 好像男主智商有问题吧。。。            
(5星)	 超级喜欢，看过原著，很有异域味道            
(3星)	 不喜欢FBB 没看几集 没怎么看            
(4星)	 阿来            
(5星)	 有一年冬天还是觉这个很玄幻很有意思的            
(5星)	None
(4星)	 不如书好··········            
(4星)	 当年看的时候很喜欢……            
(4星)	 看了电视剧后看的书，很喜欢里面的李解，很不错的说。            
(3星)	 太沉闷了！            
(4星)	 作为电视剧它足够优秀，对故事里的那个“傻子”印象深刻            
(4星)	 总的来说……拍的不错            
(4星)	 阿来的作品，可能人生真的需要大智若愚更快乐，其实他不是傻子，他只是比别人更聪明一点而已。            
(4星)	None
(5星)	 他说好！            
