http://movie.douban.com/subject/3003442/	笑傲江湖
(NA)	 相当喜欢靓靓～～～            
(2星)	 就凭任贤齐糟蹋过的这些角色，也该有个武侠迷上街把他暴打一顿。。。            
(NA)	 我不明白为什么让任演了两部金的片子= =|||我觉得令狐冲和杨过还是很不像的            
(NA)	 繼續翻            
(3星)	 笑点还是有很多            
(2星)	 哎。。            
(3星)	 觉得选角很一般，但是也算是看完了的。            
(2星)	 真的是很奇怪的组合啊            
(3星)	 歌很流行  任贤齐怎么会有那么多机会？            
(2星)	 这个这个~任贤齐啊~那个痔啊~特别明显~演技超烂~            
(NA)	 任贤齐你毁完杨过就毁令狐冲。。。            
(2星)	 虽然当年我很喜欢任贤齐，虽然陈德容的小师妹很漂亮，但是我真的看不下去！！！            
(2星)	 任贤齐怎么总喜欢演武侠剧的男主呢            
(4星)	 小时候的记忆总是美，虽然女主角有点老～和原著不符合...            
(NA)	 喜欢小齐版的笑傲江湖            
(3星)	 啊啊啊~行走江湖的人生，刀锋血雨下的人生，真帅~            
(2星)	 27            
(3星)	 喜欢令狐冲。            
(2星)	 任贤齐哥哥的演技真是我人生中难以磨灭的梦魇啊            
(2星)	 袁咏仪还是很漂亮的            
(4星)	 搞不懂啊，怎么会由这两人来演            
(NA)	 最喜歡這個版本～            
(4星)	 小時候看這長大的，總是能回想起~在大江傲唱的那首，滄海一聲笑..            
(5星)	 任贤齐，袁咏仪，陈德容，演活了我心中的每一个角色。。。。。盈盈自当是风华绝代却可能是永远不及嗲嗲的灵珊一半，在二中心里。            
(3星)	 那时候 袁咏仪还年轻啊~            
(1星)	 任贤齐也就比李亚鹏的金庸剧好一点。。。            
(4星)	 这部貌似有点囧...还是支持下吧~毕竟以前看的时候还是挺激动的。 虽然看过的三版电视剧都没那么完美，但是各种金庸剧里还是最喜欢笑傲江湖~            
(NA)	 只能说任贤齐很有勇气 但他虽然扮相不好 演的还是不错滴            
(3星)	 很喜欢那首主题曲：痛快哭，痛快笑，痛快的人死不了            
(3星)	 哈哈！！！完全是冲着小齐诚恳的国语去的！！            
(5星)	 最喜欢的一版笑傲江湖~~~            
(4星)	 任贤齐真的不适合演金庸剧任何一个男主角。先演烂了杨过，再破坏了我对令狐冲的美好想象。给四星完全是看在袁咏仪的灵气表现份上。            
(5星)	 最初的梦            
(NA)	 除了我还有人喜欢任版的令狐冲么。。。            
(4星)	 可能当年看的心情不一样。            
(NA)	 我想说，我很outman…但是任贤齐绝对配得上令狐冲这角色，很喜欢《死不了》。            
(3星)	 虽然看香港版的多点……台湾的还好啦……喜欢袁咏仪呗            
(3星)	 里面的音乐还不错…我比较喜欢田伯光和蓝凤凰的那一段剧情…虽然有点扯            
(2星)	 居然有陈紫函，有点小胖嘛~            
(2星)	 任贤齐真是毁了一个又一个大侠....            
(5星)	 好看            
(2星)	 相当烂啊            
(3星)	 恍然想起还有这个版本            
(3星)	 任贤齐一点大侠气质都没有，还演了这么多大侠，恶心死了，仪琳和孙兴的田伯光很可爱            
(NA)	 。。。。。。。。。。。。。。。            
(2星)	 任贤齐完全没有侠气            
(2星)	 这个版本是很恶心...            
(2星)	 任賢齊的令狐沖我就無語了....            
(2星)	 比较囧的版本            
(2星)	 最难看的令狐冲            
(3星)	 任贤齐那沧桑的脸完全不能和令狐冲画上等号。            
(1星)	 垃圾            
(4星)	 对这一版印象很深刻。一提起令狐冲就想起任贤齐            
(3星)	 小齐和靓靓我都喜欢，但是……不行！            
(4星)	 任贤齐 看完了这个 我也开始喜欢他了……袁咏仪演的就是好            
(5星)	 意义特殊            
(5星)	 最喜欢的版本~靓靓·            
(4星)	 童年记忆            
(5星)	 拍的最成功的版本~！            
(3星)	 小时候看的时候还觉得蛮有意思。。但如今已经记不清了-.-但只有这一部里的角色晓得是谁演的            
(3星)	 觉得这对男女主角的组合还不错啦~            
(3星)	 所有金庸裡面最不愛笑傲江湖了.....所以請容許我的偏見            
(2星)	 小田田……令狐鸟……额滴神哪……            
