http://movie.douban.com/subject/1437322/	人间四月天
(5星)	 不喜歡徐志摩卻喜歡他身邊精彩的女人            
(NA)	 怎么说？一个男人和一个怨妇还有几个小3的故事            
(5星)	 人生若只如初见。            
(4星)	 像林徽因那样做一个有思想有知识的独立女性，才能少受情伤么            
(5星)	 故事是熟悉到自己都能演，但是看完还是泪流不止，喜欢每一个人物，这部片让我多认识了一点幼仪。            
(4星)	 今天突然莫名其妙想起这主题曲，还不自觉的唱了出来。虽然对于原型并无任何好感，但当时很喜欢这部剧。            
(5星)	 你是一树一树的花开，是燕在梁间呢喃，你是爱，是暖，是希望，你是人间四月天。            
(3星)	 當年不明白為什麽徐志摩不明白張幼儀的好，如同今天我不懂為什麽張學良不明白于鳳至的好。。大概都有一個想飛的理由吧            
(4星)	 黄磊你如果不是因为这部戏剪了头发我会继续喜欢你的            
(4星)	 我是一片云，偶尔投映在你的波心。            
(NA)	 所有的OST都喜欢。            
(4星)	 被忽视的好剧。内敛，压抑，悠扬，氤氲，深沉，悲哀            
(3星)	 文艺徐志摩及其生命中的三个女人。没看全过。            
(4星)	 董橋提過。            
(5星)	 儿时和爷爷奶奶一起的记忆，也由此爱上了诗。            
(4星)	 我还买了原声。            
(3星)	 为什么选择你？ 这个问题的答案很长，我需要用一生的时间来回答你。——还蛮美的。不过印象最深的是黄磊头埋在刘若英两胸之间大哭。            
(5星)	 当年的你             
(5星)	 电视台首播时只是直觉喜欢，却无仔细看，姑且那时太小也看不懂。这次看是照着剧中人的模样却总忍不住顾起自己的影，自怜之后也果真是观照到生活中永恒的一些命题，人们各种身段各种姿态却总逃脱不了一样的魔咒。谁也不是巫师，总要用长久的光阴甚至一生去解咒。在咒中，痛苦，也执迷。            
(2星)	 看个开头就不继续了= =            
(4星)	 我喜欢这个主题曲。            
(4星)	 “你翩翩的在空际云游 自在 轻盈 你本不想停留 在天的那方或地的那角 你的愉快是无拦阻的逍遥”～             
(5星)	 关于徐志摩的最初的记忆。            
(4星)	 这是我看过最酸的电视剧            
(5星)	 真美好            
(NA)	 其实看的好少。            
(3星)	 为文与为人的界限。            
(5星)	 初中中午，和奶奶一起看的~            
(4星)	 诗人的爱情故事，文学气息浓，挺浪漫的。            
(NA)	 此片多美人，现在想来都是颇为精准的选角。不过愈发靠谱的黄磊大叔越来越适合走梁思成路线而非那个四六不靠的文艺青年徐志摩了。            
(NA)	 喜欢黄磊            
