http://movie.douban.com/subject/2373361/	出头当自强 我要FIT-FIT
(NA)	 从这里喜欢郑嘉颖。hoho~            
(4星)	 我喜欢袁洁莹～            
(NA)	 对刘玉翠印象深刻。。            
(NA)	 还是千嬅的主题曲。Ronald。            
(4星)	 fennie姐很靓很治愈~            
(4星)	 看过好几遍 特别好            
(4星)	 其实这部剧不错的 很励志，PS比较喜欢文颂娴和郑嘉颖的戏份 那时他们还是配角哈            
(3星)	 郑嘉颖 当年太帅了  我擦  太帅了              
(NA)	 袁潔瑩好靚。            
(4星)	 这戏……实在是太多故事了！            
(5星)	 温馨美妙的电视剧！~            
(3星)	 25            
(4星)	 喜欢的一群年轻人            
(3星)	 郑中基太正直，郑嘉颖好潮，肥仔好好虾……            
(3星)	 其实很好笑的            
(3星)	 几千年前看的了，只记得郑嘉颖和文颂娴很搭            
(3星)	 猫骨和癫猫都好好看。            
(5星)	 非常乐，需要重温一下，高中的时候偷偷摸摸看的            
(4星)	 原来我当年中意的靓仔就是kc啊，啊~好激动啊~昨晚睡觉前突然想起这部剧，只记得大概情节和女主角，男主很帅，但记不清到底是谁了。kc啊kc~            
(5星)	 我一直都很喜欢袁洁莹咧。。。包括双面伊人里面的她。。。其实我原本是想找个不知名艺人的名字的 还是没找到啊！！            
(NA)	 6点档看的时候觉得不错。。            
(4星)	 小时候特别想看但是被爸妈要求早睡没看成一直耿耿于怀啊。            
(4星)	 很励志啊 而且演员也不错            
(3星)	 怎么看了10集就只剩粤语版了 恨恨恨！！            
(3星)	 原来有kc的啊？            
(3星)	 开头开得太长了，在仁安堂的情节很浪费。郑嘉颖早期在TVB剧中的表演风格跟古天乐很像。            
(4星)	 KC&amp;文女好配！            
(4星)	 癲貓&amp;喪屍            
(4星)	 我把这部剧看出了励志剧的味道，蛮喜欢的，喜欢香港人奋斗的精神吧            
(5星)	 就是喜欢这部剧！就是喜欢袁洁莹！！            
(5星)	 唔单止个阵容我钟意 演的都唔错嘅！！            
(4星)	 热闹喜庆~~很生活~            
(1星)	 烂片。            
(4星)	 高中时候的至爱··一下子就爱上那个笑的帅帅的他··            
(5星)	 什么都得靠自己。但结尾不好。            
(4星)	 郑中基跟郑敬基。。            
(5星)	 好喜欢的 我记得            
(NA)	 焕然一新的郑嘉颖，真帅。            
