http://movie.douban.com/subject/2221717/	梦里花落知多少
(1星)	 史上最屎            
(2星)	 给贾一平一星。这电视剧假的（主要指演员）。还篡改。            
(4星)	 完全是冲着贾一平看得            
(1星)	 物是人非。            
(2星)	 这一星给陆叙。还有一星奖励给无聊透顶到能看完的自己。            
(1星)	 林岚很老，顾小北很弱，姚姗姗很丑，白松很愣，小茉莉不够纯。不如小说好，不过小说太悲惨。            
(NA)	 ！！！！！            
(NA)	 看过书，不管怎么样，还是看了看。袄！！不好看。             
(1星)	 尼瑪的..這個起碼也是我當年很愛的小說啊...拍成這鳥樣!!!            
(NA)	 看过……一眼 再也不想看了 大家一块来盖评价的金字塔吧。。。            
(1星)	 哈哈哈哈。            
(NA)	 无语、、、好像是高中时候看了几集。。。。            
(1星)	 他妈的            
(3星)	 晚上来写影评            
(1星)	 高三毕业的时候看的这个= =            
(1星)	 囧死我了········································································································································            
(1星)	 也不是我想看            
(1星)	 我接受接受不了...这演员挑得要多失败有多失败            
(3星)	 陆叙。。。。。。。。。我对你无语了            
(2星)	 一点没有书上的那种感觉。很多人都不一样了。。。            
(1星)	 哈哈哈哈~我看过耶            
(1星)	 我还不知道有这个电视剧啊！！！！毁了我的初中记忆啊！！！这你妹的你是八几年拍的吧！！！！！！            
(1星)	 卧槽！！！！！！！！！！！！！！简直是==            
(NA)	 你妹            
(3星)	 拍的比原著更加的。。梦里花落知多少了            
(NA)	 终于看不下去了。            
(1星)	 演员太不符了            
(NA)	 补遗               
(2星)	 演林岚的像大妈！！            
(1星)	 一帮中年人演着自认为是青春的戏。恶心死了  老死了  顾小北很嫩很傻  比起其他人 是里面比较靠谱的。            
(NA)	 哎呀我靠呀。我以为我眼花了。            
(2星)	 顾小北还合我眼缘~            
(3星)	 越看越有味 越看越欲罢不能 贾一平太男人了 标准榜样目标。            
(1星)	 烂，超烂，超级烂！            
(NA)	 太令人失望了！！！！            
(NA)	 坑爹！！！            
(2星)	 除了张峻宁还有什么             
(2星)	 雷            
(2星)	 我记得我还有女猪脚的签名照片呢            
(1星)	 其实应该给零星。相比与原著的抄袭而言，这部剧罪孽更重~            
(1星)	 三八与囧~囧绝版了！            
(3星)	 挺晕的            
(1星)	 我从来没给什么打过一星诶            
(1星)	 这个简直逼我= =            
(1星)	 敢不敢拍得再烂一点！！！！！！！！！！！！！！            
(1星)	 我日，那个春情荡漾            
(NA)	 這個也低得不能打分了怎麽能長這麽難看？！！！！！！！！！            
(1星)	 就张峻宁能看看了            
(1星)	 四姑娘劈死我。。。            
(NA)	 也是无话可说的类型            
(1星)	 小四……你就后悔吧！！            
(1星)	 国产2B剧            
(1星)	 我还多喜欢的一本小说，拍成这样，哎，没语言了            
(1星)	 女主好雷。            
